experiment,perturbation,model,observability,fold,mae,rmse,n_episodes_test,n_windows_test,line_conditioned,uses_faulted_line_for_input_selection,deployment_interpretation
minimal_communication_perturbation_fl_50ms,none,gru_regressor,full,0,0.09201999967478869,0.1238505352050136,1805,16245,False,False,centralized_full_observability_test_time_perturbation
minimal_communication_perturbation_fl_50ms,time_shift_2_samples,gru_regressor,full,0,0.0923881298476819,0.1244135570622028,1805,16245,False,False,centralized_full_observability_test_time_perturbation
minimal_communication_perturbation_fl_50ms,block_loss_10ms,gru_regressor,full,0,0.19080720933015702,0.2524769945589304,1805,16245,False,False,centralized_full_observability_test_time_perturbation
minimal_communication_perturbation_fl_50ms,none,gru_regressor,full,1,0.0830807108528512,0.11466750282345875,1805,16245,False,False,centralized_full_observability_test_time_perturbation
minimal_communication_perturbation_fl_50ms,time_shift_2_samples,gru_regressor,full,1,0.08350153992902207,0.11526928911500849,1805,16245,False,False,centralized_full_observability_test_time_perturbation
minimal_communication_perturbation_fl_50ms,block_loss_10ms,gru_regressor,full,1,0.18764352968082873,0.2508410631596094,1805,16245,False,False,centralized_full_observability_test_time_perturbation
minimal_communication_perturbation_fl_50ms,none,gru_regressor,full,2,0.07920315956012824,0.10796006538053224,1804,16236,False,False,centralized_full_observability_test_time_perturbation
minimal_communication_perturbation_fl_50ms,time_shift_2_samples,gru_regressor,full,2,0.07973871809880759,0.10880566378221888,1804,16236,False,False,centralized_full_observability_test_time_perturbation
minimal_communication_perturbation_fl_50ms,block_loss_10ms,gru_regressor,full,2,0.16745219463049812,0.22720061218139326,1804,16236,False,False,centralized_full_observability_test_time_perturbation
minimal_communication_perturbation_fl_50ms,none,gru_regressor,full,3,0.0780602255725977,0.1095115254848221,1804,16236,False,False,centralized_full_observability_test_time_perturbation
minimal_communication_perturbation_fl_50ms,time_shift_2_samples,gru_regressor,full,3,0.07859582733224349,0.11019403529833743,1804,16236,False,False,centralized_full_observability_test_time_perturbation
minimal_communication_perturbation_fl_50ms,block_loss_10ms,gru_regressor,full,3,0.17985136354461437,0.24171557060044002,1804,16236,False,False,centralized_full_observability_test_time_perturbation
minimal_communication_perturbation_fl_50ms,none,gru_regressor,full,4,0.0848500613864636,0.11893323980175005,1804,16236,False,False,centralized_full_observability_test_time_perturbation
minimal_communication_perturbation_fl_50ms,time_shift_2_samples,gru_regressor,full,4,0.0852079250698236,0.11947515597972055,1804,16236,False,False,centralized_full_observability_test_time_perturbation
minimal_communication_perturbation_fl_50ms,block_loss_10ms,gru_regressor,full,4,0.18643841262822364,0.2494002002855653,1804,16236,False,False,centralized_full_observability_test_time_perturbation
