fold1/class_0/recall,fold3/class_3/f1-score,fold4/class_8/recall,fold0/class_3/precision,fold3/class_4/precision,fold3/class_10/recall,fold1/class_8/precision,fold1/class_6/f1-score,fold0/class_7/precision,fold0/class_3/f1-score,fold3/class_7/recall,fold1/class_4/f1-score,fold1/class_3/recall,fold4/class_0/recall,fold4/class_7/precision,fold2/class_9/f1-score,fold0/class_2/precision,fold0/class_10/precision,fold1/class_8/recall,fold2/class_8/precision,fold0/class_7/recall,fold4/class_5/recall,fold0/class_10/recall,fold0/class_8/recall,fold4/class_7/recall,fold1/class_2/f1-score,fold2/class_1/precision,fold2/class_8/f1-score,fold0/class_0/f1-score,fold1/class_3/f1-score,fold1/class_9/precision,fold4/class_5/f1-score,fold2/class_2/precision,fold1/class_0/precision,fold4/class_9/recall,fold2/class_5/precision,fold2/class_6/f1-score,fold4/class_6/f1-score,fold4/class_0/f1-score,fold3/class_0/recall,fold3/class_9/f1-score,fold1/class_7/precision,fold1/class_4/recall,fold4/class_4/f1-score,fold3/class_3/recall,fold2/class_8/recall,fold0/class_5/recall,fold3/class_4/recall,fold0/confusion_matrix,fold4/class_9/f1-score,fold2/class_5/f1-score,fold2/class_0/precision,fold4/class_1/precision,fold0/class_2/recall,fold3/class_6/recall,fold2/class_10/recall,fold3/class_9/recall,fold1/confusion_matrix,fold3/class_0/f1-score,fold3/class_10/precision,fold1/class_9/recall,fold0/class_2/f1-score,fold4/class_4/precision,fold2/class_1/recall,fold2/class_10/precision,fold1/class_1/precision,fold1/class_6/precision,fold4/class_2/f1-score,fold4/class_8/precision,fold3/class_10/f1-score,fold3/class_3/precision,fold0/class_9/precision,fold3/confusion_matrix,fold2/class_6/precision,fold2/class_0/recall,fold3/class_8/f1-score,fold2/class_7/precision,fold0/class_9/f1-score,fold0/class_5/precision,_step,fold3/class_6/f1-score,fold0/class_8/precision,fold4/class_10/recall,fold0/class_0/precision,fold0/class_1/recall,fold2/class_2/recall,fold2/class_4/precision,fold0/class_1/f1-score,fold2/class_6/recall,fold4/class_6/precision,fold3/class_5/precision,fold3/class_7/f1-score,fold2/class_7/recall,fold2/class_4/f1-score,fold1/class_2/precision,fold4/class_1/f1-score,fold2/confusion_matrix,fold4/class_0/precision,fold1/class_0/f1-score,fold2/class_1/f1-score,fold4/confusion_matrix,fold1/class_5/precision,fold4/class_10/precision,fold2/class_3/precision,fold3/class_1/recall,cv5/fold_metrics,fold0/class_6/precision,fold1/class_10/f1-score,fold1/class_5/recall,_timestamp,fold0/class_6/f1-score,fold0/class_9/recall,fold4/class_9/precision,fold1/class_7/recall,fold0/class_10/f1-score,fold0/class_4/precision,fold1/class_6/recall,fold1/class_10/recall,fold1/class_10/precision,fold3/class_6/precision,fold4/class_6/recall,fold1/class_5/f1-score,fold1/class_1/recall,fold1/class_1/f1-score,fold4/class_10/f1-score,fold4/class_3/f1-score,fold1/class_8/f1-score,fold3/class_5/recall,fold0/class_4/f1-score,fold3/class_7/precision,fold4/class_2/precision,fold0/class_7/f1-score,fold2/class_0/f1-score,fold3/class_4/f1-score,fold4/class_3/recall,fold4/class_5/precision,fold2/class_10/f1-score,fold1/class_9/f1-score,fold3/class_2/precision,fold2/class_9/precision,fold3/class_8/recall,fold4/class_8/f1-score,fold1/class_3/precision,fold3/class_2/f1-score,fold4/class_1/recall,fold0/class_0/recall,fold4/class_7/f1-score,fold3/class_5/f1-score,fold0/class_1/precision,fold0/class_5/f1-score,fold3/class_2/recall,fold2/class_3/recall,fold1/class_2/recall,fold1/class_7/f1-score,fold2/class_7/f1-score,fold3/class_0/precision,fold2/class_5/recall,fold0/class_6/recall,fold2/class_4/recall,fold3/class_8/precision,fold4/class_3/precision,fold2/class_3/f1-score,fold0/class_3/recall,fold0/class_4/recall,_runtime,fold4/class_4/recall,fold0/class_8/f1-score,fold2/class_9/recall,fold2/class_2/f1-score,fold4/class_2/recall,fold3/class_1/precision,fold3/class_1/f1-score,fold1/class_4/precision,fold3/class_9/precision
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://difaaiv635ys43b1tv1mh2zd23qs2p645tjzlrq6lqi3pjh05ojaatmmfyo7dtqkmfblo0lnu9zowzqd7cv22i31t2tb5o1epifndsr45lppb5ukoruy5kvkdb7p53j7:latest/fold0/confusion_matrix.table.json', '_type': 'table-file', 'ncols': 12, 'nrows': 11, 'log_mode': 'IMMUTABLE', 'size': 558, 'path': 'media/table/fold0/confusion_matrix_0_74457ffa01f9edcb1f96.table.json', 'artifact_path': 'wandb-client-artifact://tqagpmzvp3x0ssoa1844iujk30jpk0gokgejmqogkvj4161us6633o3q1372yvx0962vcu7vyageh8ree2qk4my9xvhdbyakg1ye61g1ocf3gosgibz0q20kun05j7mw/fold0/confusion_matrix.table.json', 'sha256': '74457ffa01f9edcb1f96ab2007c4bcf5e8d8422f7217e5d0ed62fb20d221d6ce'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770734274.5896356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6185.062621985,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999261324813946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0.99990766730684,,,,,,,,,,,,,,,,,,,,,,,,,,1770734274.5920343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999445983379501,,,,,,,,,,,,,,,,,,,6185.064279144,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0.9936305732484076,,,0.9968051118210862,,,,,,,,,,,,,,,,,,,,,,1770734274.5923846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,6185.064571458,,,,,,,,,
,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.987012987012987,,,,,,,,0.9934640522875817,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770734274.5926886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6185.064940817,,,,,,,,,
,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770734274.593087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,6185.06537238,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770734274.593533,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6185.065826295,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9940476190476191,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770734274.5939796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9970149253731343,,,,,,,,,,,,,,,6185.066197585,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9863945578231292,,,1770734274.594389,0.9931506849315068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,6185.066636468,,,,,,,,,
,,,,,,,,0.993103448275862,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770734274.5948014,,,,,,,,,,,,,,,,,,,,,,0.9965397923875432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6185.066976753,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770734274.5951872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6185.067334628,,1,,,,,,,
