fold1/class_5/recall,fold0/class_4/f1-score,fold3/class_9/precision,fold0/confusion_matrix,fold0/class_5/precision,fold0/class_2/recall,fold0/class_4/recall,fold1/class_1/recall,fold0/class_3/precision,fold2/class_7/recall,fold1/class_9/precision,fold2/class_3/f1-score,fold2/class_6/precision,fold2/class_9/recall,fold2/class_1/precision,fold2/class_4/precision,fold1/class_0/precision,fold0/class_8/recall,fold0/class_9/precision,fold2/class_10/f1-score,fold0/class_9/recall,fold3/class_10/recall,fold4/class_4/precision,fold0/class_2/f1-score,fold3/class_7/f1-score,fold1/class_2/recall,fold4/class_5/precision,fold2/class_3/recall,_timestamp,fold1/class_7/precision,fold0/class_3/f1-score,fold3/class_9/f1-score,fold1/class_3/recall,fold2/class_7/precision,fold4/class_2/recall,fold2/class_4/f1-score,fold3/class_3/f1-score,fold2/class_8/precision,fold2/class_6/recall,fold4/class_6/recall,fold4/class_9/f1-score,fold2/class_9/precision,fold1/class_0/f1-score,fold3/class_8/recall,fold0/class_0/precision,fold1/class_3/precision,fold1/class_4/recall,fold1/class_2/precision,fold3/class_6/precision,fold1/class_8/f1-score,fold3/class_0/precision,fold4/class_6/f1-score,fold4/class_3/recall,fold0/class_10/recall,fold0/class_7/precision,fold3/class_6/f1-score,fold4/class_5/f1-score,fold4/class_1/f1-score,fold4/class_8/precision,fold3/class_1/f1-score,fold4/class_2/f1-score,fold1/class_6/recall,fold1/class_2/f1-score,fold3/class_1/precision,_step,fold2/class_1/f1-score,fold2/class_1/recall,fold0/class_0/recall,fold0/class_3/recall,fold4/class_5/recall,fold3/class_6/recall,fold3/confusion_matrix,fold3/class_7/recall,fold1/class_6/precision,fold1/class_6/f1-score,fold3/class_2/f1-score,fold4/class_7/f1-score,fold0/class_1/recall,fold2/class_10/precision,fold0/class_5/f1-score,fold3/class_4/precision,fold4/class_3/precision,fold4/class_2/precision,fold3/class_10/precision,fold2/class_0/recall,fold2/class_6/f1-score,fold4/class_7/recall,fold3/class_2/recall,fold2/class_5/precision,fold1/class_10/recall,fold1/class_3/f1-score,fold0/class_1/precision,fold1/class_1/precision,fold4/class_0/precision,fold3/class_5/recall,fold3/class_1/recall,fold0/class_0/f1-score,fold1/class_8/precision,fold2/class_5/f1-score,fold0/class_1/f1-score,fold0/class_10/f1-score,fold2/class_10/recall,fold1/class_4/precision,fold1/class_10/f1-score,fold2/class_4/recall,fold4/class_6/precision,fold4/class_4/recall,fold1/class_1/f1-score,fold0/class_10/precision,fold4/class_10/f1-score,fold4/class_10/precision,fold2/class_0/precision,fold4/class_9/recall,fold4/class_3/f1-score,fold0/class_9/f1-score,fold3/class_2/precision,fold2/class_8/recall,fold1/class_7/f1-score,fold1/class_9/f1-score,fold1/class_0/recall,fold2/class_3/precision,fold3/class_3/recall,fold2/class_8/f1-score,fold4/class_1/recall,fold3/class_5/f1-score,fold1/class_4/f1-score,fold1/class_8/recall,fold2/class_2/f1-score,fold2/class_2/recall,fold0/class_5/recall,cv5/fold_metrics,fold3/class_3/precision,fold4/class_0/recall,fold2/class_5/recall,fold0/class_7/f1-score,fold3/class_8/precision,fold4/class_1/precision,fold0/class_8/precision,fold2/class_2/precision,fold4/confusion_matrix,fold3/class_8/f1-score,fold3/class_0/f1-score,fold0/class_6/f1-score,fold3/class_4/f1-score,fold1/class_5/f1-score,fold0/class_7/recall,fold3/class_7/precision,fold4/class_4/f1-score,fold4/class_8/f1-score,fold3/class_9/recall,fold1/class_9/recall,fold4/class_8/recall,fold3/class_4/recall,fold2/class_0/f1-score,fold0/class_6/precision,fold0/class_2/precision,fold0/class_6/recall,fold0/class_4/precision,fold1/class_5/precision,fold0/class_8/f1-score,fold2/confusion_matrix,fold2/class_9/f1-score,fold2/class_7/f1-score,fold1/confusion_matrix,fold3/class_0/recall,fold1/class_10/precision,fold4/class_0/f1-score,fold1/class_7/recall,fold4/class_9/precision,fold3/class_5/precision,_runtime,fold4/class_7/precision,fold4/class_10/recall,fold3/class_10/f1-score
,,,"{'artifact_path': 'wandb-client-artifact://9go2943unn7amkplj9w3mudppqzd3jlywo919vsvxewjz8j7nzr04ibajob55juk34t8pcjjxi0j502bq3kz5l6sig5y8t8dze9y14g7excbudgk3fy3vasp3eweipi2/fold0/confusion_matrix.table.json', 'nrows': 11, 'path': 'media/table/fold0/confusion_matrix_0_0d54599314f577e0e0c4.table.json', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://pk9yyeefjpcyp1s9rvpl77c6si6yoxp1naok7duf34cr6ynfcie3z1pjds75zz8b3sz6qh02p2hpkg09dul03vfzniixuubvuev6njwx3vllsec0854ikrry46tyfwd1:latest/fold0/confusion_matrix.table.json', '_type': 'table-file', 'ncols': 12, 'sha256': '0d54599314f577e0e0c4c7c48ce67b9ad10ebcb68ec58f6c52d70d434ad7feeb', 'size': 558}",,,,,,,,,,,,,,,,,,,,,,,,,1770730211.3212886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3996.589444528,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770730211.3236353,,,,,,,,,,,,,,,,0.999926133845472,,,,,,,,,,,,,,,,,,,,1,,,0.9999630655586335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999944599361046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3996.59151026,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770730211.3242903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,0.9874213836477987,,,,,,,,0.9936708860759493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3996.59197027,,,
,,,,,0.9935064935064936,,,,,,,,,,,,,,,,,,0.996742671009772,,,,,1770730211.3246915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3996.592310607,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1770730211.3250911,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3996.592687899,,,
,0.9926470588235294,,,,,1,,,,,,,,,,,,,,,,,,,,,,1770730211.3254602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9854014598540146,,,,,,,,,,,,,3996.593066872,,,
,,,,0.9939759036144579,,,,,,,,,,,,,,,,,,,,,,,,1770730211.325817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,0.990990990990991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9880239520958084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3996.593399501,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770730211.3262293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9965635738831615,,,,,,,,,,,,0.9931506849315068,,1,,,,,,,,,,,,,,3996.593845868,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770730211.326589,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9965156794425087,,,,,,,,,,,0.9930555555555556,,,,,,,,,,,,,,,,,,,,,,,,,3996.59414559,,,
,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1770730211.3269253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3996.594493951,,,
,,,,,,,,,,,,,,,,,,1,,0.993103448275862,,,,,,,,1770730211.327258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9965397923875432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3996.594825726,,,
