fold4/class_2/recall,fold0/confusion_matrix,fold2/class_2/f1-score,fold1/class_3/recall,fold2/class_3/recall,fold0/class_3/f1-score,fold0/class_3/precision,fold3/class_2/precision,fold2/class_2/precision,fold1/confusion_matrix,fold2/class_1/precision,fold2/class_2/recall,fold3/class_0/recall,fold0/class_0/precision,fold1/class_1/recall,fold1/class_0/f1-score,fold1/class_0/precision,fold4/class_2/precision,fold2/class_3/f1-score,fold4/class_1/recall,fold0/class_2/precision,fold2/class_1/f1-score,fold0/class_0/recall,fold2/class_3/precision,fold4/class_1/precision,fold1/class_2/precision,fold2/class_0/precision,_runtime,fold0/class_0/f1-score,fold2/class_0/recall,fold0/class_1/f1-score,fold0/class_3/recall,fold3/class_0/f1-score,fold3/class_3/f1-score,fold4/class_0/precision,fold3/class_2/f1-score,fold3/class_2/recall,fold3/class_1/f1-score,_step,fold3/class_1/recall,_timestamp,fold4/class_1/f1-score,fold4/confusion_matrix,fold2/class_0/f1-score,fold0/class_1/recall,fold3/confusion_matrix,fold1/class_1/precision,fold1/class_3/precision,fold3/class_0/precision,fold3/class_3/recall,fold4/class_0/recall,fold1/class_1/f1-score,fold0/class_2/f1-score,fold4/class_3/precision,fold0/class_2/recall,fold1/class_2/recall,fold1/class_3/f1-score,fold0/class_1/precision,fold3/class_3/precision,fold4/class_3/f1-score,fold1/class_0/recall,fold4/class_3/recall,cv5/fold_metrics,fold4/class_0/f1-score,fold4/class_2/f1-score,fold2/confusion_matrix,fold3/class_1/precision,fold1/class_2/f1-score,fold2/class_1/recall
,"{'_latest_artifact_path': 'wandb-client-artifact://1riqps3l2ij3ra9kfs6gmttcvnjwi9aa530z91n10yhu4htr2pgzuj7is91cb5bhvhtbdwjfs1gi2uvj0oa3ynqcvdau1d4l3karv0o0t8lbgvu4hdo205s4eh0l9zr8:latest/fold0/confusion_matrix.table.json', 'path': 'media/table/fold0/confusion_matrix_0_efc738b35118350995bb.table.json', 'log_mode': 'IMMUTABLE', 'size': 142, '_type': 'table-file', 'nrows': 4, 'artifact_path': 'wandb-client-artifact://yez6ikedz4kmzyj97p92l1w99p8eg5la57ek0qqe6yjf14z0r2z5w23jmyhw9yrzb20ykeyzcr6cd7ca5q98y1fficjt4na4lom81spbogw92uvwqmrpcfbzbs06if8i/fold0/confusion_matrix.table.json', 'sha256': 'efc738b35118350995bbefa77481c0b7e71c4ffa8c4bf1d4d5716476e25037a2', 'ncols': 5}",,,,,,,,,,,,,,,,,,,,,,,,,,19.213237275,,,,,,,,,,,0,,1770792468.1567411,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,,,,,,,,,0.987012987012987,,,,,19.21519802,0.9934640522875817,,,,,,,,,,1,,1770792468.1587803,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,19.215338549,,,0.9709090909090909,,,,,,,,2,,1770792468.15903,,,,0.985239852398524,,,,,,,,,,,,,0.956989247311828,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0.9917355371900827,,,,,,,19.215448558,,,,,,,,,,,3,,1770792468.1592007,,,,,,,,,,,,0.9771986970684039,,0.9630818619582665,,,,,,,,,,,,,,
,,,,,0.9473684210526315,0.9201277955271565,,,,,,,,,,,,,,,,,,,,,19.215589148,,,,0.976271186440678,,,,,,,4,,1770792468.1593475,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"{'path': 'media/table/fold1/confusion_matrix_5_76d3205773920df927ba.table.json', 'log_mode': 'IMMUTABLE', 'sha256': '76d3205773920df927ba8c851897cdc4ae610bb97d6af56f02aae3878cfe4b40', 'size': 141, '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://dcg6e3jfhnt6qfad4mf47vheusmj75g5p7m1zg7nl4lilzzshay8q7whivv8w2yppqvu6lne1ztn25vaa0w7oxuy21vmonskp7qwb8ntddtbi6svdcwqnhjy5w2uiupb:latest/fold1/confusion_matrix.table.json', 'nrows': 4, 'ncols': 5, 'artifact_path': 'wandb-client-artifact://nb4lnyr4hby32rfe80mf2ul182gmdfw8e23ezaiu2wvpwrsbo0v04w6syp8jfjtehmbswj20dqiw5nrvvupfe87ly5xmiw8vf7kx73o9kdgm3f3ffw7fgtkxhh4zfn8d/fold1/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,,,28.51848679,,,,,,,,,,,5,,1770792477.461928,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.9888971132494448,0.9852507374631269,,,,,,,,,,,28.520659035,,,,,,,,,,,6,,1770792477.4642642,,,,,,,,,,,,,,,,,,,,0.9925705794947994,,,,,,,,
,,,,,,,,,,,,,,0.95,,,,,,,,,,,,,28.520757912,,,,,,,,,,,7,,1770792477.464493,,,,,,0.981549815498155,,,,,0.9655172413793104,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0.9886178861788618,,28.520934163,,,,,,,,,,,8,,1770792477.4646566,,,,,,,,,,,,,,,0.9886178861788618,,,,,,,,,,,,0.9886178861788618,
,,,0.9491525423728814,,,,,,,,,,,,,,,,,,,,,,,,28.521055735,,,,,,,,,,,9,,1770792477.464819,,,,,,,0.9333333333333333,,,,,,,,,0.9411764705882353,,,,,,,,,,,,
