fold2/class_2/precision,fold3/class_3/precision,fold0/class_8/recall,fold0/class_5/precision,fold1/class_10/recall,fold4/class_10/recall,fold1/class_1/recall,fold4/class_1/recall,fold1/class_7/recall,fold2/class_2/recall,fold1/class_4/recall,fold1/class_4/precision,fold0/class_1/recall,fold4/class_2/f1-score,fold0/class_9/f1-score,fold1/class_0/recall,fold3/class_6/f1-score,fold4/class_10/precision,fold1/class_6/f1-score,cv5/fold_metrics,fold1/class_3/f1-score,fold4/class_6/precision,fold3/class_9/recall,fold3/class_9/f1-score,fold4/class_9/f1-score,fold2/class_6/recall,fold4/class_8/precision,fold1/class_5/precision,fold4/class_2/precision,_timestamp,fold4/class_7/f1-score,fold2/class_1/f1-score,fold1/class_2/precision,fold0/class_8/precision,fold2/class_10/f1-score,fold3/class_6/precision,fold2/class_7/f1-score,_step,fold0/class_3/recall,fold3/class_6/recall,fold0/class_0/recall,fold0/class_0/f1-score,fold4/class_9/precision,fold0/class_7/f1-score,fold1/class_0/f1-score,fold1/class_2/f1-score,fold3/class_5/precision,fold0/class_9/precision,fold4/class_1/f1-score,fold3/class_4/precision,fold4/class_1/precision,fold0/class_10/f1-score,fold1/class_5/recall,fold1/class_7/f1-score,fold2/class_3/precision,fold2/class_9/f1-score,fold3/class_0/precision,fold3/class_8/f1-score,fold4/class_5/f1-score,fold0/class_10/precision,fold0/class_2/f1-score,fold2/class_8/f1-score,fold1/confusion_matrix,fold0/class_2/recall,fold4/class_3/recall,fold1/class_3/recall,fold2/class_8/precision,fold2/class_10/recall,fold2/class_4/precision,fold1/class_3/precision,fold1/class_2/recall,fold4/class_6/f1-score,fold1/class_8/f1-score,fold3/class_7/f1-score,fold3/class_1/recall,fold4/class_3/f1-score,fold0/class_4/precision,fold4/class_9/recall,fold2/class_10/precision,fold1/class_8/recall,fold1/class_5/f1-score,fold2/class_0/f1-score,fold2/class_5/precision,fold3/class_4/f1-score,fold4/class_8/recall,fold3/class_1/precision,fold0/class_7/precision,fold2/class_4/f1-score,fold3/class_10/f1-score,fold3/class_10/recall,fold0/class_1/f1-score,fold0/class_3/f1-score,fold4/class_7/recall,fold2/class_6/f1-score,fold3/confusion_matrix,fold3/class_5/f1-score,fold3/class_8/recall,fold4/class_8/f1-score,fold0/class_5/f1-score,fold0/class_6/recall,fold0/class_5/recall,fold4/class_10/f1-score,fold4/class_5/recall,fold1/class_6/precision,fold2/class_7/precision,fold1/class_9/recall,fold2/class_1/recall,fold4/class_3/precision,fold2/class_0/precision,fold3/class_9/precision,fold2/confusion_matrix,fold1/class_0/precision,fold3/class_8/precision,fold4/class_2/recall,fold4/class_4/recall,fold1/class_9/precision,fold1/class_9/f1-score,fold3/class_0/f1-score,fold0/class_0/precision,fold0/class_3/precision,fold1/class_1/precision,fold1/class_4/f1-score,fold4/class_0/precision,fold0/class_4/f1-score,fold2/class_3/recall,fold4/class_6/recall,fold3/class_2/f1-score,fold3/class_4/recall,fold2/class_5/recall,fold3/class_10/precision,fold0/class_8/f1-score,fold4/class_0/recall,_runtime,fold2/class_3/f1-score,fold0/class_6/precision,fold4/class_5/precision,fold2/class_8/recall,fold2/class_5/f1-score,fold3/class_2/precision,fold2/class_7/recall,fold0/class_10/recall,fold1/class_10/f1-score,fold4/class_0/f1-score,fold1/class_1/f1-score,fold4/class_4/precision,fold2/class_9/recall,fold0/class_6/f1-score,fold0/class_1/precision,fold0/class_7/recall,fold0/class_2/precision,fold0/confusion_matrix,fold2/class_9/precision,fold1/class_6/recall,fold2/class_6/precision,fold0/class_9/recall,fold3/class_7/precision,fold2/class_2/f1-score,fold4/class_4/f1-score,fold3/class_2/recall,fold2/class_4/recall,fold2/class_0/recall,fold4/class_7/precision,fold1/class_7/precision,fold3/class_7/recall,fold3/class_1/f1-score,fold2/class_1/precision,fold1/class_8/precision,fold3/class_3/recall,fold3/class_5/recall,fold0/class_4/recall,fold3/class_3/f1-score,fold1/class_10/precision,fold4/confusion_matrix,fold3/class_0/recall
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727099.3312793,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3838.882966608,,,,,,,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://6mkucpamwdxb45w32ep57893qp8o9b1ebc6po73kwd10vw49wi8gc2ftbvq0zsf3v0pu20k4d97hzqegpny66ffz47vezchinxwwtskir0cqj8dt4lgift7yhgkwhcw6/fold0/confusion_matrix.table.json', '_type': 'table-file', 'nrows': 11, '_latest_artifact_path': 'wandb-client-artifact://8bnn1c2jbhyp7a6ootdvfyobrx3o3id41u0ipb5g1a35ign827jjavuyuj62sywj1hnujm1wz7vnmc23bw69gjamyinw7nmttvdls2nolhsxphq18d2aag0oimqrim58:latest/fold0/confusion_matrix.table.json', 'ncols': 12, 'path': 'media/table/fold0/confusion_matrix_0_45fa42ab6633f9d80cbb.table.json', 'log_mode': 'IMMUTABLE', 'sha256': '45fa42ab6633f9d80cbbe4439e35fd53fdff5bb8a1b259028263522516ef219e', 'size': 558}",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727099.3336477,,,,,,,,1,,,1,0.9999261365734756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999852284057757,,,,,,,,,,,,,,3838.885068876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.9745222929936306,,,,,,,,,,,,,,,,,1770727099.3340518,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9870967741935484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3838.885433717,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727099.3343983,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,0.9934640522875817,,,0.987012987012987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3838.885867265,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727099.334763,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9966555183946488,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9933333333333333,,,,,,,,,,,,,3838.886137466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727099.335117,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9852941176470589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.988929889298893,,,,,,,,,3838.886494324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9925925925925926,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1770727099.3354669,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.996996996996997,,0.9940119760479041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3838.886875082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727099.3359406,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.993103448275862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3838.887396359,,1,,,,,,,,,,,,0.9965397923875432,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727099.336331,,,,,,,,8,,,,,,0.993103448275862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9863013698630136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3838.887632386,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727099.336614,,,,1,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3838.887978756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.9965397923875432,,,,,,,,,,,,,,,1770727099.3369167,,,,,,,,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3838.888281013,,,,,,,,,,,,,,,,,,,,,,0.993103448275862,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727099.337211,,,,,,,,11,,,,,,,,,,,,,,0.9945115257958288,,,,,,,,0.9977973568281938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3838.888573726,,,,,,,,0.9912472647702407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727378.3702335,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'sha256': 'a94f9aada1a019a9390788d86b914bb7bca82e5fab3df79b569b3f44539d26c1', 'size': 558, '_latest_artifact_path': 'wandb-client-artifact://aywbhfg4z09rof2rlolb9b5t5qnbjhgk79be0sd6kjzvsvofpzut55tec0n8jg1aaufhcu2a6jxyge4t4lsdz39i695jngaks6umsxdshks3olglt7yzlqo73f9f52hl:latest/fold1/confusion_matrix.table.json', 'ncols': 12, '_type': 'table-file', 'nrows': 11, 'path': 'media/table/fold1/confusion_matrix_12_a94f9aada1a019a93907.table.json', 'artifact_path': 'wandb-client-artifact://zxer67990y1ioszdlgzmrpb80m44aanwmecc83cgcddfea8296261fo5jwqb647ejg95pxsp46uwmqdo7h6fl31yzoazkkrxse2eq2n2mds7q9349anfu1satsbpfoqh/fold1/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4117.921734424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.9999815327793167,,,,,,,,,,,,,,1770727378.3717563,,,,,,,,13,,,,,,,0.9999815327793167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999815327793167,,,,,,,,,,,,,,,,,,,,,4117.923212363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.99375,,,,,,,,,,,,,,,,,,,,,,,1770727378.372054,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,4117.923378854,,,,,,,,,,,0.9968652037617555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727378.3723047,,,1,,,,,15,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4117.92361128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0.9967845659163987,,,,,,,,,1770727378.3726358,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0.9935897435897436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4117.924111138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1770727378.3730454,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,4117.924468013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1770727378.3733928,,,,,,,,18,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4117.924811063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.9903536977491961,,,,,,,,,,,1770727378.3737495,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9871794871794872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4117.925143886,,,,,,,,,,,,,,,,,,,,0.9935483870967742,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1770727378.374077,,,,,,,,20,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4117.92546166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727378.374398,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9908814589665653,,,,,,,0.9939024390243902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4117.925800916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9878787878787879,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727378.3747387,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,4117.926071148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.9956236323851203,,,,,,,,,,,,,,,,,,,,,,,,,1770727378.3749914,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4117.926338635,,,,,,,,,0.9978070175438597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727584.5344336,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', '_type': 'table-file', 'sha256': 'e4b394dbc4e0a237ae4fa608231d206b9b9d6562b9cd4e5174b99f6ec549e294', 'path': 'media/table/fold2/confusion_matrix_24_e4b394dbc4e0a237ae4f.table.json', 'size': 558, 'artifact_path': 'wandb-client-artifact://0n4fhqmcs2pkkky9z4mnqoe29e9zdsih170ehqlb5xjhts85m051secx7w5oxrugt01bv63t09brh79llyekgichwltzgmr5ikho9thiu69qxzeiptrjfbbe4mwcsjoe/fold2/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://e6qylj5k9r06tychufw3e4gi10bojctcewvokyjpr5fdrxhupzvn0segcmcd05rp8xgwkb4knl68z9e3bn5dkdvtqy4p3th7kyswbjgxup12u5rs82rrzly8uko1t2py:latest/fold2/confusion_matrix.table.json', 'ncols': 12, 'nrows': 11}",,,,,,,,,,,,,,,,,,,,,,4324.086110326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727584.5364032,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999353330808244,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998706745247289,,,,,,,,,,,,,,,,,,,,,,,,4324.087806633,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727584.5367348,,0.9932885906040269,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4324.088186597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9866666666666667,,,,,,,,
0.9815950920245399,,,,,,,,,0.9937888198757764,,,,,,,,,,,,,,,,,,,,1770727584.5371175,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4324.088513784,,,,,,,,,,,,,,,,,,,,,,,,0.9876543209876543,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727584.5374696,,,,,,,,28,,,,,,,,,,,,,,,,,0.9941176470588236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.976878612716763,,,,,,,,4324.088856669,0.9854227405247813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727584.5378213,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0.9897610921501706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4324.089205726,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9797297297297297,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727584.5381327,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9935483870967742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,4324.089502822,,,,,0.9967637540453075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0.9724137931034482,,,,1770727584.5385246,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.986013986013986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4324.090027044,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727584.5389497,,,,,,,0.9931972789115646,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4324.090336431,,,,,,,0.9864864864864865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727584.5393124,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,0.9770491803278688,,,,,0.9675324675324676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4324.09068777,,,,0.9867549668874173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727584.53963,,,,,,,,34,,,,,,,,,,,,,,,,,,0.9929577464788732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4324.091022664,,,,,,,,,,,,,0.986013986013986,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727584.5399792,,,,,0.9965317919075144,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9953810623556582,,,,,,,,,,,0.9976851851851852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4324.091355338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770727781.6201842,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'size': 558, '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://e1y9lm98c5s3uq66viizx3ikx25cx3wcwuunnc0qm1vuvxa675emxelpxutnfz1x5a7bm395k68a6wbyt3loib1ce93dthdni4cvxz1nb3xll21vi990yoe57ur2elma:latest/fold3/confusion_matrix.table.json', 'sha256': '6ccd90359dec9391c74c2fbd9f927ed86f6d4d3d3e982aaee1d27b909832d1ef', 'nrows': 11, 'path': 'media/table/fold3/confusion_matrix_36_6ccd90359dec9391c74c.table.json', 'artifact_path': 'wandb-client-artifact://rohsxflekgsrd3fsstitkggr3cs9891kzkcojw7807obdy5qd3fvd26rwy4fgicpotmc9uwuqj1m6swn2jo57oqqc4vohpeviduj547z588sem21vjg0f3ddnqzfixo2/fold3/confusion_matrix.table.json', 'ncols': 12}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4521.171843874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
