fold2/class_0/precision,fold0/class_0/precision,fold2/class_2/recall,fold3/class_1/recall,fold0/class_3/precision,fold3/class_3/precision,fold4/class_1/recall,fold0/class_3/recall,fold2/class_0/f1-score,fold4/class_1/precision,fold1/class_3/f1-score,fold3/class_2/f1-score,fold0/class_2/precision,fold4/class_2/precision,fold4/class_0/f1-score,_step,_runtime,fold2/class_1/f1-score,fold0/class_0/f1-score,fold2/class_3/recall,fold4/class_1/f1-score,fold1/class_1/precision,fold2/class_1/precision,fold2/class_3/precision,fold1/class_0/precision,fold1/class_1/f1-score,fold0/class_1/f1-score,fold1/class_3/recall,fold2/confusion_matrix,fold3/class_1/f1-score,fold1/class_2/precision,fold1/class_2/f1-score,fold3/class_3/recall,fold0/class_1/recall,fold0/class_2/recall,fold0/confusion_matrix,fold1/class_0/f1-score,fold3/class_2/recall,fold3/class_3/f1-score,fold4/class_3/f1-score,fold2/class_1/recall,fold3/class_0/precision,fold1/class_1/recall,fold4/class_3/precision,fold3/class_0/recall,fold2/class_2/f1-score,fold1/confusion_matrix,cv5/fold_metrics,fold2/class_0/recall,fold4/class_3/recall,fold0/class_0/recall,fold3/class_1/precision,fold4/class_0/recall,fold0/class_3/f1-score,fold1/class_3/precision,fold3/class_0/f1-score,_timestamp,fold2/class_2/precision,fold3/confusion_matrix,fold4/class_2/f1-score,fold0/class_1/precision,fold0/class_2/f1-score,fold1/class_0/recall,fold4/class_2/recall,fold4/class_0/precision,fold3/class_2/precision,fold4/confusion_matrix,fold2/class_3/f1-score,fold1/class_2/recall
,,,,,,,,,,,,,,,0,16.278927995,,,,,,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://u53bbyy5rhl1mn860vu6shcjzg8nieo8i470jfqokyi5lrq0dotd2gg5tjghtgxmwbcn0r4550okugk2a8pbku0ks7pkbby4xox8egjw35tvaffcitr6ru5238zji45o:latest/fold0/confusion_matrix.table.json', 'nrows': 4, 'ncols': 5, 'artifact_path': 'wandb-client-artifact://0b1mcl5adptdzvmhlj4dgkb40ksor49cbs5bxye22l93hmhvc680gzd3ktmv2adiko12auuokguncgz6riwjjtqp7dthvprnx0hgtkkl2tp9h6jurpeo6my2su2a6xo8/fold0/confusion_matrix.table.json', '_type': 'table-file', 'sha256': '95c2a2b1a29261d035f0710d9062bea8119a73339fc2bbe090366a057b6c4578', 'size': 142, 'path': 'media/table/fold0/confusion_matrix_0_95c2a2b1a29261d035f0.table.json'}",,,,,,,,,,,,,,,,,,,,,1770717021.6001108,,,,,,,,,,,,
,0.9903225806451613,,,,,,,,,,,,,,1,16.280894221,,0.9935275080906149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9967532467532467,,,,,,1770717021.6026347,,,,,,,,,,,,
,,,,,,,,,,,,,,,2,16.281227697,,,,,,,,,,0.979890310786106,,,,,,,0.988929889298893,,,,,,,,,,,,,,,,,,,,,,,1770717021.6032155,,,,0.9710144927536232,,,,,,,,
,,,,,,,,,,,,0.991869918699187,,,3,16.281520135,,,,,,,,,,,,,,,,,,0.9791332263242376,,,,,,,,,,,,,,,,,,,,,,1770717021.6035557,,,,,0.9854604200323102,,,,,,,
,,,,0.9523809523809523,,,0.9491525423728814,,,,,,,,4,16.281786441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9507640067911715,,,1770717021.6038404,,,,,,,,,,,,
,,,,,,,,,,,,,,,5,28.02761444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'ncols': 5, 'nrows': 4, 'sha256': '373c85b8ff0267f0bd0664c0960c9ba0b3b6945310edc33c0b047f18a0dcf6dc', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://169kmwjhm0pgznyj6b7kci85852fuwahvm8xcd8hl169cbm5sjgxxbbn8k905rmawwjz3p2dhxw3wpnr05b0zjzd4ka5medmrie6pdwgfh2liirggw3w2pgkojr2wj71:latest/fold1/confusion_matrix.table.json', '_type': 'table-file', 'size': 142, 'path': 'media/table/fold1/confusion_matrix_5_373c85b8ff0267f0bd06.table.json', 'artifact_path': 'wandb-client-artifact://fab09iieqtx89rtfekhlgehfow6bcas83wcmrqn2zg4ccwr4ycxl23fso7znxlwpa9cknevmx02a5muwet7oc2z8ge3k5zydqe3pg4wffqbgfcevsyod4rywuehlfkhn/fold1/confusion_matrix.table.json'}",,,,,,,,,,1770717033.3492508,,,,,,,,,,,,
,,,,,,,,,,,,,,,6,28.029341554,,,,,,,,0.9881656804733728,,,,,,,,,,,,0.9903632320237212,,,,,,,,,,,,,,,,,,,,1770717033.3511782,,,,,,0.9925705794947994,,,,,,
,,,,,,,,,,,,,,,7,28.029641725,,,,,0.985663082437276,,,,0.9838998211091234,,,,,,,,,,,,,,,,,0.9821428571428571,,,,,,,,,,,,,,1770717033.3516073,,,,,,,,,,,,
,,,,,,,,,,,,,,,8,28.02988126,,,,,,,,,,,,,,0.9983108108108109,0.9792874896437448,,,,,,,,,,,,,,,,,,,,,,,,,1770717033.3519275,,,,,,,,,,,,0.9609756097560975
,,,,,,,,,,0.9371196754563894,,,,,9,28.030272735,,,,,,,,,,,0.9788135593220338,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8988326848249028,,1770717033.3522322,,,,,,,,,,,,
