_step,fold2/class_0/f1-score,fold4/confusion_matrix,fold1/class_1/precision,fold0/class_0/recall,fold1/class_1/f1-score,fold4/class_1/f1-score,fold4/class_0/precision,fold0/class_1/precision,fold3/class_1/precision,fold1/class_0/precision,fold2/class_1/f1-score,fold3/class_0/f1-score,fold0/confusion_matrix,fold2/confusion_matrix,fold4/class_1/recall,fold2/class_0/recall,fold3/class_0/precision,fold3/class_1/recall,fold4/class_1/precision,_timestamp,fold0/class_0/f1-score,fold0/class_1/recall,fold1/class_1/recall,fold3/class_1/f1-score,fold0/class_1/f1-score,fold2/class_0/precision,fold3/confusion_matrix,cv5/fold_metrics,fold1/confusion_matrix,_runtime,fold2/class_1/recall,fold3/class_0/recall,fold4/class_0/f1-score,fold4/class_0/recall,fold2/class_1/precision,fold0/class_0/precision,fold1/class_0/recall,fold1/class_0/f1-score
0,,,,,,,,,,,,,"{'sha256': '1abbea8203be05885f044b6afb8edcd62025a2e99b45f148a04f4d25de0bd5b0', '_latest_artifact_path': 'wandb-client-artifact://hjzq2ywe1yen63gz3c2zutf4amw3dmaj7jeaw4sok0zj8gc0vbc574p69ym8e5chinmgfwgcua1197ovctzwjuycn7k9a7vyk6lniy9k3y3481cnofdo0i6613cysn14:latest/fold0/confusion_matrix.table.json', 'nrows': 2, 'size': 83, 'artifact_path': 'wandb-client-artifact://09j1avdxpf9n940zjjjaahr7kvzlcwewg1qgep7reglsa293aj7tbteijybxigo9lpv0cbbepj2kowssobs6rl9z2t1bsox5jo31ua0bbvtwgz5kjbya2nhfen6dj5db/fold0/confusion_matrix.table.json', 'ncols': 3, 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'path': 'media/table/fold0/confusion_matrix_0_1abbea8203be05885f04.table.json'}",,,,,,,1770736111.4532282,,,,,,,,,,3686.707317227,,,,,,,,
1,,,,0.9998489045580459,,,,,,,,,,,,,,,,1770736111.4545681,0.9957615428987033,,,,,,,,,3686.708495086,,,,,,0.9917074632830453,,
2,,,,,,,,0.9998955322631194,,,,,,,,,,,,1770736111.4550076,,0.9942520775623269,,,0.997065819400316,,,,,3686.708688142,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,1770736392.3230321,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'ncols': 3, 'nrows': 2, '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://6bxuwb2eniou8ebkqjkew8chon64j1akr8x13g7soarq3gz1e9j1yxj3hatt3cldu0f8ep3wr3prw2h1pmkzujz2dt4vwsqv72z1jpidy9mrhzvyaqihstyyfou0xeiu/fold1/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://w8d3f9uctq1woxkzyibdob4rwl5o824pb0q2i02bvbj2i5t4wia2dz0clzglqloib7s30ntblv7w2lshyn5ozwri4ido4fyzmu8anhi4698eqckgc8krjkm6t67n8job:latest/fold1/confusion_matrix.table.json', 'path': 'media/table/fold1/confusion_matrix_3_9d79364b3b2044b21f33.table.json', 'sha256': '9d79364b3b2044b21f334a9355b50edd1dd97f96e21a2cbf2d87f988e8b68e62', 'size': 83}",3967.576936634,,,,,,,,
4,,,,,,,,,,0.9909662607306847,,,,,,,,,,1770736392.3245435,,,,,,,,,,3967.578405476,,,,,,,1,0.9954626356822341
5,,,1,,0.9968564928185624,,,,,,,,,,,,,,,1770736392.324924,,,0.9937326869806095,,,,,,,3967.578668483,,,,,,,,
6,,,,,,,,,,,,,,"{'sha256': '8e765ee8a19ed5f63727a767fd19552f089d31302a4afc522d45a71f2c01aa37', 'artifact_path': 'wandb-client-artifact://wtwnodig26lfnopoehbtke08gcn5jj9odnl008399e57p6l4mkzmfnpfjafoh5waoncp9npfkphuimhhmf2bf7sf0xr534qfsckf6ut9ytj036czpcwnx3bdy4x78b4b/fold2/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://5lp4p7qctftz2ozl424uwpc3dvzhtjdol566esdy4ewki1yjmvp8f56n9n9pxdpahh4qvj1y8o2ibnlziqzzxch2uxlw1wtde7qses84cvzjqy75fjp6sybfbh9tbwej:latest/fold2/confusion_matrix.table.json', 'size': 83, 'nrows': 2, 'path': 'media/table/fold2/confusion_matrix_6_8e765ee8a19ed5f63727.table.json', 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'ncols': 3}",,,,,,1770736757.5161402,,,,,,,,,,4332.770001236,,,,,,,,
7,0.994585651977741,,,,,,,,,,,,,,,0.9997480346704294,,,,1770736757.5173652,,,,,,0.9894763092269326,,,,4332.771076079,,,,,,,,
8,,,,,,,,,,,0.9962449149890477,,,,,,,,,1770736757.517598,,,,,,,,,,4332.771211821,0.9926898558758315,,,,0.999825528648196,,,
9,,,,,,,,,,,,,,,,,,,,1770737063.6188743,,,,,,,"{'_type': 'table-file', 'nrows': 2, 'artifact_path': 'wandb-client-artifact://7gluod9tts2cz2nz100i9efwbwff5c1yoapnu7nbq8uk9b3a9jrb3va5lct0ni42sovjb0f5pey4hg6606votdozlsulm7hjmz08ngfpwqzy1fg2ii046qp8a9hx0es1/fold3/confusion_matrix.table.json', 'path': 'media/table/fold3/confusion_matrix_9_b7d30ab228c787056cd3.table.json', 'sha256': 'b7d30ab228c787056cd397817fdbefe7abeda97f051bfe7130232cdf5017f2f3', 'size': 83, 'ncols': 3, '_latest_artifact_path': 'wandb-client-artifact://6q2nt91cqfgh6in2roq9jxt2i0vic4sjcbds60s8ldbeg8wdl31p8lrzl828pxng6s0xsebihrjm11cjh7myj54utblgjtrytsti14fy9i7102cq4r8lvdomcfylxafz:latest/fold3/confusion_matrix.table.json', 'log_mode': 'IMMUTABLE'}",,,4638.872658387,,,,,,,,
10,,,,,,,,,,,,0.9960591380305731,,,,,0.9922980745186296,,,1770737063.620013,,,,,,,,,,4638.873742778,,0.9998488208022576,,,,,,
11,,,,,,,,,0.9998955177097482,,,,,,,,,0.9946646341463414,,1770737063.6202679,,,,0.9972732167358493,,,,,,4638.87392342,,,,,,,,
12,,"{'artifact_path': 'wandb-client-artifact://ju6qoe6g8yl40jpesr6swxbgesp2jlsf8uqwbacoj2k9ucu2bqnnouwz1iwwgwrrgjpwxixf2en7frbpqdyewp5aee0wushmt9wujtb4p3o6ixv5iotojzo60aobaf20/fold4/confusion_matrix.table.json', 'ncols': 3, 'nrows': 2, 'size': 84, '_latest_artifact_path': 'wandb-client-artifact://t7svsnbei2ftlf7bx4pv3nfwsjgsuvgmrt721jtfwibpgzlt061fgr4eq26g6pfvsj01ijzq37x0pr40b5jr7dlmclovhdd6ckuywu9w0rhv69nigc06r9vwiphpkcpm:latest/fold4/confusion_matrix.table.json', '_type': 'table-file', 'sha256': '0e64761cc74292a81816f7f5b7b02f4697debbcf6761286a95eca561ebb9723d', 'path': 'media/table/fold4/confusion_matrix_12_0e64761cc74292a81816.table.json', 'log_mode': 'IMMUTABLE'}",,,,,,,,,,,,,,,,,,1770737239.0736816,,,,,,,,,,4814.327618954,,,,,,,,
13,,,,,,,0.9917823320138297,,,,,,,,,,,,,1770737239.0755453,,,,,,,,,,4814.329276032,,,0.9945981256752343,0.9974299536383794,,,,
14,,,,,,0.9962683328994185,,,,,,,,,0.9943181818181818,,,,0.9982261486556989,1770737239.0757878,,,,,,,,,,4814.32940493,,,,,,,,
