fold3/class_3/precision,fold4/class_1/f1-score,cv5/fold_metrics,fold0/class_0/recall,fold4/class_3/f1-score,fold2/class_1/f1-score,fold3/class_3/f1-score,fold0/class_2/f1-score,fold1/class_3/recall,fold3/class_0/f1-score,fold4/class_1/recall,fold3/class_2/recall,fold0/class_2/precision,_step,fold2/class_3/recall,fold4/class_0/recall,fold3/class_1/precision,fold3/class_2/f1-score,fold0/class_3/recall,fold4/class_3/precision,fold2/class_2/f1-score,fold2/class_1/precision,fold1/class_2/recall,fold0/class_1/precision,fold0/class_1/recall,fold0/class_1/f1-score,fold1/class_2/f1-score,fold3/class_2/precision,fold3/class_1/recall,fold4/class_2/recall,fold4/class_0/precision,fold3/confusion_matrix,fold2/class_3/precision,fold0/confusion_matrix,fold4/class_2/f1-score,fold0/class_3/f1-score,fold3/class_3/recall,fold1/confusion_matrix,fold3/class_0/precision,fold1/class_3/f1-score,fold1/class_3/precision,fold2/class_0/precision,fold0/class_0/f1-score,fold4/class_3/recall,fold4/class_2/precision,fold1/class_1/precision,_timestamp,fold1/class_1/f1-score,fold2/confusion_matrix,fold2/class_2/precision,fold3/class_1/f1-score,fold0/class_3/precision,fold2/class_2/recall,fold1/class_0/recall,fold2/class_0/recall,fold1/class_0/precision,fold2/class_3/f1-score,fold4/class_0/f1-score,fold0/class_2/recall,fold0/class_0/precision,fold4/confusion_matrix,fold1/class_2/precision,fold1/class_1/recall,fold3/class_0/recall,fold1/class_0/f1-score,fold2/class_0/f1-score,fold2/class_1/recall,fold4/class_1/precision,_runtime
,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://76ljkm3ircbm0367n77wuyhjxmxk3qpuyde7scs0hb40sxrofn09dpbirpj9t7hlfbzc4jlnk4kvqgoaorgjrz3j9o8gaavd8s2ucdqh4fuihzyf28tczeoyhkp9p4a6:latest/fold0/confusion_matrix.table.json', 'ncols': 5, 'path': 'media/table/fold0/confusion_matrix_0_2f1b815ea27e0442a54b.table.json', 'sha256': '2f1b815ea27e0442a54b5d6cd0c11c706dea424e16bb379c3a42eb18dc00e22f', 'artifact_path': 'wandb-client-artifact://dbnhx8dban1s34gtjbhakfo3sde6x31aiikeg2viu9mbpjebarv6p5r84wwqvj6zy4oubpvhe2jt1wsdvhk8rj966e326p8rfc7x70sxoxyipvw19bg914xj4g7ys8tj/fold0/confusion_matrix.table.json', 'nrows': 4, '_type': 'table-file', 'log_mode': 'IMMUTABLE', 'size': 146}",,,,,,,,,,,,,1770720035.5678875,,,,,,,,,,,,,,,,,,,,,,407.947435719
,,,0.9990723562152134,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99837775202781,,,,1770720035.569995,,,,,,,,,,,,,0.9976841130152848,,,,,,,,,407.949066327
,,,,,,,,,,,,,2,,,,,,,,,,0.9926354550236718,0.9947285187137586,0.9936808846761453,,,,,,,,,,,,,,,,,,,,,1770720035.5705805,,,,,,,,,,,,,,,,,,,,,,407.949586071
,,,,,,,0.9977027337468413,,,,,0.9995397008055236,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770720035.5710068,,,,,,,,,,,,0.9958725063058932,,,,,,,,,,407.949999654
,,,,,,,,,,,,,4,,,,,0.9951573849878934,,,,,,,,,,,,,,,,,0.9937137330754352,,,,,,,,,,,1770720035.571457,,,,,0.9922742636407532,,,,,,,,,,,,,,,,,407.950409991
,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'nrows': 4, 'path': 'media/table/fold1/confusion_matrix_5_0e7645eb67937949ce22.table.json', 'sha256': '0e7645eb67937949ce22503d1cff179058072969afa87b57d583f30b34a8c7ff', 'artifact_path': 'wandb-client-artifact://lqfud5bxwr4w74n96ymktqnoftfhxfl9pyvthu7luzvpis0szoxafdmuswswgg6tccw4hvo17ibvhctj9284ibf5zu2uuw4gtqzup33c2pe9uarx02789ow4k51ch98m/fold1/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://fno80vvnzuuixmca4hukngt5nbnpdikdofqykh8jfwskk3ll930z7qa8zbq7ytncsofapumuzq2jn2si5mkxtsxurycmft89mkm742ojy7rk5qdlznb0qu3vbqwkd7mw:latest/fold1/confusion_matrix.table.json', 'ncols': 5, 'size': 146, '_type': 'table-file'}",,,,,,,,,1770720387.2404754,,,,,,,,,,,,,,,,,,,,,,759.619539355
,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770720387.2418797,,,,,,,0.9976650392697941,,0.9961848240779991,,,,,,,,,0.9969243822250504,,,,759.620864741
,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9989690721649485,1770720387.2422388,0.9938461538461538,,,,,,,,,,,,,,,0.9887755102040816,,,,,,759.621234103
,,,,,,,,,,,,,8,,,,,,,,,0.9993031358885017,,,,0.998259658893143,,,,,,,,,,,,,,,,,,,,1770720387.2426686,,,,,,,,,,,,,,,0.9972183588317107,,,,,,,759.621776949
,,,,,,,,0.9909200968523002,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,0.9897218863361548,0.9885265700483091,,,,,,1770720387.243193,,,,,,,,,,,,,,,,,,,,,,759.622228624
,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770720859.7755384,,"{'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://0prnspty6u2a4g0ry90jt48swc56hqes0trbimddzhbcsmyicra3umjbppu3tmoe1250xua0pjn6uvkaja5102cm9d14e8mww61vpeb5wpof5tf6gp6118jfh9av1u82/fold2/confusion_matrix.table.json', 'nrows': 4, 'path': 'media/table/fold2/confusion_matrix_10_a0eb5112f2c36a50b71f.table.json', 'sha256': 'a0eb5112f2c36a50b71f9e69e6b630e8e7d4f2e566ddd572634caf8c7d4ecb87', '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://12e6gmg3pkhcr95b69gg2zymjge5yows6g3121wm4okuk4fqn1n64iud4axfi2vy9gfcxuot4walu2amx4pehdto4qzexvyg2zm7nrl54bfvex14fw63lss1o1liaspq:latest/fold2/confusion_matrix.table.json', 'ncols': 5, 'size': 146}",,,,,,,,,,,,,,,,,,,,1232.154791437
