fold4/class_0/f1-score,fold3/class_3/recall,fold4/class_4/recall,fold2/class_5/f1-score,fold2/class_6/f1-score,fold3/class_10/f1-score,fold4/class_9/f1-score,fold4/class_9/recall,fold0/class_5/recall,fold2/class_0/precision,fold3/class_0/f1-score,fold2/class_10/recall,fold2/class_3/f1-score,fold3/class_5/precision,fold2/class_8/precision,fold1/class_10/precision,fold3/class_4/recall,fold3/class_8/recall,fold3/class_3/f1-score,fold1/class_9/precision,fold4/confusion_matrix,fold4/class_10/f1-score,fold4/class_1/f1-score,fold0/class_5/precision,fold0/class_5/f1-score,fold0/class_3/precision,fold4/class_2/f1-score,fold0/class_9/f1-score,fold0/class_0/precision,fold2/class_1/precision,fold0/class_4/f1-score,fold3/class_10/precision,fold4/class_7/f1-score,fold2/class_10/precision,fold3/class_2/recall,fold1/class_7/recall,fold0/class_3/f1-score,fold1/class_4/recall,fold3/class_1/precision,fold4/class_10/precision,fold2/class_3/precision,fold1/class_8/precision,fold0/class_8/precision,fold4/class_5/precision,fold1/class_9/f1-score,fold2/class_3/recall,fold1/confusion_matrix,fold3/class_3/precision,fold1/class_1/f1-score,fold3/class_0/precision,fold2/class_7/precision,fold3/class_5/f1-score,fold0/class_7/f1-score,fold0/class_1/f1-score,fold0/class_6/recall,fold2/class_4/precision,fold1/class_8/f1-score,_timestamp,fold0/class_2/precision,fold3/class_7/precision,fold4/class_4/precision,fold0/class_8/f1-score,fold0/class_6/f1-score,fold2/class_1/recall,fold0/class_10/f1-score,fold0/class_6/precision,fold0/class_1/precision,fold2/class_10/f1-score,fold0/class_7/precision,fold1/class_6/f1-score,fold4/class_0/recall,fold0/class_8/recall,fold3/class_1/f1-score,fold2/class_0/f1-score,fold0/class_0/f1-score,fold2/class_6/precision,fold3/class_9/recall,fold0/class_10/precision,fold3/class_6/recall,fold1/class_7/f1-score,fold1/class_2/f1-score,fold2/confusion_matrix,fold3/confusion_matrix,_runtime,fold1/class_5/precision,fold2/class_7/recall,fold3/class_8/precision,fold3/class_0/recall,fold2/class_4/f1-score,fold0/class_10/recall,fold0/class_7/recall,fold4/class_6/f1-score,fold1/class_3/precision,fold1/class_4/f1-score,fold1/class_0/f1-score,fold2/class_2/recall,fold2/class_5/recall,fold3/class_4/f1-score,fold2/class_0/recall,fold1/class_10/recall,fold1/class_2/precision,fold4/class_10/recall,fold0/class_2/recall,fold3/class_1/recall,fold1/class_6/recall,fold4/class_3/f1-score,fold3/class_6/f1-score,fold3/class_7/recall,fold4/class_8/f1-score,fold4/class_0/precision,fold1/class_5/f1-score,fold3/class_2/precision,fold2/class_5/precision,fold0/class_4/recall,fold0/confusion_matrix,fold4/class_7/precision,fold1/class_0/recall,fold1/class_0/precision,fold3/class_8/f1-score,fold1/class_5/recall,fold2/class_2/f1-score,fold4/class_4/f1-score,fold3/class_4/precision,cv5/fold_metrics,fold0/class_9/precision,fold1/class_3/recall,fold1/class_10/f1-score,fold3/class_9/f1-score,fold3/class_2/f1-score,fold4/class_1/recall,fold3/class_6/precision,fold2/class_8/f1-score,fold2/class_9/f1-score,fold2/class_4/recall,fold0/class_9/recall,fold3/class_10/recall,fold4/class_1/precision,fold0/class_1/recall,fold0/class_4/precision,fold1/class_4/precision,fold1/class_8/recall,fold2/class_2/precision,fold2/class_9/recall,fold4/class_3/recall,fold2/class_8/recall,fold2/class_6/recall,fold4/class_5/f1-score,fold1/class_6/precision,fold1/class_9/recall,fold4/class_8/recall,fold0/class_0/recall,fold4/class_7/recall,fold4/class_6/recall,fold1/class_3/f1-score,fold3/class_5/recall,fold1/class_7/precision,fold2/class_1/f1-score,fold4/class_2/precision,_step,fold4/class_3/precision,fold4/class_9/precision,fold1/class_1/precision,fold3/class_9/precision,fold0/class_2/f1-score,fold1/class_2/recall,fold4/class_2/recall,fold2/class_9/precision,fold2/class_7/f1-score,fold4/class_5/recall,fold0/class_3/recall,fold1/class_1/recall,fold4/class_8/precision,fold4/class_6/precision,fold3/class_7/f1-score
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770917997.1209311,,,,,,,,,,,,,,,,,,,,,,,,,,5793.914653795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'ncols': 12, 'sha256': 'e7a67ff4bcfa27f0cea2695e9ac9929a9306ea9fb39aff8a09f4c3b7966d04db', 'size': 568, 'nrows': 11, 'path': 'media/table/fold0/confusion_matrix_0_e7a67ff4bcfa27f0cea2.table.json', 'artifact_path': 'wandb-client-artifact://0xso47c1ybs5xqz5ghc153cx6bkrrazc1llfqjemzn5z8l333q20ymgaf0a41xx7v3xmoa0rq6ymvqoa2xalbqpgsiv5srufq16k0qd8yy2x7frxd3zaf1qe22dq7k2o/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://s1c949rgzbk8vcq8x97irkrq8uwso0qgf4ayqxx0wx1uvv34onn1nyx3y4lj7vprgareh6hckp5or17b3m6madl3c58h5dhhqmzimjrvt9cxsm0jkcvd0v0ryg8s1mpr:latest/fold0/confusion_matrix.table.json', '_type': 'table-file'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9994155105054296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770917997.1224995,,,,,,,,,,,,,,,,,0.9996769081649922,,,,,,,,,5793.915950097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999384425977224,,,,,,,,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9981834695731153,,,,1770917997.122747,,,,,,,,,0.9963735267452403,,,,,,,,,,,,,,,,,5793.916142979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770917997.122913,1,,,,,,,,,,,,,,,,,,,,,,,,,5793.916285502,,,,,,,,,,,,,,,,,,,0.9962894248608535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,0.9981412639405205,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0.9990412272291467,,,,,,,,,,,0.9990412272291467,,,,,,,,,,,,,,,,,,,,,1770917997.1230607,,,,,,,,,,,,,,,,,,,,,,,,,,5793.916414638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,0.9990412272291467,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1770917997.123202,,,,,,,,,,,,,,,,,,,,,,,,,,5793.916512512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
,,,,,,,,0.9991445680068435,,,,,,,,,,,,,,,1,0.9995721009841677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770917997.1233358,,,,,,,,,,,,,,,,,,,,,,,,,,5793.916699704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9990147783251232,,,1770917997.123468,,,,,0.9995071463775259,,,1,,,,,,,,,,,,,,,,,,5793.916765124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9975161450571287,,,,,1770917997.123594,,,,,,,,,,,0.9990049751243781,,,,,,,,,,,,,,,5793.916901424,,,,,,,0.996031746031746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9990601503759399,,,,,,,,,,,,,,,1770917997.123726,,,,0.9990601503759399,,,,,,,,,,0.9990601503759399,,,,,,,,,,,,5793.917049899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770917997.123841,,,,,,,,,,,,,,,,,,,,,,,,,,5793.917155538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770917997.1239562,,,,,,,0.9974945192608832,,,,,,,,,,,,,0.9993724505804832,,,,,,5793.917272029,,,,,,0.9956236323851203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'path': 'media/table/fold1/confusion_matrix_12_f962b7fcbc8d05b59328.table.json', 'artifact_path': 'wandb-client-artifact://c8a70w8x8h2ol4fd8sfg5vh9h6s078onf2o0pqjfrl33t0w8aocq112gztkm6q45hgplbrpz5g4psxscb6ox28r23hasup53b16rfxntnmjlgadvatrt2a3gyxn7261j/fold1/confusion_matrix.table.json', 'sha256': 'f962b7fcbc8d05b5932828af6cd7a72312fe05f1b2b9d6406c22a2606112819b', '_type': 'table-file', 'nrows': 11, 'size': 565, 'log_mode': 'IMMUTABLE', 'ncols': 12, '_latest_artifact_path': 'wandb-client-artifact://r2dqc0jmdvcrsqcbvd2d0r3ag0xdh7hr7cqc1dzgv27t78c8fzl7uzpe1pu8xmyjlhijpd5wqko36fo6lj22lmlaa7v7jz9q8mrdzuf2uko259lrt9cmjbxh0lef7w8n:latest/fold1/confusion_matrix.table.json'}",,,,,,,,,,,1770918396.9621024,,,,,,,,,,,,,,,,,,,,,,,,,,6193.755684361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770918396.9634979,,,,,,,,,,,,,,,,,,,,,,,,,,6193.757096202,,,,,,,,,,,0.9998460828074496,,,,,,,,,,,,,,,,,,,,,,0.9996922129886119,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9986625055728935,,,,,,,,,1770918396.9638448,,,,,,,,,,,,,,,,,,,,,,,,,,6193.757173154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,0.9973285841495992,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770918396.9640002,,,,,,,,,,,,,,,,,,,,,,,0.997948717948718,,,6193.757391497,,,,,,,,,,,,,,,,,0.9959058341862845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770918396.9641464,,,,,,,,,,,,,,,,,,,,,,,,,,6193.757475965,,,,,,,,,0.9963269054178145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9981600735970562,,,,,16,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9989417989417989,,,,,,,,,,,,,,,,,,,,1770918396.9642882,,,,,,,,,,,,,,,,,,,,,,,,,,6193.757585142,,,,,,,,,,0.9994706193753309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770918396.9644046,,,,,,,,,,,,,,,,,,,,,,,,,,6193.757725831,0.9981481481481481,,,,,,,,,,,,,,,,,,,,,,,,,,0.9990732159406858,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770918396.964524,,,,,,,,,,,,0.9990791896869244,,,,,,,,,,,,,,6193.757837111,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9981600735970562,,,,,,,,,,,19,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1770918396.9646447,,,,,,,,,,,,,,,,,,,,,,0.999001996007984,,,,6193.757973111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9980059820538385,,,20,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9982578397212544,,,,,,,,,,,,,,,0.9982578397212544,1770918396.964759,,,,,,,,,,,,,,,,,,,,,,,,,,6193.758071326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9982578397212544,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.997997997997998,,,,,,,,,,,,,1770918396.9648712,,,,,,,,,,,,,,,,,,,,,,,,,,6193.758204781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.996003996003996,,,,,,,,,,22,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.9984360337816703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770918396.964981,,,,,,,,,,,,,,,,,,,,,,,,,,6193.75827003,,,,,,,,,,,,,,,,0.9978118161925602,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99812382739212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,
