fold0/class_10/precision,fold0/class_4/recall,fold4/class_0/recall,fold4/class_3/f1-score,fold4/class_1/recall,fold0/class_8/precision,fold4/class_5/recall,fold3/class_5/recall,fold2/class_0/recall,fold0/class_4/precision,fold4/class_7/precision,fold0/class_3/f1-score,fold3/class_0/f1-score,fold1/class_10/f1-score,fold1/class_6/f1-score,fold2/class_9/precision,fold1/class_9/recall,fold2/class_9/f1-score,fold3/class_3/precision,fold4/class_3/precision,fold3/class_9/f1-score,fold4/class_6/recall,fold3/class_1/recall,fold4/class_0/f1-score,fold0/class_9/precision,fold3/class_10/f1-score,fold1/class_1/recall,fold4/class_6/f1-score,fold3/class_0/recall,fold1/class_0/recall,fold3/class_3/f1-score,fold3/class_9/recall,fold2/class_4/precision,fold0/class_7/recall,fold2/class_8/f1-score,fold3/class_7/precision,fold2/class_6/f1-score,fold2/class_1/f1-score,fold1/class_10/recall,fold2/class_3/f1-score,fold0/class_1/precision,fold4/class_1/precision,fold3/class_8/precision,fold1/class_0/f1-score,fold3/class_9/precision,fold0/class_2/precision,fold1/class_10/precision,fold0/class_5/precision,fold4/class_9/precision,fold3/class_10/recall,fold4/class_0/precision,fold3/class_1/f1-score,fold1/class_4/precision,fold3/confusion_matrix,fold0/class_7/precision,fold1/class_9/precision,fold2/class_7/precision,fold2/class_5/f1-score,fold3/class_2/precision,fold4/confusion_matrix,fold0/class_8/f1-score,fold2/class_4/f1-score,fold4/class_10/precision,fold1/class_2/f1-score,fold0/class_1/f1-score,fold2/class_2/recall,fold4/class_7/recall,fold3/class_6/precision,fold0/class_5/f1-score,fold4/class_10/f1-score,fold2/class_5/recall,fold1/class_8/f1-score,fold0/class_8/recall,fold4/class_9/recall,fold4/class_9/f1-score,fold4/class_5/f1-score,fold3/class_4/f1-score,_step,fold3/class_6/f1-score,fold0/class_9/recall,fold4/class_4/f1-score,fold1/class_6/precision,fold3/class_7/recall,fold4/class_6/precision,fold4/class_5/precision,fold3/class_1/precision,fold2/class_10/precision,fold3/class_2/recall,fold1/class_8/precision,fold2/class_3/recall,fold2/class_9/recall,fold0/class_0/f1-score,fold3/class_6/recall,fold1/class_1/f1-score,fold2/class_10/f1-score,fold1/class_4/recall,fold2/class_2/precision,fold1/class_6/recall,fold1/class_2/recall,fold4/class_3/recall,fold1/class_2/precision,fold1/class_1/precision,fold2/class_7/f1-score,fold0/confusion_matrix,fold3/class_10/precision,fold1/class_7/recall,fold3/class_7/f1-score,fold1/class_0/precision,fold0/class_6/recall,fold0/class_4/f1-score,fold1/class_7/precision,fold4/class_8/precision,fold1/class_3/precision,fold2/class_6/recall,fold2/class_0/precision,fold0/class_0/recall,fold0/class_3/precision,fold0/class_5/recall,fold2/class_1/precision,fold4/class_1/f1-score,fold4/class_8/recall,fold1/class_3/f1-score,fold4/class_10/recall,fold2/class_2/f1-score,fold0/class_10/recall,fold4/class_2/f1-score,fold3/class_2/f1-score,fold0/class_10/f1-score,fold3/class_4/recall,fold1/confusion_matrix,fold2/class_6/precision,fold1/class_5/f1-score,fold1/class_9/f1-score,fold3/class_5/f1-score,fold2/class_10/recall,fold2/class_5/precision,fold1/class_5/recall,fold0/class_6/precision,fold2/class_1/recall,fold3/class_4/precision,fold3/class_0/precision,fold3/class_8/f1-score,fold0/class_6/f1-score,fold0/class_2/recall,fold3/class_5/precision,fold4/class_8/f1-score,fold2/class_8/recall,fold2/class_8/precision,cv5/fold_metrics,fold4/class_7/f1-score,fold2/class_0/f1-score,fold1/class_5/precision,fold2/class_4/recall,fold3/class_3/recall,fold2/class_7/recall,_runtime,fold4/class_4/precision,_timestamp,fold0/class_3/recall,fold4/class_2/recall,fold2/confusion_matrix,fold4/class_4/recall,fold1/class_7/f1-score,fold1/class_4/f1-score,fold0/class_0/precision,fold0/class_1/recall,fold0/class_9/f1-score,fold2/class_3/precision,fold0/class_7/f1-score,fold4/class_2/precision,fold3/class_8/recall,fold0/class_2/f1-score,fold1/class_3/recall,fold1/class_8/recall
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,"{'nrows': 11, 'sha256': '52d7a8fb3bc8547af5b132780e9b22d68edfd5cd128c7cc39fcbc35fe4efef66', 'ncols': 12, 'path': 'media/table/fold0/confusion_matrix_0_52d7a8fb3bc8547af5b1.table.json', '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://b6k8zdf6odbq6ys0h2bt5p2n2a6o9g0e1hjztfifb521p79t1eth6f6fpej1w561uf3vqnt5m2s7xjywqz1nielyuc75eymtm30z099mi5pg4dnu2zl6jlo33ns6rkil:latest/fold0/confusion_matrix.table.json', 'size': 581, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://4znisppcw0a43wam4lhj6jdz944z2ympy2r87nzrbngjexkal6nnwvxum0nvq7xxt094ssu434grgu12570qbbr0oztbnqbmmgzqeapvxxxoi5exg37awurbbvf01zq3/fold0/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8183.60182788,,1770931948.3774607,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,0.9875140140985671,,,,,,,,,,,,,,,,,,,,,,,,0.9895352416128039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8183.603264809,,1770931948.3791726,,,,,,,0.985501026882874,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9642166344294004,,,,,,,,,,,,,,,,,,,,,,,,0.9348335677449602,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8183.603631213,,1770931948.3795094,,,,,,,,0.9071883530482256,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9397363465160076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9257884972170687,,,,,,,,,,,,8183.604114639,,1770931948.3797834,,,,,,,,,,,,,,0.9327102803738317,,
,,,,,,,,,,,0.94240317775571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9773429454170958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8183.604208604,,1770931948.3800142,0.909875359539789,,,,,,,,,,,,,,,
,0.9470899470899471,,,,,,,,0.9342379958246346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9406200735680504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8183.604279665,,1770931948.3802536,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9362618432385874,,,,,,,,,,,,,,,,,,,,,0.9330472103004291,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9298545765611634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8183.604522194,,1770931948.380504,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9438423645320198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9716024340770791,,,,,0.9575212393803099,,,,,,,,,,,,,8183.605045448,,1770931948.3810203,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9761904761904762,,,,,,,,,,,,,,,,,,,,,0.9909365558912386,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8183.605152049,,1770931948.3812008,,,,,,,,,,,0.9835082458770614,,,,,
,,,,,0.9815891472868217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9666030534351145,,,,,,,,,,,,0.9520676691729323,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8183.605328838,,1770931948.381361,,,,,,,,,,,,,,,,
