fold1/class_0/precision,fold1/class_3/precision,fold1/class_2/precision,fold1/confusion_matrix,fold2/class_2/recall,fold1/class_2/recall,fold1/class_1/precision,fold3/class_3/precision,cv5/fold_metrics,fold2/class_0/f1-score,fold2/confusion_matrix,fold0/class_1/f1-score,fold2/class_1/f1-score,fold3/confusion_matrix,fold1/class_0/f1-score,fold0/class_3/recall,fold2/class_1/recall,fold1/class_3/recall,fold2/class_0/precision,_runtime,fold4/class_1/precision,fold3/class_0/recall,fold3/class_3/recall,fold3/class_2/recall,fold4/class_1/f1-score,fold2/class_3/precision,_step,fold0/class_0/f1-score,fold4/class_2/precision,fold2/class_0/recall,fold0/class_0/recall,fold3/class_2/precision,fold2/class_2/f1-score,fold4/confusion_matrix,fold1/class_2/f1-score,fold0/confusion_matrix,fold4/class_1/recall,fold4/class_0/precision,fold0/class_3/f1-score,fold4/class_3/recall,fold4/class_3/precision,fold2/class_3/f1-score,fold1/class_3/f1-score,fold1/class_1/f1-score,fold4/class_2/f1-score,fold1/class_1/recall,fold0/class_1/precision,fold0/class_3/precision,fold0/class_0/precision,fold3/class_1/recall,fold2/class_2/precision,fold0/class_2/recall,_timestamp,fold0/class_1/recall,fold2/class_3/recall,fold1/class_0/recall,fold2/class_1/precision,fold0/class_2/f1-score,fold3/class_1/precision,fold4/class_3/f1-score,fold3/class_2/f1-score,fold3/class_1/f1-score,fold3/class_3/f1-score,fold0/class_2/precision,fold3/class_0/f1-score,fold4/class_0/recall,fold3/class_0/precision,fold4/class_2/recall,fold4/class_0/f1-score
,,,,,,,,,,,,,,,,,,,483.112332934,,,,,,,0,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://he5wurelpwqd92r8nklsigqxiy1ao9g44ead30df1f0au1kmwo1p8q0mb69u3rgjtsa9myla9p2xq2dz250v4dc9qsufe5o6ivim5y7kjs7qn5p407rqubp0ri8bdtbr:latest/fold0/confusion_matrix.table.json', 'size': 148, 'ncols': 5, 'nrows': 4, 'path': 'media/table/fold0/confusion_matrix_0_cd16ac912c1b0ecb1ffa.table.json', 'artifact_path': 'wandb-client-artifact://69sdj295550ql45plqetkhbtli1pcof6y6ujt7n5nwmscvtuknycmff7eyj1p6avj8trq791yr79uvreiybzmqfo5tu8yy2fg2nu7x3wfnaeafjo3o150oj48in3hngt/fold0/confusion_matrix.table.json', '_type': 'table-file', 'sha256': 'cd16ac912c1b0ecb1ffa15b7c170913e834fbf64badb102d4803ae5cec135ac8', 'log_mode': 'IMMUTABLE'}",,,,,,,,,,,,,,,,,1770721852.9054773,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,483.114157984,,,,,,,1,0.9321340964840557,,,0.9253246753246753,,,,,,,,,,,,,,,,,,0.9390444810543658,,,,1770721852.9077034,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.9,,,,,,,,483.114492282,,,,,,,2,,,,,,,,,,,,,,,,,,,,0.8446601941747572,,,,,,1770721852.9081988,0.9630996309963099,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,483.11486359,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,0.898876404494382,1770721852.9085462,,,,,0.9180327868852459,,,,,,0.9380234505862647,,,,,
,,,,,,,,,,,,,,,0.847457627118644,,,,483.115286586,,,,,,,4,,,,,,,,,,,,0.8517887563884157,,,,,,,,,0.8561643835616438,,,,,1770721852.9089758,,,,,,,,,,,,,,,,
,,,"{'size': 146, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://almt0n2fzmltt3nqf1vk5gff7wr6ywf18ypygwog16mzygtc4u9i9c0zgds51fo8h3qaol2wl0jm2qoa5n21giy66yhpe96sx4wj6l737vp3wo0ixzf8op1qh05rs13d:latest/fold1/confusion_matrix.table.json', '_type': 'table-file', 'nrows': 4, 'sha256': 'be7fb9054dd433a2ce17f548660eb7a2a79636c515325dbee335cf3a6182da7f', 'ncols': 5, 'path': 'media/table/fold1/confusion_matrix_5_be7fb9054dd433a2ce17.table.json', 'artifact_path': 'wandb-client-artifact://6bx12j4hz9w9ogatqn73y7tyvuh7vysg5othz4xdbikibcg9laubc8qzkmsg4xzzc0a2b4epf8j6lzo3br54f6t5b71n14cexjsgxpmjus9uvgo1i0vi8tak7vdepn3f/fold1/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,516.433846539,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,1770721886.2274141,,,,,,,,,,,,,,,,
0.9548762736535662,,,,,,,,,,,,,,0.9647058823529412,,,,,516.43594646,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,1770721886.2295597,,,0.974739970282318,,,,,,,,,,,,,
,,,,,,0.9087837837837838,,,,,,,,,,,,,516.436275591,,,,,,,7,,,,,,,,,,,,,,,,,0.9340277777777778,,0.9607142857142857,,,,,,,1770721886.2299857,,,,,,,,,,,,,,,,
,,0.9732441471571907,,,0.9463414634146341,,,,,,,,,,,,,,516.43670587,,,,,,,8,,,,,,,,0.9596042868920033,,,,,,,,,,,,,,,,,,1770721886.230406,,,,,,,,,,,,,,,,
,0.874439461883408,,,,,,,,,,,,,,,,0.826271186440678,,516.437153396,,,,,,,9,,,,,,,,,,,,,,,,0.8496732026143791,,,,,,,,,,1770721886.230814,,,,,,,,,,,,,,,,
