fold4/class_6/recall,fold2/confusion_matrix,fold2/class_3/precision,fold1/class_0/recall,fold2/class_4/recall,fold4/class_0/f1-score,fold0/class_10/precision,fold0/class_0/recall,fold0/class_6/recall,fold4/confusion_matrix,fold2/class_7/f1-score,fold0/class_4/precision,fold4/class_10/precision,fold4/class_8/recall,fold4/class_7/f1-score,fold0/class_3/precision,fold4/class_9/f1-score,fold1/class_7/f1-score,fold2/class_6/recall,fold4/class_2/precision,fold1/class_7/recall,fold4/class_2/recall,fold4/class_3/precision,fold0/class_0/f1-score,fold4/class_5/recall,fold2/class_8/recall,fold2/class_8/f1-score,fold4/class_7/recall,fold3/class_2/precision,fold4/class_0/precision,fold4/class_10/f1-score,fold2/class_10/recall,fold3/class_9/precision,fold0/class_1/recall,fold4/class_2/f1-score,fold3/class_7/f1-score,_runtime,fold0/class_8/recall,fold0/class_1/f1-score,fold1/class_1/recall,fold0/class_6/precision,fold1/class_10/f1-score,fold3/class_3/precision,fold3/confusion_matrix,fold1/class_6/f1-score,fold3/class_6/f1-score,fold2/class_3/recall,fold1/class_2/f1-score,fold0/class_9/precision,_timestamp,fold0/class_7/recall,fold2/class_9/precision,fold0/class_6/f1-score,fold1/class_3/recall,cv5/fold_metrics,fold1/class_5/precision,fold2/class_6/precision,fold4/class_1/precision,fold2/class_2/recall,fold1/class_9/precision,fold0/class_4/recall,fold2/class_10/precision,fold3/class_10/recall,fold2/class_9/f1-score,fold1/class_2/precision,fold1/class_9/f1-score,fold1/class_7/precision,fold1/class_8/f1-score,fold2/class_3/f1-score,fold3/class_1/precision,fold4/class_7/precision,fold1/class_10/precision,fold4/class_8/f1-score,fold1/class_0/precision,fold1/class_9/recall,fold3/class_4/precision,fold3/class_8/f1-score,fold3/class_8/precision,fold0/class_2/recall,fold3/class_5/precision,fold4/class_4/precision,fold2/class_7/recall,fold2/class_5/f1-score,fold3/class_4/recall,fold0/class_5/recall,fold2/class_1/precision,fold1/class_10/recall,fold0/class_3/recall,fold0/class_7/f1-score,fold0/class_2/precision,fold1/class_4/f1-score,fold0/class_10/recall,fold4/class_0/recall,fold1/class_3/f1-score,fold2/class_4/f1-score,fold4/class_9/precision,fold2/class_2/precision,fold0/class_0/precision,fold0/class_4/f1-score,fold1/class_4/recall,fold0/class_8/precision,fold2/class_7/precision,fold4/class_3/recall,fold4/class_4/f1-score,fold4/class_6/precision,fold1/class_1/f1-score,fold4/class_10/recall,fold1/class_0/f1-score,fold1/class_5/recall,fold3/class_1/f1-score,fold2/class_9/recall,fold3/class_5/recall,fold3/class_7/recall,fold3/class_6/precision,fold3/class_9/recall,fold0/class_5/f1-score,fold2/class_8/precision,fold0/class_5/precision,fold2/class_10/f1-score,fold1/class_8/precision,fold3/class_3/recall,fold0/class_9/recall,fold0/class_9/f1-score,fold4/class_9/recall,fold0/class_3/f1-score,fold3/class_4/f1-score,fold4/class_1/recall,fold4/class_5/f1-score,fold1/class_2/recall,fold2/class_5/precision,fold2/class_4/precision,fold2/class_1/f1-score,fold3/class_2/f1-score,fold3/class_0/precision,fold3/class_5/f1-score,fold0/class_7/precision,fold0/confusion_matrix,fold2/class_5/recall,fold1/class_5/f1-score,fold0/class_10/f1-score,fold3/class_1/recall,fold3/class_10/precision,fold0/class_8/f1-score,fold4/class_4/recall,fold2/class_0/recall,fold4/class_5/precision,fold0/class_1/precision,fold1/confusion_matrix,fold4/class_1/f1-score,fold3/class_10/f1-score,fold3/class_0/f1-score,fold1/class_6/recall,fold3/class_9/f1-score,fold3/class_2/recall,fold2/class_1/recall,_step,fold1/class_8/recall,fold3/class_3/f1-score,fold3/class_6/recall,fold4/class_8/precision,fold0/class_2/f1-score,fold2/class_0/f1-score,fold2/class_2/f1-score,fold3/class_8/recall,fold2/class_6/f1-score,fold1/class_3/precision,fold3/class_7/precision,fold3/class_0/recall,fold1/class_4/precision,fold1/class_1/precision,fold4/class_6/f1-score,fold4/class_3/f1-score,fold1/class_6/precision,fold2/class_0/precision
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5217.722326239,,,,,,,,,,,,,1770932330.9861813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'path': 'media/table/fold0/confusion_matrix_0_a05badb492861dfdf3d5.table.json', 'sha256': 'a05badb492861dfdf3d58ab87974a2b529a11f14256a43a6b23b46bcccdfd6f4', 'artifact_path': 'wandb-client-artifact://rrr5lu5agzt51bary3204zps91usqw5rlkkcdmlbp0r33cl0k3iqebzqbwrvb0ckhuxq7qtgdpyh9f3i725braogkvfrsl52pbzwbyieiwbn9qtnbr7sw6f9fhfx3ogy/fold0/confusion_matrix.table.json', 'size': 571, 'ncols': 12, 'nrows': 11, 'log_mode': 'IMMUTABLE', '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://7xtwyv1fgesm3lwa1dgs0rqrehuzgqvhmechxppa4g2ggyr6gkflhmvfkq08j2r0f2b7i7uqplfmmnimhyr7r2ux8gw6og63ci151kjjfco2lp15n0tzlabtf0duumyd:latest/fold0/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,1,,,,,,,,,,,,,,,,0.9997626206678272,,,,,,,,,,,,,5217.723536972,,,,,,,,,,,,,1770932330.9875524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995253540068033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,5217.723656169,,0.9961226647867466,,,,,,,,,,,1770932330.9877622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9922752808988764,,,,,,,,,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5217.723753001,,,,,,,,,,,,,1770932330.9879024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9949494949494949,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,0.9974683544303797,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.991130820399113,,,,,,,,,,,,,,,,,,,,,5217.723900755,,,,,,,,,,,,,1770932330.9880288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9955456570155902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,5217.724019621,,,,,,,,,,,,,1770932330.9881477,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5217.7241,,,,,,,,,,,,,1770932330.9882553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9990029910269193,,0.99800796812749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5217.724257954,,,,0.9992343032159265,,,,,,,,,1770932330.988369,,,0.9996170049789352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5217.7243419,,,,,,,,,,,,,1770932330.9884746,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9980747015787447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9961568024596464,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5217.724444204,0.9919590643274854,,,,,,,,,,,,1770932330.9885957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9959633027522936,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,
