fold2/class_0/recall,cv5/fold_metrics,fold4/confusion_matrix,fold4/class_1/precision,fold1/class_1/f1-score,fold3/class_0/f1-score,fold2/class_1/recall,fold0/class_1/f1-score,fold3/confusion_matrix,fold0/class_0/f1-score,fold1/confusion_matrix,fold1/class_1/precision,fold1/class_0/recall,fold0/class_0/precision,fold0/class_1/recall,fold2/class_1/precision,_step,fold1/class_0/f1-score,fold4/class_0/precision,fold0/confusion_matrix,fold2/class_1/f1-score,_timestamp,fold0/class_0/recall,fold3/class_0/recall,fold4/class_1/f1-score,fold3/class_1/recall,fold0/class_1/precision,fold2/class_0/f1-score,fold3/class_1/f1-score,fold4/class_0/f1-score,fold2/class_0/precision,fold4/class_0/recall,fold3/class_0/precision,fold4/class_1/recall,fold1/class_0/precision,fold2/confusion_matrix,fold3/class_1/precision,_runtime,fold1/class_1/recall
,,,,,,,,,,,,,,,,0,,,"{'nrows': 2, 'sha256': 'c720e5a3c6c728cea136933d396a884eafdfd998a72a2b6cf438ca578c2cd721', 'size': 84, 'artifact_path': 'wandb-client-artifact://geqplq7c5skouea0i6o2p5eftegbz7bhfm307y7ymkws3rgta52n6nnxid6d80nmkr77ughy5godax8tb7h4marle3g3pur1hvd8pcqch1zu2m1rgvtbpzp1p9nyubez/fold0/confusion_matrix.table.json', '_type': 'table-file', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://wfwfh7qhv61ardc0xi0hqwzpfhxcu9tu4sd9slh7ljcu6z2e65ia406zjx9f0aruhui41bpndyvs84ghaz7kz1210590ntwltgniqul4b3uvwlb3wf6tmw8ie3jiixm3:latest/fold0/confusion_matrix.table.json', 'path': 'media/table/fold0/confusion_matrix_0_c720e5a3c6c728cea136.table.json', 'ncols': 3}",,1770742738.9509463,,,,,,,,,,,,,,,,233.756007647,
,,,,,,,,,0.9912189754766086,,,,0.9843250966549,,,1,,,,,1770742738.9526243,0.9982101001491583,,,,,,,,,,,,,,,233.757208147,
,,,,,,,0.9927736857685142,,,,,,,0.9870844875346261,,2,,,,,1770742738.95287,,,,,0.9985288451434376,,,,,,,,,,,233.75733484,
,,,,,,,,,,"{'size': 83, 'ncols': 3, 'sha256': 'f51ff08a543d7b4e427c25bf8f73e737027ec8267ab38d55caa0684f17a2c972', 'log_mode': 'IMMUTABLE', 'nrows': 2, '_latest_artifact_path': 'wandb-client-artifact://zxeujk3jvpywe8n3sg5h2uochdgruklsx6c6216hivmtrdcer26cc1vs2n8b6ygk3fehmvkrywi78qkcwnckdstmtk60q98obj28xd57p3rntlvp47pt0mcorq5p0ak7:latest/fold1/confusion_matrix.table.json', 'artifact_path': 'wandb-client-artifact://42036v75s2mvm7po9bywq0tmv8zh7w515hfjq4ve8u3xcbuz4cgzjgkd7sjmx2vm9saj7ek7unv7wy0958rvuxo1g5fklmmoi1lif5tuj8dsu4gk28drfy5cz9cmphlj/fold1/confusion_matrix.table.json', '_type': 'table-file', 'path': 'media/table/fold1/confusion_matrix_3_f51ff08a543d7b4e427c.table.json'}",,,,,,3,,,,,1770742963.6262763,,,,,,,,,,,,,,,,458.430935679,
,,,,,,,,,,,,1,,,,4,0.9905232275902827,,,,1770742963.6277156,,,,,,,,,,,,,0.9812243873881409,,,458.432304135,
,,,,0.9921655528607074,,,,,,,1,,,,,5,,,,,1770742963.6279697,,,,,,,,,,,,,,,,458.432498143,0.9844529085872576
,,,,,,,,,,,,,,,,6,,,,,1770743126.467133,,,,,,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://a9zth56iqnyvozapytf13iqrz8jtouf4um1wkkf9cd6kfc11yzmdgghl17oso04i0yxqn26sz6gy3hwucqcwzvfiund0lwlrqtsmcdxd233tbets8f6576g7r98cz03p:latest/fold2/confusion_matrix.table.json', 'path': 'media/table/fold2/confusion_matrix_6_e8adb6a7748f1ac4c1c5.table.json', 'size': 84, 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'nrows': 2, 'sha256': 'e8adb6a7748f1ac4c1c5c30964d4a8393f20ec984dda32cd178d5dc9cfb236c8', 'ncols': 3, 'artifact_path': 'wandb-client-artifact://1uonbtwzkc7oj2gxfalxm6eiolyogfcj1oeqdkr25l5lh6a2zyeg961m4ygffgwp5vlhude6gqterj1oflq2e0fprjrsy39wcg4rmcq0wkq1ox6nxtzv5vsudrh6gmu3/fold2/confusion_matrix.table.json'}",,621.271732719,
0.9987207914037183,,,,,,,,,,,,,,,,7,,,,,1770743126.4684975,,,,,,0.989878071973459,,,0.9811905659586947,,,,,,,621.273006986,
,,,,,,0.984444290465632,,,,,,,,,0.9989453330989629,8,,,,0.9916418014622486,1770743126.468674,,,,,,,,,,,,,,,,621.273157697,
,,,,,,,,"{'nrows': 2, 'artifact_path': 'wandb-client-artifact://fzyz7xjrz13u16lfy7h22a14m2qguhgb7irgjwc5jan8hto92c0j5fkbtyeldutfnqshfi1cq6xbmeann96myjxgtf537a65k14bj423fenli8mkl7dtems0a14kqw25/fold3/confusion_matrix.table.json', '_type': 'table-file', 'ncols': 3, 'path': 'media/table/fold3/confusion_matrix_9_7ba99da4109feaa25e6b.table.json', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://i3m95mozoutxaridfbxa1vnxxsz3r578wwcnx3b8dl87i7w42h6ls3wi8b7ojcvdkifb9pk1ftdahcsg2xgx1h4ouorecol44g1yiabli4u6150b2npk9uohpbk8jltt:latest/fold3/confusion_matrix.table.json', 'sha256': '7ba99da4109feaa25e6bced07d7dc655ee69bd032088c40f0765de574b78cc2e', 'size': 84}",,,,,,,,9,,,,,1770743396.9873102,,,,,,,,,,,,,,,,891.791964096,
