fold0/class_3/f1-score,fold3/class_3/recall,fold3/confusion_matrix,fold1/class_2/precision,fold1/class_0/precision,fold2/class_2/recall,fold1/class_0/f1-score,fold3/class_0/recall,fold1/class_3/precision,fold4/class_0/f1-score,fold0/class_0/precision,fold0/class_2/precision,fold2/class_0/f1-score,fold4/class_2/precision,fold2/class_0/precision,fold2/class_2/precision,fold3/class_1/f1-score,fold1/class_0/recall,fold4/confusion_matrix,fold1/confusion_matrix,fold3/class_2/recall,fold4/class_0/precision,fold2/class_3/f1-score,fold4/class_3/f1-score,fold4/class_2/recall,fold2/class_3/precision,fold4/class_1/f1-score,fold0/class_0/f1-score,fold0/class_2/recall,fold3/class_3/precision,fold0/class_0/recall,fold1/class_2/f1-score,fold2/class_2/f1-score,fold1/class_3/f1-score,fold2/confusion_matrix,fold3/class_0/f1-score,fold2/class_1/precision,fold1/class_2/recall,fold2/class_1/f1-score,fold0/class_1/precision,fold1/class_1/recall,fold3/class_2/precision,fold3/class_1/recall,fold0/class_3/recall,fold2/class_0/recall,fold0/confusion_matrix,fold0/class_3/precision,fold3/class_1/precision,fold0/class_1/f1-score,fold3/class_3/f1-score,fold1/class_3/recall,fold4/class_0/recall,fold2/class_3/recall,fold4/class_1/recall,fold1/class_1/precision,fold4/class_3/precision,cv5/fold_metrics,fold2/class_1/recall,fold4/class_2/f1-score,fold4/class_3/recall,fold1/class_1/f1-score,_runtime,fold3/class_0/precision,_timestamp,fold4/class_1/precision,fold0/class_2/f1-score,_step,fold3/class_2/f1-score,fold0/class_1/recall
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://r0lizie3x7zyzk0yxsi1om0bwsai4yho9xse4m8n9fqpt7jpftv27d70mcro5zncf264oaasfzrpa2b3bbn9sbwzi2zaynpsg5wadmot33ydeond03iukkfswm017h30/fold0/confusion_matrix.table.json', 'ncols': 5, 'sha256': 'aa99ee94529b97fec819cc66edfe6c8dcc84918d41206602ef9b2f75703fd997', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://opy563n4nrrl28rfc1lx0h0mdj4daclw7dkozk6dyt7t1rrrftm459za003491hut8g8pt2k2flq6i13t842lsm83s4qs0vpat6qm1o0aow8xqxfhy6dmyhp1vt9jzax:latest/fold0/confusion_matrix.table.json', '_type': 'table-file', 'nrows': 4, 'path': 'media/table/fold0/confusion_matrix_0_aa99ee94529b97fec819.table.json', 'size': 145}",,,,,,,,,,,,,,,,29.764798806,,1770716794.0817387,,,0,,
,,,,,,,,,,0.9469578783151326,,,,,,,,,,,,,,,,,0.9657915672235481,,,0.9853896103896104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.765965359,,1770716794.0835814,,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9798387096774194,,,,,,,,,0.9364161849710982,,,,,,,,,,,,,29.766755062,,1770716794.084146,,,2,,0.8966789667896679
,,,,,,,,,,,0.9754901960784313,,,,,,,,,,,,,,,,,0.9582664526484751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.767096514,,1770716794.084706,,0.9668016194331984,3,,
0.9415692821368948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9559322033898305,,,0.9276315789473685,,,,,,,,,,,,,,,29.767400572,,1770716794.0850933,,,4,,
,,,,,,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://ak8t6pswjop2dl9fayduu9a9rfbasmrk7tsro3pcbpz8zckpyjznwz8f2sdw26kmy7hx9tcqyhgr98kh6vie0eb73mop95j2x2s2085mzf36hfcsn3iebmbnllf0mapc:latest/fold1/confusion_matrix.table.json', 'nrows': 4, 'path': 'media/table/fold1/confusion_matrix_5_47d326cfe1e0bfa8132b.table.json', 'ncols': 5, 'sha256': '47d326cfe1e0bfa8132b98fb7ea326718a229f3a1a87eb27dba135246589e45b', 'size': 144, 'artifact_path': 'wandb-client-artifact://a3pg4ohu2uutz9tbwfg94vggut6hai7petgh4ii0okk8vrfmvjn6bye4ffk11p12ylwc6kr6lfbv5okmw4p02uczxzlkl54u9dsdtyhydbplipti6foh12r1m84qnumr/fold1/confusion_matrix.table.json', '_type': 'table-file'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.690588983,,1770716812.0080707,,,5,,
,,,,0.9843260188087775,,0.958047292143402,,,,,,,,,,,0.9331352154531947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.692214212,,1770716812.0097647,,,6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9392857142857143,,,,,,,,,,,,,,0.926056338028169,,,,,,0.9326241134751773,47.69262698,,1770716812.0102682,,,7,,
,,,0.9106060606060606,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9427450980392157,,,,,,0.9772357723577236,,,,,,,,,,,,,,,,,,,,,,,,47.693039458,,1770716812.0107024,,,8,,
,,,,,,,,0.9009009009009009,,,,,,,,,,,,,,,,,,,,,,,,,0.8733624454148472,,,,,,,,,,,,,,,,,0.847457627118644,,,,,,,,,,,47.693371894,,1770716812.0110326,,,9,,
