fold2/class_1/f1-score,fold4/class_1/precision,fold1/class_0/recall,fold2/class_1/precision,fold1/class_0/f1-score,fold3/confusion_matrix,fold3/class_1/precision,fold4/confusion_matrix,fold2/confusion_matrix,_timestamp,fold0/class_1/recall,fold0/class_0/precision,fold4/class_0/f1-score,fold1/class_1/f1-score,fold0/class_1/precision,fold2/class_0/precision,fold2/class_1/recall,fold3/class_0/recall,fold3/class_1/recall,fold1/confusion_matrix,fold0/class_0/f1-score,fold4/class_1/f1-score,fold1/class_0/precision,cv5/fold_metrics,fold4/class_0/recall,fold4/class_0/precision,fold3/class_0/precision,fold0/confusion_matrix,fold1/class_1/recall,fold2/class_0/recall,fold1/class_1/precision,_step,fold3/class_0/f1-score,fold0/class_1/f1-score,fold4/class_1/recall,fold3/class_1/f1-score,fold0/class_0/recall,fold2/class_0/f1-score,_runtime
,,,,,,,,,1770753571.1970696,,,,,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://okyym9dctfpj0621j76zx8rovy6ugnmp42gp7ebqnotm24pkphlris99n2lvzh02khntbb9zpb4q8nrzaj2zi1iirrjj46ezzkmziwjnrcqd1kiej2qo7gd67t3coyjn/fold0/confusion_matrix.table.json', '_type': 'table-file', 'nrows': 2, 'sha256': '66479a96680b7b10f67b069a4c341873b0adf11bbab30e8e05de14f4a851a3dd', 'ncols': 3, '_latest_artifact_path': 'wandb-client-artifact://qiy4n661rme9s07edzrcj6r7l7wxyvndr5v62yopcu049neh7kj499i9h5pnychzrrodvj3ann5uu7ny955eni2bi59v94lnbxyvf5185mypjdmxq4f26l6awwvt5ez6:latest/fold0/confusion_matrix.table.json', 'path': 'media/table/fold0/confusion_matrix_0_66479a96680b7b10f67b.table.json', 'size': 83}",,,,0,,,,,,,2300.48038715
,,,,,,,,,1770753571.1988308,,0.9854413102820746,,,,,,,,,0.9926672777268561,,,,,,,,,,,1,,,,,1,,2300.481929073
,,,,,,,,,1770753571.1992497,0.9861495844875346,,,,1,,,,,,,,,,,,,,,,,2,,0.99302649930265,,,,,2300.48244264
,,,,,,,,,1770753742.293348,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://dn49hc88yp6t75xqnwv690yrouo3s8y0rcw7jx1ajsk09clucub4qpwd72e9798gtb6dna9fa1ilxyl7dtwb9ouahwfr56krqfwvad08t7nr714sicgluyl7lkhwbwdk/fold1/confusion_matrix.table.json', 'sha256': '934322b1a448905145253abafe5fff040b56d8b27496d3968b80bd62d4db6feb', 'nrows': 2, 'path': 'media/table/fold1/confusion_matrix_3_934322b1a44890514525.table.json', 'size': 83, '_type': 'table-file', 'ncols': 3, '_latest_artifact_path': 'wandb-client-artifact://x944esvil4tze7yvsw12u7mv8zh3pmxdnh1dh6o5ctm3ds1kkhudgb2hiq343vhmonep8ebt3ce7jdhvxhsgxxuxazprd6mmqhahrvl03dx9w3qldoh5hwhdhy73toei:latest/fold1/confusion_matrix.table.json', 'log_mode': 'IMMUTABLE'}",,,,,,,,,,,,3,,,,,,,2471.576546219
,,1,,0.9905789810664959,,,,,1770753742.2953806,,,,,,,,,,,,,0.9813338166002175,,,,,,,,,4,,,,,,,2471.578365646
,,,,,,,,,1770753742.295622,,,,0.991003581098786,,,,,,,,,,,,,,,0.9821675900277008,,1,5,,,,,,,2471.578500585
,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://3m0knp2waj80d752zyk1w7hbu86bvslqann7ms2m7owj6w1yx9ai5u327u5ba23w487ytxtncgygvpvnywqxyvpp1j7pjerkxiqt26dymvh6vjtl65vu7sjozmwn8l2n:latest/fold2/confusion_matrix.table.json', 'size': 83, 'sha256': 'a31c5ea29352a93ecb906227a51e81b64c219e5c0bebecf6e6764d821d745060', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://a608linckw42lna325rmccenlfeyxaxl77hzjdct0rtdesqyri9hqf26da5u7jprihgmz3lcoeupu9hijhea6s5qvbd53jc5hk77dgd88kbtlnsw5ds9tohdd18ymdsb/fold2/confusion_matrix.table.json', 'ncols': 3, 'path': 'media/table/fold2/confusion_matrix_6_a31c5ea29352a93ecb90.table.json', '_type': 'table-file', 'nrows': 2}",1770753994.7679338,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,2724.050935926
,,,,,,,,,1770753994.7689579,,,,,,0.9810034802784223,,,,,,,,,,,,,,1,,7,,,,,,0.9904106580777395,2724.051890858
0.9908398014124886,,,1,,,,,,1770753994.7691863,,,,,,,0.9818458980044346,,,,,,,,,,,,,,,8,,,,,,,2724.052079245
,,,,,"{'sha256': '527544057230b266611443ff4c2249e94d39f49c1bdda5b93d5971945c82d56f', 'nrows': 2, '_latest_artifact_path': 'wandb-client-artifact://il13g57wqbpvonmgamye4bgl8t7d5ms6phi09agjwymsbc16fhkq4bje8ut36seeke1d9pfkytfw9y0i6png91vlghoatmjxgo8kgcakqvjyxngywzryzen3z38t26fn:latest/fold3/confusion_matrix.table.json', 'ncols': 3, 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://qunlktacn7ik9np3vv5e75085wjlu5n0xam51ipi92q1nvrttl0242vws8pglz1qwu2wcjwk7jp0n8fl1j9q0wvhzdoi5mm1i0242w4pcchwx7tzjcn621miu7o3nk3k/fold3/confusion_matrix.table.json', 'size': 83, 'path': 'media/table/fold3/confusion_matrix_9_527544057230b2666114.table.json'}",,,,1770754241.561236,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,2970.84447644
,,,,,,,,,1770754241.5626893,,,,,,,,1,,,,,,,,,0.9829634203930401,,,,,10,0.9914085255271209,,,,,,2970.845688644
,,,,,,1,,,1770754241.5630596,,,,,,,,,0.9837513858093127,,,,,,,,,,,,,11,,,,0.9918091479068792,,,2970.845962782
,,,,,,,"{'ncols': 3, '_latest_artifact_path': 'wandb-client-artifact://z47hsesk8idrhwa6cx9g4enaurzl324jzyo5cxtquglo6y893nqcwus2mhsvumo894wun87sefo8f4rpub2dwhf6gqecicvmv9n2zsmxyfop5zi86owfcs6nysuvd1as:latest/fold4/confusion_matrix.table.json', 'sha256': 'bc13c837591e16ce6cdbe1d80f5329de59b9fc4dcdd863390cd344c0e38465f9', 'path': 'media/table/fold4/confusion_matrix_12_bc13c837591e16ce6cdb.table.json', 'log_mode': 'IMMUTABLE', 'size': 83, '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://593tabapppsjwq0nfekww57z3p90mdfii1ufzzrojc4p3l8l6xakqyfxdekj8v1ptkzt75fjyy33fti5on5i6ydns4acar2n4mc5yrezyljowurryczgc5yc1313acsc/fold4/confusion_matrix.table.json', 'nrows': 2}",,1770754430.8075361,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,3160.090695257
,,,,,,,,,1770754430.8096411,,,0.9921173235563703,,,,,,,,,,,,1,0.9843579483448527,,,,,,13,,,,,,,3160.092576197
,1,,,,,,,,1770754430.809876,,,,,,,,,,,,0.992495375056721,,,,,,,,,,14,,,0.9851025498891353,,,,3160.092757099
