fold1/class_7/precision,_step,fold0/class_5/precision,fold2/class_9/precision,fold4/class_9/precision,fold2/class_6/precision,fold2/class_3/f1-score,fold4/class_2/recall,fold1/class_5/f1-score,fold4/class_10/precision,fold3/class_10/f1-score,fold1/class_3/recall,fold2/class_7/precision,fold3/class_2/precision,fold3/class_8/f1-score,fold4/class_8/precision,fold4/class_1/precision,fold0/class_3/f1-score,fold1/class_5/precision,fold0/class_1/recall,fold3/class_4/precision,fold1/class_0/recall,fold0/class_10/f1-score,fold4/class_10/f1-score,fold3/class_3/precision,fold1/class_3/f1-score,fold2/class_10/precision,fold3/class_7/recall,fold3/class_5/recall,fold0/class_0/f1-score,fold0/class_5/f1-score,fold1/class_10/f1-score,fold1/class_10/precision,fold3/class_7/precision,fold4/class_1/f1-score,fold3/class_5/f1-score,fold0/class_2/recall,fold2/class_9/f1-score,fold3/class_5/precision,fold1/confusion_matrix,fold2/class_7/f1-score,fold3/class_9/f1-score,fold1/class_0/f1-score,fold0/class_0/recall,fold0/class_5/recall,fold1/class_1/f1-score,fold3/class_10/recall,fold4/class_0/precision,fold4/class_4/recall,fold0/class_4/precision,fold3/class_1/recall,fold3/class_8/recall,fold0/class_8/recall,fold2/class_5/f1-score,fold4/class_9/f1-score,fold2/confusion_matrix,fold0/class_6/precision,fold2/class_9/recall,fold3/class_6/precision,fold2/class_8/recall,fold0/class_1/precision,fold4/class_8/f1-score,fold1/class_0/precision,fold4/class_4/precision,fold0/class_10/recall,fold0/class_4/f1-score,fold1/class_8/recall,fold4/class_3/precision,_runtime,fold2/class_3/precision,fold2/class_1/recall,fold3/confusion_matrix,fold2/class_2/precision,fold1/class_2/f1-score,fold4/class_2/f1-score,fold0/class_7/precision,fold1/class_2/recall,fold4/class_6/recall,fold4/class_3/f1-score,fold4/class_6/precision,fold0/confusion_matrix,fold1/class_6/precision,fold4/class_2/precision,fold4/class_7/precision,fold4/class_6/f1-score,fold0/class_8/f1-score,fold4/class_8/recall,fold4/class_4/f1-score,fold1/class_7/f1-score,fold4/class_5/f1-score,fold4/class_10/recall,fold3/class_4/f1-score,fold3/class_7/f1-score,fold0/class_2/f1-score,fold2/class_10/f1-score,fold1/class_10/recall,cv5/fold_metrics,fold3/class_3/f1-score,fold1/class_6/recall,fold0/class_0/precision,fold4/class_7/recall,fold2/class_7/recall,fold3/class_0/recall,fold2/class_10/recall,fold4/class_9/recall,fold3/class_3/recall,fold1/class_6/f1-score,fold3/class_9/recall,fold1/class_1/recall,fold1/class_5/recall,fold1/class_3/precision,fold0/class_2/precision,fold1/class_2/precision,fold2/class_4/precision,fold2/class_4/recall,fold2/class_6/f1-score,fold0/class_8/precision,fold0/class_3/precision,fold3/class_8/precision,fold4/class_3/recall,fold4/confusion_matrix,fold3/class_6/recall,fold0/class_4/recall,fold0/class_10/precision,fold1/class_4/f1-score,fold0/class_9/f1-score,fold3/class_1/precision,fold4/class_5/recall,fold1/class_9/recall,fold3/class_0/f1-score,fold0/class_3/recall,fold3/class_2/recall,fold2/class_1/f1-score,fold1/class_4/precision,fold0/class_9/recall,fold2/class_2/f1-score,fold1/class_1/precision,fold3/class_4/recall,fold0/class_1/f1-score,fold2/class_0/f1-score,fold2/class_0/precision,fold2/class_1/precision,fold1/class_7/recall,_timestamp,fold0/class_6/recall,fold2/class_2/recall,fold4/class_0/recall,fold0/class_7/f1-score,fold1/class_4/recall,fold2/class_8/precision,fold3/class_10/precision,fold1/class_9/f1-score,fold3/class_1/f1-score,fold4/class_5/precision,fold4/class_1/recall,fold2/class_3/recall,fold1/class_8/f1-score,fold3/class_2/f1-score,fold4/class_7/f1-score,fold2/class_0/recall,fold3/class_9/precision,fold1/class_9/precision,fold2/class_4/f1-score,fold2/class_5/precision,fold0/class_9/precision,fold1/class_8/precision,fold4/class_0/f1-score,fold2/class_8/f1-score,fold0/class_6/f1-score,fold3/class_0/precision,fold2/class_6/recall,fold0/class_7/recall,fold2/class_5/recall,fold3/class_6/f1-score
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.773033841,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://rv6nd3cjlulgeaom2vyel8dx43xgfut5cw77w0uoivvfk76eydbp8as3homh8nnfdgjtteur0a5fs06t6dxgwd6o1bt6e74cbijzm705z0wvsxgdjjclsb4z3ehjjlhf/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://7wfvjeqh1nx9ukud1cnr7vx9a0azhp7slfyovkx81vad2hb4oyvekj30lww5u20f0fr8cqrhsvtiprknlsi71q6re0k5qoda9n26vprdbqdnedcgufr0tv2nwwuwqcnq:latest/fold0/confusion_matrix.table.json', 'nrows': 11, '_type': 'table-file', 'size': 605, 'log_mode': 'IMMUTABLE', 'ncols': 12, 'sha256': '6fe8453a709b76bdbbddc83b634f4d87d912e28600bd9cafcd3f51c82d2fa8ec', 'path': 'media/table/fold0/confusion_matrix_0_6fe8453a709b76bdbbdd.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770911096.2170603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9150203899354808,,,,,,,,,,,,,,0.9803575925459582,,,,,,,,,,,,,,,,,,,,,,,,,169.774359954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8578479980608624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770911096.2186265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,0.225531914893617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.501577287066246,,,,,,,,169.774692194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3111545988258317,,,,,1770911096.219012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20987654320987653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.774945025,,,,,,,,,,,,,,,,,,,,,,,,,0.3065825067628494,,,,,,,,,,,,,,,,,,0.568561872909699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770911096.2193244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,0.45609065155807366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.775227576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5580589254766031,,,,,,,,,,,,,0.38562874251497004,,,,,,,,,,,,,1770911096.2196043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6470588235294118,,,,,,,,,,,,,,,,0.06626506024096386,,,169.775452683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03492063492063492,,,,,,,,,,,,,,,,,,,,,1770911096.2198715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,0.4166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012468827930174564,,,,,,,,,,,,,,0.006329113924050633,,,,,,,,,,,,,,,,,,,,,,,,169.775586689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770911096.220106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3076923076923077,,,,,,,,,,,,169.775706828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770911096.220233,0.010596026490066225,,,,,,,,,,,,,,,,,,,,,,,,0.020486555697823303,,,,,
,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.775825163,,,,,,,0.42935779816513764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770911096.2203555,,,,0.37894736842105264,,,,,,,,,,,,,,,,,,,,,,,,0.3391304347826087,,
,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2857142857142857,,,,,,,,,,,,,,,,169.775962836,,,,,,,,,,,,,,,,,0.3206751054852321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36538461538461536,,,,,,,,,,,,,,,,,,,,,,,,,,,1770911096.220477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.776078746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3711864406779661,,,,,,,,,0.27547169811320754,,,,,,,,,1770911096.2206125,,,,,,,,,,,,,,,,,,,,,0.5688311688311688,,,,,,,,,
,11,,,,,,,,,,,,,,,,,,,,,0.26296420207427235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1672340425531915,,,,169.776203594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6150234741784038,,,,,,,,,,,,,,,,,,,,1770911096.2207353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'size': 614, '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://tw2d7xqws4n5af0v6r1yv9j2nty5urligp2m66z4oatezbplmrhrphcupk6ygs456zvspyqq0hr7065cgwlndou0fcbc6a9kaunyl27itdxlufb131lzhpbczjcdaan3/fold1/confusion_matrix.table.json', 'path': 'media/table/fold1/confusion_matrix_12_a9a22c8010d2fd4b683e.table.json', '_latest_artifact_path': 'wandb-client-artifact://27cmnffyh6doimubn50ia4w9yusgcd47o7wxbyb7a9c6wsjxfbfwag29ebi92m5rd3qpszf6i4m13g5udji71aiahwhuxeptbup21onawh3c2wgnwcnx18wpraqkfkla:latest/fold1/confusion_matrix.table.json', 'sha256': 'a9a22c8010d2fd4b683ee2011d54747aceaf0d42bbc668816983b461f6c700ea', 'ncols': 12, 'log_mode': 'IMMUTABLE', 'nrows': 11}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.997121273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770911383.4413092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
