fold3/class_6/recall,fold0/class_1/recall,fold2/class_1/f1-score,fold2/class_0/recall,fold3/class_0/f1-score,fold0/class_1/f1-score,fold3/class_8/precision,fold0/confusion_matrix,fold0/class_3/f1-score,fold4/class_4/precision,fold0/class_2/f1-score,fold1/class_4/f1-score,fold4/class_0/precision,fold0/class_10/precision,fold2/class_5/recall,fold0/class_0/f1-score,fold4/class_2/precision,fold0/class_1/precision,fold2/class_7/precision,fold3/class_4/precision,fold2/class_10/f1-score,fold3/class_5/f1-score,fold3/class_4/recall,fold0/class_9/recall,fold2/class_4/recall,fold2/class_6/precision,fold1/class_2/precision,fold2/class_7/f1-score,fold0/class_3/recall,fold3/class_2/precision,fold0/class_6/precision,fold1/class_7/precision,fold3/class_6/precision,fold2/class_3/precision,fold1/class_6/recall,fold3/class_7/recall,fold1/class_3/recall,fold2/class_9/precision,fold3/class_2/recall,fold3/class_9/f1-score,fold3/class_7/precision,fold3/class_0/recall,fold1/class_2/recall,fold3/class_8/f1-score,fold0/class_5/recall,fold2/class_4/precision,fold4/class_1/recall,fold1/class_4/recall,fold4/class_3/f1-score,fold1/class_7/f1-score,fold1/class_1/f1-score,fold3/class_7/f1-score,fold0/class_4/f1-score,fold3/class_9/recall,fold2/class_5/precision,fold4/class_9/precision,fold1/class_0/recall,fold3/class_10/recall,_runtime,fold3/class_5/precision,fold4/class_0/f1-score,fold1/confusion_matrix,_step,fold0/class_7/f1-score,fold2/confusion_matrix,fold0/class_7/precision,fold4/class_8/recall,fold4/class_1/precision,fold4/class_5/precision,fold0/class_3/precision,fold4/class_7/f1-score,fold4/class_6/precision,fold1/class_1/recall,fold2/class_7/recall,fold0/class_4/precision,fold1/class_6/f1-score,fold4/class_6/f1-score,fold4/class_9/f1-score,fold3/class_0/precision,fold1/class_9/f1-score,fold2/class_5/f1-score,fold2/class_9/recall,fold1/class_0/precision,fold4/class_2/recall,fold3/class_9/precision,fold1/class_3/f1-score,fold1/class_9/recall,fold3/class_4/f1-score,fold3/class_1/precision,_timestamp,fold2/class_6/recall,fold3/class_1/f1-score,fold4/class_1/f1-score,fold4/class_3/precision,fold0/class_7/recall,fold2/class_2/f1-score,fold4/class_10/precision,fold0/class_6/f1-score,fold4/class_4/f1-score,fold4/class_8/f1-score,fold3/class_2/f1-score,fold2/class_9/f1-score,fold2/class_4/f1-score,fold4/class_10/f1-score,fold3/class_3/recall,fold1/class_6/precision,fold2/class_3/recall,fold3/class_1/recall,fold3/class_10/f1-score,fold1/class_5/recall,fold2/class_2/recall,fold0/class_8/f1-score,fold2/class_10/precision,fold2/class_1/recall,fold4/class_6/recall,fold2/class_0/precision,fold0/class_10/f1-score,fold3/class_3/precision,fold3/class_5/recall,fold4/class_3/recall,fold1/class_3/precision,fold3/class_8/recall,fold2/class_6/f1-score,fold3/confusion_matrix,fold0/class_4/recall,fold2/class_0/f1-score,fold4/class_2/f1-score,cv5/fold_metrics,fold4/class_9/recall,fold1/class_7/recall,fold4/class_5/f1-score,fold2/class_8/f1-score,fold4/class_0/recall,fold0/class_6/recall,fold1/class_4/precision,fold2/class_8/precision,fold1/class_8/recall,fold1/class_8/precision,fold2/class_2/precision,fold1/class_0/f1-score,fold1/class_10/precision,fold0/class_0/precision,fold1/class_5/precision,fold1/class_1/precision,fold4/class_7/precision,fold4/class_7/recall,fold1/class_10/f1-score,fold0/class_9/precision,fold0/class_0/recall,fold2/class_8/recall,fold2/class_10/recall,fold0/class_9/f1-score,fold4/class_5/recall,fold0/class_5/f1-score,fold3/class_10/precision,fold4/confusion_matrix,fold1/class_5/f1-score,fold0/class_10/recall,fold4/class_4/recall,fold1/class_9/precision,fold0/class_5/precision,fold2/class_1/precision,fold1/class_10/recall,fold1/class_8/f1-score,fold0/class_2/precision,fold0/class_8/recall,fold0/class_8/precision,fold1/class_2/f1-score,fold4/class_8/precision,fold4/class_10/recall,fold3/class_3/f1-score,fold0/class_2/recall,fold2/class_3/f1-score,fold3/class_6/f1-score
,,,,,,,"{'_type': 'table-file', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://sqzr2sb6pmf0jwbljrif4un8k5olrhqiqmvfodlzita42j336dbvdoyy3kg6yjw86fp7kvk2ywbiajatq5wh6k4zu66mh0nxf5fu48vxve7qnen8wwn8bva67a9bcj5m/fold0/confusion_matrix.table.json', 'size': 564, 'nrows': 11, 'ncols': 12, '_latest_artifact_path': 'wandb-client-artifact://ohztmbrhgy2otzpvblicix8xa9vq1lt83mcfvxmvoewvayumeolrg4g7e6u5xu9tmfw83fj77kzh74p4yolykfjoxi49vl4oyqcfmtomiz7zvy9aoart62wpwufq1g1i:latest/fold0/confusion_matrix.table.json', 'path': 'media/table/fold0/confusion_matrix_0_4b7f08469955ca2cc139.table.json', 'sha256': '4b7f08469955ca2cc1393de64ae84a3f9593e73a2504155866dd562c75d86a0c'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6907.741200816,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1770930655.2472343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.9984139771411309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6907.742645244,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1770930655.2488227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9981124477777219,,,,,,,0.9987156887433896,,,,,,,,,,,,,,,,,,,,,,,,,
,0.9872340425531915,,,,0.9886363636363636,,,,,,,,,,,,0.9900426742532006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6907.743014404,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1770930655.2493007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.9876390605686032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6907.743273534,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1770930655.2496119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9888613861386139,,,,,,,0.9864197530864197,,
,,,,,,,,0.992797118847539,,,,,,,,,,,,,,,,,,,,0.9904191616766467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6907.743726753,,,,4,,,,,,,0.9951865222623345,,,,,,,,,,,,,,,,,,,,1770930655.2498946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9832669322709163,,,,,,6907.743928608,,,,5,,,,,,,,,,,,0.9872,,,,,,,,,,,,,,,1770930655.2503252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9793650793650793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9860759493670886,,,,,,,,,,,,,,6907.744041374,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1770930655.2504766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9804908747640025,,,,,,,0.9749687108886108,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9841688654353562,,,,,,,,,,,,,,,,,,,,,,,,,,,,6907.744186786,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,1770930655.2506118,,,,,,,,0.9861202908129544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9880794701986755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6907.744308039,,,,8,0.9920347574221579,,0.9913169319826338,,,,,,,,,,,,,,,,,,,,,,,,1770930655.2507439,,,,,0.9927536231884058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6907.744436307,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,1770930655.2508726,,,,,,,,,,,,,,,,,,,,,,0.9932483120780196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9954887218045113,0.9910179640718563,,,,,,,
