fold1/class_1/precision,fold1/confusion_matrix,fold2/class_0/f1-score,fold4/class_0/recall,fold3/class_0/f1-score,_step,fold2/class_0/recall,fold3/class_0/recall,fold0/class_0/precision,fold3/class_0/precision,fold3/confusion_matrix,fold0/confusion_matrix,fold4/class_1/f1-score,fold0/class_1/precision,fold4/class_0/precision,fold2/class_1/precision,fold4/class_1/precision,fold4/confusion_matrix,fold1/class_0/f1-score,fold0/class_0/recall,fold1/class_1/recall,fold3/class_1/f1-score,fold1/class_0/recall,_timestamp,fold3/class_1/recall,fold0/class_1/f1-score,fold2/class_1/f1-score,fold2/confusion_matrix,fold1/class_0/precision,fold2/class_0/precision,fold4/class_1/recall,cv5/fold_metrics,fold0/class_0/f1-score,fold1/class_1/f1-score,fold2/class_1/recall,fold0/class_1/recall,fold4/class_0/f1-score,fold3/class_1/precision,_runtime
,,,,,0,,,,,,"{'size': 85, 'log_mode': 'IMMUTABLE', 'nrows': 2, 'sha256': '06ee42ae013593a9d1fc6766d8b07a975020458ea15b821e714454087805b883', '_latest_artifact_path': 'wandb-client-artifact://m2g8210nw6wro5eyj633nc0v1ztyfa9tldnw8a54f3nti41rz1gh894ug96qeote4ret2stav82hm9gxdzvx96wwl4dwag9p71m1nqstf01le2e9yj3ug23npxt5xzuf:latest/fold0/confusion_matrix.table.json', '_type': 'table-file', 'path': 'media/table/fold0/confusion_matrix_0_06ee42ae013593a9d1fc.table.json', 'artifact_path': 'wandb-client-artifact://m3hpby7jhmuuzp3c04wjcixy1idxvbhwubk2pt3renvj9ebzq41r18m5vuxx7ryd6ztn2i9n3sqsc36nzewhc1s6pa2oa3ojw71brsqz3rbyz5gi8rarsh7ant1ocu8a/fold0/confusion_matrix.table.json', 'ncols': 3}",,,,,,,,,,,,1770735396.654107,,,,,,,,,,,,,,,1703.232250786
,,,,,1,,,0.9645704162976085,,,,,,,,,,,0.9872576177285318,,,,1770735396.6557124,,,,,,,,,0.9757821639246335,,,,,,1703.233781809
,,,,,2,,,,,,,,0.9910956252419667,,,,,,,,,,1770735396.6559958,,0.9830171225106034,,,,,,,,,,0.9750692520775623,,,1703.233959444
,"{'ncols': 3, 'artifact_path': 'wandb-client-artifact://s5tbqx1z9f8qjy977dgbb2jr2fpn54idp595pgm5koaugwodcwt4rykhhnwaedg70ndqqdsd3czp9vlax77h0tn0jy9zwxue45w5zmj93ibll237kjqbun6j9mrwh9t2/fold1/confusion_matrix.table.json', 'log_mode': 'IMMUTABLE', 'sha256': '612f5d9260d4dd0c25a2cec94ba6a1561793f97a83961c014b9d964b203d6fef', '_latest_artifact_path': 'wandb-client-artifact://1hbqlii2raeq6ln2q0oh32wpqkgl1fanddc3hlswqsaxlmxld6ovi6736363l8f2ub5seyepwy5mzywur95vo96b21nhp4fsm7l198u8kx7l54lfzzxb4arlc66kej31:latest/fold1/confusion_matrix.table.json', '_type': 'table-file', 'nrows': 2, 'path': 'media/table/fold1/confusion_matrix_3_612f5d9260d4dd0c25a2.table.json', 'size': 86}",,,,3,,,,,,,,,,,,,,,,,,1770735520.2504218,,,,,,,,,,,,,,,1826.828556528
,,,,,4,,,,,,,,,,,,,0.9414130380815252,,,,0.9549735582976581,1770735520.2517455,,,,,0.9282322416409654,,,,,,,,,,1826.829857129
0.9684188215345485,,,,,5,,,,,,,,,,,,,,,0.9492382271468144,,,1770735520.2519915,,,,,,,,,,0.9587326012450165,,,,,1826.829973792
,,,,,6,,,,,,,,,,,,,,,,,,1770735604.5986192,,,,"{'log_mode': 'IMMUTABLE', 'ncols': 3, 'path': 'media/table/fold2/confusion_matrix_6_c4d117a690529c065dd4.table.json', 'artifact_path': 'wandb-client-artifact://a6fwqvz5mjc9lbdtjscjbiji4w7na9xsp0j4afo9lwlyk7asnq6e4gvf4l3v3fqmm0hl6f2ep26fkhj4uzdhq0l257xlizj8pna767tx0xl8y7ltiec4z5hiec9lttqs/fold2/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://q6kcfymize47104o48z2fe9hmxhs1jbf9bhlpl9oj1k130nh2kwavlkfsupm1c7bv5rsraf4o03aywm9k4mbxpupu1e0ob7pfx0a9auojmdntfyn7bztl4uk0gcea0qw:latest/fold2/confusion_matrix.table.json', 'sha256': 'c4d117a690529c065dd48289f38aa02196689da0df59d482e1872548885b851b', 'size': 86, '_type': 'table-file', 'nrows': 2}",,,,,,,,,,,1911.176799933
,,0.936814263322884,,,7,0.9638177786736545,,,,,,,,,,,,,,,,,1770735604.5996413,,,,,,0.911282637697732,,,,,,,,,1911.177781326
,,,,,8,,,,,,,,,,0.9740981240981241,,,,,,,,1770735604.5999882,,,0.9544040718224233,,,,,,,,0.9354905764966741,,,,1911.178027899
,,,,,9,,,,,"{'ncols': 3, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://j22sy7urpd3w5koeomoasnnmn68lho72y7llvdy5bkj7uu1q39fy3xma5alqoyeoljkg666q3tpmkoy006b6xc7yg0sgkho011mw39rh6ht72ai1wpgzg19fnbkehncj:latest/fold3/confusion_matrix.table.json', 'nrows': 2, 'sha256': '16bdaa9e692436c999bb4765b3ed7815a0406954e066c94d8c42b7eb74984965', '_type': 'table-file', 'path': 'media/table/fold3/confusion_matrix_9_16bdaa9e692436c999bb.table.json', 'size': 85, 'artifact_path': 'wandb-client-artifact://zkytmovsnerwn676qz1wyvexzno8n3283grnvp2wyoxsnda26deutxsz9mxsz5jr8bpbzt0we25u34abpbjffrht7gsc90wm3hq0rt33th4zcxcfceme8lhwjfyh30yq/fold3/confusion_matrix.table.json'}",,,,,,,,,,,,,1770735893.2085226,,,,,,,,,,,,,,,2199.786600013
,,,,0.9764694201747418,10,,0.9912316065309413,,0.9621404813148112,,,,,,,,,,,,,,1770735893.2096977,,,,,,,,,,,,,,,2199.787726576
,,,,,11,,,,,,,,,,,,,,,,0.9834056854782244,,1770735893.2099438,0.9731845898004434,,,,,,,,,,,,,0.9938437588451741,2199.787891335
,,,,,12,,,,,,,,,,,,"{'sha256': '99752898ac0fcf1e4ae8aea208eab85957878d486ebf6001992dcf23b3107cb1', 'path': 'media/table/fold4/confusion_matrix_12_99752898ac0fcf1e4ae8.table.json', 'artifact_path': 'wandb-client-artifact://xpe7cikjvzh7r61zuml1fkyy8muwn21zb3hvt1zsclq7dh9ge1pkog248wpp04n48mui59gxkupnzuz49l0pn1fqxh1zfatznoa57zbzc5k887ycno2pcgvfi5c2mdrj/fold4/confusion_matrix.table.json', 'size': 87, '_type': 'table-file', 'log_mode': 'IMMUTABLE', 'nrows': 2, 'ncols': 3, '_latest_artifact_path': 'wandb-client-artifact://z9isc8qbdhx2uf56bksi1xqep8c87xo0lv0sikwpjy2eg7rm4n4wowir4kcqauktnmojslfqyz4fsa1g7x3xokrfg320prc637jt1lky5y7z1p8ts5i2mvl2jbfoim4z:latest/fold4/confusion_matrix.table.json'}",,,,,,1770735967.8599982,,,,,,,,,,,,,,,2274.438118667
,,,0.8671638782503528,,13,,,,,,,,,0.927305060085143,,,,,,,,,1770735967.8612044,,,,,,,,,,,,,0.8962266607640426,,2274.439227144
,,,,,14,,,,,,,0.93247479454376,,,,0.9125733806507247,,,,,,,1770735967.8614411,,,,,,,0.9532635809312638,,,,,,,,2274.439394108
,,,,,15,,,,,,,,,,,,,,,,,,1770735968.1189895,,,,,,,,"{'size': 770, '_type': 'table-file', 'nrows': 5, 'artifact_path': 'wandb-client-artifact://4jkp9rnc3faludss6tpv6cp66z4u1pmucgfldd96p84savaovsvrttzfzuxovmrdsz5hfd2v5kaniakiwdaovrccry09jtjcppz881h9u9ygtqnu6c3qvzxll6wmt7yj/cv5/fold_metrics.table.json', 'path': 'media/table/cv5/fold_metrics_15_75644db8f628894461d6.table.json', 'sha256': '75644db8f628894461d6916836438887c89a5242d1035b4d86772af4c185e4cb', 'ncols': 9, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://fn5wbwj1elrpiosdzggejz81k8dzxwejfoaxaomntptjaktj9ixy0pqcmom45sml7cjmboqp21x7eztmidhxgpvzcuhfo9wg7f7ygr0tlcijargcbjk3nkp9nsxt9999:latest/cv5/fold_metrics.table.json'}",,,,,,,2274.697179128
