_step,fold1/class_1/recall,fold0/class_0/f1-score,fold0/confusion_matrix,fold4/class_0/f1-score,fold4/class_1/f1-score,fold4/confusion_matrix,fold1/class_1/f1-score,fold3/confusion_matrix,fold4/class_1/precision,fold3/class_1/f1-score,fold1/class_0/precision,fold0/class_1/f1-score,fold2/class_1/precision,fold3/class_1/precision,fold2/class_0/f1-score,fold0/class_1/precision,fold4/class_1/recall,fold1/class_1/precision,cv5/fold_metrics,fold3/class_0/f1-score,fold2/class_0/recall,fold3/class_1/recall,fold3/class_0/recall,_timestamp,fold1/confusion_matrix,fold2/confusion_matrix,fold1/class_0/f1-score,fold4/class_0/recall,fold3/class_0/precision,fold0/class_1/recall,fold1/class_0/recall,fold0/class_0/precision,fold2/class_0/precision,fold0/class_0/recall,fold4/class_0/precision,fold2/class_1/recall,fold2/class_1/f1-score,_runtime
0,,,"{'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://198yism9rn78au3rbjntjzi8v5gzruxjbjblcnq3vxano9eipnlehx5jsdtbgq1zzp98g4xoo5tm9tiws7kbkyqt6bsyguwakayfzj1snmq89m6usbxo0bmnmf2pqge2/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://x5vbv058bvv7m6rl29us8as3s90dopbususjzck76nrvc6f3ujfm4kvdfdo6ppjijkmtjivyu2cquialtrekp9o7nv6ajwtfx9rvdfklm2yui2hsvm4kks0vh30jlc94:latest/fold0/confusion_matrix.table.json', 'nrows': 2, 'ncols': 3, 'path': 'media/table/fold0/confusion_matrix_0_02be5f26b087b3f7d5c1.table.json', 'sha256': '02be5f26b087b3f7d5c1bd5fa80f3a0719dc5562eead7b928ac801ba79b5fc0d', 'size': 82, '_type': 'table-file'}",,,,,,,,,,,,,,,,,,,,,1770736343.1190841,,,,,,,,,,,,,,10769.273319376
1,,0.9985774124713507,,,,,,,,,,,,,,,,,,,,,,1770736343.120796,,,,,,,,0.9971588667034962,,1,,,,10769.27477915
2,,,,,,,,,,,,0.9993763425958007,,,,1,,,,,,,,1770736343.1211696,,,,,,0.9987534626038781,,,,,,,,10769.274923967
3,,,,,,,,,,,,,,,,,,,,,,,,1770737318.6917176,"{'nrows': 2, '_type': 'table-file', 'ncols': 3, 'size': 82, 'path': 'media/table/fold1/confusion_matrix_3_f4f3403b5ddd314e1c82.table.json', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://0v48hdzc7jlyan53r41r0zmim5tzow4npqrvdg5mrzqy4x0v2b8qqzszheg7ayzasm5txdf3pau4iv7xg9jecgm7up4po9mkdi8ijjpgbp2wkxm4zxlw2d0znl1g5xo4/fold1/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://r49c367x2am7ev7088bqnldf8vub6s05obyecb4lret5sr5o2yklhczv9ltdwb6byk21vh8rnf1bu4ifpjjihxnxzhnu7qdj5858zwzguun2kelfqh2utc2lr1n9ncnt:latest/fold1/confusion_matrix.table.json', 'sha256': 'f4f3403b5ddd314e1c823f367a88183adcb556aad0a63d549aa40a9177be1c45'}",,,,,,,,,,,,,11744.845673693
4,,,,,,,,,,,0.9958228247162674,,,,,,,,,,,,,1770737318.69282,,,0.9979070410298938,,,,1,,,,,,,11744.846599829
5,0.9981648199445984,,,,,,0.999081567227546,,,,,,,,,,,1,,,,,,1770737318.6930058,,,,,,,,,,,,,,11744.846729126
6,,,,,,,,,,,,,,,,,,,,,,,,1770738355.4520612,,"{'nrows': 2, 'sha256': 'a9f0fa1a59c88e5358bc215ce1550ee57fa92616eb00e87296c5e2f916e161ce', 'artifact_path': 'wandb-client-artifact://kcy9qpji3lm3qagd51l9v443y1z617evrdd9frq5jat39b3bljhzq1fh3kldhtqiix38vod0x7yii0s7q7gmbu6877kelt65ih8bxyis95s6lt8khrg0pfh6qlyy45jc/fold2/confusion_matrix.table.json', 'size': 82, 'ncols': 3, 'log_mode': 'IMMUTABLE', 'path': 'media/table/fold2/confusion_matrix_6_a9f0fa1a59c88e5358bc.table.json', '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://f1azih7y04fou4geav0naq0eftsqr6jymiie6fax5611v8g6l9wphnsj9hkpyyprf1yehsr1l6vvbsazcotre2tdok1il87hhlcwu2sro8st52y74es2v4req4sd9712:latest/fold2/confusion_matrix.table.json'}",,,,,,,,,,,,12781.606003543
7,,,,,,,,,,,,,,,0.9972360420121614,,,,,,1,,,1770738355.4532938,,,,,,,,,0.9944873208379272,,,,,12781.607165177
8,,,,,,,,,,,,,1,,,,,,,,,,,1770738355.4535897,,,,,,,,,,,,0.9975748337028825,0.9987859447084533,12781.607378891
9,,,,,,,,"{'sha256': '748808c4fe19b6ee1ad3d8ed4b94a7160d72e176d868d23205daf8bcba8838f4', 'ncols': 3, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://fw80yc2cup4ezzcsaw7bjv0uk1sunwk0y9fbim09cqd9u83f82h7utnn9n3cn0163c8jw77f3zg2gd9r0pu3zf8biptowmik4gf7id6ojosp87oevapbfxzjave2aa74/fold3/confusion_matrix.table.json', 'nrows': 2, '_latest_artifact_path': 'wandb-client-artifact://gpl759n0xjk11xjhd3pd081twvtfxrr4bqm62mbv9xnbn789c99pfski68r4kms33pq9t83x6rhouawo3fcvq92eqkxj9j4h6a1uwubbojfxj4ds8q06zs9k5pethqb3:latest/fold3/confusion_matrix.table.json', 'size': 82, '_type': 'table-file', 'path': 'media/table/fold3/confusion_matrix_9_748808c4fe19b6ee1ad3.table.json'}",,,,,,,,,,,,,,,,1770740452.8833308,,,,,,,,,,,,,,14879.037339274
