fold1/class_1/precision,fold3/class_2/recall,_runtime,fold3/class_3/recall,fold3/class_0/f1-score,fold4/class_2/recall,fold2/class_2/recall,fold1/class_0/f1-score,fold1/class_1/recall,fold3/class_1/f1-score,fold0/class_0/recall,fold1/class_3/f1-score,fold4/class_0/recall,fold4/class_2/f1-score,fold4/class_1/precision,fold0/class_3/recall,fold2/class_0/precision,fold2/class_3/f1-score,fold2/class_1/precision,fold4/class_0/f1-score,fold1/class_2/recall,fold0/class_1/recall,fold4/class_3/f1-score,fold0/class_1/f1-score,fold2/class_1/f1-score,fold4/class_1/f1-score,fold0/class_3/precision,fold3/class_3/f1-score,fold3/class_1/precision,fold1/class_3/precision,fold1/class_0/recall,fold3/confusion_matrix,fold0/class_2/recall,fold1/class_3/recall,fold3/class_3/precision,fold0/class_3/f1-score,fold1/class_1/f1-score,fold2/class_3/precision,fold0/class_0/f1-score,fold3/class_2/f1-score,cv5/fold_metrics,fold3/class_2/precision,fold4/confusion_matrix,fold2/class_0/f1-score,fold2/class_0/recall,fold2/confusion_matrix,fold2/class_3/recall,fold2/class_2/precision,fold3/class_0/precision,fold1/class_2/precision,fold1/class_2/f1-score,fold2/class_2/f1-score,fold3/class_0/recall,fold0/class_2/f1-score,fold0/class_1/precision,fold4/class_3/precision,fold0/confusion_matrix,fold3/class_1/recall,_step,fold0/class_0/precision,fold4/class_1/recall,fold1/class_0/precision,fold4/class_0/precision,_timestamp,fold4/class_3/recall,fold0/class_2/precision,fold2/class_1/recall,fold1/confusion_matrix,fold4/class_2/precision
,,112.54098885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'path': 'media/table/fold0/confusion_matrix_0_f196970d7757a8468fc8.table.json', 'size': 149, 'ncols': 5, '_latest_artifact_path': 'wandb-client-artifact://kyb6u91hx3g79j302he2nylsh2i2rjliteqg4kx56u1l08cd1mvbf7sy8050pqjoc9adprejzl7dbki42od22nmzej1yvyijfer9lc9cjszchcuodb8y1t6wpu5ov3ka:latest/fold0/confusion_matrix.table.json', 'sha256': 'f196970d7757a8468fc8e39fe4607b6ca61c8e1d1582a232768f418e3d7a7b64', 'nrows': 4, '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://sktmk98mtupkexk779n08xg7yi30stljtlv8dvbwnw8qerqwta6p1jj7mnzlxr9tl0gy8z563g94qc7lr8o47nusyjcfxkc7lt8snvnmb7q9fsqp8sbovxkw097guiwg/fold0/confusion_matrix.table.json'}",,0,,,,,1770715921.780318,,,,,
,,112.54316848,,,,,,,,0.9729437229437229,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9625267665952891,,,,,,,,,,,,,,,,,,,,1,0.9523305084745762,,,,1770715921.782822,,,,,
,,112.543609182,,,,,,,,,,,,,,,,,,,0.9286592865928659,,0.9538850284270373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9805194805194806,,,,2,,,,,1770715921.7835257,,,,,
,,112.54397565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9604066345639379,,,,,,,,,,,,,,,,,,,,,0.9755434782608695,,,,,3,,,,,1770715921.7840106,,0.9911651021535064,,,
,,112.544335125,,,,,,,,,,,,,0.9468926553672317,,,,,,,,,,,0.8858350951374208,,,,,,,,,0.9153468050245768,,,,,,,,,,,,,,,,,,,,,,,4,,,,,1770715921.7843666,,,,,
,,213.187567587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,1770716022.4272938,,,,"{'ncols': 5, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://y5zkwcvgcbkfb0s10vithg33m5quj3m7aetjhugsfyhoxz8bo3x95xs9redbgcjbl8w4t8eyxezbix3l1p7rqd4sxklxcshj63zlul88876r2l8dcurre5cj6qenapma:latest/fold1/confusion_matrix.table.json', 'path': 'media/table/fold1/confusion_matrix_5_f41fd9d1bb9b1904f29f.table.json', 'size': 149, '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://ene49ykpdpchxwil5t3h0maoppvni7peg4tuctdvq11w80s80gpt1fa5j8tdqh4w3333vpn60vezxicfaxyianj4srznwnwrcfcuk388mefu9ulob36v83e7xgvu8xm3/fold1/confusion_matrix.table.json', 'nrows': 4, 'sha256': 'f41fd9d1bb9b1904f29f734925261bd95366034f543e1301a77a82897c1b9305'}",
,,213.18969175,,,,,0.9590443686006825,,,,,,,,,,,,,,,,,,,,,,,0.9742446755819713,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,0.9443110897743638,,1770716022.4295301,,,,,
0.9796178343949045,,213.190097763,,,,,,0.9154761904761904,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9464615384615385,,,,,,,,,,,,,,,,,,,,,,7,,,,,1770716022.4300897,,,,,
,,213.190655952,,,,,,,,,,,,,,,,,,0.9701897018970189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9922394678492239,0.9810907097835023,,,,,,,,8,,,,,1770716022.43058,,,,,
,,213.19103479,,,,,,,,,0.8977900552486188,,,,,,,,,,,,,,,,,,0.8783783783783784,,,,0.9180790960451978,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,1770716022.4310584,,,,,
