fold2/class_3/precision,fold4/class_0/precision,fold0/class_1/recall,fold1/class_0/precision,fold1/class_1/recall,fold1/class_1/precision,fold4/class_1/f1-score,fold3/class_1/precision,fold3/class_2/f1-score,fold3/class_2/recall,fold1/class_3/recall,fold3/class_3/precision,fold1/class_3/precision,fold2/class_2/precision,fold4/class_0/f1-score,fold0/class_0/recall,fold1/class_3/f1-score,fold3/class_1/f1-score,fold2/class_1/recall,fold3/class_0/f1-score,fold4/confusion_matrix,fold4/class_1/recall,fold1/class_2/recall,fold1/class_2/f1-score,fold2/confusion_matrix,fold1/class_0/f1-score,fold4/class_3/recall,fold0/class_3/recall,fold2/class_0/precision,fold0/class_2/precision,fold2/class_3/f1-score,fold2/class_0/recall,fold0/class_1/f1-score,fold3/confusion_matrix,fold1/class_1/f1-score,fold3/class_2/precision,_step,fold0/class_3/f1-score,fold4/class_2/precision,fold0/class_2/recall,cv5/fold_metrics,fold1/confusion_matrix,fold0/class_3/precision,fold2/class_3/recall,fold4/class_1/precision,_runtime,fold0/class_1/precision,fold0/class_2/f1-score,fold4/class_3/f1-score,_timestamp,fold1/class_0/recall,fold4/class_2/recall,fold3/class_0/recall,fold2/class_1/f1-score,fold4/class_0/recall,fold2/class_2/recall,fold3/class_1/recall,fold3/class_3/recall,fold0/class_0/f1-score,fold4/class_3/precision,fold0/confusion_matrix,fold2/class_2/f1-score,fold3/class_0/precision,fold4/class_2/f1-score,fold2/class_1/precision,fold2/class_0/f1-score,fold3/class_3/f1-score,fold1/class_2/precision,fold0/class_0/precision
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,184.078954736,,,,1770722189.9965625,,,,,,,,,,,"{'sha256': '58801c07fd70b90851bed665f8c8cfcc7fb5d60e0b78717ca37ad88fca8ad0c5', 'artifact_path': 'wandb-client-artifact://fz26iks4ajz4vytxn0cx7m3v32458upvp7p54qqo7wovq3mf95ng83s3bqo64mnm0g7zz48zl6ddrrjj07g59mwpof4npqw8ngp2911hokkyqjc1g8vcyxgtvhlb1g5u/fold0/confusion_matrix.table.json', 'nrows': 4, 'log_mode': 'IMMUTABLE', 'size': 146, '_latest_artifact_path': 'wandb-client-artifact://ciucwy6scfbq7frrs0hd4sw6mplytu57te876l050p9gi57e05dz6575ocza8cvadtt3cpjcyw4n9w6ci0hinzoedbhabyh1qdkc879qdqjnsk9eh5ivspj8obhaqdbm:latest/fold0/confusion_matrix.table.json', 'path': 'media/table/fold0/confusion_matrix_0_58801c07fd70b90851be.table.json', '_type': 'table-file', 'ncols': 5}",,,,,,,,
,,,,,,,,,,,,,,,0.99860853432282,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,184.080779426,,,,1770722189.9988668,,,,,,,,,0.99860853432282,,,,,,,,,,0.99860853432282
,,0.996309963099631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9949986838641748,,,,2,,,,,,,,,184.081172371,0.9936908517350158,,,1770722189.9995186,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9979353062629044,,,,,,,3,,,0.9974776427424903,,,,,,184.081535427,,0.9977064220183486,,1770722189.9999478,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9922518159806295,,,,,,,,,4,0.9929731039496001,,,,,0.9936954413191077,,,184.081905083,,,,1770722190.0003018,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,"{'nrows': 4, 'path': 'media/table/fold1/confusion_matrix_5_3cddd544991c3cda0fba.table.json', 'size': 145, 'artifact_path': 'wandb-client-artifact://wo947aib1jqggirbhggfo2ynaduat6wjzmr0xjhypir6tht261ara6grkao0gmto98hw7c1q0tal3aq767zjd17sv8pdy9fme3c9uzs57dqy1bgi2f9o3kzvcioodq1i/fold1/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://0t5j1kjkntksgwa9fns2aqr2i1sd2mir2ktbbcb900c58b4rj5njf6h4qor4gpbgwi52l9pcp8nqfd83xju87h47th2jvbhzrunkc6umiem8ag5o2uppqacukjcks468:latest/fold1/confusion_matrix.table.json', 'sha256': '3cddd544991c3cda0fba79a36ede59a501f80d7534345fec09dfcc92d3ed79b1', 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'ncols': 5}",,,,415.239815806,,,,1770722421.1580174,,,,,,,,,,,,,,,,,,,
,,,0.9980879541108987,,,,,,,,,,,,,,,,,,,,,,0.9976640475684859,,,,,,,,,,,6,,,,,,,,,415.241197874,,,,1770722421.1595607,0.9972405009552112,,,,,,,,,,,,,,,,,,
,,,,0.9979591836734694,0.9939024390243902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9959266802443992,,7,,,,,,,,,415.241696149,,,,1770722421.1599734,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.9995354239256679,0.9990712793127466,,,,,,,,,,,,,8,,,,,,,,,415.242053296,,,,1770722421.1604145,,,,,,,,,,,,,,,,,,0.9986075655604548,
,,,,,,,,,,0.9927360774818402,,0.9975669099756691,,,,0.9951456310679612,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,415.24237639,,,,1770722421.160749,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"{'path': 'media/table/fold2/confusion_matrix_10_800dc479c3aa1501d5ab.table.json', 'ncols': 5, '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://996o22kuzfjw9fb9ts38td31prq7z4vxsrj0b6qlut4brb5fjf9sxbl1nlf34owbtvassgn2yhpilkubwbhw93ubmv6seyvdjzw7cv6a25sexlw9gozn6jc8tfpcw637:latest/fold2/confusion_matrix.table.json', 'sha256': '800dc479c3aa1501d5abe0fb2e41879d87a338897a756a86e066a03c6a8a1fe5', 'size': 146, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://on825bmkewlm8uc0egnly9u3rogmyy0a25vpvbun6yie24nhl8j8wyrkpyiki8m3xyrkhf7c8it7ne3hzy7wri2d3rd0dgz1yc1bgd31duab99ud0z3e3fzppggor7te/fold2/confusion_matrix.table.json', 'nrows': 4}",,,,,,,,,,,,10,,,,,,,,,612.334573577,,,,1770722618.2527447,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9977748108589231,,,0.9993314018275017,,,,,11,,,,,,,,,612.335947154,,,,1770722618.2542264,,,,,,,,,,,,,,,,0.9985524997216345,,,
,,,,,,,,,,,,,,,,,,0.9896729776247849,,,,,,,,,,,,,,,,,,12,,,,,,,,,612.33647491,,,,1770722618.2548175,,,,0.9933774834437086,,,,,,,,,,,0.9971098265895953,,,,
,,,,,,,,,,,,,0.9982050706753421,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,612.33691766,,,,1770722618.2552252,,,,,,0.9993261455525606,,,,,,0.9987652935234033,,,,,,,
0.9922958397534669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9925507320832263,,,,,,14,,,,,,,0.9928057553956835,,612.337296607,,,,1770722618.2556279,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'sha256': 'f6efbca79ea5b635bc82738e1926ace7b357cf1e01bd80fffb1e2442700ed6b1', 'ncols': 5, 'nrows': 4, 'path': 'media/table/fold3/confusion_matrix_15_f6efbca79ea5b635bc82.table.json', 'artifact_path': 'wandb-client-artifact://4ezbxfy2oulqy40o9du61ujb9b6xgzme9fwxdqji43fryv7kcv9x19v63ncvm9us8xp0etvow1elxcl2t2lhplndjk6zs40ynibrq3a420brnc4atulqucswcgrf067k/fold3/confusion_matrix.table.json', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://fvjj8llcwoidf66cl079x3vowro39o9fvhlnghrkvmq1h6l7hcw9gxbcou0wt00f8aqyy4yd7e5ga7zmrpptciavcxbmphpdzle50cx8j6cz9bx3asttvzkjrftoa1tv:latest/fold3/confusion_matrix.table.json', 'size': 146, '_type': 'table-file'}",,,15,,,,,,,,,846.113401932,,,,1770722852.031597,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.9981814048647419,,,,,,,,,,,,,,,,,16,,,,,,,,,846.115026281,,,,1770722852.033359,,,0.9988626023657871,,,,,,,,,,0.9975011358473421,,,,,,
,,,,,,,0.9962203023758099,,,,,,,,,,0.9954140814674939,,,,,,,,,,,,,,,,,,,17,,,,,,,,,846.115494475,,,,1770722852.0338068,,,,,,,0.9946091644204852,,,,,,,,,,,,
,,,,,,,,0.9985598759277723,0.9982281284606866,,,,,,,,,,,,,,,,,,,,,,,,,,0.9988918439716312,18,,,,,,,,,846.115789761,,,,1770722852.034181,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.9967897271268058,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,846.116247811,,,,1770722852.034571,,,,,,,,0.9967897271268058,,,,,,,,,0.9967897271268058,,
,,,,,,,,,,,,,,,,,,,,"{'path': 'media/table/fold4/confusion_matrix_20_cb73b4ae7a62f734830f.table.json', 'size': 148, 'artifact_path': 'wandb-client-artifact://pykuwvvkf1n0jeuy2aeo1kvcw6mac4ey54rminc4lzbknygiz8af8t7tyavi33qif4b761a7kup049ga93knfxo0orskgvdij49ozvxbrl3znannwwihs26n96tiglud/fold4/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://1xyjvmc5kijsvtak2lzqv3kywv18qo7iosz5oc05wof5rli1bam06ya6ml2towqel04704pyc2yxd0tx8tch1uwt80kft6p87y014buzggkoyta2egfz9artvmia95pp:latest/fold4/confusion_matrix.table.json', 'nrows': 4, 'sha256': 'cb73b4ae7a62f734830f5209a143a63db89a7eb53352083e656762f85455afeb', 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'ncols': 5}",,,,,,,,,,,,,,,,20,,,,,,,,,1064.080003959,,,,1770723069.9980469,,,,,,,,,,,,,,,,,,,
,0.989050279329609,,,,,,,,,,,,,0.9939366719065799,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,1064.081723273,,,,1770723070.0000224,,,,,0.9988715865493116,,,,,,,,,,,,,,
,,,,,,0.9899810452206877,,,,,,,,,,,,,,,0.9929386203150462,,,,,,,,,,,,,,,22,,,,,,,,0.9870410367170627,1064.082014121,,,,1770723070.0004191,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,0.996454686461334,,,,,,,1064.082400668,,,,1770723070.0007367,,0.9944714727996462,,,,,,,,,,,,0.9954620918649696,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.9645583424209379,,,,,,,,,,24,,,,,,,,,1064.082747726,,,0.9768083931529542,1770723070.0011065,,,,,,,,,,0.9893736017897091,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,"{'artifact_path': 'wandb-client-artifact://dzbxf8jf6bbxa2aijmd7eq3gh9ecaz8kckoxdg3ji69hxwtmevb1tj7n3hahf52ux37aivsy4k25hxgq7tr5y2dhkmye5a7dk8sse2hyrqgpldarolxez1mmz64toobt/cv5/fold_metrics.table.json', 'ncols': 9, '_latest_artifact_path': 'wandb-client-artifact://8s1mzt12ojvei1m394vpzx7125p2929i663a1lqwhg5gbd30ejynp4b0uivcnndfii11haspk40yke0w5cn25wveao76bq6b5bda0njtdklu6teo0csogt5mqbhbl7hw:latest/cv5/fold_metrics.table.json', 'nrows': 5, 'sha256': 'ac44b237618e8d692ce6ca48ccd595957faf05070f0e89bcb6e0ce87ccc0b443', '_type': 'table-file', 'path': 'media/table/cv5/fold_metrics_25_ac44b237618e8d692ce6.table.json', 'size': 782, 'log_mode': 'IMMUTABLE'}",,,,,1064.415432232,,,,1770723070.3336864,,,,,,,,,,,,,,,,,,,
