fold0/class_7/recall,fold3/class_7/recall,fold0/class_6/f1-score,fold2/class_8/precision,fold1/class_2/f1-score,fold2/class_9/f1-score,fold0/class_4/recall,fold2/class_4/recall,fold0/class_1/recall,fold1/class_3/recall,fold3/class_6/recall,fold3/class_6/f1-score,fold0/class_4/precision,fold0/class_10/recall,fold2/class_8/f1-score,fold2/class_7/f1-score,fold3/class_5/f1-score,fold0/class_8/precision,fold1/class_10/precision,fold3/class_9/f1-score,fold4/class_5/recall,fold0/class_2/f1-score,fold0/class_7/f1-score,fold0/class_9/recall,fold0/class_5/precision,fold3/class_4/precision,fold0/class_5/recall,fold3/class_2/recall,fold1/class_5/recall,fold1/class_7/precision,fold0/class_3/f1-score,fold4/class_10/recall,fold4/class_4/recall,fold2/class_6/precision,fold2/class_4/precision,fold0/class_8/f1-score,fold2/class_7/recall,fold2/class_3/f1-score,fold1/class_5/precision,fold4/class_8/recall,fold1/class_6/f1-score,fold2/class_10/f1-score,fold3/class_1/precision,fold1/class_8/recall,fold2/class_5/recall,fold3/class_2/f1-score,fold2/class_3/precision,fold0/class_3/precision,fold3/class_10/precision,fold2/class_0/f1-score,fold2/class_10/precision,fold1/class_7/f1-score,fold3/class_3/precision,fold0/class_9/precision,fold1/class_4/precision,fold2/class_9/recall,fold3/class_2/precision,fold3/class_7/f1-score,fold0/class_3/recall,fold0/class_10/precision,fold4/class_1/recall,fold0/class_1/f1-score,fold1/class_9/f1-score,fold1/class_0/precision,fold3/class_0/precision,fold2/class_2/recall,fold0/class_2/recall,fold3/class_6/precision,fold4/class_3/precision,fold4/class_9/f1-score,fold4/class_3/recall,fold1/class_6/precision,fold3/class_9/recall,fold4/class_7/f1-score,fold0/class_9/f1-score,fold0/class_7/precision,fold2/class_4/f1-score,fold1/class_0/recall,fold3/class_10/f1-score,fold2/class_5/precision,fold3/class_10/recall,fold3/class_8/recall,fold4/class_7/recall,fold1/class_1/recall,fold3/class_4/recall,fold1/class_10/f1-score,fold4/class_0/f1-score,fold3/class_0/recall,fold0/class_0/recall,_step,_timestamp,fold4/confusion_matrix,fold1/confusion_matrix,_runtime,fold1/class_10/recall,fold1/class_4/recall,fold3/class_5/recall,fold4/class_5/f1-score,fold2/class_5/f1-score,fold2/class_6/f1-score,fold1/class_2/recall,fold2/class_8/recall,fold1/class_3/f1-score,fold3/class_8/precision,fold4/class_0/precision,fold2/class_6/recall,fold4/class_0/recall,fold4/class_8/precision,fold1/class_2/precision,fold2/class_1/precision,fold1/class_5/f1-score,fold0/class_1/precision,fold4/class_7/precision,fold3/class_3/f1-score,fold2/class_2/precision,fold3/class_3/recall,fold2/class_9/precision,fold2/class_7/precision,fold1/class_8/f1-score,fold3/class_4/f1-score,fold4/class_4/precision,fold3/class_8/f1-score,fold2/confusion_matrix,fold0/class_2/precision,fold0/class_0/f1-score,fold1/class_1/f1-score,fold2/class_1/f1-score,fold4/class_6/f1-score,fold0/class_8/recall,fold2/class_0/precision,fold3/class_5/precision,fold4/class_5/precision,fold3/class_1/recall,fold4/class_1/precision,fold0/class_6/recall,fold1/class_4/f1-score,fold0/class_0/precision,fold1/class_1/precision,fold1/class_7/recall,fold0/class_4/f1-score,fold4/class_9/recall,fold2/class_2/f1-score,fold0/class_10/f1-score,fold3/class_0/f1-score,fold4/class_10/f1-score,fold4/class_8/f1-score,fold4/class_2/recall,fold3/confusion_matrix,fold4/class_9/precision,fold1/class_9/precision,fold4/class_2/f1-score,fold4/class_1/f1-score,fold4/class_6/precision,fold3/class_1/f1-score,fold0/class_5/f1-score,fold0/class_6/precision,fold4/class_4/f1-score,fold2/class_0/recall,fold1/class_6/recall,fold4/class_3/f1-score,fold0/confusion_matrix,fold2/class_10/recall,fold4/class_10/precision,fold1/class_3/precision,fold2/class_3/recall,fold2/class_1/recall,fold3/class_7/precision,fold1/class_8/precision,fold1/class_0/f1-score,fold1/class_9/recall,cv5/fold_metrics,fold3/class_9/precision,fold4/class_2/precision,fold4/class_6/recall
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1770929941.7157276,,,3189.738335719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://iebchb3spln1y84kmpqpd13g0ju1ixra6jgqu3y1iqv3vr8p7uqpg8f51i7vk8y4v7ba5c0lenphuxl85qi2jrja0ts7f7mcjrkve0zp9jvo57blhg9oqikevlhkmcoy/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://x9av7ip997d7a3u2f3ms8x03nn8l4hyo6p70ecnabazbt5zmwftr9qqg517qlxiyzjhoqger5pxdxansnq83fxhky0m3i1wxgkqkh2txo0uei9ukm3b76643z9miwwnk:latest/fold0/confusion_matrix.table.json', 'path': 'media/table/fold0/confusion_matrix_0_84f92c517f0174c4cfa3.table.json', 'nrows': 11, 'log_mode': 'IMMUTABLE', 'sha256': '84f92c517f0174c4cfa3d252b58cf3d0bc5ce0bf39099f9a98a4cb77268b4650', 'size': 569, '_type': 'table-file', 'ncols': 12}",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998812821527503,1,1770929941.7172601,,,3189.739685988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995648389904265,,,,,,,,,,,,0.9992485960610614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1770929941.7175727,,,3189.739928555,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.9996391194514616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9992784992784993,,,,,,,,,,,,,,,,,,,,,,,3,1770929941.7177982,,,3189.740140309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9992542878448919,,,,,,,,,,,,,,,,,0.9992542878448919,,,,,,,,,,,0.9992542878448919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1770929941.7180068,,,3189.740382235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1770929941.7182364,,,3189.740523308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.9993351063829787,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1770929941.7184212,,,3189.740717808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996674426338543,,,,,,,,,,,,,,,,,,,
,,0.9992337164750957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1770929941.7186396,,,3189.74093312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9992337164750957,,,,,,,,,,,,,,,,,,,,,0.9992337164750957,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,8,1770929941.718828,,,3189.741066848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1770929941.71896,,,3189.741229154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
