_step,fold4/class_0/f1-score,fold4/class_1/recall,fold1/class_1/f1-score,fold3/class_2/f1-score,fold0/class_3/f1-score,fold0/confusion_matrix,fold1/class_0/f1-score,fold1/class_3/recall,fold1/class_3/precision,fold3/class_2/precision,fold4/confusion_matrix,fold4/class_2/f1-score,fold3/class_1/recall,fold2/class_3/precision,fold1/class_1/recall,fold2/class_0/precision,fold0/class_2/precision,fold3/class_0/f1-score,fold2/class_0/f1-score,fold3/class_3/precision,fold3/class_3/f1-score,fold4/class_0/recall,fold1/class_2/f1-score,fold0/class_3/recall,fold3/confusion_matrix,fold3/class_0/precision,fold0/class_1/recall,fold3/class_1/f1-score,fold3/class_2/recall,fold1/class_2/recall,fold0/class_0/recall,fold2/class_1/precision,fold4/class_1/precision,fold0/class_0/f1-score,fold2/class_2/f1-score,fold0/class_3/precision,fold2/class_1/recall,fold4/class_3/recall,fold1/class_2/precision,fold2/class_3/recall,fold4/class_0/precision,fold2/class_3/f1-score,fold1/confusion_matrix,_timestamp,fold4/class_3/f1-score,fold0/class_0/precision,fold0/class_2/recall,fold3/class_3/recall,fold1/class_1/precision,fold1/class_0/recall,fold1/class_0/precision,fold2/class_0/recall,fold4/class_2/precision,fold0/class_1/precision,fold3/class_1/precision,fold4/class_3/precision,fold1/class_3/f1-score,fold0/class_2/f1-score,fold2/class_2/precision,_runtime,fold2/confusion_matrix,fold4/class_2/recall,fold2/class_2/recall,fold2/class_1/f1-score,fold3/class_0/recall,cv5/fold_metrics,fold0/class_1/f1-score,fold4/class_1/f1-score
0,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://hg4jj5a2y42vyyerw1cbxv0hbpaorm8w33epe9785y8qheo68hpqsfzyniahn6nwzk46vhz30eni5lvjpa6narxhi7ilc5niy7n1o0pzmcedhqudscmywxdwbex0pn30:latest/fold0/confusion_matrix.table.json', '_type': 'table-file', 'ncols': 5, 'size': 146, 'nrows': 4, 'artifact_path': 'wandb-client-artifact://xwzyzeq7tda21md8rnyy2clx9atyjo3xozexm500wsnpt0qjveg65lwtzjcr7knxfsc3cbrfh7lfblxz2aepmew63cuj75dqa6nt96mn039rya3uc0mi6xp650agpk6d/fold0/confusion_matrix.table.json', 'sha256': 'dcd638e8c1e1d6bd024b1d5b9e19aa7029eb4deced01047c11854eb191ce599a', 'path': 'media/table/fold0/confusion_matrix_0_dcd638e8c1e1d6bd024b.table.json', 'log_mode': 'IMMUTABLE'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770723845.6682026,,,,,,,,,,,,,,,,762.376430372,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0.997686256362795,,,,,,,,,,1770723845.6707149,,0.9953831948291783,,,,,,,,,,,,,,762.378241557,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1770723845.6712468,,,,,,,,,,0.9963235294117647,,,,,,762.378603045,,,,,,,0.998158379373849,
3,,,,,,,,,,,,,,,,,0.9997692662667282,,,,,,,,,,,,,,,,,,,,,,,,,,,1770723845.6716301,,,0.9935794542536116,,,,,,,,,,,0.9966647498562392,,762.378972739,,,,,,,,
4,,,,,0.9966101694915255,,,,,,,,,,,,,,,,,,,0.9966101694915255,,,,,,,,,,,,0.9966101694915255,,,,,,,,1770723845.672103,,,,,,,,,,,,,,,,762.379440832,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'path': 'media/table/fold1/confusion_matrix_5_1401c8c093e9adf9f658.table.json', 'size': 147, '_type': 'table-file', 'ncols': 5, 'nrows': 4, 'artifact_path': 'wandb-client-artifact://rr61ouaumxglsq3kov0tmgou1i8fwki08korlwhey2ixaq7w9mpeqfucdlweyg5m1lvy7heibrlnybi13u66ynf3bqbg1sfotkc38lnyf9qj45zbe2yyocl81iaoebv8/fold1/confusion_matrix.table.json', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://lj65k5gtn7pc0tp87k7y178e71bpmlj9zhqm3fp7x6wspba6aa8ga81ayo62wj775g3dc8umom2ch1boype7x4iy9icfl89amt4xxm858nt4tp7ne5ue6toc5wwjlulb:latest/fold1/confusion_matrix.table.json', 'sha256': '1401c8c093e9adf9f65871639b427e59cbbdb9db71bc374f99e05ee8f02423a6'}",1770724161.7519114,,,,,,,,,,,,,,,,1078.459436799,,,,,,,,
6,,,,,,,0.9956535566627795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770724161.7535293,,,,,,0.9968159626406283,0.9944938585345193,,,,,,,,,1078.460883715,,,,,,,,
7,,,0.9907644946126218,,,,,,,,,,,,0.985204081632653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770724161.7539258,,,,,0.9963880288957688,,,,,,,,,,,1078.46137531,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,0.996871016340248,,,,,,,0.9990708478513357,,,,,,,,,0.9946808510638298,,,,,1770724161.7544143,,,,,,,,,,,,,,,,1078.461778388,,,,,,,,
9,,,,,,,,0.9909200968523002,0.995742092457421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770724161.7548451,,,,,,,,,,,,,0.9933252427184466,,,1078.462170125,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770725078.9545407,,,,,,,,,,,,,,,,1995.662086688,"{'size': 145, 'log_mode': 'IMMUTABLE', 'nrows': 4, 'artifact_path': 'wandb-client-artifact://p9zfxkp4so4a2k4choufotjyf82x62l1a910du6yrmu6k5qftzssasy862sxfh4kpmc8scyos0wrxcsuszelj151xjv9z75afbffgoosigvnyipjwn7qjl31rz44xae9/fold2/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://3zbnmat04o129ycv4lztpa9d1um8dlr0rw6wo1eqj8vsc1mtoa8jb0gm4wj3aladtnvzdtysgcdu7et6j8ep4jtv43wapc0vtpw2z7c52gfy97sh9idazizn6hv1h5yd:latest/fold2/confusion_matrix.table.json', '_type': 'table-file', 'ncols': 5, 'path': 'media/table/fold2/confusion_matrix_10_b344de13c6e2f55e4e4e.table.json', 'sha256': 'b344de13c6e2f55e4e4e2a24d81c8e59dddef1d503f660bc41219160d7805b38'}",,,,,,,
11,,,,,,,,,,,,,,,,0.9993318485523385,,,0.9996658126322825,,,,,,,,,,,,,,,,,,,,,,,,,1770725078.9567714,,,,,,,,1,,,,,,,,1995.664066932,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9959770114942529,,,,,0.9942627653471027,,,,,,,1770725078.9570677,,,,,,,,,,,,,,,,1995.664355012,,,,0.9951191501579099,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9988781691720888,,,,,,,,,1770725078.9573529,,,,,,,,,,,,,,,0.9977588525324966,1995.664704002,,,1,,,,,
14,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.9948612538540597,,0.9974240082431737,,1770725078.9577262,,,,,,,,,,,,,,,,1995.664997424,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,"{'sha256': 'ec2b62be921c8df3b3f294ab72d2a5e5e9d21b901744175a6661355bcdca1ea0', '_type': 'table-file', 'size': 145, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://u1buaokrifgq6dl48tz299jeeb6443kmi1jdlnjg9oh232lc5ku875u8js1hvnxo8aotlm4ad7chjm3dt4wnwdxmn5malkzc8k2yyz5lybt5bx6ob9ux01pdj7mokbj0:latest/fold3/confusion_matrix.table.json', 'ncols': 5, 'nrows': 4, 'path': 'media/table/fold3/confusion_matrix_15_ec2b62be921c8df3b3f2.table.json', 'artifact_path': 'wandb-client-artifact://e1tun9h8dsgjz1hdzuza7xa03nftqxyku7xm8ku0qq4811e7uu9qy5qubiy7zgq5rahl7edc7lyxsn1kq27xnjef787ynq7s2c8duejx8vxdng1hih4dcbj4bkb3cft6/fold3/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,,,,1770725590.7537434,,,,,,,,,,,,,,,,2507.461224407,,,,,,,,
16,,,,,,,,,,,,,,,,,,0.9995451444166478,,,,,,,,0.9993178717598908,,,,,,,,,,,,,,,,,,1770725590.755306,,,,,,,,,,,,,,,,2507.462694987,,,,,0.9997725204731575,,,
17,,,,,,,,,,,,,0.9967654986522911,,,,,,,,,,,,,,,0.9978413383702105,,,,,,,,,,,,,,,,1770725590.7557478,,,,,,,,,,,0.9989195029713668,,,,,2507.463131247,,,,,,,,
18,,,,0.9991132786521836,,,,,,1,,,,,,,,,,,,,,,,,,,0.9982281284606866,,,,,,,,,,,,,,,1770725590.7561536,,,,,,,,,,,,,,,,2507.4635132,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,0.9946780202235231,0.9973319103521878,,,,,,,,,,,,,,,,,,,,,,,1770725590.756572,,,,1,,,,,,,,,,,,2507.463917815,,,,,,,,
