fold0/class_3/precision,fold2/class_1/f1-score,fold4/class_2/recall,fold1/class_1/f1-score,fold2/class_2/precision,fold3/confusion_matrix,_timestamp,fold0/class_3/recall,fold4/confusion_matrix,fold2/confusion_matrix,fold3/class_0/recall,fold3/class_3/precision,fold2/class_3/recall,fold3/class_1/recall,fold0/confusion_matrix,fold0/class_1/recall,_step,fold2/class_1/recall,fold0/class_1/f1-score,fold1/class_2/precision,fold4/class_1/recall,fold1/class_1/precision,fold2/class_0/precision,fold0/class_3/f1-score,fold3/class_2/precision,fold2/class_2/f1-score,fold3/class_0/precision,fold4/class_0/recall,fold2/class_0/recall,fold4/class_3/f1-score,fold1/class_2/f1-score,fold2/class_3/precision,fold4/class_2/f1-score,fold1/class_3/f1-score,fold4/class_3/precision,fold3/class_1/precision,fold1/class_3/precision,fold4/class_2/precision,fold3/class_2/recall,fold0/class_1/precision,fold1/class_3/recall,fold2/class_3/f1-score,fold3/class_2/f1-score,fold0/class_0/recall,fold3/class_3/recall,fold1/class_0/recall,fold3/class_3/f1-score,fold0/class_0/f1-score,fold4/class_0/precision,fold2/class_1/precision,fold2/class_0/f1-score,fold0/class_0/precision,fold1/class_2/recall,_runtime,fold4/class_0/f1-score,fold1/class_0/f1-score,fold0/class_2/precision,fold0/class_2/f1-score,fold0/class_2/recall,fold4/class_1/f1-score,cv5/fold_metrics,fold1/class_0/precision,fold2/class_2/recall,fold1/confusion_matrix,fold1/class_1/recall,fold4/class_3/recall,fold3/class_0/f1-score,fold3/class_1/f1-score,fold4/class_1/precision
,,,,,,1770721607.5053816,,,,,,,,"{'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://11rw2eh7s4pxghkxz1q8ucjmykvqq16uorkry07t4qibcw2nlpur3wu6i9f14a948yzomqvc8sk88bs2nb2sda2557rdsn155zbciy97zw29tmw405ybr3euu2yuxn7w/fold0/confusion_matrix.table.json', '_type': 'table-file', 'nrows': 4, 'sha256': 'f131b0aa15084e692812d8e5a22ae1a47b9615dd8c35a24c2b84a51e02925965', 'size': 148, '_latest_artifact_path': 'wandb-client-artifact://9p97mwvrt1mc4armlplud4t00gckmyqb4ixdomwxddeq9m5pu2qd7gof6085exp2d8px82s0312sosh4xr5t8lboh16p295fz8kp1zq1kj08r6c2dzpaozo3f0qjmv8j:latest/fold0/confusion_matrix.table.json', 'ncols': 5, 'path': 'media/table/fold0/confusion_matrix_0_f131b0aa15084e692812.table.json'}",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.180144796,,,,,,,,,,,,,,,
,,,,,,1770721607.5073261,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9902597402597403,,,,0.9928385416666666,,,,0.9954308093994778,,101.181999467,,,,,,,,,,,,,,,
,,,,,,1770721607.5079663,,,,,,,,,0.9719557195571956,2,,0.9839372431826672,,,,,,,,,,,,,,,,,,,,,0.9962178517397882,,,,,,,,,,,,,,101.182592085,,,,,,,,,,,,,,,
,,,,,,1770721607.5084813,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.183007346,,,0.9973579920739762,0.983232948070975,0.9695024077046549,,,,,,,,,,
0.9062693978895097,,,,,,1770721607.5088546,0.9898305084745763,,,,,,,,,4,,,,,,,0.9462086843810759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.183458682,,,,,,,,,,,,,,,
,,,,,,1770721768.9698365,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.644383244,,,,,,,,,,"{'size': 151, 'path': 'media/table/fold1/confusion_matrix_5_c57330dbc27dd434b464.table.json', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://kpx39wyx4v8i2wh7bj0nwxvlikkc0by1y8jn2c5ud0kqt5ek95u43yrhr50f7ta6aihpp9gylaq1j6swwc120hu8isgxet1hxexmjj93yui9ke1q7ye3cb6ic8mvm38e/fold1/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://er8kiwxh936quljwhm9cp25nokrfq1jyu1581ldl0od1o06vuzpmvih3q95429s8vuzw3fsixlcrvs2jgcta9lmjld5h2cl1sw82rkbrx9aa286ke0kyknop4gdgmifs:latest/fold1/confusion_matrix.table.json', 'ncols': 5, 'nrows': 4, 'sha256': 'c57330dbc27dd434b46430317019db7595e4a269c1d2b2a1ed194b4e9d66caf2', '_type': 'table-file'}",,,,,
,,,,,,1770721768.9713447,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9937592867756315,,,,,,,,262.645919887,,0.9918433931484503,,,,,,0.9899348727057431,,,,,,,
,,,0.9889087656529517,,,1770721768.9717274,,,,,,,,,,7,,,,,0.9906810035842294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.646338939,,,,,,,,,,,0.9871428571428571,,,,
,,,,,,1770721768.9721766,,,,,,,,,,8,,,0.9964181048518398,,,,,,,,,,,0.9957696062479662,,,,,,,,,,,,,,,,,,,,,,0.9951219512195122,262.646714612,,,,,,,,,,,,,,,
,,,,,,1770721768.9725444,,,,,,,,,,9,,,,,,,,,,,,,,,,,0.9787775891341256,,,0.9804421768707483,,,,0.9771186440677966,,,,,,,,,,,,,262.64706984,,,,,,,,,,,,,,,
,,,,,,1770721898.5952604,,,"{'artifact_path': 'wandb-client-artifact://67a35kuedcp6tdjurbijrd1j8kpz1z58baag7cvf433od1mk4sybgrtk6hhikjoqktbnaqadwjyljg7n5mhc2f4pshobmwmjbiomf0ty1cmqdlb36sfoldaznz145vfn/fold2/confusion_matrix.table.json', 'ncols': 5, 'path': 'media/table/fold2/confusion_matrix_10_47c5c49febbbc5542c13.table.json', 'sha256': '47c5c49febbbc5542c135031759cb6a65f1ab169f8b0a9a2f895d9f963f8ddd9', '_latest_artifact_path': 'wandb-client-artifact://bt80349n0vy5xgyoa3uxe114pj0p5f462baggtjspwvecqxut5y66kvie50mlythgyh7kucyoexnbonytf83n9odk58zd6l2yh390kp9jnlfdlykn24z8bf9g8zcn8hg:latest/fold2/confusion_matrix.table.json', 'nrows': 4, 'size': 149, 'log_mode': 'IMMUTABLE', '_type': 'table-file'}",,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.26990753,,,,,,,,,,,,,,,
,,,,,,1770721898.597454,,,,,,,,,,11,,,,,,0.9971804511278195,,,,,,0.9931357254290172,,,,,,,,,,,,,,,,,,,,,,0.9951539784273878,,,392.271964816,,,,,,,,,,,,,,,
,0.98097936058276,,,,,1770721898.5977693,,,,,,,,,,12,0.9734939759036144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9885807504078303,,,,392.27223738,,,,,,,,,,,,,,,
,,,,0.9915598624570178,,1770721898.5980296,,,,,,,,,,13,,,,,,,,,0.9945132465903747,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.272487171,,,,,,,,,0.9974842767295597,,,,,,
,,,,,,1770721898.5982907,,,,,,0.9798561151079137,,,,14,,,,,,,,,,,,,,,0.9707769066286529,,,,,,,,,,0.9752953813104189,,,,,,,,,,,,392.272745197,,,,,,,,,,,,,,,
,,,,,"{'artifact_path': 'wandb-client-artifact://p49imr53xvau5a678n5x1vnoc28rl8pkmnktpnoyli1trnubb5qotnob3nmc5vaghyi0ibjkmmpmek3cobthplolz8qv2hgzyt1gos369iasxorbomy2mhl5zyomt6wq/fold3/confusion_matrix.table.json', 'nrows': 4, 'size': 148, 'path': 'media/table/fold3/confusion_matrix_15_7a54ad8d84eb73079711.table.json', 'sha256': '7a54ad8d84eb73079711a49e95552d7cfa83a305c65ed3bd776932577ea700a1', '_type': 'table-file', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://21frttgzzf1kk3i1l172lkt0f7k2rhaiik1jld8xnhtdoqtpcrzsyqfm3g5umtgt9mnz98fn7wbzvbotklh3zamjra5blvz9p3g71jmnv53q9y4ar9hvwfcm9a0b9hma:latest/fold3/confusion_matrix.table.json', 'ncols': 5}",1770722099.196509,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592.871327268,,,,,,,,,,,,,,,
,,,,,,1770722099.1982799,,,,0.9898089171974522,,,,,,16,,,,,,,,,,0.9971126082771896,,,,,,,,,,,,,,,,,,,,,,,,,,,592.872990468,,,,,,,,,,,,,0.993447338980342,,
,,,,,,1770722099.198806,,,,,,,0.9773584905660377,,,17,,,,,,,,,,,,,,,,,,,0.9810606060606061,,,,,,,,,,,,,,,,,,592.873390184,,,,,,,,,,,,,,0.9792060491493384,
,,,,,,1770722099.1992817,,,,,,,,,,18,,,,,,,,0.9925948781240358,,,,,,,,,,,,,,0.9975193798449612,,,,0.9950510361892979,,,,,,,,,,,592.873750591,,,,,,,,,,,,,,,
,,,,,,1770722099.199547,,,,,0.9732739420935412,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9820224719101124,,0.9776286353467561,,,,,,,592.873993076,,,,,,,,,,,,,,,
