fold1/class_0/precision,fold1/confusion_matrix,fold4/class_1/precision,fold0/class_1/f1-score,_runtime,fold0/class_0/f1-score,fold1/class_0/f1-score,fold3/class_1/precision,fold2/class_1/f1-score,fold0/class_1/precision,fold2/class_1/recall,fold1/class_1/precision,fold0/class_0/recall,fold0/confusion_matrix,fold2/class_0/f1-score,fold3/class_0/precision,fold4/class_0/f1-score,fold4/class_0/precision,fold4/confusion_matrix,fold4/class_1/recall,fold0/class_0/precision,cv5/fold_metrics,fold3/confusion_matrix,fold1/class_1/recall,fold1/class_0/recall,fold4/class_0/recall,fold0/class_1/recall,fold3/class_1/f1-score,fold2/class_0/precision,_timestamp,fold3/class_0/recall,fold2/confusion_matrix,fold3/class_0/f1-score,fold2/class_1/precision,fold4/class_1/f1-score,fold2/class_0/recall,_step,fold1/class_1/f1-score,fold3/class_1/recall
,,,,2234.259998053,,,,,,,,,"{'path': 'media/table/fold0/confusion_matrix_0_39aac9caf1b0b040214f.table.json', '_type': 'table-file', 'nrows': 2, 'ncols': 3, 'artifact_path': 'wandb-client-artifact://6drekq9tt3jamux8e8xdnvf8g1jbqcrt37xvli9nwcdhr639mw6i03i0x5smwdoeddd7c0rq4k11ko5a6sry7serb81r2rgq4z7yve4p8309fa9s2iwi6637yzwdddn6/fold0/confusion_matrix.table.json', 'sha256': '39aac9caf1b0b040214f1cc17162ceade56f2aecc043e8a55158cfddb5cc74a8', 'size': 85, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://8qoo10zdq5dtbgfo9bayog68ovzow8tnfbhzqs2p510yty67ubzt0iv45y0fsshh00nu6hqryek03ixeafa3zvgj9wfgu8irjjn0ge4uqwphm5vmz63vl91jfcfeuw6m:latest/fold0/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,1770728317.4820454,,,,,,,0,,
,,,,2234.260768815,0.9470392332060759,,,,,,,0.9227542540561932,,,,,,,,0.9726370234420623,,,,,,,,,1770728317.4829972,,,,,,,1,,
,,,0.9776742911929872,2234.261053013,,,,,0.9669466269303711,,,,,,,,,,,,,,,,,0.9886426592797783,,,1770728317.4832466,,,,,,,2,,
,"{'size': 85, '_latest_artifact_path': 'wandb-client-artifact://52wyd7j9yu82v2yhkdljtjipmy2j5f0y1m4dh0p3fuwoh2wi0vtlr325zj2ky5bvoormxdwfm5jwg439c2ftd8j0kbk6radu5bao0esdzeo2q7fbb8my4df1yfpw0xny:latest/fold1/confusion_matrix.table.json', 'ncols': 3, 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'path': 'media/table/fold1/confusion_matrix_3_47ef219871ad098e76b7.table.json', 'sha256': '47ef219871ad098e76b7c723dfc0cb575da07096f039ef838a5a9aa5fcbfb810', 'artifact_path': 'wandb-client-artifact://wcx8nj1dfqste6mpxl9rtinpquurexp5mxllkx1ojo9fs4cscs3v7j552uhs4n7ja5x04n7rldhbkqygbxu0wrobc9mehc5t7cga048wb5f7hyppl3bbn9vzxqogzjzt/fold1/confusion_matrix.table.json', 'nrows': 2}",,,2537.584109006,,,,,,,,,,,,,,,,,,,,,,,,,1770728620.8060286,,,,,,,3,,
0.9663450405248939,,,,2537.585139688,,0.9784290738569754,,,,,,,,,,,,,,,,,,0.990819153146023,,,,,1770728620.807238,,,,,,,4,,
,,,,2537.58531075,,,,,,,0.9959383753501401,,,,,,,,,,,,0.9849030470914127,,,,,,1770728620.8075733,,,,,,,5,0.9903899721448468,
,,,,2669.745885042,,,,,,,,,,,,,,,,,,,,,,,,,1770728752.9678533,,"{'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://6f9d2kc7bnu9f1aplfr05c17t9tbqwmdfl5m40cps9ophqnl3hu7td6q2al7kv3xi7xv38xyfog0e56fidecpylvd3gvqmbg56s5ufra9orgi5pbqpmcmg87x0gj8cuw:latest/fold2/confusion_matrix.table.json', 'nrows': 2, 'path': 'media/table/fold2/confusion_matrix_6_a7434326dbd807f5cace.table.json', 'size': 86, 'ncols': 3, '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://7gr0s6vohu5unkng9adhcmr4iv2o7pz48jesp4elz28b5t216xt71lqpj81o08duh2dbsr2tw0hsog9jwf1dsyu723bdktumovtt72ey8s93amzac4iq7f6060cbhc9x/fold2/confusion_matrix.table.json', 'sha256': 'a7434326dbd807f5cace482f4f041bcd35bf85e4c30f72f08cf9aa4b54fe3ff5'}",,,,,6,,
,,,,2669.747235133,,,,,,,,,,0.7974968049006214,,,,,,,,,,,,,,0.899135446685879,1770728752.9693637,,,,,,0.716503009185936,7,,
,,,,2669.747519842,,,,0.9237888312076029,,0.964835088691796,,,,,,,,,,,,,,,,,,,1770728752.9697182,,,,0.8860924623755131,,,8,,
,,,,2817.506080875,,,,,,,,,,,,,,,,,,"{'size': 86, 'log_mode': 'IMMUTABLE', 'ncols': 3, 'nrows': 2, 'sha256': '9b200e7072f030eef757508fa4d93bfc6c5559ebcc39112b657115b94df3813b', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://d5gr13e7k05rmusvxgo1pzdsa3kofo1cfcdgq64foueg5f6g157hcnvhkylyktpnxp6evrgnffh6myeqhpqm3wuegfrsh8fqmtoduhi7afivh7oqdq861q7smpmbbivo/fold3/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://vvizl4ildv87lp7la6vvl146020tegs69e23e2nm6xw28z1qn8gnkpqs020to8p7nbbjywi3wztbsopp8vd6cx33wpdrq9z324u8apupb5d5tgqqtb27gaays3bsawbq:latest/fold3/confusion_matrix.table.json', 'path': 'media/table/fold3/confusion_matrix_9_9b200e7072f030eef757.table.json'}",,,,,,,1770728900.728149,,,,,,,9,,
,,,,2817.507024312,,,,,,,,,,,0.8467656788906877,,,,,,,,,,,,,,1770728900.7291937,0.9526449160595502,,0.8965902738960313,,,,10,,
,,,,2817.507217569,,,0.9780831958951806,,,,,,,,,,,,,,,,,,,,0.950577926588185,,1770728900.7294402,,,,,,,11,,0.9245773281596452
