fold1/class_0/precision,fold4/class_1/precision,fold3/class_1/recall,fold0/class_0/precision,fold4/class_1/recall,fold3/class_0/f1-score,fold2/class_1/precision,fold4/confusion_matrix,fold1/class_1/precision,fold3/class_1/f1-score,fold4/class_0/recall,fold0/class_0/recall,fold3/class_0/recall,fold1/class_0/f1-score,fold4/class_0/precision,fold3/class_0/precision,_runtime,fold2/class_1/recall,_step,cv5/fold_metrics,fold2/class_1/f1-score,fold0/class_1/precision,fold0/class_1/f1-score,fold1/class_0/recall,_timestamp,fold0/confusion_matrix,fold1/class_1/f1-score,fold2/class_0/f1-score,fold1/class_1/recall,fold2/class_0/precision,fold0/class_0/f1-score,fold1/confusion_matrix,fold3/class_1/precision,fold3/confusion_matrix,fold4/class_1/f1-score,fold4/class_0/f1-score,fold2/confusion_matrix,fold0/class_1/recall,fold2/class_0/recall
,,,,,,,,,,,,,,,,5554.374109064,,0,,,,,,1770742971.4990604,"{'ncols': 3, 'nrows': 2, 'sha256': '25665ede5f3eaff534b682918d2c2259f5db87aa8c8d5de306be79d99ddf76e1', 'size': 82, '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://hcctqbugz5msa2m0009l0cwvxc76f3vt3nodv6xow0psk909v5tipg2qlbq6hqonjnieth318eeg6jgo55c5llv1dx6zwt8nszlnkwfooc6zj7p579u2h7xr2fmpwg9w/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://tw0knmsaf0vfj7dhub6nqe6gxdkplmco3mobursuwaz6q5qt4yvrjrgsle67s83wo4dtw3u5luaag436d4i2vweupr44dg0ecuj22vlfdpvlsxupiaz8m1agxsk0mzzj:latest/fold0/confusion_matrix.table.json', 'path': 'media/table/fold0/confusion_matrix_0_25665ede5f3eaff534b6.table.json', 'log_mode': 'IMMUTABLE'}",,,,,,,,,,,,,
,,,0.9957986759463588,,,,,,,,1,,,,,5554.376191011,,1,,,,,,1770742971.501333,,,,,,0.9978949159029535,,,,,,,,
,,,,,,,,,,,,,,,,5554.376555758,,2,,,1,0.9982830682783858,,1770742971.5018053,,,,,,,,,,,,,0.9965720221606649,
,,,,,,,,,,,,,,,,6034.268907893,,3,,,,,,1770743451.3940132,,,,,,,"{'_type': 'table-file', 'nrows': 2, 'log_mode': 'IMMUTABLE', 'path': 'media/table/fold1/confusion_matrix_3_ac59894fe039da7a97cf.table.json', 'artifact_path': 'wandb-client-artifact://r4sltcnpzijlp1vreqb6v4zc4rohoogosg5ekely5kw8l5gin0wa1bavup2mnwirs2i0kxn16rukmgyp4qpqfnitb60ir90ninqltr92kodcfe6nh588h1b5n4rabgtj/fold1/confusion_matrix.table.json', 'sha256': 'ac59894fe039da7a97cf86b976015780efbdaffdee081416d152c8b0c55be5f0', 'ncols': 3, 'size': 83, '_latest_artifact_path': 'wandb-client-artifact://1cx3hmh8ma1ohh3cxg4wrnf78mp3q0utu8r2jt6l8anx4ywg6s0uydr14san9k1bt1j29h0rexrwhgtsqo4g6siw5nzxzfk9xlhse0cpwxgtinceijlt2xiaxmhchnrf:latest/fold1/confusion_matrix.table.json'}",,,,,,,
0.9936060298102981,,,,,,,,,,,,,0.996792761411185,,,6034.270061071,,4,,,,,1,1770743451.3953524,,,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,6034.27029127,,5,,,,,,1770743451.3956892,,0.9973788817719453,,0.9947714681440443,,,,,,,,,,
,,,,,,,,,,,,,,,,6730.75192449,,6,,,,,,1770744147.8770843,,,,,,,,,,,,"{'_type': 'table-file', 'path': 'media/table/fold2/confusion_matrix_6_a9d20b50aefe3b469d79.table.json', '_latest_artifact_path': 'wandb-client-artifact://mvo7xobnr09p3ebp7i8xy9zj1kd9mc1p3jweai4axaxgg3kh89vt629k8okb8pz7lsspisfskf94n4htuggs4qchujvv84szd9jk1c8jc5ozgu6zhixlemk2pgkcafcj:latest/fold2/confusion_matrix.table.json', 'ncols': 3, 'size': 83, 'artifact_path': 'wandb-client-artifact://k8cl4wzzce17j8lfuetmws6ysvfi3lag3zfuioe5h15rxkemt5aoyettw6tsd004kio0ktc2t59felrf4vhtvxho976udzhpzxx0h5wqa6604kliv0wc9pvhmfeh5t2y/fold2/confusion_matrix.table.json', 'nrows': 2, 'sha256': 'a9d20b50aefe3b469d79d08b9ee6365af1cac1b56432b51520e09e71b89eb1f7', 'log_mode': 'IMMUTABLE'}",,
,,,,,,,,,,,,,,,,6730.753915087,,7,,,,,,1770744147.8792157,,,0.9962616822429906,,0.9925512104283054,,,,,,,,,1
,,,,,,1,,,,,,,,,,6730.75417252,0.9939024390243902,8,,0.9969418960244648,,,,1770744147.8795712,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7487.964440509,,9,,,,,,1770744905.0896256,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://kk48n69q9vlkc8mu7gndk6lzt33lvdgt3qp8xojgo778xd0wsfel8i7315dh1edmi0deir9adtkavq5tzep3msfb7yhu27b205s8sucwstwkrt99lss6j2np3oveko83/fold3/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://xufkftb7uiifuz7kzz3de0vj8yrhrz1gu3fdpi8jcapj3pqo81rlc6u9to0qv1nwffv48kmrvbbinttweyuo54bxruwn0is45mluetki1zymr6lyqu0mx7kguw7sumfg:latest/fold3/confusion_matrix.table.json', 'nrows': 2, 'path': 'media/table/fold3/confusion_matrix_9_41bbe357c3a66efb549f.table.json', 'size': 83, 'log_mode': 'IMMUTABLE', 'ncols': 3, '_type': 'table-file', 'sha256': '41bbe357c3a66efb549f58986c94d261821a4524d23479407aead631877cbdd0'}",,,,,
