fold1/class_5/f1-score,fold2/class_1/recall,fold1/class_9/precision,fold4/class_1/precision,fold4/class_4/precision,fold1/class_0/precision,fold2/class_1/precision,fold4/class_0/f1-score,fold4/class_8/precision,fold3/class_9/f1-score,fold1/class_10/precision,fold4/class_2/f1-score,fold1/class_1/precision,fold0/class_6/f1-score,fold3/class_4/precision,fold0/class_4/f1-score,fold0/class_6/recall,fold4/class_0/recall,fold1/class_2/f1-score,fold4/class_10/f1-score,fold2/class_8/f1-score,fold4/class_6/precision,fold4/class_2/recall,fold2/class_4/recall,fold0/class_7/recall,fold0/class_2/f1-score,fold0/class_7/precision,fold2/class_8/precision,_runtime,fold1/class_4/f1-score,fold3/class_6/precision,fold2/class_4/precision,fold3/class_2/recall,fold3/class_5/f1-score,fold4/class_9/f1-score,fold3/class_7/f1-score,fold0/class_0/f1-score,fold0/class_8/f1-score,fold1/class_1/f1-score,fold4/class_9/recall,fold4/class_5/f1-score,fold2/confusion_matrix,fold4/class_3/f1-score,fold1/class_4/precision,fold0/class_3/f1-score,fold3/class_9/recall,fold3/class_1/precision,fold3/class_9/precision,fold2/class_4/f1-score,cv5/fold_metrics,fold3/class_7/precision,fold1/class_7/recall,fold0/class_8/precision,fold1/class_9/recall,fold1/class_6/f1-score,fold0/class_10/precision,fold1/class_0/f1-score,fold2/class_10/recall,fold4/class_4/f1-score,fold3/class_0/precision,fold2/class_3/precision,fold3/class_5/precision,fold1/class_9/f1-score,fold3/class_3/recall,fold4/class_1/recall,fold3/confusion_matrix,fold0/class_1/precision,fold0/class_9/precision,fold3/class_0/f1-score,fold2/class_9/precision,fold3/class_2/precision,fold4/class_3/recall,fold1/class_1/recall,fold3/class_8/f1-score,fold3/class_7/recall,fold2/class_10/precision,fold3/class_0/recall,fold2/class_5/precision,fold0/class_4/precision,fold2/class_6/recall,fold2/class_9/f1-score,fold4/class_4/recall,fold0/class_5/f1-score,fold2/class_0/f1-score,fold2/class_7/precision,fold4/class_6/f1-score,fold2/class_8/recall,fold4/class_7/f1-score,fold2/class_6/f1-score,fold0/class_3/precision,_step,fold0/confusion_matrix,fold0/class_4/recall,fold1/class_2/recall,fold0/class_2/recall,fold0/class_2/precision,fold1/confusion_matrix,fold0/class_6/precision,fold2/class_1/f1-score,fold3/class_8/recall,fold2/class_2/f1-score,fold2/class_6/precision,fold0/class_5/precision,fold4/class_10/recall,fold2/class_0/precision,fold1/class_4/recall,fold3/class_3/f1-score,fold1/class_2/precision,fold3/class_5/recall,fold1/class_8/f1-score,fold0/class_9/f1-score,fold3/class_6/f1-score,fold1/class_8/precision,fold3/class_1/f1-score,fold3/class_1/recall,fold0/class_3/recall,fold0/class_9/recall,fold3/class_4/recall,fold1/class_10/recall,fold4/class_7/precision,fold4/class_7/recall,fold4/class_10/precision,fold0/class_5/recall,fold3/class_8/precision,fold2/class_7/f1-score,fold2/class_2/precision,fold1/class_3/recall,fold4/class_0/precision,fold0/class_1/recall,fold0/class_0/precision,fold3/class_3/precision,fold4/confusion_matrix,fold2/class_3/f1-score,fold1/class_7/precision,fold1/class_6/recall,fold2/class_10/f1-score,fold1/class_5/recall,fold1/class_0/recall,fold4/class_9/precision,fold4/class_3/precision,fold1/class_10/f1-score,fold4/class_1/f1-score,_timestamp,fold3/class_10/precision,fold0/class_8/recall,fold3/class_6/recall,fold1/class_6/precision,fold3/class_2/f1-score,fold0/class_1/f1-score,fold2/class_0/recall,fold3/class_10/recall,fold4/class_8/recall,fold1/class_7/f1-score,fold2/class_2/recall,fold1/class_3/f1-score,fold4/class_2/precision,fold3/class_4/f1-score,fold1/class_5/precision,fold0/class_0/recall,fold1/class_8/recall,fold0/class_7/f1-score,fold2/class_9/recall,fold4/class_8/f1-score,fold0/class_10/recall,fold4/class_6/recall,fold1/class_3/precision,fold4/class_5/precision,fold2/class_3/recall,fold2/class_5/recall,fold0/class_10/f1-score,fold3/class_10/f1-score,fold4/class_5/recall,fold2/class_5/f1-score,fold2/class_7/recall
,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.16716611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"{'size': 559, '_type': 'table-file', 'nrows': 11, 'artifact_path': 'wandb-client-artifact://tzp2i98w2p50yhgdz2ngki9o77xrmrzdyg960wgonb0a7sncrbttt3knmfxlicvs5knn0mx5oavtq395mkgw0auoekfihopro5s2qv2xz90a0v6fvgq9ldcz5r6timro/fold0/confusion_matrix.table.json', 'ncols': 12, 'path': 'media/table/fold0/confusion_matrix_0_f4d6aa676cfa96e8b2d3.table.json', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://sd05znigbiszt088rjglypvm3v0fxyyd90tyuei871ph8xn8suu40duv1gbwugu9ybz49t97kojlascxs1vxj6cs9d6dsr8x7bkbqj6cnblnvdaqmamtruqi3vwrsk84:latest/fold0/confusion_matrix.table.json', 'sha256': 'f4d6aa676cfa96e8b2d33b5923e18e8a1c424924e712f7e58d2e293268114c49'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770739874.0780551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.168855651,,,,,,,,0.9999680378431937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999573842449554,,,,,,,,,,,,,1770739874.0803015,,,,,,,,,,,,,,,,0.9999786916684423,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.169414782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.997867803837953,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1770739874.0809498,,,,,,0.9989327641408752,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,465.16995531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770739874.0815535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.170456138,,,,,,,,,,,,,,,,0.9988439306358381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9976905311778291,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1770739874.082082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.9987995198079231,,,,,,,,,,,,,465.171154239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,5,,0.9976019184652278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770739874.0826454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.171633697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9935622317596566,,,,,,,,6,,,,,,,,,,,,0.9914346895074947,,,,,,,,,,,,,,,,,,,,0.9956989247311828,,,,,,,,,,,,,,,,,,,,1770739874.0831952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.9979508196721312,,,0.9959100204498977,,,,,,,,,,,,465.172674453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770739874.083818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,465.176291791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770739874.0872393,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.176642761,,,,,,,,,0.9966480446927374,,,,,,,,,,,,,,,0.9955357142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770739874.0880613,,0.9977628635346756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
