fold3/class_1/recall,fold0/class_6/f1-score,fold2/class_3/recall,fold1/class_9/precision,fold2/class_3/f1-score,fold2/confusion_matrix,fold3/class_7/f1-score,_timestamp,fold3/class_6/f1-score,fold0/class_3/precision,fold1/class_2/f1-score,fold2/class_4/precision,fold2/class_8/precision,fold1/class_2/precision,fold0/class_0/precision,fold0/class_9/precision,fold3/class_0/f1-score,fold1/class_5/f1-score,fold2/class_8/f1-score,fold2/class_4/recall,_runtime,fold2/class_6/precision,fold3/class_9/f1-score,fold4/confusion_matrix,fold0/class_6/recall,fold0/confusion_matrix,fold1/class_6/recall,fold1/class_3/f1-score,fold0/class_10/precision,fold1/class_4/precision,fold1/class_10/precision,fold2/class_2/precision,fold1/class_0/precision,fold4/class_1/f1-score,fold1/class_7/recall,fold3/class_3/precision,fold3/class_4/f1-score,fold3/class_8/recall,fold1/class_2/recall,fold3/class_7/recall,fold0/class_10/recall,fold2/class_6/recall,fold0/class_9/f1-score,fold4/class_8/precision,fold3/class_8/precision,fold1/class_10/f1-score,fold0/class_6/precision,fold2/class_6/f1-score,fold3/class_10/precision,fold1/class_5/precision,fold3/class_2/precision,fold4/class_6/recall,fold3/class_4/precision,fold0/class_2/precision,fold0/class_10/f1-score,fold1/class_9/f1-score,fold4/class_9/f1-score,fold3/class_1/precision,fold0/class_8/recall,fold4/class_4/f1-score,fold4/class_0/precision,fold4/class_0/recall,fold0/class_7/f1-score,fold2/class_2/f1-score,fold2/class_0/f1-score,fold1/class_5/recall,fold1/class_0/recall,fold4/class_10/f1-score,fold4/class_7/recall,fold4/class_5/precision,fold1/class_4/f1-score,fold0/class_2/f1-score,fold0/class_4/recall,fold4/class_10/precision,fold0/class_5/precision,fold4/class_2/recall,fold1/class_3/recall,fold3/class_5/recall,fold4/class_5/f1-score,fold1/class_1/recall,fold3/class_7/precision,fold1/class_7/precision,fold2/class_0/recall,fold2/class_10/f1-score,fold0/class_9/recall,fold2/class_2/recall,fold3/class_2/recall,fold2/class_9/f1-score,fold1/class_1/f1-score,fold4/class_9/precision,fold2/class_1/recall,fold0/class_8/precision,fold2/class_1/precision,fold0/class_7/precision,fold1/class_10/recall,fold1/class_6/precision,fold0/class_1/f1-score,fold4/class_3/f1-score,fold0/class_3/recall,fold2/class_5/recall,fold2/class_0/precision,fold2/class_10/precision,fold2/class_5/precision,fold0/class_5/f1-score,fold3/class_6/recall,fold4/class_8/recall,fold3/class_10/recall,fold3/class_0/precision,fold0/class_3/f1-score,fold4/class_2/f1-score,fold2/class_9/recall,fold0/class_7/recall,fold4/class_7/f1-score,fold3/class_5/precision,fold0/class_1/precision,fold0/class_0/f1-score,fold3/class_3/recall,fold4/class_4/precision,fold3/class_3/f1-score,fold1/class_8/f1-score,fold4/class_9/recall,fold2/class_3/precision,fold1/class_3/precision,fold4/class_8/f1-score,fold3/class_10/f1-score,fold4/class_1/precision,fold3/class_8/f1-score,fold2/class_10/recall,fold0/class_0/recall,fold4/class_0/f1-score,fold1/class_6/f1-score,fold3/class_5/f1-score,fold4/class_5/recall,fold1/class_0/f1-score,fold4/class_6/precision,fold4/class_3/precision,fold4/class_10/recall,fold3/class_9/recall,fold4/class_2/precision,fold1/class_1/precision,cv5/fold_metrics,fold2/class_7/recall,fold0/class_4/precision,fold1/class_8/recall,fold1/confusion_matrix,fold0/class_1/recall,fold2/class_7/f1-score,_step,fold0/class_4/f1-score,fold4/class_3/recall,fold2/class_4/f1-score,fold0/class_5/recall,fold2/class_7/precision,fold3/class_0/recall,fold4/class_1/recall,fold1/class_7/f1-score,fold0/class_2/recall,fold4/class_7/precision,fold3/class_2/f1-score,fold3/class_6/precision,fold1/class_9/recall,fold3/class_1/f1-score,fold3/confusion_matrix,fold2/class_8/recall,fold4/class_4/recall,fold3/class_4/recall,fold0/class_8/f1-score,fold2/class_5/f1-score,fold1/class_8/precision,fold2/class_1/f1-score,fold1/class_4/recall,fold2/class_9/precision,fold3/class_9/precision,fold4/class_6/f1-score
,,,,,,,1770936524.0319238,,,,,,,,,,,,,9339.490659733,,,,,"{'nrows': 11, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://ljhdzjyfcgeyut9gsilt5p1r3yhdts0fajh14267ufswfmpgeu268iu703ob4x4loeuckrw69a6ez6zwh00jhkk69583eeus7zv8qtju098pze9v010lsiioq995z588/fold0/confusion_matrix.table.json', '_type': 'table-file', 'path': 'media/table/fold0/confusion_matrix_0_70346d99f0bf7aef70b9.table.json', 'sha256': '70346d99f0bf7aef70b995cb67d19c42c15436bf9a97066c09b9b22681fd470e', 'size': 568, '_latest_artifact_path': 'wandb-client-artifact://uvs4zdda06yi8hcr6w0gpzy8xytwtyspo6skk2zd309xf32gt21g9qi3i5e1gavq53yprdfwi2iv3hxpcjtbisi8p7tuids7gr85vjo0fd6ay8iru093v2g2ay9jh2qm:latest/fold0/confusion_matrix.table.json', 'ncols': 12}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1770936524.0336788,,,,,,,0.9988929208438403,,,,,,9339.492201823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9993231602264336,,,,,,,,,,,,,0.9997537703908895,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1770936524.0340521,,,,,,,,,,,,,9339.492484311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9940774487471526,,,,,,,,,,,,,,,,,,0.9954379562043796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9927206551410374,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1770936524.03433,,,,,,,,,,,,,9339.492746901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9990654205607477,,,,,,,,,,,,,,,,,,0.9953445065176909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,0.9916512059369202,,,,,,,,,,,,,,,,,
,,,,,,,1770936524.0345798,,0.994280266920877,,,,,,,,,,,9339.493054739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0.997131931166348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1770936524.0348306,,,,,,,,,,,,,9339.493244855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978835978835979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9968287526427061,,,,,5,0.997355896351137,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1770936524.035046,,,,,,,,,,,,,9339.493572042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9931565440547476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9931565440547476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,0.9931565440547476,,,,,,,,,,,,,,,,,,,,,,
,0.9960435212660732,,,,,,1770936524.0352473,,,,,,,,,,,,,9339.49366671,,,,0.9921182266009853,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1770936524.0354614,,,,,,,,,,,,,9339.493862617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9970238095238095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9970238095238095,,,,,,,,,,,,,,,,,,0.9970238095238095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1770936524.0356765,,,,,,,,,,,,,9339.49405624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.993421052631579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9924882629107982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,0.9929544387036168,,,,,,,
