fold0/class_3/precision,fold4/class_3/f1-score,fold1/class_3/recall,fold0/class_0/f1-score,fold3/class_3/precision,fold0/class_1/precision,fold2/class_3/precision,fold4/class_1/f1-score,fold3/class_2/f1-score,fold1/class_0/f1-score,fold4/class_3/recall,cv5/fold_metrics,fold1/confusion_matrix,fold0/class_1/recall,fold3/class_2/recall,fold2/class_0/recall,fold3/class_0/f1-score,fold2/class_3/f1-score,fold0/class_2/f1-score,fold2/class_0/f1-score,fold2/class_1/recall,fold1/class_1/precision,fold3/class_0/recall,fold3/confusion_matrix,_runtime,fold2/class_0/precision,fold1/class_0/recall,fold1/class_1/f1-score,fold1/class_3/f1-score,fold1/class_2/recall,fold4/class_1/precision,fold0/confusion_matrix,fold3/class_0/precision,fold4/confusion_matrix,fold3/class_1/precision,fold1/class_3/precision,fold3/class_3/recall,fold4/class_2/f1-score,fold0/class_2/precision,_step,fold2/class_2/precision,fold0/class_3/f1-score,fold4/class_1/recall,fold3/class_1/f1-score,fold4/class_2/precision,fold0/class_1/f1-score,fold4/class_0/precision,fold4/class_2/recall,fold1/class_2/f1-score,fold3/class_1/recall,fold1/class_1/recall,fold0/class_3/recall,fold2/class_3/recall,fold2/class_1/f1-score,fold0/class_0/precision,fold3/class_2/precision,fold2/class_2/recall,fold1/class_2/precision,fold4/class_0/f1-score,fold0/class_0/recall,fold3/class_3/f1-score,fold4/class_3/precision,fold4/class_0/recall,fold0/class_2/recall,fold2/confusion_matrix,_timestamp,fold2/class_1/precision,fold2/class_2/f1-score,fold1/class_0/precision
,,,,,,,,,,,,,,,,,,,,,,,,366.41822152,,,,,,,"{'_type': 'table-file', 'sha256': '86ff726722c613bf971fa4e756dfcaab903e1f69cb86de381a760b0a99cd56b8', 'artifact_path': 'wandb-client-artifact://6kwvbwg3xzbhqv6lvpxaby3vuortnm3xt3eu763qxtwsxlybs6ui1zniomzix4xe7hxm8phoa5ji9ki0isew5ybvkxubf0wz44ml1a5d6d6hjommoi09xkb8dd8dh8kl/fold0/confusion_matrix.table.json', 'ncols': 5, 'nrows': 4, 'path': 'media/table/fold0/confusion_matrix_0_86ff726722c613bf971f.table.json', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://z6w2d4mfutim12bbj43wug3fdwwy2a3mc7dn8k81k9h7f6530ifmams0wf08gjk452uuyxathd4gypm35sr2gladznsuorsefzwhmns7j9k3rgdrs85ugee3wdycohxy:latest/fold0/confusion_matrix.table.json', 'size': 142}",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1770717457.751054,,,
,,,0.9910350448247759,,,,,,,,,,,,,,,,,,,,,366.419638725,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0.9950900163666121,,,,,0.987012987012987,,,,,,1770717457.7528908,,,
,,,,,0.9961389961389961,,,,,,,,0.9520295202952029,,,,,,,,,,,366.41998779,,,,,,,,,,,,,,,2,,,,,,0.9735849056603774,,,,,,,,,,,,,,,,,,,,1770717457.753379,,,
,,,,,,,,,,,,,,,,,,0.9895916733386709,,,,,,366.420482286,,,,,,,,,,,,,,0.987220447284345,3,,,,,,,,,,,,,,,,,,,,,,,,0.9919743178170144,,1770717457.7538733,,,
0.9352750809061489,,,,,,,,,,,,,,,,,,,,,,,,366.420798852,,,,,,,,,,,,,,,4,,0.956953642384106,,,,,,,,,,0.9796610169491525,,,,,,,,,,,,,,1770717457.7542443,,,
,,,,,,,,,,,,"{'ncols': 5, 'nrows': 4, 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://uq1pzetm18mkg85kul4da4g47x3v3vmy248f5r4nicpmquhkzgenvl4oj3531vyy9lvvluwcsimag7diaduyo44lazvcg36hc4tcbyv8n2gk03xqrxqkkbxkah2k1asq/fold1/confusion_matrix.table.json', 'sha256': 'e5874b1bdc61593f1826e001944478ebd7db443a1cd8ccade839796673476a93', 'path': 'media/table/fold1/confusion_matrix_5_e5874b1bdc61593f1826.table.json', '_latest_artifact_path': 'wandb-client-artifact://9iz07gugm9rowmvxstvo4q0dqgaf789o6nfnjif49id7sz97qyx772voj1ctwpc0p8wg4r52ps259exiceshkwuewuyrmp96ctx3nvwfhahwi0xfweiglgda3oznz418:latest/fold1/confusion_matrix.table.json', 'size': 141}",,,,,,,,,,,,731.188454461,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,1770717822.521734,,,
,,,,,,,,,0.9875091844232182,,,,,,,,,,,,,,,731.189977936,,0.9985141158989599,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,1770717822.5233479,,,0.9767441860465116
,,,,,,,,,,,,,,,,,,,,,0.9927272727272727,,,731.190235189,,,0.9837837837837838,,,,,,,,,,,,7,,,,,,,,,,,0.975,,,,,,,,,,,,,,,1770717822.5237098,,,
,,,,,,,,,,,,,,,,,,,,,,,,731.190633286,,,,,0.9983739837398374,,,,,,,,,,8,,,,,,,,,0.9919224555735057,,,,,,,,,0.985553772070626,,,,,,,,1770717822.5240626,,,
,,0.9194915254237288,,,,,,,,,,,,,,,,,,,,,,731.191086008,,,,0.9559471365638766,,,,,,,0.9954128440366973,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,1770717822.5244677,,,
,,,,,,,,,,,,,,,,,,,,,,,,1010.864609772,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://20b25vnchan0j3qn0c9rscvfrvlce05up7dzqt3ldsfpvcymsal95pu3tb4bzj19ompg3d2x5b6rnhz6nb6dhb72tocg2pjkk9sf2fko4w1p8jp1ima1mkg4x09rkwko:latest/fold2/confusion_matrix.table.json', 'sha256': '6489cf93deeb69e38e556bb1b5a99899cee24d909bea4450157a1ad6ae09e1b8', 'size': 142, 'path': 'media/table/fold2/confusion_matrix_10_6489cf93deeb69e38e55.table.json', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://vi44fl6gsezbbiouyrpxnwz765lyk2rmlo0w2e0jeyohrhwe941phuaroyhibw78orht7h26aiyjc61kkwry4lojz8h0nimyr2pe3e4npnnbmmj3xntyr77jrb4hqyfa/fold2/confusion_matrix.table.json', 'ncols': 5, 'nrows': 4}",1770718102.1978145,,,
,,,,,,,,,,,,,,,0.9953198127925117,,,,0.9922239502332815,,,,,1010.866012456,0.9891472868217054,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,1770718102.1993906,,,
