fold3/confusion_matrix,fold0/class_1/f1-score,fold1/class_1/recall,fold1/class_1/precision,fold4/class_1/precision,fold2/class_1/recall,fold2/class_1/f1-score,fold2/class_0/recall,fold3/class_0/recall,fold4/class_0/recall,fold0/class_1/precision,fold0/confusion_matrix,fold2/confusion_matrix,fold3/class_0/precision,fold2/class_0/f1-score,_step,fold2/class_0/precision,fold1/class_0/recall,fold3/class_1/f1-score,fold4/class_0/precision,fold4/class_1/recall,fold2/class_1/precision,fold0/class_0/recall,fold4/confusion_matrix,fold1/class_0/f1-score,fold3/class_0/f1-score,_runtime,fold4/class_0/f1-score,_timestamp,fold4/class_1/f1-score,cv5/fold_metrics,fold1/confusion_matrix,fold3/class_1/recall,fold0/class_0/f1-score,fold0/class_1/recall,fold0/class_0/precision,fold3/class_1/precision,fold1/class_1/f1-score,fold1/class_0/precision
,,,,,,,,,,,"{'sha256': '927e6680432720fb114b1e85d8660f7a3570a6ee78d2b578276a8671fbfa5104', 'artifact_path': 'wandb-client-artifact://1hv5yn0ltfljldm32t7q3g92xhylnlsv0ecbn83k8ipe4l1wgomwlah3g5t47b5i7xodw13f2w17w98tlfrf2x4gbvh415d3dbv91h9tcad9b6upie79uj6e9d42pf16/fold0/confusion_matrix.table.json', 'path': 'media/table/fold0/confusion_matrix_0_927e6680432720fb114b.table.json', '_type': 'table-file', 'ncols': 3, 'log_mode': 'IMMUTABLE', 'size': 82, '_latest_artifact_path': 'wandb-client-artifact://pd4nas49jxw4hj4uphszi30ia3bkfyuma953d4iberncyx523530to2p7szsfh7uyfxwlhtmtxdp51l2bdx1gitco9wvg7okqkhbzyqoi07pm0efuzbuunccornwrovq:latest/fold0/confusion_matrix.table.json', 'nrows': 2}",,,,0,,,,,,,,,,,8857.209986504,,1770743550.4210532,,,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,1,,,,8857.211834425,,1770743550.4231825,,,,,0.9979894445840664,,0.9959869576122398,,,
,0.9986130374479889,,,,,,,,,1,,,,,2,,,,,,,,,,,8857.212003734,,1770743550.4234767,,,,,,0.997229916897507,,,,
,,,,,,,,,,,,,,,3,,,,,,,,,,,9550.736200179,,1770744243.9475467,,,"{'nrows': 2, 'sha256': '92cdc339668dea3b3f8ab706d2bedfa85e7cc234004dd17eb54fbdb9621ed99a', 'log_mode': 'IMMUTABLE', 'size': 82, 'ncols': 3, 'path': 'media/table/fold1/confusion_matrix_3_92cdc339668dea3b3f8a.table.json', 'artifact_path': 'wandb-client-artifact://c14r73yhwrw0qabd99tziperj2kk58r6rsz0p7zgecy2b7rpvzv0cwamecr4gpbf9ck83774utwh7k11mslrbtw9g7ipeax56lc5y1o3uk2nop7zbp7mibzh6ovogtl2/fold1/confusion_matrix.table.json', '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://x00m3ovi4nafk0fvzs440u6rabm0px4a8j1yrcadhthmsc668dr3r2cxfydu6wyaaqki0y37wx7ex8k6cz9de1x0z5juleqtb7usaa7ob2tfnlfmialkq6q1si9sdcx9:latest/fold1/confusion_matrix.table.json'}",,,,,,,
,,,,,,,,,,,,,,,4,,1,,,,,,,0.9981650453711384,,9550.737626725,,1770744243.9490097,,,,,,,,,,0.9963368125250903
,,0.9974722991689751,1,,,,,,,,,,,,5,,,,,,,,,,,9550.737786786,,1770744243.9492798,,,,,,,,,0.9987345502452892,
,,,,,,,,,,,,"{'size': 83, 'ncols': 3, '_latest_artifact_path': 'wandb-client-artifact://1cnb28ld0il3o5w8b22or04cw04yutu87fnoop0xful4e8prnjhiok3jc3ntc1qbm3bsmdym8hc0eufxper0zs659m35rgyqc4xzg75s5bbpfdinfuo0c0cswxf4vy4q:latest/fold2/confusion_matrix.table.json', 'nrows': 2, 'path': 'media/table/fold2/confusion_matrix_6_9a817f4166954aa4e981.table.json', 'sha256': '9a817f4166954aa4e9814be1a4a6527e7fa2f2994e546f1e5d48b0f46f16d791', 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://z1m2mw8rndp63gytfvunbqz68kozp6m75m3r1y8vvhfftapu9vq1i2fbya594ghnqyqjvp4k7ra1wxrdrayr88ravnaojfyhxvv6jxg20cdiw2h1svo8c9ica6laa1yw/fold2/confusion_matrix.table.json'}",,,6,,,,,,,,,,,10512.05094442,,1770745205.2621462,,,,,,,,,,
,,,,,,,1,,,,,,,0.9968853611976288,7,0.9937900641025641,,,,,,,,,,10512.052351016,,1770745205.2637515,,,,,,,,,,
,,,,,0.9957039911308204,0.9978473717102979,,,,,,,,,8,,,,,,1,,,,,10512.052521357,,1770745205.264008,,,,,,,,,,
"{'nrows': 2, 'artifact_path': 'wandb-client-artifact://3qdks4jgi0xc8c4msisf9nkoqv9o1wnouyvr9kjjk3n867v6nn11fxbhzf5kti855um5alrr3om8a5xsulmoa95kccs86mixosit959lcopa2d7rppfp88gcfbwbl1jv/fold3/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://p46tjq70c0ixjiyhs6rv5hgtau8jya5mif1rioylle0v6r7dxnm4oo0hb9sajuroqek1zhtttpmtuxij7h2jumm5azb3mxh2bky2c9adef3k0i4vef09mguioqaxmnlu:latest/fold3/confusion_matrix.table.json', 'path': 'media/table/fold3/confusion_matrix_9_c26687d96965ae60bfe6.table.json', 'sha256': 'c26687d96965ae60bfe6d39f26e3090f13b403248113214ee904cd3d704b7e66', 'ncols': 3, 'log_mode': 'IMMUTABLE', 'size': 83, '_type': 'table-file'}",,,,,,,,,,,,,,,9,,,,,,,,,,,11214.502128679,,1770745907.713532,,,,,,,,,,
