fold0/class_7/f1-score,fold0/class_5/precision,fold0/class_0/recall,fold0/confusion_matrix,fold0/class_9/f1-score,fold0/class_10/recall,fold0/class_0/precision,fold0/class_6/precision,fold0/class_2/f1-score,fold0/class_9/recall,fold0/class_7/recall,fold0/class_10/f1-score,fold0/class_3/recall,fold0/class_6/recall,fold0/class_4/f1-score,fold0/class_1/precision,fold0/class_1/recall,fold0/class_2/recall,_step,fold0/class_9/precision,fold0/class_5/recall,fold0/class_8/recall,fold0/class_4/precision,fold0/class_4/recall,_timestamp,fold0/class_0/f1-score,fold0/class_2/precision,fold0/class_5/f1-score,fold0/class_8/f1-score,fold0/class_3/precision,fold0/class_3/f1-score,fold0/class_1/f1-score,fold0/class_8/precision,fold0/class_10/precision,fold0/class_7/precision,_runtime,fold0/class_6/f1-score
,,,"{'path': 'media/table/fold0/confusion_matrix_0_03ae09577fdf92f5362e.table.json', 'sha256': '03ae09577fdf92f5362e99e268107ccf3604d5ab84d0e66c1770a49cc37aa867', 'size': 559, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://7jiu9u6z4vxro7spcz1e3klw3umvc6sti0nhdprhvoxdrxhgqwpmjy4adybo06tu6h132vkgz6zl0osz4ey3s9ukq8yg34fvwzhxr9nbrs2louel4jt2v7z0cgwx2h9a/fold0/confusion_matrix.table.json', '_type': 'table-file', 'nrows': 11, 'ncols': 12, '_latest_artifact_path': 'wandb-client-artifact://kepcq69oav0qiad3m3kpvviqf0472zmdwu0pdanunm7mx9tf95dr21tu1tqhirjnnf5xm8dryc50dtoggint6pqteln4rher1u2l2f0j6b82wplhaudrd2rl1fho1rei:latest/fold0/confusion_matrix.table.json'}",,,,,,,,,,,,,,,0,,,,,,1770712079.8411477,,,,,,,,,,,3502.316467075,
,,0.9999360750053271,,,,0.9999573824287754,,,,,,,,,,,,1,,,,,,1770712079.8423803,0.9999467286035436,,,,,,,,,,3502.317303381,
,,,,,,,,,,,,,,,0.9978632478632479,0.9978632478632479,,2,,,,,,1770712079.8426182,,,,,,,0.9978632478632479,,,,3502.317529835,
,,,,,,,,0.9951219512195122,,,,,,,,,0.9927007299270073,3,,,,,,1770712079.8428175,,0.9975550122249389,,,,,,,,,3502.317689284,
,,,,,,,,,,,,0.9953703703703703,,,,,,4,,,,,,1770712079.8430002,,,,,0.9953703703703703,0.9953703703703703,,,,,3502.317873533,
,,,,,,,,,,,,,,0.9987995198079231,,,,5,,,,1,0.9976019184652278,1770712079.8431516,,,,,,,,,,,3502.318009436,
,0.9914712153518124,,,,,,,,,,,,,,,,,6,,1,,,,1770712079.843283,,,0.9957173447537473,,,,,,,,3502.318115348,
,,,,,,,1,,,,,,0.9979550102249489,,,,,7,,,,,,1770712079.8433971,,,,,,,,,,,3502.318225449,0.9989764585465711
0.9965156794425087,,,,,,,,,,1,,,,,,,,8,,,,,,1770712079.843516,,,,,,,,,,0.9930555555555556,3502.318359377,
,,,,,,,,,,,,,,,,,,9,,,0.9932885906040269,,,1770712079.843629,,,,0.9932885906040269,,,,0.9932885906040269,,,3502.318456642,
,,,,0.996031746031746,,,,,0.996031746031746,,,,,,,,,10,0.996031746031746,,,,,1770712079.8437397,,,,,,,,,,,3502.318560219,
,,,,,0.9963045084996305,,,,,,0.9970414201183432,,,,,,,11,,,,,,1770712079.843848,,,,,,,,,0.997779422649889,,3502.318682474,
