fold3/class_7/recall,fold3/class_8/f1-score,fold3/class_5/recall,fold2/class_8/recall,fold3/class_4/f1-score,fold2/class_2/recall,fold1/class_0/f1-score,fold1/class_6/recall,fold3/class_10/precision,fold4/class_3/recall,fold3/class_7/f1-score,fold1/class_3/recall,fold3/class_2/precision,fold2/class_3/f1-score,fold4/class_10/recall,fold3/class_1/precision,fold4/class_0/f1-score,fold0/class_3/precision,cv5/fold_metrics,fold3/class_10/recall,fold4/class_10/f1-score,fold4/class_2/recall,fold2/class_0/precision,fold2/class_2/f1-score,fold0/class_0/recall,fold4/class_8/recall,fold0/class_7/f1-score,fold3/class_9/recall,fold2/class_7/recall,fold1/confusion_matrix,fold4/class_1/precision,fold1/class_8/f1-score,fold0/class_0/f1-score,fold2/class_5/precision,fold1/class_1/recall,fold0/class_10/recall,fold1/class_7/f1-score,fold4/confusion_matrix,fold0/class_8/f1-score,fold3/confusion_matrix,fold4/class_5/recall,fold0/class_3/recall,fold2/class_9/precision,fold4/class_6/precision,fold4/class_3/f1-score,fold3/class_5/f1-score,fold1/class_4/f1-score,fold0/class_6/recall,fold3/class_8/precision,fold4/class_6/f1-score,fold1/class_2/recall,fold0/class_10/f1-score,fold1/class_1/f1-score,fold0/class_5/precision,fold3/class_9/f1-score,_timestamp,fold1/class_10/f1-score,fold1/class_1/precision,fold4/class_0/precision,fold4/class_9/precision,fold0/class_9/precision,fold3/class_0/f1-score,fold3/class_3/precision,fold2/class_8/precision,fold4/class_9/f1-score,fold3/class_9/precision,fold1/class_5/precision,fold2/class_7/f1-score,fold1/class_4/recall,fold2/class_2/precision,fold1/class_7/recall,fold3/class_2/recall,fold2/class_10/recall,fold1/class_3/precision,fold0/class_7/recall,fold2/class_4/precision,fold0/class_7/precision,fold2/class_4/f1-score,fold3/class_1/f1-score,fold1/class_8/precision,fold1/class_8/recall,fold4/class_0/recall,fold1/class_5/recall,fold0/class_8/precision,fold3/class_6/precision,fold2/class_6/recall,fold1/class_10/precision,fold0/class_8/recall,fold0/class_1/recall,fold1/class_5/f1-score,fold0/class_3/f1-score,fold4/class_9/recall,fold2/class_0/recall,fold4/class_4/f1-score,fold2/class_1/recall,fold0/class_1/precision,fold1/class_7/precision,fold2/class_8/f1-score,fold1/class_10/recall,fold3/class_7/precision,fold4/class_3/precision,fold4/class_6/recall,_step,fold2/class_7/precision,fold3/class_4/precision,fold0/class_2/recall,fold4/class_1/recall,fold2/class_5/f1-score,fold2/class_1/precision,fold0/class_0/precision,fold4/class_5/f1-score,fold1/class_9/precision,fold2/class_0/f1-score,fold2/class_4/recall,fold2/class_9/recall,fold3/class_0/recall,fold0/class_6/f1-score,fold3/class_10/f1-score,fold4/class_8/f1-score,fold1/class_0/precision,fold4/class_7/recall,fold4/class_10/precision,fold4/class_7/precision,fold2/class_5/recall,fold1/class_2/f1-score,fold4/class_1/f1-score,fold2/class_9/f1-score,fold1/class_9/recall,fold0/class_10/precision,fold2/class_10/precision,fold3/class_2/f1-score,fold0/confusion_matrix,fold2/class_6/precision,fold3/class_3/recall,fold3/class_0/precision,fold0/class_5/f1-score,fold0/class_1/f1-score,fold1/class_9/f1-score,_runtime,fold3/class_4/recall,fold2/class_3/recall,fold4/class_7/f1-score,fold3/class_5/precision,fold0/class_4/f1-score,fold0/class_6/precision,fold2/class_10/f1-score,fold3/class_6/f1-score,fold0/class_5/recall,fold3/class_3/f1-score,fold0/class_9/f1-score,fold3/class_6/recall,fold0/class_2/f1-score,fold4/class_2/f1-score,fold1/class_6/f1-score,fold2/class_3/precision,fold0/class_2/precision,fold1/class_6/precision,fold1/class_3/f1-score,fold3/class_8/recall,fold2/confusion_matrix,fold1/class_4/precision,fold2/class_1/f1-score,fold1/class_2/precision,fold4/class_8/precision,fold3/class_1/recall,fold4/class_5/precision,fold0/class_4/precision,fold2/class_6/f1-score,fold4/class_4/recall,fold0/class_9/recall,fold1/class_0/recall,fold0/class_4/recall,fold4/class_4/precision,fold4/class_2/precision
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770924484.059031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'ncols': 12, 'nrows': 11, 'path': 'media/table/fold0/confusion_matrix_0_2f140a98c6073fd160f3.table.json', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://6tee3rdl2d1vhabyy4ivpt3uzz0hr1kjhv4pcef1mb71xg4uo85elth0tgxdwfdk1u2m42clr9j6axa7afhdk44ttao8zdnomki36jm1c045wrq6epg4xkotybtuz3qc/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://swd520n8h41zqwt0sfldrdat0sgztm25uz51j2yfp4jh7dt863t5q9tr4y5e7ajlh5i1x78sw7pp5o6p9kk3rbg08eqr2d7q9de4d2uqh7sdn4k23i264hlffyg9dczx:latest/fold0/confusion_matrix.table.json', 'sha256': '2f140a98c6073fd160f3cfbec9f5709a304826fb6db57c5312f6ccd5a648e29a', 'size': 568, '_type': 'table-file'}",,,,,,,4384.431401958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.9999076638965836,,,,,,,,0.999738425320429,,,,,,,,,,,,,,,,,,,,,,,1770924484.0601776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0.9995692440232609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4384.43244119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770924484.060422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0.9954710144927537,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9977303676804358,,4384.432599003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770924484.060602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,0.9972170686456401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4384.432780473,,,,,,,,,,,,,0.9976798143851509,,,,0.9981429897864438,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.9952244508118434,,,,,,,,,,,,,,,,,,,,,,,,0.9990412272291467,,,,,,,,,,,,,,1770924484.06076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9971291866028709,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4384.432908116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770924484.0608935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4384.433029727,,,,,0.9978880675818373,,,,,,,,,,,,,,,,,,,,,,,0.9957850368809273,,,,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9991452991452991,,1770924484.0610244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9995724668661822,,,4384.433159415,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9990147783251232,,,,,,,,1770924484.0611515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,0.9995071463775259,,,,,,,,,,,,,,,,,,,,,,4384.433287899,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.9980139026812314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770924484.0612843,,,,,,,,,,,,,,,,,,,0.9970238095238095,,0.9990059642147118,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4384.433412637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9981167608286252,,,,,,,,,,,,,,,,,1770924484.0614107,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0.9962406015037594,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4384.433537435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770924484.0615313,,,,,0.9990128331688055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4384.433662282,,,,,,,,,,,0.9980276134122288,,,,,,,,,,,,,,,,,,,,0.9970443349753695,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9949984370115661,,,,,,,,,,,,,,,,0.9973366755444149,,,,1770924484.0616596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996859296482412,,,,,,,,,,4384.433792651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'_type': 'table-file', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://arj40fkpwdiryvn13mfd2ijje3hun1vtl9xq860ctq86starqriuz2vmha7rsp36572ell7crlaxojj5ptc5xx79cvudvxgdg5tiij95wvp6mmc9q2ohp4ijoojux2sd/fold1/confusion_matrix.table.json', 'nrows': 11, 'sha256': 'a1e0a8851ab98744a0709e1c0473d7e3e2abbadd7f489f3348f798c1190b3dc8', 'ncols': 12, 'path': 'media/table/fold1/confusion_matrix_12_a1e0a8851ab98744a070.table.json', 'size': 565, '_latest_artifact_path': 'wandb-client-artifact://4wxg8tjmadjfslx9ashemaag14tqcflphsctoo4tlxdr7m9gehir6q7kw2uab50wxte0afuvhlfowdc2b62eeapvtfq43i69fg0vxsdln6w4vlevc5aq99jhik2sjcwi:latest/fold1/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,,,1770924825.7615032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4726.133997047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.9999384444923209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770924825.763044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,0.9999076695802044,,,,,,,,,,,,,,,,,,,4726.135356244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999692212988612,,,
