fold1/class_1/f1-score,_timestamp,fold4/class_1/precision,fold0/class_0/precision,fold2/class_2/f1-score,fold1/class_0/f1-score,fold3/class_0/f1-score,fold3/class_3/recall,fold3/class_0/recall,fold1/class_1/precision,fold0/class_1/f1-score,fold2/class_0/recall,fold4/class_3/recall,fold3/class_2/recall,fold0/class_2/f1-score,fold1/class_3/precision,fold3/class_2/precision,fold2/confusion_matrix,fold1/class_2/f1-score,fold4/class_0/precision,fold0/class_0/recall,_step,fold3/class_2/f1-score,fold4/class_2/recall,fold0/class_2/recall,fold4/class_1/recall,fold4/class_3/precision,fold0/class_0/f1-score,fold2/class_1/precision,fold3/class_1/precision,fold2/class_0/precision,fold4/confusion_matrix,_runtime,fold1/class_2/precision,fold0/class_2/precision,fold0/class_1/recall,fold2/class_1/f1-score,fold3/class_1/f1-score,fold4/class_0/recall,fold2/class_3/precision,fold4/class_1/f1-score,fold1/class_0/recall,fold0/class_1/precision,fold1/confusion_matrix,fold3/class_0/precision,fold2/class_2/precision,fold3/confusion_matrix,fold3/class_3/f1-score,cv5/fold_metrics,fold3/class_3/precision,fold2/class_2/recall,fold4/class_3/f1-score,fold1/class_1/recall,fold4/class_2/f1-score,fold2/class_0/f1-score,fold2/class_1/recall,fold0/confusion_matrix,fold3/class_1/recall,fold1/class_3/recall,fold0/class_3/recall,fold4/class_2/precision,fold4/class_0/f1-score,fold1/class_2/recall,fold1/class_0/precision,fold2/class_3/recall,fold1/class_3/f1-score,fold0/class_3/f1-score,fold2/class_3/f1-score,fold0/class_3/precision
,1770715703.4745774,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,316.619883123,,,,,,,,,,,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'size': 143, 'nrows': 4, 'artifact_path': 'wandb-client-artifact://c5iozcvsifjf8xzt2rj94biex7boi2bt13qg9lirwoghrm3384l4utn22k2mpqd103xps3y7bznwtkv8d23p2ihz6r30rym94tkkou0olpia4dbjb7449km5vbctumpj/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://65ad6aslqmhh064rb5e10m1seeehg25iq8i9t3tigf2brow47ayxesrjo0sbdewq6f7xn5f5kv6ptgo7ob2cpamlf9jhlosehmh7xtbu5czaaiw9hvggsqva485y4140:latest/fold0/confusion_matrix.table.json', '_type': 'table-file', 'path': 'media/table/fold0/confusion_matrix_0_1a58402d3590f99f8ae0.table.json', 'ncols': 5, 'sha256': '1a58402d3590f99f8ae0c7af405b96f77227f7061fe88cf88382d321c2d8d2e4'}",,,,,,,,,,,,
,1770715703.4793022,,0.9940828402366864,,,,,,,,,,,,,,,,,1,1,,,,,,0.9970326409495549,,,,,316.624290389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1770715703.4796405,,,,,,,,,0.995085995085995,,,,,,,,,,,2,,,,,,,,,,,316.624542637,,,0.996309963099631,,,,,,,0.9938650306748467,,,,,,,,,,,,,,,,,,,,,,,,,,
,1770715703.4798827,,,,,,,,,,,,,0.9957081545064378,,,,,,,3,,,0.9930444087747459,,,,,,,,316.624783336,,0.9983862291554599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1770715703.480194,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,316.625177777,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9909604519774011,,,,,,,0.9926428975664969,,0.9943310657596371
,1770715907.0175493,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,520.162838255,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://g2s69k2ciiv66msphlkwz15u06de0uo7eg80pzudd14m8sc5t8ekaf65fdzedjqp40t68z9f970swdt2ufpmqqubqru8pjeslwnkqc9k0oaq4l5n2ouuc312rf4n1kt0/fold1/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://ccu1707jyougn02c0rar9a2i5yu2b234u4okdtfnd0gt75dj4txtzz6kvwa0todnzpn8qf6g69ij5a9sjj9zbwvbsqvtyz604t290psyp2mj1vp3xi2zvbm7io70w3hn:latest/fold1/confusion_matrix.table.json', 'sha256': '58f5dd18e043263a9bd3f4adf37fea20ec699a4aecdae67cd906c170bb22a205', 'size': 144, 'path': 'media/table/fold1/confusion_matrix_5_58f5dd18e043263a9bd3.table.json', '_type': 'table-file', 'ncols': 5, 'log_mode': 'IMMUTABLE', 'nrows': 4}",,,,,,,,,,,,,,,,,,,,,,,,,
,1770715907.0238678,,,,0.9945273631840796,,,,,,,,,,,,,,,,6,,,,,,,,,,,520.168995045,,,,,,,,,0.9900941059930659,,,,,,,,,,,,,,,,,,,,,,0.999000499750125,,,,,
0.985268120212139,1770715907.0244644,,,,,,,,0.9754959159859977,,,,,,,,,,,,7,,,,,,,,,,,520.169524992,,,,,,,,,,,,,,,,,,,,0.9952380952380953,,,,,,,,,,,,,,,,
,1770715907.0248983,,,,,,,,,,,,,,,,,0.9951351351351352,,,8,,,,,,,,,,,520.169891296,0.9924528301886792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978319783197832,,,,,,
,1770715907.0252807,,,,,,,,,,,,,,0.994277539341917,,,,,,9,,,,,,,,,,,520.170285962,,,,,,,,,,,,,,,,,,,,,,,,,,0.981638418079096,,,,,,,0.9879175550817342,,,
,1770716163.9084055,,,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'nrows': 4, 'sha256': '16f76080b26b5623bea058c24e8957fc0b4c06275f404f89d0ccf070e7ba5ee8', 'size': 143, '_type': 'table-file', 'path': 'media/table/fold2/confusion_matrix_10_16f76080b26b5623bea0.table.json', 'artifact_path': 'wandb-client-artifact://twpqf7t8nqhm5vyjbnop7uxmyp1n13vnnffsh379uoux01f02y6ibgrdifij6kgosstorzx595pekg3rce0fjz2vwqqrnddi1g1rpcri9sfz8ur9sxwx1yc8q0rlo18h/fold2/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://7zzoxdsmcd5ofdzwfg5o8x0dr2nqie3czbmjgfqcywlr9w9uwuefw2kw6fbwkaiifda1sm6e2m3uw5urwg96gwvjkt2x7ixrt5feiqcglztnga5htbhprf85v0zzvutq:latest/fold2/confusion_matrix.table.json', 'ncols': 5}",,,,10,,,,,,,,,,,777.053441826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1770716163.9102006,,,,,,,,,,1,,,,,,,,,,11,,,,,,,,,0.9953416149068323,,777.05524758,,,,,,,,,,,,,,,,,,,,,,0.9976653696498055,,,,,,,,,,,,,,
,1770716163.9106593,,,,,,,,,,,,,,,,,,,,12,,,,,,,0.9972789115646259,,,,777.05572228,,,,0.9892037786774629,,,,,,,,,,,,,,,,,,,0.9812583668005355,,,,,,,,,,,,,
,1770716163.9111345,,,0.9981670594396439,,,,,,,,,,,,,,,,,13,,,,,,,,,,,777.056105474,,,,,,,,,,,,,0.9973835688121402,,,,,0.9989517819706499,,,,,,,,,,,,,,,,,,
,1770716163.911465,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,777.056466643,,,,,,,0.9928057553956835,,,,,,,,,,,,,,,,,,,,,,,,,0.9928057553956835,,,0.9928057553956835,
,1770716469.825312,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,1082.970302098,,,,,,,,,,,,,,"{'path': 'media/table/fold3/confusion_matrix_15_cae63485c90c0a7b9c1e.table.json', 'size': 143, 'ncols': 5, 'sha256': 'cae63485c90c0a7b9c1e2eec861693b3ece166a10cae9c6d89d24e5839e57980', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://4lw6eo9uv7iq47kng46x4n6rm1ydeiymc3x9hl7ulu3f93r2fgk5ing5gxc9moqcxogd5h3r12m987mqtappo02tm37u5cpmpebclwjlqarjmmuqdisctdyh710kp82p/fold3/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://7whgo48etd7qypwpv4un794ukp45vj39he76zau3kua6j13jbaew867szjl0wiz51qu4o4kllnonkp7jb44f35yat7t52anu0audaoh23wsymea1zzyo32ejt2si5fb8:latest/fold3/confusion_matrix.table.json', 'nrows': 4, '_type': 'table-file'}",,,,,,,,,,,,,,,,,,,,,,
,1770716469.8269083,,,,,0.9978813559322034,,1,,,,,,,,,,,,,16,,,,,,,,,,,1082.971933554,,,,,,,,,,,,0.9957716701902748,,,,,,,,,,,,,,,,,,,,,,,,
,1770716469.827228,,,,,,,,,,,,,,,,,,,,17,,,,,,,,0.9987341772151899,,,1082.972167492,,,,,0.9955835962145111,,,,,,,,,,,,,,,,,,,,0.9924528301886792,,,,,,,,,,,
,1770716469.8275518,,,,,,,,,,,,0.9953488372093023,,,0.9979274611398964,,,,,18,0.9966364812419146,,,,,,,,,,1082.972511452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1770716469.827896,,,,,,0.9950062421972534,,,,,,,,,,,,,,19,,,,,,,,,,,1082.972822712,,,,,,,,,,,,,,,0.9937655860349127,,0.9925280199252802,,,,,,,,,,,,,,,,,,,
,1770716632.8909922,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,"{'sha256': 'c381711e5fefddc7f69569aa49c8385b23068b92d0beac7c4d8c329209888fe4', 'ncols': 5, 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'nrows': 4, 'path': 'media/table/fold4/confusion_matrix_20_c381711e5fefddc7f695.table.json', 'size': 144, 'artifact_path': 'wandb-client-artifact://50jiiu6o25la73kreerkp9f4hj75o150x7ere5jf0igftp6cokk0vysnnymfv9q8jm2wjhlxghqj385m5z7jvhcqdd24hjy5vbulq4wwq4eyv6sfpb6bylkbnd5nsjrm/fold4/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://u50ypgpx006serdeerv1ywpehnpvv2cel4i1f8i1ulj3pmmrqvad2hm1hb0po52vc2a1fhxo98n3jd37423iui02kk31y1qvurl2y0zv2bc1uv62omr9r93f9r8ctld1:latest/fold4/confusion_matrix.table.json'}",1246.036024696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1770716632.8925667,,,,,,,,,,,,,,,,,,0.9973572938689218,,21,,,,,,,,,,,1246.03770797,,,,,,0.9936808846761453,,,,,,,,,,,,,,,,,,,,,,,0.9955156950672646,,,,,,,
,1770716632.8931203,0.9836888331242158,,,,,,,,,,,,,,,,,,,22,,,,0.9936628643852978,,,,,,,1246.038393792,,,,,,,,0.9886506935687264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1770716632.8937626,,,,,,,,,,,,,,,,,,,,23,,0.9876160990712074,,,,,,,,,1246.038843808,,,,,,,,,,,,,,,,,,,,,0.9935115494419933,,,,,,,0.9994778067885117,,,,,,,,
,1770716632.8942685,,,,,,,,,,,0.9974554707379135,,,,,,,,,24,,,,,0.9702970297029703,,,,,,1246.039327581,,,,,,,,,,,,,,,,,,,0.9836888331242158,,,,,,,,,,,,,,,,,
,1770716633.2858844,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,1246.43100141,,,,,,,,,,,,,,,,"{'ncols': 9, 'size': 773, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://4tgfk0ewj1o8nwzv7xeya1b7htym5s86kgil6o37tpqtqac7a3pf9x5fr7skfi0ihvorpdcr8tams58y7ybpenj2w1xqk4sx1p05rtqok440rcyloh7tes1cboyk83d3/cv5/fold_metrics.table.json', 'path': 'media/table/cv5/fold_metrics_25_191c9032b8ac0ca96155.table.json', 'sha256': '191c9032b8ac0ca96155c9b36877b19aff5757705dfbe05250da42ca5dd04b42', '_latest_artifact_path': 'wandb-client-artifact://lj8b2l5pi0x816j5goym49jfv2jsdo334wp4mpyi2m8zja2nj5gfdzxptyohip9djsibw55kl9ypj2iw4jnr4xj6dtgs54221ckultlzpjdxoaaob52ffyn4i3h8khvy:latest/cv5/fold_metrics.table.json', 'nrows': 5, '_type': 'table-file'}",,,,,,,,,,,,,,,,,,,,
