fold4/class_5/precision,fold1/class_3/f1-score,fold2/class_10/precision,fold4/class_5/recall,fold0/class_10/precision,fold3/class_5/recall,fold2/class_9/recall,fold1/class_0/recall,fold4/confusion_matrix,fold4/class_0/precision,fold4/class_9/f1-score,fold1/class_5/recall,fold0/class_2/recall,fold4/class_9/recall,fold1/class_10/f1-score,fold0/class_5/recall,fold4/class_9/precision,fold2/class_4/f1-score,fold3/class_10/precision,fold0/class_6/precision,fold3/class_0/precision,fold0/class_9/f1-score,fold1/class_1/f1-score,fold1/class_2/recall,fold3/class_2/f1-score,fold4/class_2/recall,fold4/class_0/f1-score,fold4/class_3/recall,fold3/class_5/precision,fold1/class_0/f1-score,fold4/class_10/precision,fold3/class_7/recall,_step,fold0/class_7/recall,fold4/class_10/recall,fold2/class_7/recall,fold1/class_10/precision,fold3/class_1/f1-score,fold3/class_8/recall,fold2/class_3/f1-score,fold3/class_9/f1-score,fold0/class_10/f1-score,fold0/class_0/recall,fold0/class_0/f1-score,fold0/class_8/precision,fold2/class_5/recall,fold0/confusion_matrix,fold2/class_7/precision,fold3/class_4/recall,fold3/class_0/recall,fold3/class_4/f1-score,fold3/class_6/precision,fold0/class_8/recall,fold0/class_1/f1-score,fold4/class_8/precision,fold0/class_3/recall,fold1/class_8/f1-score,fold1/class_1/recall,fold0/class_2/precision,fold3/class_6/f1-score,fold2/confusion_matrix,fold0/class_1/recall,fold3/class_2/recall,fold0/class_2/f1-score,fold2/class_4/precision,fold1/class_2/f1-score,fold4/class_0/recall,fold1/class_5/precision,fold3/class_5/f1-score,fold1/class_3/recall,fold4/class_7/precision,fold3/class_8/precision,fold1/class_7/recall,fold2/class_2/f1-score,fold3/class_7/f1-score,fold0/class_4/recall,fold2/class_3/precision,fold0/class_5/f1-score,fold1/class_9/precision,fold2/class_8/f1-score,fold4/class_2/f1-score,fold0/class_10/recall,fold1/class_6/precision,fold0/class_4/f1-score,fold1/class_1/precision,fold2/class_7/f1-score,fold1/class_7/precision,fold2/class_1/f1-score,fold3/class_0/f1-score,fold4/class_1/f1-score,fold2/class_1/recall,fold0/class_0/precision,fold3/class_9/recall,_runtime,fold2/class_6/recall,fold3/class_3/recall,fold0/class_3/f1-score,fold3/class_10/f1-score,fold3/class_2/precision,fold2/class_4/recall,fold1/class_2/precision,fold3/class_8/f1-score,fold1/class_8/precision,fold0/class_1/precision,fold3/class_3/precision,fold1/class_3/precision,fold2/class_2/precision,fold1/confusion_matrix,fold2/class_1/precision,fold3/class_9/precision,fold1/class_10/recall,fold4/class_3/precision,fold2/class_5/precision,fold2/class_10/f1-score,fold1/class_6/f1-score,fold4/class_10/f1-score,fold2/class_0/recall,fold0/class_6/f1-score,fold2/class_9/f1-score,fold0/class_9/recall,fold3/class_6/recall,fold4/class_6/f1-score,fold4/class_6/recall,fold1/class_4/recall,fold1/class_6/recall,fold0/class_9/precision,fold1/class_4/precision,fold0/class_6/recall,fold3/class_10/recall,fold4/class_4/f1-score,fold2/class_6/precision,fold2/class_8/precision,fold4/class_1/recall,fold2/class_6/f1-score,fold3/class_1/precision,fold2/class_0/f1-score,_timestamp,fold4/class_8/f1-score,fold1/class_5/f1-score,fold1/class_7/f1-score,fold4/class_4/precision,fold1/class_8/recall,fold3/class_1/recall,fold0/class_5/precision,fold4/class_6/precision,fold1/class_4/f1-score,fold1/class_9/recall,fold4/class_3/f1-score,cv5/fold_metrics,fold4/class_8/recall,fold2/class_9/precision,fold2/class_10/recall,fold2/class_5/f1-score,fold0/class_4/precision,fold4/class_7/recall,fold3/confusion_matrix,fold3/class_7/precision,fold0/class_7/precision,fold4/class_5/f1-score,fold4/class_2/precision,fold3/class_4/precision,fold0/class_8/f1-score,fold4/class_1/precision,fold4/class_4/recall,fold0/class_3/precision,fold2/class_0/precision,fold4/class_7/f1-score,fold1/class_0/precision,fold2/class_8/recall,fold0/class_7/f1-score,fold3/class_3/f1-score,fold2/class_3/recall,fold1/class_9/f1-score,fold2/class_2/recall
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"{'nrows': 11, 'path': 'media/table/fold0/confusion_matrix_0_d6fe4a7e09be2ea06fe0.table.json', 'sha256': 'd6fe4a7e09be2ea06fe0033f227b3d5fdcd4cc958ace550abd18dc56b8a2b4b0', 'size': 558, '_latest_artifact_path': 'wandb-client-artifact://90wydcpyf40t6984zacul4b9l9vdyee6n2zmhug35jpkun5ccuyqs5ou79gcof1ld9fygrbqtn47afvsraxkf9g9077wpdy100isexn2s5fm9vok8xdfvm368n7ewkrf:latest/fold0/confusion_matrix.table.json', '_type': 'table-file', 'ncols': 12, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://sr44suz30coxqel163go5nmmauob86yf8wk4zdx0ekuhhac1srvxchmufjeztu9rkdxxliwc0kjkbcm9ogx9688iipca6z8ff1m75d97xjscusn1z49abs46hkskkn9p/fold0/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7267.953812281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770746625.7572453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0.9998891966759003,0.9998338042213728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997784179038334,,7267.955720223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770746625.7594535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7267.956089279,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770746625.759959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.974025974025974,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,0.9868421052631579,,,,,0.9803921568627451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7267.956424635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770746625.7603948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,0.9932885906040269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7267.956711317,,,0.9899665551839465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770746625.7606916,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9866666666666667,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9703703703703703,,,,,,,,0.9812734082397003,,,,,,,,,,7267.957095345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770746625.7610345,,,,,,,,,,,,,,,,,0.9924242424242424,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.9880239520958084,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9880239520958084,,,,,,,,,,,,,,,,7267.957446825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770746625.7614172,,,,,,,0.9880239520958084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.9862068965517241,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7267.957714032,,,,,,,,,,,,,,,,,,,,,,,,0.9862068965517241,,,,,,,,,,0.9862068965517241,,,,,,,,,1770746625.7617185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7267.958135321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770746625.762041,,,,,,,,,,,,,,,,,,,,,0.9863013698630136,,,,,,,,,,,,0.993103448275862,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,0.9933774834437086,,,,,,,,0.9868421052631579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7267.958420466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770746625.76242,,,,,,,,,,,,,,,,,,,,,,,,,0.9900990099009901,,,,,,,,,,,,
