fold4/class_0/recall,fold2/class_0/precision,fold4/class_1/precision,fold4/class_1/f1-score,fold2/class_0/f1-score,fold4/class_0/precision,fold2/class_1/precision,fold1/class_0/recall,fold4/confusion_matrix,fold3/class_0/recall,fold0/class_1/f1-score,fold0/class_0/precision,fold2/class_1/recall,fold3/class_0/f1-score,fold4/class_1/recall,fold1/class_1/f1-score,_step,fold3/class_0/precision,fold1/class_0/f1-score,_runtime,fold1/confusion_matrix,fold0/class_0/recall,_timestamp,fold3/class_1/recall,fold2/confusion_matrix,fold3/class_1/f1-score,fold1/class_0/precision,fold0/class_0/f1-score,fold0/class_1/precision,fold3/class_1/precision,fold0/class_1/recall,fold2/class_1/f1-score,cv5/fold_metrics,fold4/class_0/f1-score,fold1/class_1/precision,fold3/confusion_matrix,fold1/class_1/recall,fold0/confusion_matrix,fold2/class_0/recall
,,,,,,,,,,,,,,,,0,,,4891.668010686,,,1770731743.824562,,,,,,,,,,,,,,,"{'_type': 'table-file', 'artifact_path': 'wandb-client-artifact://k4lcoi20pmlpt040zlyzo4fnpj66oxbgqb1frqqvmrcd9h1stjh7tnvc4c08pdvczytlqytm5xgdthbj0fs3p9e5vzmfwz3hzevlzv8698j2lw2jmt9vwhcc36aa14qo/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://0sqwag58gikw8exjkx57u0hx0fhxpg1me4zcu73ba3jmfnxv6itud1v931wfzhqgryj7s7g5d73anxgwysyptpx3gbe6anhvjrtofbb8mxp0i5gohi7iad16jnufs5l7:latest/fold0/confusion_matrix.table.json', 'ncols': 3, 'sha256': 'f6ee7ebde75a40c6add6183bd111516c90c394acb7c2ce15aa0993b49d5c625d', 'size': 83, 'log_mode': 'IMMUTABLE', 'nrows': 2, 'path': 'media/table/fold0/confusion_matrix_0_f6ee7ebde75a40c6add6.table.json'}",
,,,,,,,,,,,0.9936245572609209,,,,,1,,,4891.669185365,,0.9991294024535021,1770731743.8259296,,,,,0.9963693764798737,,,,,,,,,,,
,,,,,,,,,,0.9984052695441151,,,,,,2,,,4891.669392179,,,1770731743.8261914,,,,,,0.9996181881291218,,0.9971952908587257,,,,,,,,
,,,,,,,,,,,,,,,,3,,,5493.400406251,"{'path': 'media/table/fold1/confusion_matrix_3_31155c76f6132397e62e.table.json', '_type': 'table-file', 'ncols': 3, 'artifact_path': 'wandb-client-artifact://fpiqjia64o2fmolq1lxuasbvtnh29n2vtozxw0q873i96knnz3y141tp3tmbs3vnlr9ggmptg9w9oqmo06psk2ugqatpe3ctcfxmk4nez2poxl98g6nvg58m3gpbvyrt/fold1/confusion_matrix.table.json', 'sha256': '31155c76f6132397e62ecdefeb5ed8325ea84ed2d15c89f22520f5b93cf58905', 'size': 82, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://tc8q43sxcx394sg9j4vuxv77g1ov6zud476fth8lqkpulgfoyrtugskcne1byfh3t9bimz79dsnkt5sxmkfg605dp0rb1cxm4gqv065va7cxbpja0xcx8i8spmnbpfgv:latest/fold1/confusion_matrix.table.json', 'nrows': 2}",,1770732345.5570996,,,,,,,,,,,,,,,,
,,,,,,,0.9995251286110012,,,,,,,,,4,,0.9975513428120063,5493.401066813,,,1770732345.557867,,,,0.9955853370122192,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.9989256627967423,5,,,5493.401195079,,,1770732345.5580723,,,,,,,,,,,,0.9997918834547347,,0.9980609418282549,,
,,,,,,,,,,,,,,,,6,,,6147.048324321,,,1770732999.2050345,,"{'_latest_artifact_path': 'wandb-client-artifact://x7rjezrotxzsg40o081wx8g5megm955x417c3mqll7lsoyvj0pw13wly0k7wtvzcykfwl39urcnxrqtmr2u3ankr3vcua9swxb8q115qa35q2rb1ihkf2jhvffzilw16:latest/fold2/confusion_matrix.table.json', 'nrows': 2, 'sha256': 'a1b198498f028191e307bb912afd092d8e15587e74a5a8036a1451ae321403e3', 'path': 'media/table/fold2/confusion_matrix_6_a1b198498f028191e307.table.json', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://ac6f7445hlth18j78za9eq97hpmg35eumlknax9bl7z3mw14v68f6ibl03fca4yy491m7qii8mxqx9vupoo5lxmf5k1qm7afkdzoqxvj4q2vlsmue0u67zbd7fg5gf8c/fold2/confusion_matrix.table.json', 'ncols': 3, '_type': 'table-file', 'size': 82}",,,,,,,,,,,,,,
,0.9940176322418136,,,0.9969998420969525,,,,,,,,,,,,7,,,6147.049345845,,,1770732999.206138,,,,,,,,,,,,,,,,1
,,,,,,1,,,,,,0.9973669623059866,,,,8,,,6147.049575815,,,1770732999.2063863,,,,,,,,,0.9986817456462915,,,,,,,
,,,,,,,,,,,,,,,,9,,,6363.176259453,,,1770733215.3327923,,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://va1fs8rb4ap5ihwnflyinn1wfri3pcj118wm03ck8y63o8fvmqhsmmk895nfx800ngs6yth2pbhfbrxucpsbjgtn44hiokbwmm3wc67nd7u7ybkfobaewfyzr7v1hnir/fold3/confusion_matrix.table.json', 'sha256': '10ecca700d44d997d65b794a01c09a1c9b9d1de4c50a93883dfc9893c4871aad', 'log_mode': 'IMMUTABLE', 'ncols': 3, 'nrows': 2, 'path': 'media/table/fold3/confusion_matrix_9_10ecca700d44d997d65b.table.json', '_latest_artifact_path': 'wandb-client-artifact://0xu5p3lnbtwhlum3ce79nan0vq5mt4md2aj1vutptgtcstm1ufizal28xmi6pzwfwoer5gl9k8f616w3uyblzeu84qitn9se0ghmud1r7fy7hb2t0vb3cvbat7ongekn:latest/fold3/confusion_matrix.table.json', '_type': 'table-file', 'size': 83}",,,
