cv5/fold_metrics,fold0/class_1/recall,fold0/class_1/f1-score,fold3/class_0/precision,fold2/class_0/f1-score,fold0/class_0/precision,fold0/confusion_matrix,_runtime,fold3/class_0/f1-score,fold4/class_0/precision,fold4/class_0/f1-score,fold4/confusion_matrix,fold4/class_1/f1-score,fold1/class_1/precision,fold3/confusion_matrix,fold2/class_0/recall,fold3/class_1/recall,fold1/confusion_matrix,fold1/class_0/recall,fold2/class_1/precision,fold1/class_1/f1-score,fold4/class_1/recall,_step,fold2/class_1/f1-score,fold1/class_0/precision,fold2/class_1/recall,fold2/class_0/precision,fold4/class_0/recall,fold3/class_1/f1-score,fold3/class_0/recall,fold0/class_0/f1-score,fold3/class_1/precision,fold1/class_0/f1-score,fold0/class_1/precision,fold4/class_1/precision,fold0/class_0/recall,fold2/confusion_matrix,fold1/class_1/recall,_timestamp
,,,,,,"{'nrows': 2, 'path': 'media/table/fold0/confusion_matrix_0_6bd0dda767b866c9265b.table.json', '_latest_artifact_path': 'wandb-client-artifact://ozqxnx30bsw06h4ot8k8h0h8os7fhnzk7fnt4iebmdja9ari0ihn560kqisd0rgjzlmrs9mtzmfept03y2gsb21bt9lecqji9udx311gbjfbgndx5hahbubkfps0pe35:latest/fold0/confusion_matrix.table.json', 'sha256': '6bd0dda767b866c9265b9b8b2b682cd6b217079682fe6c8afe1d5fe30d749fd6', '_type': 'table-file', 'log_mode': 'IMMUTABLE', 'size': 83, 'ncols': 3, 'artifact_path': 'wandb-client-artifact://qseb055kweccw19b46s0znsr41bygsrqlgsn3m1iiwcg04rewhe7np6qtzra030avbxmng0hqszmcu97d1k4t1zhu2yhopg3kz6uhjbihh0smmh8thkog8bhsx5ne8cl/fold0/confusion_matrix.table.json'}",6920.386130031,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1770740791.1265502
,,,,,0.9929333107650643,,6920.387608538,,,,,,,,,,,,,,,1,,,,,,,,0.996454126589804,,,,,1,,,1770740791.1282313
,0.9942174515235457,0.9971003420554582,,,,,6920.387872075,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,1770740791.1285408
,,,,,,,7926.063923851,,,,,,,,,,"{'sha256': 'b9b37089e4eb5649e385284b6b3b59a866aa34488e0ab079b844e15731f569d7', '_latest_artifact_path': 'wandb-client-artifact://9fll3wohh0lbr19r0aq4051ktpln1xw4t64ui7ahfmhl3trpyns8yr80a8erhy8kp28seaspfnj13jrytuzr3z7kdmk0lzosaztenvyse4a38folewcf81cjtmetxwq6:latest/fold1/confusion_matrix.table.json', 'size': 83, '_type': 'table-file', 'nrows': 2, 'log_mode': 'IMMUTABLE', 'ncols': 3, 'artifact_path': 'wandb-client-artifact://fzqfcwbyswbv45lkzn1evgh335tftbw5110112ua1m30k82lb2nxgyi1hrvbo6phx2stbkvp245u0ajqox8jwzjkdzz6ps05t44otgt8ide14655h83kjp6057fcyd31/fold1/confusion_matrix.table.json', 'path': 'media/table/fold1/confusion_matrix_3_b9b37089e4eb5649e385.table.json'}",,,,,3,,,,,,,,,,,,,,,,1770741796.8046265
,,,,,,,7926.064836015,,,,,,,,,,,1,,,,4,,0.992513323745876,,,,,,,,0.9962425966416881,,,,,,1770741796.8055892
,,,,,,,7926.065009652,,,,,,1,,,,,,,0.9969261761283712,,5,,,,,,,,,,,,,,,0.9938711911357341,1770741796.8058019
,,,,,,,9163.455595494,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://60mys8dbu7r0whj1kuwuxs3wer2wrknbs4l1n0yfxzx9egbt999n9z40tl7nl5543k0i7gst3ucbpwe71x5rsxixis6qlggoz6qnf205ewjk40ff2lnhuqp85ymihmgb:latest/fold2/confusion_matrix.table.json', '_type': 'table-file', 'nrows': 2, 'artifact_path': 'wandb-client-artifact://b1s4yh72jokyorkm5y67wval0wdolvbsituu5j4ovdsq4bzqf3r51e3kb3vnf25jz7bptzoanf0bdwz5o7t3zxinmecpafreyt97g4a5ws9sji6ukl8z6geni1yl7z55/fold2/confusion_matrix.table.json', 'sha256': '345af60ba8a64727134e22838069f2db1a7518ee42d56eefede5265f0f219b59', 'size': 83, 'ncols': 3, 'path': 'media/table/fold2/confusion_matrix_6_345af60ba8a64727134e.table.json', 'log_mode': 'IMMUTABLE'}",,1770743034.1962698
,,,,0.9959443677672789,,,9163.456480584,,,,,,,,1,,,,,,,7,,,,0.9919214989637525,,,,,,,,,,,,1770743034.197231
,,,,,,,9163.45665339,,,,,,,,,,,,1,,,8,0.9966803969619549,,0.9933827605321508,,,,,,,,,,,,,1770743034.197461
,,,,,,,10292.031657342,,,,,,,"{'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://ygqbs13dh2tpq5memsvaxxdu52b2pzt5389ulgbw6nhprxpq6b40j2wvcwvv8kfe5ixcl46dlr74fu27x8auntk5qbfk5im9q47p1pv2loruhd0vipc14jz8ntux811w/fold3/confusion_matrix.table.json', 'nrows': 2, 'path': 'media/table/fold3/confusion_matrix_9_29a5268aac6d02f4c6cd.table.json', 'sha256': '29a5268aac6d02f4c6cda7b786ff6a1b1b69a62570c43e26db3a82e858e686e6', 'size': 83, 'ncols': 3, '_latest_artifact_path': 'wandb-client-artifact://bbedqpcxhaanuj5qvcljx7ubqy9xnya8hkdhckrt90ok8dd18c6mwdblganfe61uft4ksvoqro1jg2bg8wd64tuv1zovul8kg37t8rksbk8i4gkgw4f2jlrbh8rj6av2:latest/fold3/confusion_matrix.table.json', '_type': 'table-file'}",,,,,,,,9,,,,,,,,,,,,,,,,1770744162.7723749
