fold2/class_1/f1-score,fold0/class_1/precision,fold4/class_1/precision,fold1/class_1/f1-score,fold2/class_1/precision,fold1/class_0/f1-score,fold0/class_0/recall,fold4/class_0/f1-score,fold2/class_0/f1-score,_timestamp,fold3/class_0/recall,fold1/class_0/recall,fold3/class_1/precision,fold1/class_0/precision,fold3/confusion_matrix,fold4/class_0/precision,fold2/class_0/precision,_runtime,fold1/class_1/recall,cv5/fold_metrics,fold0/class_1/recall,fold1/confusion_matrix,fold3/class_0/f1-score,fold4/class_0/recall,fold4/confusion_matrix,fold0/confusion_matrix,fold1/class_1/precision,fold3/class_1/recall,_step,fold2/class_1/recall,fold3/class_0/precision,fold2/class_0/recall,fold2/confusion_matrix,fold4/class_1/recall,fold0/class_1/f1-score,fold4/class_1/f1-score,fold0/class_0/precision,fold0/class_0/f1-score,fold3/class_1/f1-score
,,,,,,,,,1770744027.0162532,,,,,,,,3373.428071797,,,,,,,,"{'ncols': 3, 'size': 83, '_latest_artifact_path': 'wandb-client-artifact://alxiy4a7t8j1grmv6oo3dajywp9qja9h3lpw5cdwrsnf1841tyzymy2fe0r8gfuddz6fa0fe4h4vv060ql96xwr6oaz9nvdeqqyztwp6pjmnf0snsa1yrn70x5jb6bca:latest/fold0/confusion_matrix.table.json', 'artifact_path': 'wandb-client-artifact://5s42jij6tx84sbim2ger0tj4gqlc2k7b1sxbnhe0ozwqarockalos66ok6n5j0il460zu6aedo1r2h124rfkmg7q8d1htcg8v95637w9djw2yxgnqp3f73ebdrw42jbs/fold0/confusion_matrix.table.json', 'nrows': 2, 'path': 'media/table/fold0/confusion_matrix_0_2e360b097e45dc61df7a.table.json', 'sha256': '2e360b097e45dc61df7a480892c4b3a1b51cd9c8ad68b3b7cd1de462a1eb92c2', '_type': 'table-file', 'log_mode': 'IMMUTABLE'}",,,0,,,,,,,,,,
,,,,,,1,,,1770744027.0176945,,,,,,,,3373.429210279,,,,,,,,,,,1,,,,,,,,0.9896668072543231,0.9948065712771595,
,1,,,,,,,,1770744027.0179257,,,,,,,,3373.429353726,,,0.991516620498615,,,,,,,,2,,,,,,0.9957402416760845,,,,
,,,,,,,,,1770744299.789908,,,,,,,,3646.201657284,,,,"{'path': 'media/table/fold1/confusion_matrix_3_1d80b36bbb17ca9d66d9.table.json', '_type': 'table-file', 'sha256': '1d80b36bbb17ca9d66d95e38b3130689e575f42619f1352964e311837c8ee0ec', 'ncols': 3, 'artifact_path': 'wandb-client-artifact://tro03pcx33t54x0f70nn35kt719sy6ucfoz5uz3m4defwt9ql3ac8j219o3aujhbhu0e6sgb32v7aa3vops4g26grjrdec648h9fda5ttzuog8xjn5xp6wo4jrdcl73v/fold1/confusion_matrix.table.json', 'size': 83, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://xhnlu47gdm219hqkmi0gloy101tpenz2k5qppku4wo439et4wvepoiodfi2w65pixhezes9ogh5i64dukquk4c283o1ss48349ih84zyyxfkczi49dss17qv1cx96bzc:latest/fold1/confusion_matrix.table.json', 'nrows': 2}",,,,,,,3,,,,,,,,,,
,,,,,0.992429368973101,,,,1770744299.7917862,,1,,0.984972505561852,,,,3646.203977491,,,,,,,,,,,4,,,,,,,,,,
,,,0.9937632835092854,,,,,,1770744299.7921166,,,,,,,,3646.204038383,0.9876038781163435,,,,,,,,1,,5,,,,,,,,,,
,,,,,,,,,1770744610.2549024,,,,,,,,3956.666481466,,,,,,,,,,,6,,,,"{'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://yqva2iqtxcheiaaidm4b7vddmu1raylyvrvw6k5ejfpnp5zjxeqxqpoku80sb9vosopgjjytga9kb9ykopulv1yz3wz3o5m827718onqohyk7vejb7mi8dr7cus8pcda/fold2/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://odgmbe4f0huje52t5uw21xekps8k6kec5pdstdyf9g6jrvx1673t1liifl4pgub26hr08dzitlpdw885dmo4rjccalovaatyunft983j5faqpzm1vbj74ajn6vqimmq1:latest/fold2/confusion_matrix.table.json', 'size': 83, 'ncols': 3, '_type': 'table-file', 'path': 'media/table/fold2/confusion_matrix_6_3b831fa164eea0e216c6.table.json', 'sha256': '3b831fa164eea0e216c63b3a586c1ea3cfc65d249535f32da19092e3e42c935c', 'nrows': 2}",,,,,,
,,,,,,,,0.9918166247277495,1770744610.2561104,,,,,,,0.9837660975712068,3956.667699904,,,,,,,,,,,7,,,1,,,,,,,
0.9932509024955966,,,,1,,,,,1770744610.2563572,,,,,,,,3956.667862519,,,,,,,,,,,8,0.9865922949002217,,,,,,,,,
,,,,,,,,,1770744877.0601249,,,,,"{'artifact_path': 'wandb-client-artifact://0k938beq3dxwj670cui8m94on16wnfyyl1ubm9bp43xs42n9c1xmmr0nr76nev22qjhj29jkgxbuci7pxazaw5idq6k1kvk1ij1p5qd5hxzdp69t8tvuwyl2nr8ydegt/fold3/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://4apcb1ql4p19o388u5slbx2wlbvv5ohofphlq5ph477nxstsgch6fcgdb789z82s8rollor3mk2ln8sgknjshi5nfd0autcjmsq8zwlhzqo5jug0s4ca0wb2gxvb30q9:latest/fold3/confusion_matrix.table.json', 'sha256': '93c267f2ddfa5984f6894fcf4aaa737492bd1e36869dd1225e845575ffd89ba0', '_type': 'table-file', 'ncols': 3, 'log_mode': 'IMMUTABLE', 'path': 'media/table/fold3/confusion_matrix_9_93c267f2ddfa5984f689.table.json', 'nrows': 2, 'size': 83}",,,4223.471828863,,,,,,,,,,,9,,,,,,,,,,
,,,,,,,,,1770744877.062312,1,,,,,,,4223.474044334,,,,,0.9931817219328336,,,,,,10,,0.9864557920417263,,,,,,,,
,,,,,,,,,1770744877.0627635,,,1,,,,,4223.474503021,,,,,,,,,,0.9888442350332595,11,,,,,,,,,,0.9943908302268055
,,,,,,,,,1770745067.6474593,,,,,,,,4414.059146376,,,,,,,"{'sha256': 'a030d384d508e95e7ea717d0ba0b3b8ea69e34e5b7a355213b65139b6a214b3d', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://j8rquubfupjjor2unly79u8dduox1hbpkycdza1gnsqawam9yw4vefbj50i7fhs3ab0zn61480v367aad54scu27m3znlfl5vc0dtan3mvvt532dqrk3cwfto7fl4gsj:latest/fold4/confusion_matrix.table.json', 'size': 83, 'nrows': 2, '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://8wg9nvvbkpx8ndcmrdxtvrn1nnc2311c8a2i5opgrnuf9cb2770umapbvmrxxfywp7y6qit8nthl8bvkz8twfp5sen6ccgqtvz41vsfutrcraqjgb6skmu48j7xfo9ej/fold4/confusion_matrix.table.json', 'ncols': 3, 'path': 'media/table/fold4/confusion_matrix_12_a030d384d508e95e7ea7.table.json'}",,,,12,,,,,,,,,,
,,,,,,,0.9936656568438447,,1770745067.6492562,,,,,,0.9874110563765737,,4414.060853809,,,,,,1,,,,,13,,,,,,,,,,
,,1,,,,,,,1770745067.6496034,,,,,,,,4414.061223688,,,,,,,,,,,14,,,,,0.9896410753880266,,0.9947935711922548,,,
