fold1/class_7/recall,fold2/class_8/recall,fold4/class_7/recall,fold2/class_2/recall,fold3/class_4/f1-score,fold3/class_2/recall,fold0/class_9/f1-score,fold3/class_9/f1-score,fold3/class_2/precision,fold2/class_4/recall,fold1/class_1/f1-score,_timestamp,fold2/class_9/recall,fold0/class_4/precision,fold3/class_5/precision,fold1/class_5/f1-score,fold3/class_0/precision,fold4/class_6/recall,fold1/class_3/recall,fold1/class_0/f1-score,fold1/class_5/recall,fold4/class_3/precision,fold2/class_2/precision,fold0/class_0/precision,fold0/class_0/recall,fold2/class_2/f1-score,fold1/class_3/f1-score,fold1/class_10/precision,fold2/confusion_matrix,fold4/class_7/f1-score,fold4/class_9/precision,fold2/class_3/f1-score,fold4/class_6/f1-score,fold4/class_1/f1-score,fold0/class_1/f1-score,fold3/class_1/f1-score,fold4/class_10/recall,fold2/class_9/precision,fold4/class_5/f1-score,_runtime,fold2/class_5/recall,fold4/class_7/precision,fold4/class_2/f1-score,fold2/class_7/precision,fold0/class_6/precision,fold0/class_8/precision,fold1/class_0/precision,fold0/class_2/f1-score,fold0/class_3/precision,fold0/class_4/f1-score,fold0/class_0/f1-score,fold2/class_6/f1-score,fold3/confusion_matrix,fold1/class_6/precision,fold4/class_6/precision,fold4/class_9/recall,fold2/class_4/f1-score,fold3/class_9/precision,fold1/class_8/f1-score,fold4/class_8/precision,fold2/class_3/recall,fold4/class_0/recall,fold1/class_6/recall,fold0/class_2/precision,fold4/class_10/f1-score,fold4/class_4/precision,fold3/class_8/precision,fold0/class_5/recall,fold3/class_6/f1-score,fold3/class_2/f1-score,fold0/class_10/precision,fold3/class_10/recall,fold0/class_7/recall,fold4/class_4/f1-score,fold1/class_10/f1-score,fold3/class_3/f1-score,fold0/class_1/recall,fold4/class_8/recall,fold1/class_7/f1-score,cv5/fold_metrics,fold1/class_2/precision,fold1/confusion_matrix,fold1/class_7/precision,fold4/class_2/recall,fold0/class_10/recall,fold4/class_9/f1-score,fold3/class_7/precision,fold0/class_6/f1-score,fold0/class_5/precision,fold4/class_10/precision,fold0/class_7/f1-score,fold3/class_4/precision,fold4/class_0/precision,fold1/class_9/recall,fold3/class_7/recall,fold0/class_9/precision,fold4/class_3/recall,fold2/class_1/f1-score,fold1/class_5/precision,fold2/class_8/precision,fold4/class_1/recall,fold0/class_7/precision,fold3/class_9/recall,fold0/class_3/recall,fold2/class_0/precision,fold3/class_1/precision,fold3/class_10/precision,_step,fold4/class_5/precision,fold2/class_10/f1-score,fold1/class_9/f1-score,fold2/class_8/f1-score,fold1/class_10/recall,fold2/class_10/recall,fold1/class_4/recall,fold1/class_4/precision,fold2/class_0/recall,fold2/class_10/precision,fold1/class_9/precision,fold1/class_8/recall,fold3/class_8/recall,fold2/class_3/precision,fold2/class_6/precision,fold3/class_8/f1-score,fold0/class_9/recall,fold2/class_5/precision,fold3/class_6/recall,fold4/class_0/f1-score,fold0/class_8/recall,fold0/class_2/recall,fold2/class_1/precision,fold4/class_1/precision,fold0/class_4/recall,fold4/confusion_matrix,fold1/class_6/f1-score,fold4/class_8/f1-score,fold0/class_5/f1-score,fold2/class_1/recall,fold4/class_2/precision,fold1/class_2/f1-score,fold3/class_5/f1-score,fold2/class_7/recall,fold2/class_0/f1-score,fold3/class_4/recall,fold3/class_3/recall,fold1/class_8/precision,fold0/class_10/f1-score,fold4/class_5/recall,fold2/class_9/f1-score,fold2/class_4/precision,fold3/class_6/precision,fold1/class_4/f1-score,fold0/class_3/f1-score,fold3/class_0/recall,fold3/class_10/f1-score,fold1/class_1/recall,fold3/class_3/precision,fold1/class_0/recall,fold3/class_5/recall,fold3/class_7/f1-score,fold1/class_1/precision,fold4/class_4/recall,fold0/class_6/recall,fold2/class_5/f1-score,fold3/class_0/f1-score,fold2/class_6/recall,fold1/class_2/recall,fold1/class_3/precision,fold3/class_1/recall,fold4/class_3/f1-score,fold2/class_7/f1-score,fold0/class_1/precision,fold0/class_8/f1-score,fold0/confusion_matrix
,,,,,,,,,,,1770961366.8739502,,,,,,,,,,,,,,,,,,,,,,,,,,,,716.852531731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'path': 'media/table/fold0/confusion_matrix_0_ea0cb04c93fe172bac74.table.json', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://mf1l5geag007eibyl21kv9thb6qk563op10lbjsg755yqgmmkw30jwjw1ekibuacbkxsvwz5lkotdjpfgxfrkr6vcdclz3r764eu44zfzfdo0d2q2e0ag9563pjw2zqs/fold0/confusion_matrix.table.json', 'ncols': 12, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://sli4dv9cefo1xmcc0c5u4ibthgpwmge0ipig12d3pitbm174j0sbkgcbdiqnl7rmsrvw22jzl7496ct8gae04ecom46ss0x5s37zfp8613teujamuskmht4hub62nz4f:latest/fold0/confusion_matrix.table.json', 'nrows': 11, 'sha256': 'ea0cb04c93fe172bac742f6885c0f2fd8a3f4ab04e330d0b40c33756bd73cba9', 'size': 558}"
,,,,,,,,,,,1770961366.8759956,,,,,,,,,,,,0.9999261365734756,1,,,,,,,,,,,,,,,716.854437704,,,,,,,,,,,0.999963066922736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1770961366.8764572,,,,,,,,,,,,,,,,,,,,,,,1,,,,,716.854812368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
,,,,,,,,,,,1770961366.876852,,,,,,,,,,,,,,,,,,,,,,,,,,,,716.855154587,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1770961366.877159,,,,,,,,,,,,,,,,,,,,,,,,,,,,716.85542835,,,,,,,,,0.9933333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9966555183946488,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1770961366.877421,,1,,,,,,,,,,,,,,,,,,,,,,,,,,716.855657856,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1770961366.8776698,,,,,,,,,,,,,,,,,,,,,,,,,,,,716.855792222,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1770961366.8778338,,,,,,,,,,,,,,,,,,,,,,,,,,,,716.855969554,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
,,,,,,,,,,,1770961366.877956,,,,,,,,,,,,,,,,,,,,,,,,,,,,716.856052739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9930555555555556,,,,,,,,,,,,,,,,,,0.9965156794425087,,,,,,,,,,,1,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1770961366.8780727,,,,,,,,,,,,,,,,,,,,,,,,,,,,716.856159932,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
