fold0/confusion_matrix,fold2/confusion_matrix,fold2/class_0/f1-score,_step,fold1/class_0/f1-score,fold4/class_0/precision,fold4/class_1/f1-score,fold2/class_0/precision,fold4/confusion_matrix,fold2/class_1/precision,fold4/class_1/precision,fold3/class_1/f1-score,fold3/class_0/f1-score,fold3/class_1/recall,fold4/class_0/f1-score,cv5/fold_metrics,fold3/class_0/precision,_timestamp,fold1/class_0/recall,fold0/class_0/precision,fold0/class_1/recall,fold2/class_1/recall,fold0/class_1/precision,fold0/class_1/f1-score,fold1/class_1/recall,fold2/class_0/recall,fold1/class_1/precision,fold3/class_1/precision,fold1/class_0/precision,fold3/class_0/recall,fold1/class_1/f1-score,fold3/confusion_matrix,fold0/class_0/f1-score,_runtime,fold0/class_0/recall,fold4/class_0/recall,fold1/confusion_matrix,fold2/class_1/f1-score,fold4/class_1/recall
"{'_type': 'table-file', 'path': 'media/table/fold0/confusion_matrix_0_d6e6d958200005e2a263.table.json', 'sha256': 'd6e6d958200005e2a263885e809fcdfb858f57a6a337b7bf6897a14570792957', 'artifact_path': 'wandb-client-artifact://f51a8mgdc8sd3bsj97230j97c43v2rkh1jj2agdq390fd5kru90km897vo08vjlnylz7jhqls3wdy2k2y1x1ub0dvlygozgibjis7evgs62gv076r2ydk00talnfhje6/fold0/confusion_matrix.table.json', 'nrows': 2, 'size': 83, '_latest_artifact_path': 'wandb-client-artifact://saaevvrvucw9lxywzx1xmmpy8vo4t28p72ceu2d5zgk5tb1jpwwt5bdjhz1u5imuvx5mwrncd8m8bltfqf23k3vearky133jeqf207dxl43uia3657otfheqz38hbem7:latest/fold0/confusion_matrix.table.json', 'log_mode': 'IMMUTABLE', 'ncols': 3}",,,0,,,,,,,,,,,,,,1770741584.479654,,,,,,,,,,,,,,,,4047.878518852,,,,,
,,,1,,,,,,,,,,,,,,1770741584.481384,,0.9923034634414514,,,,,,,,,,,,,0.9961368653421634,4047.87995631,1,,,,
,,,2,,,,,,,,,,,,,,1770741584.4816358,,,0.9956371191135734,,1,0.9978137904709026,,,,,,,,,,4047.880090148,,,,,
,,,3,,,,,,,,,,,,,,1770742104.676535,,,,,,,,,,,,,,,,4568.075300581,,,"{'sha256': '02ca99c1f4e200af5f306650b30563fc13883b943c2aca68008dc827ab407c94', 'artifact_path': 'wandb-client-artifact://w03x5unw1wbghchy3rbjbrfz9fkzz3y1c3w2rd9v03u4msusal9658qpn46dsez1xccv4dob2bz2jkdbm2iibcwyoztbc91rauvj0befhzm51b5doeheeaqdqlkd29wf/fold1/confusion_matrix.table.json', 'size': 83, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://jyz6clkxkr7n9ru216zpdmfbxvahefuyghjndve2fo0jt30zx8xf9w236y50r1ws0ste9dz1xv6lh0ds29w9shbe376il6cmeqdci2z413p9qsaeh1uy0jzgm38gdac3:latest/fold1/confusion_matrix.table.json', '_type': 'table-file', 'ncols': 3, 'nrows': 2, 'path': 'media/table/fold1/confusion_matrix_3_02ca99c1f4e200af5f30.table.json'}",,
,,,4,0.995281862745098,,,,,,,,,,,,,1770742104.6780472,0.9998768851954447,,,,,,,,,,0.9907288807563281,,,,,4568.076607558,,,,,
,,,5,,,,,,,,,,,,,,1770742104.6782916,,,,,,,0.9947368421052631,,0.9999303863557257,,,,0.9973268529769137,,,4568.076752819,,,,,
,"{'path': 'media/table/fold2/confusion_matrix_6_50df853a447cd65c2d4f.table.json', 'artifact_path': 'wandb-client-artifact://bwtqqs683o2gnpivw3i8y499x56hwv5x4dvtnyhu229jj9bfwj3eayfha7i92liko8px308o929w5eaiaq0t1fhogdm4owj80uv7g1rycamaixbdur7hwk0jf8dooej5/fold2/confusion_matrix.table.json', 'size': 83, 'ncols': 3, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://r2rjetxcy0uh306gbjxc9owdytpoj5d3ies7out0226dp8xa8cxagcu60i9kf3ykhru6zkm682xneisedowu83dbtwrjc3wtkr1f7bv8gfngio7mkozadm8t9ipw8j4q:latest/fold2/confusion_matrix.table.json', '_type': 'table-file', 'nrows': 2, 'sha256': '50df853a447cd65c2d4f5380676243114c5bc0eafb47eed3928c1d0dd316dc8c'}",,6,,,,,,,,,,,,,,1770742695.7894695,,,,,,,,,,,,,,,,5159.188528026,,,,,
,,0.9950663438850244,7,,,,0.9901811306946393,,,,,,,,,,1770742695.7910495,,,,,,,,1,,,,,,,,5159.18961867,,,,,
,,,8,,,,,,1,,,,,,,,1770742695.7912734,,,,0.9944221175166297,,,,,,,,,,,,5159.189682889,,,,0.9972032588114719,
,,,9,,,,,,,,,,,,,,1770743502.7287862,,,,,,,,,,,,,,"{'path': 'media/table/fold3/confusion_matrix_9_84b6e3df5d716734a542.table.json', 'log_mode': 'IMMUTABLE', 'nrows': 2, 'sha256': '84b6e3df5d716734a5420f1dfb98efd16ff2149f2d10ddd1e0306d5c5ce62b42', '_type': 'table-file', 'size': 82, 'artifact_path': 'wandb-client-artifact://glxedu03uk39u7zq3ozwnwuwfl5jh3s0xt20hp7mggxd9cj9l94okmc2x45xcybgwygmzz0zp6avttjgqw2y8gdepwoo5azlx0fhw064nayw6262a2rwnmxsoalxa2sc/fold3/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://26intxqnj8p3nhge4vu5tpkl9yxmo0pd9ew4nxdthbwzu8f72ff8giiy93js1p4gl5cvg81eiixxh8n6c9dxjcm21m7x8nky01lymquvxratqwk7twot8locacvnunrd:latest/fold3/confusion_matrix.table.json', 'ncols': 3}",,5966.12737449,,,,,
,,,10,,,,,,,,,0.9972348531399778,,,,0.9949117214320745,1770743502.7300782,,,,,,,,,,,,0.9995688593249569,,,,5966.128600235,,,,,
,,,11,,,,,,,,0.9984389093179769,,0.9971244456762749,,,,1770743502.7303114,,,,,,,,,,0.9997568431290815,,,,,,5966.128762159,,,,,
