fold4/class_7/f1-score,fold2/class_9/precision,fold3/class_6/precision,fold1/class_0/recall,fold2/class_4/f1-score,fold1/class_2/f1-score,fold2/class_3/f1-score,fold3/class_8/recall,fold0/class_7/f1-score,fold2/class_2/f1-score,fold0/class_3/f1-score,fold1/class_3/f1-score,fold3/class_4/f1-score,fold2/confusion_matrix,fold0/class_7/precision,fold3/class_6/f1-score,fold1/class_9/precision,fold3/class_10/precision,fold3/class_2/precision,fold4/class_8/f1-score,fold1/class_0/f1-score,fold2/class_5/precision,fold0/confusion_matrix,fold4/class_5/recall,fold0/class_4/recall,fold4/class_1/f1-score,fold2/class_8/precision,fold0/class_6/recall,fold2/class_7/f1-score,fold3/class_8/precision,cv5/fold_metrics,fold3/class_3/recall,fold0/class_10/precision,fold2/class_9/recall,fold0/class_9/recall,fold4/class_9/precision,fold0/class_9/f1-score,fold4/class_3/f1-score,fold0/class_10/recall,fold3/class_10/recall,fold1/class_10/f1-score,fold0/class_2/recall,fold3/class_2/recall,fold3/class_8/f1-score,fold2/class_4/recall,fold3/class_4/recall,fold0/class_0/recall,fold1/class_1/recall,fold0/class_5/f1-score,fold3/class_1/precision,fold4/class_6/precision,fold2/class_10/recall,fold1/class_10/precision,fold0/class_0/precision,fold1/confusion_matrix,fold4/class_2/precision,fold0/class_8/f1-score,fold3/class_5/f1-score,fold1/class_6/precision,fold3/class_2/f1-score,fold2/class_0/precision,fold1/class_2/recall,fold1/class_9/recall,fold1/class_2/precision,fold1/class_7/f1-score,fold4/class_2/f1-score,fold4/class_6/recall,fold1/class_3/recall,fold1/class_7/recall,fold0/class_1/f1-score,fold4/class_6/f1-score,fold3/class_7/f1-score,fold1/class_10/recall,fold3/class_9/precision,fold0/class_3/precision,fold2/class_6/recall,fold2/class_9/f1-score,fold2/class_7/recall,fold1/class_9/f1-score,fold2/class_1/f1-score,_step,fold1/class_4/f1-score,fold4/class_0/recall,fold0/class_5/precision,fold4/class_5/precision,fold0/class_6/precision,fold4/class_2/recall,fold2/class_5/recall,fold3/class_5/recall,fold2/class_1/recall,fold4/class_3/recall,fold0/class_3/recall,fold0/class_8/recall,_runtime,fold3/class_7/recall,fold2/class_8/f1-score,fold0/class_9/precision,_timestamp,fold3/class_9/f1-score,fold1/class_7/precision,fold0/class_2/f1-score,fold0/class_6/f1-score,fold0/class_4/f1-score,fold3/class_1/f1-score,fold4/confusion_matrix,fold1/class_1/precision,fold4/class_0/precision,fold3/class_4/precision,fold3/class_10/f1-score,fold4/class_7/precision,fold4/class_5/f1-score,fold4/class_9/recall,fold4/class_4/f1-score,fold3/class_7/precision,fold1/class_5/precision,fold3/class_9/recall,fold2/class_0/f1-score,fold4/class_1/precision,fold0/class_7/recall,fold1/class_5/f1-score,fold2/class_5/f1-score,fold0/class_1/recall,fold0/class_1/precision,fold0/class_2/precision,fold3/class_1/recall,fold3/class_0/f1-score,fold3/class_6/recall,fold2/class_0/recall,fold2/class_2/precision,fold0/class_0/f1-score,fold1/class_0/precision,fold4/class_8/recall,fold1/class_4/precision,fold2/class_3/recall,fold2/class_8/recall,fold1/class_8/recall,fold4/class_10/precision,fold2/class_6/f1-score,fold1/class_3/precision,fold4/class_1/recall,fold4/class_8/precision,fold4/class_3/precision,fold2/class_10/precision,fold2/class_4/precision,fold2/class_2/recall,fold3/class_5/precision,fold0/class_5/recall,fold3/class_0/precision,fold3/class_0/recall,fold1/class_8/precision,fold0/class_10/f1-score,fold4/class_4/recall,fold3/confusion_matrix,fold2/class_1/precision,fold4/class_10/f1-score,fold4/class_7/recall,fold1/class_4/recall,fold2/class_3/precision,fold2/class_6/precision,fold4/class_0/f1-score,fold4/class_9/f1-score,fold1/class_8/f1-score,fold0/class_4/precision,fold4/class_10/recall,fold1/class_1/f1-score,fold1/class_6/f1-score,fold3/class_3/f1-score,fold0/class_8/precision,fold3/class_3/precision,fold1/class_5/recall,fold2/class_10/f1-score,fold1/class_6/recall,fold2/class_7/precision,fold4/class_4/precision
,,,,,,,,,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'sha256': 'f94049d82c2814940f1907aa43a01c4f05a3183d058b126cc9f1b5b41258753c', 'size': 559, 'nrows': 11, 'path': 'media/table/fold0/confusion_matrix_0_f94049d82c2814940f19.table.json', 'artifact_path': 'wandb-client-artifact://o9uxdekg5h8zc1vca39rz7qg7cz4y5er6608fuqivs5n25cdf4nosz6jhw1rex6j8494u0k00sa7i9g5yotos0ggqvlbkiatdfz4kcil5pgc5aka358ss9ta8hxf4rbs/fold0/confusion_matrix.table.json', '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://973v6pd4v4dy3znvbbloxpu43agxz9zngfvll3v6c0ce0vqt3583kxbe1552q7a5yjf1kcwol2xv1x7421nys95ck4ixpifjknuvibpa34zedgwllzfobb7i8taso3jv:latest/fold0/confusion_matrix.table.json', 'ncols': 12}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,2738.815426143,,,,1770935503.9544702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999244522790229,,,,,,,0.9998237397391349,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2738.816969519,,,,1770935503.956257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998740934730056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9992912827781715,,,,,,,,,,,2,,,,,,,,,,,,,2738.817465484,,,,1770935503.9567318,,,,,,,,,,,,,,,,,,,,,,,,1,0.9985835694050992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,2738.817794033,,,,1770935503.957182,,,0.9956976029502151,,,,,,,,,,,,,,,,,,,,,,,0.9914320685434517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.9994015559545183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9988038277511961,,,,,,4,,,,,,,,,,,1,,2738.818086269,,,,1770935503.9575224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,2738.818255308,,,,1770935503.9578135,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9987341772151899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,0.9987341772151899,,,,,,,,,,2738.81843076,,,,1770935503.9579663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9987341772151899,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9986754966887417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,0.9973544973544973,,,,,,,,2738.818552484,,,,1770935503.9581227,,,,0.9980145598941098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.9963636363636363,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,2738.81870993,,,,1770935503.9582686,,,,,,,,,,,,,,,,,,,,,0.9927536231884058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9955022488755623,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,0.9984962406015038,2738.818820262,,,,1770935503.958405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.992526158445441,,,,,,
