fold0/class_0/precision,fold0/class_8/f1-score,fold0/class_10/precision,fold1/class_3/f1-score,fold0/class_5/precision,fold1/class_9/f1-score,fold1/class_1/recall,fold1/class_0/recall,fold1/class_4/recall,fold1/class_6/precision,fold1/class_10/precision,fold1/class_1/f1-score,fold0/confusion_matrix,fold2/class_2/precision,fold1/class_2/precision,fold2/class_10/f1-score,fold0/class_1/recall,fold2/class_9/precision,fold2/class_6/f1-score,fold0/class_3/precision,fold2/class_8/precision,fold0/class_2/recall,fold1/class_1/precision,fold0/class_6/recall,fold1/class_6/f1-score,fold2/class_6/precision,fold2/class_4/precision,fold1/class_8/f1-score,fold1/class_9/precision,fold2/class_3/recall,fold0/class_9/precision,fold0/class_6/f1-score,fold1/class_2/recall,fold2/class_3/f1-score,fold1/class_0/f1-score,fold2/class_5/f1-score,fold0/class_4/f1-score,fold0/class_8/precision,fold2/class_1/f1-score,fold2/class_8/f1-score,fold0/class_4/precision,fold1/class_3/precision,_timestamp,fold0/class_4/recall,fold1/class_5/recall,fold0/class_5/recall,fold1/class_7/precision,fold2/class_1/recall,fold0/class_6/precision,fold2/class_7/recall,fold0/class_8/recall,fold2/class_7/precision,fold0/class_0/f1-score,fold2/class_2/recall,fold1/class_5/precision,fold1/class_8/recall,_runtime,fold2/class_8/recall,fold1/class_8/precision,fold1/class_3/recall,fold1/class_7/f1-score,fold0/class_1/precision,fold1/class_7/recall,fold2/class_0/recall,fold2/class_10/recall,fold0/class_0/recall,fold0/class_2/f1-score,fold2/class_6/recall,fold0/class_3/f1-score,fold0/class_9/recall,fold0/class_1/f1-score,fold0/class_10/recall,fold2/confusion_matrix,fold1/confusion_matrix,fold2/class_9/f1-score,fold2/class_1/precision,fold2/class_0/precision,fold1/class_0/precision,fold2/class_2/f1-score,fold0/class_2/precision,fold2/class_0/f1-score,fold0/class_9/f1-score,fold1/class_4/f1-score,fold1/class_6/recall,fold1/class_5/f1-score,fold2/class_9/recall,fold0/class_7/f1-score,fold2/class_4/f1-score,fold0/class_7/precision,fold0/class_5/f1-score,fold1/class_4/precision,fold0/class_3/recall,fold1/class_9/recall,_step,fold2/class_5/recall,fold2/class_4/recall,fold0/class_7/recall,fold1/class_10/f1-score,fold2/class_5/precision,fold2/class_10/precision,fold2/class_7/f1-score,fold0/class_10/f1-score,fold2/class_3/precision,fold1/class_10/recall,fold1/class_2/f1-score
,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://0n7r46nnc4h260hh0r83zckik939qc8p448geky1x1u8qttgq8uzv7oyemc6jcv9382jq7xoppqgdcddodm6tla2qg24262ze4z5y1lsp7pdsso2pu0okcx7e8tu1bt4/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://3xes03nzpki5407t1uavyb55vtte7ap6mpicrzqd95c9xtjlp4dpykx2lpvm2jspktu2vb0ivnct1zdadiyn20bks7aheca5ub28wxk5cvzj2ym0er74olw3npl2k29j:latest/fold0/confusion_matrix.table.json', 'nrows': 11, 'size': 605, 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'sha256': '6fe8453a709b76bdbbddc83b634f4d87d912e28600bd9cafcd3f51c82d2fa8ec', 'ncols': 12, 'path': 'media/table/fold0/confusion_matrix_0_6fe8453a709b76bdbbdd.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770794234.213483,,,,,,,,,,,,,,1258.351575874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
0.8578479980608624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770794234.2166605,,,,,,,,,,0.9150203899354808,,,,1258.353858562,,,,,,,,,0.9803575925459582,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.225531914893617,,,,,,,,,,,,,,,,,,,,,,,,,,1770794234.2170155,,,,,,,,,,,,,,1258.354074492,,,,,0.501577287066246,,,,,,,,,0.3111545988258317,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.20987654320987653,,,,,,,,,,,,,,,,,,,,,1770794234.2173772,,,,,,,,,,,,,,1258.354533925,,,,,,,,,,0.3065825067628494,,,,,,,,,,,,,0.568561872909699,,,,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.5580589254766031,,,,,,,,,,,,,,,,,,,,,,,1770794234.217791,,,,,,,,,,,,,,1258.354823481,,,,,,,,,,,,0.45609065155807366,,,,,,,,,,,,,,,,,,,,,,,0.38562874251497004,,4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06626506024096386,,,,0.6470588235294118,,1770794234.2181084,0.03492063492063492,,,,,,,,,,,,,1258.355122916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
,,,,0.4166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770794234.21838,,,0.006329113924050633,,,,,,,,,,,1258.355474014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012468827930174564,,,,6,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.010596026490066225,,,,,,,,0.020486555697823303,,,,,,,,,,,1770794234.2187603,,,,,,0.3076923076923077,,,,,,,,1258.35577908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770794234.2190473,,,,,,,,,,,,,,1258.356042374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37894736842105264,,0.42935779816513764,,,,,8,,,0.3391304347826087,,,,,,,,
,0.3206751054852321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36538461538461536,,,,,1770794234.2193239,,,,,,,,0.2857142857142857,,,,,,1258.356332651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,
