fold4/class_1/recall,fold2/class_1/f1-score,fold3/class_1/precision,fold3/class_2/f1-score,fold3/class_3/precision,fold1/class_3/f1-score,fold2/class_0/precision,fold1/class_2/precision,fold3/class_1/f1-score,fold2/class_3/f1-score,fold4/class_2/f1-score,fold0/class_0/precision,fold1/class_3/precision,fold3/confusion_matrix,fold1/class_1/f1-score,fold2/class_3/precision,fold0/class_0/recall,fold3/class_2/precision,fold0/class_1/recall,fold4/class_0/precision,_runtime,fold0/class_2/recall,fold4/class_1/f1-score,fold1/class_0/f1-score,fold2/class_1/recall,fold0/class_2/precision,_timestamp,fold3/class_0/f1-score,fold2/class_2/recall,fold2/class_2/f1-score,fold2/class_0/recall,fold2/confusion_matrix,fold1/class_2/f1-score,fold0/class_0/f1-score,fold1/class_0/recall,fold2/class_1/precision,fold4/class_0/f1-score,fold3/class_3/f1-score,fold0/class_3/f1-score,fold3/class_3/recall,fold3/class_1/recall,fold0/confusion_matrix,fold1/class_1/recall,fold4/class_2/precision,fold2/class_2/precision,fold4/class_1/precision,fold1/class_0/precision,_step,fold4/class_2/recall,fold4/class_3/f1-score,fold2/class_3/recall,fold3/class_0/recall,fold3/class_2/recall,fold0/class_3/precision,fold1/class_3/recall,fold4/class_3/recall,fold1/class_1/precision,fold0/class_3/recall,fold2/class_0/f1-score,cv5/fold_metrics,fold4/confusion_matrix,fold3/class_0/precision,fold0/class_2/f1-score,fold4/class_0/recall,fold1/class_2/recall,fold0/class_1/f1-score,fold0/class_1/precision,fold1/confusion_matrix,fold4/class_3/precision
,,,,,,,,,,,,,,,,,,,,1924.474115813,,,,,,1770724046.5411904,,,,,,,,,,,,,,,"{'ncols': 5, 'artifact_path': 'wandb-client-artifact://99gbw8a6um7uzrilvbj465d5b8kver2e14en4u4pcsjrscxjc7hx0pqbsx8m19azrkjynoj6oei12lctm72jlyy7kan3eohgoqidwlwjp94rkrum48bxjpl9wyr0bao9/fold0/confusion_matrix.table.json', 'size': 153, '_type': 'table-file', 'nrows': 4, '_latest_artifact_path': 'wandb-client-artifact://rkpz6n6w0oysarb39mszjq1pwlcuknb7vkj0jdjer62tapwemhq8pkl7oavn0y031lsq20o2q3tdmj9ghqmqzqboojeozdevs7b7aozr61uzlrn8g8twju59h3ghe65r:latest/fold0/confusion_matrix.table.json', 'sha256': '0ef7b8f9c2540aff321d83c8b55c01f94e06ba1e1196a95b3a6a04983c0e1e6d', 'path': 'media/table/fold0/confusion_matrix_0_0ef7b8f9c2540aff321d.table.json', 'log_mode': 'IMMUTABLE'}",,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.9752012882447665,,,,,0.9831168831168832,,,,1924.475812916,,,,,,1770724046.5433338,,,,,,,0.9791430881164107,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.977859778597786,,1924.476158962,,,,,,1770724046.5437496,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,0.958062183658713,0.9390503189227498,,
,,,,,,,,,,,,,,,,,,,,1924.476466926,0.9781701444622793,,,,0.9880025940337225,1770724046.5440655,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0.9830617841587352,,,,,,
,,,,,,,,,,,,,,,,,,,,1924.476890201,,,,,,1770724046.5444353,,,,,,,,,,,,0.9710344827586207,,,,,,,,,4,,,,,,0.9880701754385965,,,,0.9545762711864407,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2051.829572014,,,,,,1770724173.897032,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,"{'size': 154, '_type': 'table-file', 'nrows': 4, '_latest_artifact_path': 'wandb-client-artifact://qmcje89kd1g0pyrkedv7zou0dxmcbbzqstm6q0kui9uqijumqxwh5qnxjfqfck8yo2uxxm0b42d06mmihe3r4on57g5sq4nhhjj8qwanzcor2wxhjjkc73lcj6e7x6vm:latest/fold1/confusion_matrix.table.json', 'sha256': '3c4c4f2134b39b338afa70e4033b514b5f168a02b77f8b5ab5e48c762fb51cbd', 'artifact_path': 'wandb-client-artifact://z7qtshfwhrqx6e9q1wsi41nm29oprwm37k2qnw16aze0pjvn2kjvx8onew40jukf76zre8bftjuftkhx5u0ps66ohpg6iz3mifbg756gsia3hbtfb6664q43kx83lq7o/fold1/confusion_matrix.table.json', 'ncols': 5, 'path': 'media/table/fold1/confusion_matrix_5_3c4c4f2134b39b338afa.table.json', 'log_mode': 'IMMUTABLE'}",
,,,,,,,,,,,,,,,,,,,,2051.831495467,,,0.9760095365817315,,,1770724173.8990507,,,,,,,,0.9732540861812778,,,,,,,,,,,,0.9787806335923491,6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.9660894660894661,,,,,,2051.831816835,,,,,,1770724173.8994217,,,,,,,,,,,,,,,,0.9564285714285714,,,,,7,,,,,,,,,0.9759475218658892,,,,,,,,,,,,
,,,,,,,0.9637635092180546,,,,,,,,,,,,,2051.83225287,,,,,,1770724173.89981,,,,,,0.9747628998553287,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,0.9860162601626016,,,,
,,,,,0.9546232876712328,,,,,,,0.9645328719723183,,,,,,,,2051.832626327,,,,,,1770724173.9001842,,,,,,,,,,,,,,,,,,,,,9,,,,,,,0.9449152542372882,,,,,,,,,,,,,,
