fold0/class_8/recall,fold3/class_0/precision,fold1/class_8/f1-score,fold4/class_5/precision,fold3/class_3/recall,fold2/class_7/f1-score,fold2/class_5/recall,fold1/class_6/recall,fold3/class_8/precision,fold4/class_9/precision,fold4/class_6/precision,fold4/class_0/f1-score,fold1/class_0/recall,fold0/class_5/precision,fold0/class_6/f1-score,fold2/class_10/recall,fold4/class_4/precision,fold2/class_7/precision,fold2/class_6/recall,fold0/class_5/f1-score,fold2/class_5/f1-score,fold4/class_3/precision,fold0/class_10/f1-score,fold4/class_7/f1-score,fold3/class_7/precision,fold1/class_10/precision,fold0/class_6/precision,fold1/class_7/f1-score,fold2/class_0/recall,fold3/class_2/f1-score,fold0/class_8/precision,fold0/class_1/f1-score,fold1/confusion_matrix,fold3/class_7/f1-score,fold0/class_10/recall,fold2/class_8/recall,fold1/class_5/precision,fold0/class_7/f1-score,_step,fold1/class_0/precision,fold4/class_7/recall,fold4/class_2/f1-score,fold1/class_8/precision,fold4/class_1/f1-score,fold4/confusion_matrix,fold4/class_1/recall,fold3/class_5/f1-score,fold0/class_7/precision,fold1/class_2/f1-score,fold1/class_9/f1-score,fold3/class_4/f1-score,fold0/class_2/recall,fold3/class_1/recall,fold4/class_0/precision,fold4/class_10/recall,fold0/class_3/precision,fold0/class_1/precision,fold2/class_1/precision,fold1/class_9/recall,fold4/class_4/f1-score,fold1/class_10/f1-score,fold2/class_1/recall,fold3/class_9/precision,fold0/class_9/f1-score,fold3/class_10/f1-score,fold0/class_0/f1-score,fold2/class_2/f1-score,fold3/class_0/f1-score,fold0/class_10/precision,fold2/class_3/precision,fold2/class_9/recall,fold2/class_0/f1-score,fold1/class_1/precision,fold3/class_3/precision,fold1/class_4/precision,fold4/class_8/recall,fold1/class_1/recall,fold3/class_4/recall,fold4/class_9/f1-score,fold0/class_0/precision,fold2/class_3/f1-score,fold3/class_6/recall,fold1/class_0/f1-score,fold4/class_4/recall,fold4/class_9/recall,fold4/class_6/recall,fold2/class_2/recall,fold1/class_3/f1-score,fold4/class_3/recall,fold4/class_6/f1-score,fold3/class_0/recall,fold2/class_6/f1-score,fold3/class_5/recall,fold2/class_8/precision,cv5/fold_metrics,fold2/class_0/precision,fold4/class_7/precision,fold4/class_0/recall,fold0/class_9/precision,fold1/class_6/f1-score,fold0/class_8/f1-score,fold3/class_5/precision,fold1/class_9/precision,fold0/class_0/recall,fold0/class_4/precision,fold1/class_7/recall,fold3/class_8/recall,fold3/class_8/f1-score,fold3/class_2/recall,fold0/class_1/recall,fold1/class_8/recall,fold0/class_7/recall,fold2/class_10/precision,_timestamp,fold3/class_3/f1-score,fold3/class_6/precision,fold2/class_9/f1-score,fold0/class_3/recall,fold4/class_3/f1-score,fold3/class_1/precision,fold4/class_1/precision,fold1/class_3/precision,fold4/class_10/f1-score,fold0/class_3/f1-score,fold0/class_4/f1-score,fold1/class_4/recall,fold2/confusion_matrix,fold3/class_1/f1-score,fold1/class_10/recall,fold2/class_10/f1-score,fold0/class_9/recall,fold3/class_9/f1-score,fold1/class_7/precision,fold4/class_10/precision,fold4/class_5/recall,fold4/class_8/precision,fold1/class_2/recall,fold3/class_9/recall,fold3/confusion_matrix,fold2/class_8/f1-score,fold3/class_10/recall,_runtime,fold1/class_6/precision,fold3/class_2/precision,fold1/class_5/f1-score,fold0/class_4/recall,fold2/class_9/precision,fold3/class_6/f1-score,fold4/class_5/f1-score,fold1/class_5/recall,fold2/class_4/f1-score,fold2/class_4/precision,fold0/class_2/precision,fold3/class_7/recall,fold0/confusion_matrix,fold1/class_3/recall,fold1/class_1/f1-score,fold2/class_7/recall,fold1/class_4/f1-score,fold2/class_3/recall,fold3/class_4/precision,fold1/class_2/precision,fold2/class_4/recall,fold2/class_5/precision,fold2/class_6/precision,fold4/class_8/f1-score,fold3/class_10/precision,fold0/class_5/recall,fold2/class_1/f1-score,fold0/class_2/f1-score,fold4/class_2/precision,fold4/class_2/recall,fold2/class_2/precision,fold0/class_6/recall
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770731432.0941966,,,,,,,,,,,,,,,,,,,,,,,,,,,,4083.94990944,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://t2mdleqdjw7zgxte9flltjhanhu9607f01o2y8jmmctaqe3wjbkxuhqarhv24x6yh1qt2oczgp5ksb6n6jf6mi6vjcri0j7b8xgtm57ml54nmheipzgubj5lcp1z2d9g:latest/fold0/confusion_matrix.table.json', '_type': 'table-file', 'ncols': 12, 'nrows': 11, 'sha256': '366a32ded10cf4d078dcbad44e1868ddf79871ca1d683cf4218d04551d558fc8', 'size': 559, 'artifact_path': 'wandb-client-artifact://x2sazxo9j6re5alinyqew7mwnwcgos9xp38yczpwt4nn4gdo1jr4z4f83m7p0sighyxwsds1s84xorwbfitblngf9mnshtq2xhnanju4mq1octnpbn2nlgqgdmbdedcz/fold0/confusion_matrix.table.json', 'path': 'media/table/fold0/confusion_matrix_0_366a32ded10cf4d078dc.table.json'}",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999680378431937,,,,,,,,,,,,,,0.9999573842449554,,,,,,,,,,,,,,,,,,,,,,,,0.9999786916684423,,,,,,,,,,1770731432.0983908,,,,,,,,,,,,,,,,,,,,,,,,,,,,4083.953893032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978586723768736,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9957264957264957,,,,1770731432.0990577,,,,,,,,,,,,,,,,,,,,,,,,,,,,4083.954067882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770731432.0993857,,,,,,,,,,,,,,,,,,,,,,,,,,,,4083.954385946,,,,,,,,,,,0.9975728155339806,,,,,,,,,,,,,,,,,0.9987849331713244,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,0.9953917050691244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770731432.099703,,,,1,,,,,,0.9976905311778291,,,,,,,,,,,,,,,,,,4083.954669156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1770731432.1000013,,,,,,,,,,,1,,,,,,,,,,,,,,,,,4083.95496457,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.9978540772532188,,,,,,0.9989258861439313,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770731432.1002982,,,,,,,,,,,,,,,,,,,,,,,,,,,,4083.955240813,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770731432.1005552,,,,,,,,,,,,,,,,,,,,,,,,,,,,4083.955493206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1770731432.1008444,,,,,,,,,,,,,,,,,,,,,,,,,,,,4083.9558289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9977678571428571,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9988826815642458,,,,,,,,,,,,,1770731432.1011477,,,,,,,,,,,,,,,,,,,,,,,,,,,,4083.956134425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
