fold2/class_0/precision,fold3/class_1/f1-score,fold1/class_0/recall,fold1/class_1/recall,fold3/class_0/recall,fold1/class_0/precision,fold0/class_0/precision,_step,fold1/class_0/f1-score,fold2/class_1/f1-score,fold0/class_1/f1-score,fold4/class_0/f1-score,fold3/class_0/f1-score,fold2/class_0/f1-score,fold4/class_0/recall,fold4/class_1/recall,fold0/confusion_matrix,fold4/confusion_matrix,fold3/class_1/precision,fold4/class_1/precision,_timestamp,fold0/class_0/recall,fold1/class_1/f1-score,_runtime,fold1/class_1/precision,fold2/class_1/recall,fold0/class_0/f1-score,fold3/class_0/precision,fold2/class_0/recall,fold4/class_1/f1-score,fold2/class_1/precision,fold0/class_1/recall,fold2/confusion_matrix,fold3/confusion_matrix,fold3/class_1/recall,fold4/class_0/precision,cv5/fold_metrics,fold0/class_1/precision,fold1/confusion_matrix
,,,,,,,0,,,,,,,,,"{'size': 87, '_latest_artifact_path': 'wandb-client-artifact://hqrv02er2b85guc4j6n34arlmvowo21g7bon5kfjzekwdmyaxou0l582o96ykhn8cu4q81ymn4cdevz84u3cpzo3h9z5okpcit4uxkseogwhodumc9itxk6yn7k65pzi:latest/fold0/confusion_matrix.table.json', 'ncols': 3, 'nrows': 2, 'path': 'media/table/fold0/confusion_matrix_0_32e984419ba6e5879257.table.json', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://12kskm7t0uw4cswxftn5yy04jx4vlhyiy1wzyn7pb7lkgxwoj2yhl9ws2phygyha5q47jhnslrrddnat2pmbbdu47zaheds0lq6dcvvhj8muxz8da2g8b2wooza4w761/fold0/confusion_matrix.table.json', '_type': 'table-file', 'sha256': '32e984419ba6e5879257d099c7747601498d02b75d44c4da5a7996f30147c4fc'}",,,,1770740071.4201994,,,1009.114654748,,,,,,,,,,,,,,,
,,,,,,0.9376722949689869,1,,,,,,,,,,,,,1770740071.4220612,0.9277221393564884,,1009.116447464,,,0.9326706797198003,,,,,,,,,,,,
,,,,,,,2,,,0.9458187522625799,,,,,,,,,,1770740071.4225514,,,1009.11683129,,,,,,,,0.9498961218836565,,,,,,0.9417762367400185,
,,,,,,,3,,,,,,,,,,,,,1770740247.2078,,,1184.902196554,,,,,,,,,,,,,,,"{'sha256': '3ed12696d1968139e349c71dae0fec8e05863bd307be0dfa15b80f26d5356875', 'artifact_path': 'wandb-client-artifact://aw3xblkdj7x8gjisxr3tiykndvm5l9e3a0qn8pfthj0yfatb5n31qv4igorr0klzatqzys05f92av6ybcn6ba5sv8waxed2bjko86a94s67cpgcfc88aqzuqb85kmy8y/fold1/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://uq28oug8c3h5mu0ztzkowxhrz384qz6tl0rraicunbv7tpmysd2yqn2vckquz3as1t8zu0e5jzst0xgzuywajyltucs9tagogstz3x8c0z3y5t5viypfuejfnhua1jx9:latest/fold1/confusion_matrix.table.json', 'ncols': 3, 'path': 'media/table/fold1/confusion_matrix_3_3ed12696d1968139e349.table.json', 'nrows': 2, 'log_mode': 'IMMUTABLE', 'size': 86, '_type': 'table-file'}"
,,0.975026635414447,,,0.9229124647035095,,4,0.9482540669360688,,,,,,,,,,,,1770740247.2091093,,,1184.903327431,,,,,,,,,,,,,,,
,,,0.9338296398891966,,,,5,,,,,,,,,,,,,1770740247.2093537,,0.9557544077257021,1184.903490406,0.978733442206496,,,,,,,,,,,,,,
,,,,,,,6,,,,,,,,,,,,,1770740346.0439558,,,1283.738227415,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://wqdh1bgh7rgrtpq13u3fc0eqsk4bdclr17q4yvymx72koaep4mgbdjus0sozw6xpz13clex1lfpb2g7bw6g9xw5eqo3ikgkjkpdzu2cip2owv4sew9az675pa72xbfsc:latest/fold2/confusion_matrix.table.json', 'ncols': 3, 'artifact_path': 'wandb-client-artifact://jsutc2fi7gq9t5bosl2jbrjhc7jozrfves6zpztt5b0w4cgkbnwokbbdyw1a53gpd9ht0jhqupja7wzgzhtbxbf1aiv8gjww5eq6o9jatiz2jbu0j5a6hamo3fucecn5/fold2/confusion_matrix.table.json', 'sha256': '0c8a425760067373e215aac5fac4e0666892d9c9af76ac37abb80387f217e6f6', 'size': 87, '_type': 'table-file', 'nrows': 2, 'path': 'media/table/fold2/confusion_matrix_6_0c8a425760067373e215.table.json', 'log_mode': 'IMMUTABLE'}",,,,,,
0.8430778551953954,,,,,,,7,,,,,,0.8368306879443287,,,,,,,1770740346.0451481,,,1283.739386579,,,,,0.8306754221388368,,,,,,,,,,
,,,,,,,8,,0.8691818917569266,,,,,,,,,,,1770740346.0454865,,,1283.739642339,,0.8743763858093127,,,,,0.8640487520969564,,,,,,,,
,,,,,,,9,,,,,,,,,,,,,1770740557.540613,,,1495.234927408,,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://dv043e6gvcbsl9cpnuq2t1pef1x0a4m7x2vxri37vjinbmkf8nwksgv9k7s4teq9jm27pl8a2cthgeie5hw7t30a648kmg9xpgqp2mzgxz821kmyggcn56u3c4zmlxe5:latest/fold3/confusion_matrix.table.json', 'sha256': 'e3d38ea5daf53e69091b1dff2c43b210900d2cf65c7eea4f5b0239cb4104c1c1', 'ncols': 3, 'path': 'media/table/fold3/confusion_matrix_9_e3d38ea5daf53e69091b.table.json', 'size': 86, 'artifact_path': 'wandb-client-artifact://0drt3493mmxy56nhnc57faytb2q1xkx1qsrp69t1th0d6s7nkigd2g079y56nroqiy8k2tneuqmjlwigj18leld8wbkrla6w3tyt7ief3ucln5wk73r0dsbukk1o549z/fold3/confusion_matrix.table.json', '_type': 'table-file', 'log_mode': 'IMMUTABLE', 'nrows': 2}",,,,,
,,,,0.9869094320313833,,,10,,,,,0.9699928754033779,,,,,,,,1770740557.5417368,,,1495.235977515,,,,0.953646477132262,,,,,,,,,,,
,0.9748374626603409,,,,,,11,,,,,,,,,,,0.9890536974969693,,1770740557.542073,,,1495.236307013,,,,,,,,,,,0.9610241130820399,,,,
