fold4/confusion_matrix,fold2/class_0/precision,fold0/class_1/precision,fold3/class_1/f1-score,fold4/class_1/recall,fold3/class_0/f1-score,fold1/class_0/recall,fold3/class_0/precision,fold2/class_1/recall,fold3/class_1/recall,fold4/class_0/recall,fold1/confusion_matrix,fold1/class_1/f1-score,fold4/class_0/precision,fold0/class_0/f1-score,_step,fold1/class_0/f1-score,fold4/class_1/f1-score,fold4/class_1/precision,fold2/confusion_matrix,fold0/class_1/recall,fold0/class_1/f1-score,fold2/class_0/f1-score,fold2/class_0/recall,fold1/class_1/precision,fold2/class_1/f1-score,fold1/class_0/precision,fold3/class_1/precision,fold3/class_0/recall,fold4/class_0/f1-score,fold0/class_0/recall,fold1/class_1/recall,_runtime,_timestamp,fold3/confusion_matrix,fold0/confusion_matrix,fold2/class_1/precision,fold0/class_0/precision,cv5/fold_metrics
,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,2785.602472726,1770747863.0125334,,"{'path': 'media/table/fold0/confusion_matrix_0_020c3fed72aac4a15767.table.json', 'sha256': '020c3fed72aac4a15767b468cb7b282157c672b7824e45a6448f5011096247ee', 'log_mode': 'IMMUTABLE', 'ncols': 3, 'size': 83, 'artifact_path': 'wandb-client-artifact://54dky6sx7sijdd3gcr3a3m1roqu1abrvrp26lfc125c4efscm285l4kvv0eag5yegqk7dcb42g1obir8jfiebhrcp3xsuxiyo46670qo4wdvqdtk9o63esrjylar1cp9/fold0/confusion_matrix.table.json', '_type': 'table-file', 'nrows': 2, '_latest_artifact_path': 'wandb-client-artifact://lhlzk59ktf2co341o37sa68qdq994mvsr8ase421bfw6gardl1mvkr3wbk51gsjeuyun8hh1u6jf8wgbgh8oua558gm7xlx6rxnyx0rkqkegcf0on3a2wne4do736ajv:latest/fold0/confusion_matrix.table.json'}",,,
,,,,,,,,,,,,,,0.9965034965034965,1,,,,,,,,,,,,,,,1,,2785.604091036,1770747863.0144448,,,,0.9930313588850174,
,,1,,,,,,,,,,,,,2,,,,,0.993421052631579,0.9966996699669967,,,,,,,,,,,2785.604352939,1770747863.014718,,,,,
,,,,,,,,,,,"{'_latest_artifact_path': 'wandb-client-artifact://gvifi0uvb0rws8lb3bw0q12lopke2a067svpy0shhk77lizjv4qd8spnfdz1dw0maczd4b82nvixw9n8rfhb6wi18k1azaiug28q3tbi8ohvni3k72bax1lgl0gw8nsg:latest/fold1/confusion_matrix.table.json', 'path': 'media/table/fold1/confusion_matrix_3_00441ec1358035bfc93f.table.json', '_type': 'table-file', 'sha256': '00441ec1358035bfc93f04128b5d64e1ae9a14954ebd58fe7a8201ddb2c78589', 'size': 83, 'ncols': 3, 'nrows': 2, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://6bxpblaido9t411byfofin8h0fh0w2244mhwovjz84y0cvzrkbk7jifs3jyzblu5zzy6kom7q2bx3q05wc8v5xdkcwenub7gsttnrcymjfi8vxs3x9p3u9tfsi4td4k7/fold1/confusion_matrix.table.json'}",,,,3,,,,,,,,,,,,,,,,,3308.76102591,1770748386.1710687,,,,,
,,,,,,1,,,,,,,,,4,0.9966502245453877,,,,,,,,,,0.9933228161573174,,,,,,3308.762675678,1770748386.1728702,,,,,
,,,,,,,,,,,,0.9968390704783077,,,5,,,,,,,,,1,,,,,,,0.9936980609418282,3308.762828404,1770748386.1732175,,,,,
,,,,,,,,,,,,,,,6,,,,"{'path': 'media/table/fold2/confusion_matrix_6_b83ec3fd059ccfe3027f.table.json', 'log_mode': 'IMMUTABLE', 'size': 83, 'ncols': 3, '_latest_artifact_path': 'wandb-client-artifact://kshm46d6qpymlt7e2zui2mnxhu1p9lmrla2pxnjc0qkghfx7m54vmhwgql36bnc242ulvpgqwevorsgkcfyg4fn92zvrwp9zg3f8uga2k87508e48274mw5iczz3pbjp:latest/fold2/confusion_matrix.table.json', 'artifact_path': 'wandb-client-artifact://snxi1mtg77q75y88acn2duaohgfymmnlb40yx56xxdt7g78d3ufadgjfpntrjlpazb832oh2hup1ydo0s30er4c0stsn411oyepvejhziuuygqgqzgo8runj1ht7xdzo/fold2/confusion_matrix.table.json', 'sha256': 'b83ec3fd059ccfe3027f0ab7062c10b3c76f57c60e98cb2b1f21b5c3f813278a', '_type': 'table-file', 'nrows': 2}",,,,,,,,,,,,,3669.069791725,1770748746.4798508,,,,,
,0.990156976105968,,,,,,,,,,,,,,7,,,,,,,0.9950541469782492,1,,,,,,,,,3669.070983318,1770748746.4812725,,,,,
,,,,,,,,0.9906804323725056,,,,,,,8,,,,,,,,,,0.995318400946762,,,,,,,3669.071276884,1770748746.4815238,,,1,,
,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,3999.902707709,1770749077.3128664,"{'_latest_artifact_path': 'wandb-client-artifact://awix1su55t8xyipgn84tdp8pckppqcyp132vzc7auyxw0o92eocz7tt11s5t17mmbnmbhopivxo0yolqu9zcywunmon2l9m5f16cvbme3qsv13sy441walxc9gf6u3fw:latest/fold3/confusion_matrix.table.json', 'size': 83, '_type': 'table-file', 'nrows': 2, 'log_mode': 'IMMUTABLE', 'path': 'media/table/fold3/confusion_matrix_9_f3c0e5a9fe2a486df7d3.table.json', 'artifact_path': 'wandb-client-artifact://qzu6s7fptcso4jjlkdbbrig8azjhrm7bg3ngewq6hzsptbjq8m9tosfpo4qfkyvixoxgsk7c7l4sirmjeacym21md8wpl10ot7wybcw3aorrkeogos2im0iks70gs58j/fold3/confusion_matrix.table.json', 'sha256': 'f3c0e5a9fe2a486df7d3a510a0d17be57c30f47d67af5e00751e1d3cce134beb', 'ncols': 3}",,,,
