fold2/class_2/f1-score,fold0/confusion_matrix,fold0/class_1/precision,fold2/class_1/f1-score,fold1/class_2/recall,fold3/class_3/f1-score,fold2/class_3/f1-score,fold3/class_0/recall,_runtime,fold1/class_0/precision,cv5/fold_metrics,fold1/class_0/recall,fold1/class_0/f1-score,fold1/class_1/recall,fold1/class_2/f1-score,fold2/class_2/precision,fold4/class_0/recall,fold0/class_0/f1-score,fold3/class_3/precision,fold4/class_0/f1-score,fold2/class_0/f1-score,fold4/class_3/f1-score,fold4/class_1/recall,fold4/class_1/f1-score,fold2/class_0/recall,fold4/class_3/recall,fold1/class_3/precision,fold3/class_0/f1-score,fold0/class_1/f1-score,fold3/class_1/f1-score,fold0/class_1/recall,fold0/class_0/recall,fold2/class_3/recall,fold0/class_3/recall,fold2/class_3/precision,fold2/confusion_matrix,fold3/class_1/precision,fold2/class_1/recall,fold1/class_1/f1-score,fold0/class_2/f1-score,fold4/class_2/recall,fold1/class_2/precision,fold3/class_2/recall,fold3/class_3/recall,fold0/class_2/precision,fold3/class_0/precision,_step,fold4/class_0/precision,fold3/confusion_matrix,fold3/class_2/precision,fold4/class_2/precision,fold2/class_0/precision,_timestamp,fold1/class_3/f1-score,fold1/class_3/recall,fold0/class_3/f1-score,fold0/class_2/recall,fold0/class_0/precision,fold1/class_1/precision,fold2/class_1/precision,fold4/class_1/precision,fold1/confusion_matrix,fold0/class_3/precision,fold3/class_1/recall,fold4/class_3/precision,fold2/class_2/recall,fold4/confusion_matrix,fold3/class_2/f1-score,fold4/class_2/f1-score
,"{'ncols': 5, 'artifact_path': 'wandb-client-artifact://3wukoplmv0nayo7mzvbrh1hmbnm6m85a64amdn2a82kroun0c1l6rjkjnnfycevo1ppzxkzo8h4l9mlqcmr2jld9src709lalsxywnqo6s4yy12ou6ecvplvmre7v86o/fold0/confusion_matrix.table.json', 'sha256': 'eb87460aae6d7fc24aa66bb19e42301fa46c5ca236d795f5e64eca1e1811ce06', '_latest_artifact_path': 'wandb-client-artifact://orlnap96q9pqbsm2gx360bj1ifw4wkwbpp506rqo22ucv8bbl2ifc2xv0wsh5wwkofjd45d89yo5luvbb0fxiiohqct3d2bv9qquypr1t3s7ux0mvktup6aabcsyj1p0:latest/fold0/confusion_matrix.table.json', 'size': 149, 'log_mode': 'IMMUTABLE', 'path': 'media/table/fold0/confusion_matrix_0_eb87460aae6d7fc24aa6.table.json', 'nrows': 4, '_type': 'table-file'}",,,,,,,8760.04215325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1770736956.7345846,,,,,,,,,,,,,,,,
,,,,,,,,8760.043963959,,,,,,,,,0.9923769923769924,,,,,,,,,,,,,,0.9962894248608535,,,,,,,,,,,,,,,1,,,,,,1770736956.7369857,,,,,0.9884951679705476,,,,,,,,,,,
,,0.9895233106338397,,,,,,8760.044249031,,,,,,,,,,,,,,,,,,,,0.9926431949553337,,0.9957828149710068,,,,,,,,,,,,,,,,2,,,,,,1770736956.7373683,,,,,,,,,,,,,,,,
,,,,,,,,8760.044531119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9951890034364261,,,,,0.9942778667887389,,3,,,,,,1770736956.7376277,,,,0.9961018115111213,,,,,,,,,,,,
,,,,,,,,8760.044858265,,,,,,,,,,,,,,,,,,,,,,,,,0.971912832929782,,,,,,,,,,,,,4,,,,,,1770736956.737921,,,0.9847890088321885,,,,,,,0.9980109398309299,,,,,,
,,,,,,,,9810.082143579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,1770738006.7721603,,,,,,,,,"{'sha256': '3d89f914543ed23a4c55ec2d94d9114cf8c8e4b3ac054d9243149e304b73b081', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://fbz9niipd7wcok7814zbswgt9mmegf6gupyw9tuaoe85fkstqaineluv2gd9vrgi0iujpdc9ez82g1bo3grz1556bcit5ikd2quw9piysn0gqq46z4811t8ckr8hkn1w:latest/fold1/confusion_matrix.table.json', 'ncols': 5, 'size': 149, 'artifact_path': 'wandb-client-artifact://iyznz4j59iyv6qosrl5t688h7zwdicovdekpsrpc0664hgljn7uwblb3k6t8k5eudfljkkcdmmjccm4zmuqqrqqg16dboseaqva7gz1pyzj1l8ia1ues0yb5apt9qf6p/fold1/confusion_matrix.table.json', '_type': 'table-file', 'nrows': 4, 'path': 'media/table/fold1/confusion_matrix_5_3d89f914543ed23a4c55.table.json'}",,,,,,,
,,,,,,,,9810.08230077,0.9925831744013562,,0.994268732753131,0.993425238600212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,1770738006.7737398,,,,,,,,,,,,,,,,
,,,,,,,,9810.082357331,,,,,0.9938775510204082,,,,,,,,,,,,,,,,,,,,,,,,,0.9938775510204082,,,,,,,,7,,,,,,1770738006.7741265,,,,,,0.9938775510204082,,,,,,,,,,
,,,,0.9916376306620209,,,,9810.082395772,,,,,,0.994641192917055,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9976630053750877,,,,,8,,,,,,1770738006.774501,,,,,,,,,,,,,,,,
,,,,,,,,9810.082437981,,,,,,,,,,,,,,,,,,0.9820359281437125,,,,,,,,,,,,,,,,,,,,9,,,,,,1770738006.7749128,0.9873570138470801,0.9927360774818402,,,,,,,,,,,,,,
