fold4/class_8/f1-score,fold2/class_9/f1-score,fold4/class_2/f1-score,fold4/class_8/precision,fold2/class_10/precision,fold2/class_8/precision,fold3/class_0/f1-score,fold0/class_1/precision,fold2/class_6/recall,fold2/class_8/recall,fold4/class_5/recall,fold4/class_9/precision,fold0/class_1/recall,fold2/class_0/recall,fold3/class_8/f1-score,fold1/class_8/f1-score,fold1/class_9/precision,fold4/class_3/f1-score,fold2/confusion_matrix,fold4/class_7/recall,fold4/class_8/recall,fold2/class_4/f1-score,fold2/class_7/precision,fold0/class_10/precision,fold1/class_9/f1-score,fold2/class_7/f1-score,fold2/class_3/precision,fold3/confusion_matrix,fold4/class_4/precision,fold2/class_2/f1-score,fold2/class_6/f1-score,fold0/class_8/f1-score,fold0/class_8/precision,fold1/class_2/f1-score,fold0/class_2/recall,fold1/class_1/f1-score,fold1/class_5/recall,fold3/class_0/precision,fold2/class_0/f1-score,cv5/fold_metrics,fold0/class_5/f1-score,fold1/class_8/recall,fold2/class_1/recall,fold4/class_0/precision,fold2/class_5/f1-score,fold0/class_7/f1-score,fold2/class_6/precision,fold0/confusion_matrix,fold0/class_6/f1-score,fold0/class_10/recall,fold3/class_7/f1-score,_timestamp,fold1/class_7/f1-score,fold3/class_1/recall,fold2/class_8/f1-score,fold0/class_3/recall,fold4/class_7/f1-score,fold2/class_1/precision,fold3/class_4/f1-score,fold4/class_6/recall,fold1/class_5/f1-score,fold3/class_8/recall,fold0/class_9/recall,fold1/class_9/recall,fold1/class_3/precision,fold4/class_9/f1-score,fold3/class_6/f1-score,fold0/class_4/precision,fold2/class_10/f1-score,fold4/class_0/f1-score,fold1/class_10/precision,fold0/class_0/f1-score,fold2/class_0/precision,fold2/class_3/f1-score,fold1/class_4/recall,fold1/class_7/precision,fold3/class_3/f1-score,fold1/class_5/precision,fold3/class_9/precision,fold4/class_10/recall,fold1/class_10/recall,fold3/class_6/recall,fold2/class_3/recall,fold0/class_2/f1-score,fold1/class_0/precision,fold1/class_3/recall,fold3/class_10/recall,fold4/class_10/precision,fold2/class_5/precision,fold1/class_0/f1-score,fold4/class_3/recall,fold3/class_1/precision,fold3/class_9/f1-score,fold3/class_10/precision,fold4/class_1/precision,fold1/class_2/recall,fold4/class_6/f1-score,fold3/class_7/recall,fold0/class_6/recall,fold0/class_7/precision,fold4/class_7/precision,fold2/class_2/recall,fold1/class_1/precision,fold1/class_6/recall,fold4/class_4/f1-score,fold4/class_3/precision,fold3/class_8/precision,fold0/class_4/recall,fold0/class_9/precision,fold1/class_4/precision,fold4/class_10/f1-score,fold3/class_3/precision,fold2/class_5/recall,fold1/class_10/f1-score,fold3/class_2/recall,fold4/class_5/precision,fold0/class_9/f1-score,fold1/class_3/f1-score,fold4/class_2/recall,fold3/class_4/precision,fold0/class_5/precision,fold3/class_9/recall,fold1/class_1/recall,fold2/class_7/recall,fold1/class_7/recall,fold3/class_10/f1-score,fold4/confusion_matrix,fold4/class_6/precision,fold0/class_8/recall,fold1/class_2/precision,fold4/class_9/recall,fold3/class_3/recall,fold3/class_7/precision,fold0/class_2/precision,fold4/class_4/recall,fold0/class_4/f1-score,fold0/class_0/recall,fold3/class_2/f1-score,fold4/class_2/precision,fold1/class_8/precision,fold4/class_5/f1-score,fold0/class_0/precision,fold2/class_9/precision,fold2/class_4/recall,_runtime,fold4/class_1/f1-score,fold3/class_0/recall,fold3/class_4/recall,fold2/class_9/recall,fold4/class_1/recall,fold2/class_10/recall,fold0/class_3/precision,_step,fold2/class_4/precision,fold2/class_1/f1-score,fold1/confusion_matrix,fold3/class_6/precision,fold3/class_1/f1-score,fold0/class_6/precision,fold4/class_0/recall,fold1/class_0/recall,fold0/class_1/f1-score,fold0/class_7/recall,fold3/class_5/recall,fold1/class_6/f1-score,fold3/class_2/precision,fold3/class_5/precision,fold1/class_4/f1-score,fold0/class_5/recall,fold1/class_6/precision,fold0/class_10/f1-score,fold2/class_2/precision,fold3/class_5/f1-score,fold0/class_3/f1-score
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'_type': 'table-file', 'sha256': 'f0625cc694a0e8fe28729427b0b9df0b046df05caa004d2048bcc8422ad75e79', 'log_mode': 'IMMUTABLE', 'nrows': 11, 'path': 'media/table/fold0/confusion_matrix_0_f0625cc694a0e8fe2872.table.json', '_latest_artifact_path': 'wandb-client-artifact://p43g57piacvnon9aqa4nbdbvkjr8wjzk6g8bdi2g5kne7vah3i1vkb8lf7v58102bpht24jywi20dane78iytoyns65efq29ky21dnqzccar652of4m7n44eeiqnv14m:latest/fold0/confusion_matrix.table.json', 'ncols': 12, 'size': 558, 'artifact_path': 'wandb-client-artifact://wo6o4wmms42bbda918a5k680cwdz0hwqvkeo6bn3a94ivllhbjs9syevt8fb8mi1si8znbpqdfppo4g9zwm9aysdzv1y8w8ugzzbo3cptaym9b5oyd4v1mi75awiuc38/fold0/confusion_matrix.table.json'}",,,,1770736911.2846696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10696.458306824,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770736911.286463,,,,,,,,,,,,,,,,,,,,0.9998614996814492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998891966759003,,,,,0.9998338042213728,,,10696.459499858,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,,,,0.9936305732484076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770736911.2869265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10696.460029463,,,,,,,,2,,,,,,,,,0.9968051118210862,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9805194805194806,,,,,,,,,,,,,,,,,1770736911.2873354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9837133550488599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9869281045751634,,,,,,,,,,,10696.460376246,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770736911.2877655,,,,0.9865771812080537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10696.460713159,,,,,,,0.9932432432432432,4,,,,,,,,,,,,,,,,,,,,,0.98989898989899
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770736911.2880461,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9925925925925926,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9962825278810409,,,,,,,,,10696.461004455,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1770736911.2883632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,10696.461318743,,,,,,,,6,,,,,,,,,,,,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.993103448275862,,,1770736911.2886739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.993103448275862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10696.461614051,,,,,,,,7,,,,,,0.993103448275862,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9895470383275261,,,,,,1770736911.2889428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.993006993006993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10696.461888755,,,,,,,,8,,,,,,,,,,0.9861111111111112,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1770736911.2892244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,10696.462170815,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,
