fold0/class_1/precision,fold2/class_0/f1-score,fold2/class_1/f1-score,fold3/class_0/recall,fold3/class_1/precision,fold1/class_0/f1-score,fold4/class_0/recall,fold2/class_1/precision,fold3/confusion_matrix,fold0/class_1/recall,fold2/class_1/recall,fold0/class_0/f1-score,fold4/class_1/f1-score,fold4/class_1/recall,fold0/class_1/f1-score,fold4/class_1/precision,fold1/class_1/f1-score,fold3/class_0/precision,fold1/class_0/recall,fold2/class_0/precision,_runtime,fold1/class_1/recall,fold4/class_0/f1-score,fold3/class_1/f1-score,fold3/class_0/f1-score,fold0/class_0/precision,fold4/confusion_matrix,fold1/class_1/precision,fold0/confusion_matrix,fold3/class_1/recall,_timestamp,fold0/class_0/recall,fold2/confusion_matrix,fold1/class_0/precision,fold1/confusion_matrix,cv5/fold_metrics,fold4/class_0/precision,_step,fold2/class_0/recall
,,,,,,,,,,,,,,,,,,,,4809.995643987,,,,,,,,"{'artifact_path': 'wandb-client-artifact://ixdh3so9rsaex4q2ddvh5trau9adfzad0m27xs3xxwduw4y9ue1sodgyqpa3s85h9r2smjxdom7eu7o550nqhvb8adpxc60t6vpwhwy5ewudgvyenrkeziojvqeaqxts/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://ekm3n4xa2xra5fnubo7vw7jxc362oo5bt4n1vreogfbb6gj0qktxrbmu5xackxmyx36p73dtzbdzbi7t74pg1i0xqc4req7tumrr71bp48pkfd1kinnw04vwm08n1l3z:latest/fold0/confusion_matrix.table.json', 'sha256': 'd2a51475d71838d9651eac2b0029ea817aceb03e9f2710330837c7aa5e268957', 'size': 83, 'ncols': 3, 'nrows': 2, 'path': 'media/table/fold0/confusion_matrix_0_d2a51475d71838d9651e.table.json', 'log_mode': 'IMMUTABLE', '_type': 'table-file'}",,1770746219.8704784,,,,,,,0,
,,,,,,,,,,,0.9957772603496586,,,,,,,,,4809.997044293,,,,,0.993073047858942,,,,,1770746219.8720841,0.9984962406015038,,,,,,1,
0.9993405296588108,,,,,,,,,0.9969529085872576,,,,,0.9981452912932693,,,,,,4809.997267476,,,,,,,,,,1770746219.872406,,,,,,,2,
,,,,,,,,,,,,,,,,,,,,5093.635469738,,,,,,,,,,1770746503.5103805,,,,"{'sha256': '0b52778fbaac605acd0d5200696a7c6b9fe3ba7c01dca07efe890837d7b51384', 'artifact_path': 'wandb-client-artifact://wgrzsy00ftib6k3tnwz1ayf89ux33whm3ppvnwwqxsxjru5u36yptub8doy9otqp581edj7w66kcryitwbc0z5c178awa0f8bdhswwetluth4qtccz4uhdny7pe4yi4g/fold1/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://pemagv3xqhth2y7lyllf77gzqxhc49skcnt5t7kx4r9u4o2k3uhrc4tbeef7yrknsec4kzx4xxg677bnamsooqzpnq5atcn52w6yaev19tp5y8dme7b9l0m5otzlo8i6:latest/fold1/confusion_matrix.table.json', 'nrows': 2, 'path': 'media/table/fold1/confusion_matrix_3_0b52778fbaac605acd0d.table.json', 'size': 82, 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'ncols': 3}",,,3,
,,,,,0.9973162838424501,,,,,,,,,,,,,1,,5093.636876016,,,,,,,,,,1770746503.5118866,,,0.9946469337951664,,,,4,
,,,,,,,,,,,,,,,,0.9988213270470776,,,,5093.637084039,0.9976454293628809,,,,,,1,,,1770746503.512233,,,,,,,5,
,,,,,,,,,,,,,,,,,,,,5663.607689377,,,,,,,,,,1770747073.4825718,,"{'_type': 'table-file', 'nrows': 2, 'size': 82, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://nlfz8krymfghiec2hkfj49h7pdz66h5imly90hkwvj3fypqgrekvqlvy5e3uhro7q14z4so9fc1cg0n82bwpy7mgqomnsh2r5cg7wrwjjsmt7plvoywbq2yqgqroty9a:latest/fold2/confusion_matrix.table.json', 'sha256': '7043d26cd6abafb836f8dc9b9d87163b80f91dc4d90128a0f977685cad7d32af', 'artifact_path': 'wandb-client-artifact://kl0r9f00k09lnjofrucsylf0uwpd4hmnw9y2499cav0e1hhik3tz10s5p9tl9133a4gm2wwnlzn72mh9krh45zome74e65hw4i1f5smibekawhpr5i60zegcxllaeax3/fold2/confusion_matrix.table.json', 'ncols': 3, 'path': 'media/table/fold2/confusion_matrix_6_7043d26cd6abafb836f8.table.json'}",,,,,6,
,0.997431946584489,,,,,,,,,,,,,,,,,,0.9952692580619728,5663.609325511,,,,,,,,,,1770747073.4844747,,,,,,,7,0.9996040544821032
,,0.9988729561493246,,,,,0.9998264431254122,,,0.9979212860310421,,,,,,,,,,5663.609450389,,,,,,,,,,1770747073.484681,,,,,,,8,
,,,,,,,,"{'artifact_path': 'wandb-client-artifact://6423uymbtq8f6alnalto5tz2tuu9hbx3z1mzoww0oceb1p3pa1tian2bhxo942zf1j9yxe6rsszb75aeqmzxw8qkb1h20ljzlp5qmsxnnqhzxg4ezgjss3eeyunb2rj4/fold3/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://v6ywksgtaeczqufbgurrrot0q5uqz8btix1jd5jdc6lvheab5f4foh3xfdyfszg2otndn97yn53rjvwzc55sqjh7oih5mt8k99lvd779xljmp63sxml8y7766522v1d8:latest/fold3/confusion_matrix.table.json', '_type': 'table-file', 'path': 'media/table/fold3/confusion_matrix_9_3bd3469220d27d60f9e5.table.json', 'log_mode': 'IMMUTABLE', 'ncols': 3, 'size': 82, 'nrows': 2, 'sha256': '3bd3469220d27d60f9e508eaace2f3ae10915bc29fba0c0170d91bd9415ea0b0'}",,,,,,,,,,,,6487.401813554,,,,,,,,,,1770747897.276765,,,,,,,9,
,,,1,,,,,,,,,,,,,,0.9987345776652958,,,6487.403524136,,,,0.9993668882557771,,,,,,1770747897.2786384,,,,,,,10,
,,,,1,,,,,,,,,,,,,,,,6487.403630277,,,0.9997227612974772,,,,,,0.9994456762749445,1770747897.2788546,,,,,,,11,
,,,,,,,,,,,,,,,,,,,,6770.07747814,,,,,,"{'ncols': 3, 'nrows': 2, 'path': 'media/table/fold4/confusion_matrix_12_2acfeceb98921f12b43f.table.json', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://xmevtyrsayy3grfj9zbv81nq065xslk0snnematvq2qjcdo83l2qyx7icrqbjpdgvne8q2skjjww82u2yaji2j04mv8wvszmmqh50j0mc9xnihi35z0qmaikofnffbwb:latest/fold4/confusion_matrix.table.json', '_type': 'table-file', 'size': 84, 'sha256': '2acfeceb98921f12b43f114930981aa3fc2000e9057a770d7dd0e0c146dfcd4c', 'artifact_path': 'wandb-client-artifact://qo6ofl0yz3sew91usizyodacvf9t75emv7pt3ojta4hch6jrxoimrjjc0fsuyu1aq7be1k7ze86f4xj27bd8t3py8bu7a0afs4xln3fdj78o5natp0934r4aa0cfcc9c/fold4/confusion_matrix.table.json'}",,,,1770748179.9523609,,,,,,,12,
,,,,,,0.9991289198606271,,,,,,,,,,,,,,6770.078499073,,0.9940124478058773,,,,,,,,1770748179.9536064,,,,,,0.9889481109891832,13,
,,,,,,,,,,,,0.997361019479843,0.995115022172949,,0.9996171782557249,,,,,6770.078625925,,,,,,,,,,1770748179.953823,,,,,,,14,
,,,,,,,,,,,,,,,,,,,,6770.330663874,,,,,,,,,,1770748180.2056277,,,,,"{'_type': 'table-file', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://v2tc34w65kvgh9b6itwzr2gwzs4krlm2p3f6spi1r28x8a2mart59ttp9v60w306ox41fv5p5hdyw18nd1sf3nm8w4hp667lf6ewuqe0t0dw2x2xrj77fc9gplim4grd/cv5/fold_metrics.table.json', 'size': 777, '_latest_artifact_path': 'wandb-client-artifact://on0m38nv79xw3kmoqs1467xp13vjztt9mnxsffewtla5e459jjz5zf26ybpik480meui707sjfu0dymdfghyxuuepy1hwjmneud7iuomdi83aqdimx0agb3thock4635:latest/cv5/fold_metrics.table.json', 'path': 'media/table/cv5/fold_metrics_15_4982e860c2a7d9dfb729.table.json', 'sha256': '4982e860c2a7d9dfb729789dddf477f80d8ef794f5e983bf5b31fee6f0fbdcb6', 'ncols': 9, 'nrows': 5}",,15,
