fold4/class_2/precision,fold2/confusion_matrix,fold2/class_5/precision,fold0/class_1/f1-score,cv5/fold_metrics,fold4/class_5/recall,fold0/class_0/f1-score,fold4/confusion_matrix,fold4/class_2/recall,fold4/class_6/f1-score,fold1/class_7/precision,fold2/class_5/recall,fold1/class_1/recall,fold4/class_1/recall,fold3/class_3/precision,fold4/class_1/precision,fold4/class_3/recall,fold4/class_10/recall,fold4/class_5/precision,fold2/class_4/recall,fold3/class_7/precision,fold2/class_6/f1-score,fold0/class_10/f1-score,fold1/class_5/f1-score,fold0/class_3/f1-score,fold3/class_8/precision,fold3/class_4/recall,fold3/class_1/f1-score,fold3/class_4/f1-score,fold0/class_4/recall,fold3/class_3/recall,fold0/class_3/precision,fold4/class_8/recall,fold1/class_7/f1-score,fold0/class_4/f1-score,fold4/class_2/f1-score,fold2/class_7/precision,fold3/class_6/f1-score,fold1/class_0/f1-score,fold4/class_5/f1-score,fold1/class_5/recall,fold3/class_2/f1-score,fold1/class_0/recall,fold2/class_4/f1-score,fold2/class_1/recall,fold0/class_8/recall,fold4/class_7/precision,fold0/class_5/recall,fold0/class_9/f1-score,fold2/class_8/recall,fold4/class_4/recall,fold1/class_6/precision,fold3/class_2/recall,fold3/class_0/f1-score,_step,fold0/class_9/recall,fold3/class_9/recall,fold1/class_6/f1-score,fold0/class_2/recall,fold3/class_8/recall,fold0/class_0/precision,fold2/class_4/precision,fold1/class_10/recall,fold1/class_3/precision,fold1/class_9/f1-score,fold0/class_10/recall,fold3/class_8/f1-score,fold2/class_3/recall,fold1/class_2/f1-score,fold1/class_1/precision,fold3/class_7/f1-score,fold2/class_1/f1-score,fold3/class_6/precision,fold0/class_2/precision,fold1/class_5/precision,fold2/class_7/f1-score,fold4/class_6/precision,fold4/class_3/f1-score,fold0/class_6/f1-score,fold0/class_3/recall,fold2/class_7/recall,fold2/class_3/f1-score,fold3/class_1/recall,fold0/class_5/f1-score,fold3/class_10/recall,fold1/class_3/f1-score,fold4/class_9/precision,fold1/class_1/f1-score,fold1/class_4/f1-score,fold3/class_1/precision,fold0/class_1/precision,fold2/class_10/f1-score,fold3/class_10/precision,fold4/class_9/recall,fold3/class_6/recall,_timestamp,fold0/class_6/recall,fold3/class_5/f1-score,fold2/class_2/recall,fold1/class_10/f1-score,fold2/class_0/f1-score,fold4/class_0/precision,fold2/class_9/f1-score,fold4/class_10/precision,fold0/class_0/recall,fold2/class_2/precision,fold3/class_5/precision,fold3/class_3/f1-score,fold3/class_7/recall,fold2/class_10/precision,fold2/class_8/f1-score,fold4/class_7/f1-score,fold1/class_10/precision,fold3/confusion_matrix,fold1/class_7/recall,fold0/class_9/precision,fold4/class_9/f1-score,fold2/class_6/precision,fold0/class_5/precision,fold3/class_0/recall,fold4/class_4/precision,fold3/class_5/recall,fold4/class_4/f1-score,fold4/class_3/precision,fold2/class_1/precision,fold1/class_4/recall,fold2/class_10/recall,fold4/class_6/recall,fold2/class_5/f1-score,fold0/class_10/precision,fold0/class_7/precision,fold1/confusion_matrix,fold1/class_0/precision,fold0/class_8/precision,fold4/class_0/f1-score,fold0/confusion_matrix,fold4/class_8/f1-score,fold2/class_3/precision,fold3/class_10/f1-score,fold0/class_2/f1-score,fold0/class_4/precision,fold1/class_2/recall,fold2/class_0/recall,fold0/class_1/recall,fold0/class_8/f1-score,fold1/class_9/recall,fold1/class_2/precision,fold4/class_8/precision,fold3/class_2/precision,fold0/class_6/precision,fold2/class_6/recall,fold3/class_0/precision,fold4/class_10/f1-score,fold2/class_2/f1-score,fold3/class_4/precision,fold1/class_9/precision,fold1/class_3/recall,fold1/class_8/recall,fold1/class_8/f1-score,fold2/class_9/precision,fold4/class_0/recall,fold1/class_4/precision,fold3/class_9/precision,fold2/class_8/precision,fold0/class_7/f1-score,fold2/class_9/recall,fold4/class_1/f1-score,fold1/class_8/precision,fold1/class_6/recall,fold4/class_7/recall,fold3/class_9/f1-score,fold0/class_7/recall,fold2/class_0/precision,_runtime
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770737216.6949186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'sha256': '50143044eda6ff2c19e52a1bb208e6a5621933559a6f7681806ffed026179b94', 'size': 559, 'ncols': 12, 'artifact_path': 'wandb-client-artifact://vg6qcvf3ezasdp9ompfdl9fp4wms2y478ughofm3l8q1su1979q1snvkwte5zzgordpua7luc51zqbnotmu7owxkkw0ad6b1mag8r3onlfglmcc0oj0gdomyxu8a8ij3/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://8s0nyq749i4sypyeju46e2mo56rfyd21ovp6b2ekpjp9eknst8ysl8ackd2v1ix4lanfrit5qsc031vgpx8hjck2qe5dts09krfvjnvzzwtkb5ret66tiuuuivht18tx:latest/fold0/confusion_matrix.table.json', 'log_mode': 'IMMUTABLE', 'path': 'media/table/fold0/confusion_matrix_0_50143044eda6ff2c19e5.table.json', 'nrows': 11, '_type': 'table-file'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9567.016074932
,,,,,,0.9999893459477313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0.9999786921224777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770737216.6972554,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9567.017673835
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1770737216.697764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9567.018093944
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1770737216.698262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9567.018477559
,,,,,,,,,,,,,,,,,,,,,,,,0.9988412514484357,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,0.9976851851851852,,,,,,,,,,,,,,,,1770737216.6986513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9567.018861958
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9976019184652278,,,,,0.9987995198079231,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770737216.699062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9567.019279834
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1770737216.6994,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9567.019563985
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1770737216.6997123,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,9567.019858938
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770737216.700029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,9567.020159543
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770737216.7003264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9933333333333333,,,,,,,,,,,0.9966555183946488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9567.020446559
