fold2/class_3/precision,fold1/class_0/recall,fold4/class_2/recall,fold4/class_3/precision,fold2/class_1/f1-score,fold1/class_1/f1-score,fold3/class_1/f1-score,fold4/class_0/f1-score,fold3/confusion_matrix,fold3/class_0/recall,fold2/class_0/f1-score,_step,fold0/class_0/recall,fold3/class_3/f1-score,fold2/class_0/recall,fold1/class_3/precision,fold1/class_3/f1-score,fold1/class_2/precision,fold1/confusion_matrix,fold2/confusion_matrix,fold0/class_3/precision,fold0/class_3/f1-score,fold0/class_2/f1-score,fold4/class_1/precision,fold3/class_3/recall,fold2/class_2/precision,fold4/class_2/f1-score,fold3/class_2/f1-score,fold3/class_3/precision,fold4/class_1/recall,fold4/class_3/recall,fold1/class_2/recall,fold4/confusion_matrix,fold1/class_1/recall,fold3/class_0/f1-score,fold0/class_0/precision,fold3/class_2/recall,fold0/class_1/f1-score,_timestamp,fold1/class_1/precision,fold2/class_2/recall,fold0/confusion_matrix,fold0/class_2/recall,fold0/class_3/recall,fold1/class_3/recall,cv5/fold_metrics,fold0/class_0/f1-score,_runtime,fold3/class_1/recall,fold2/class_3/f1-score,fold4/class_0/recall,fold2/class_1/recall,fold4/class_3/f1-score,fold1/class_0/f1-score,fold3/class_1/precision,fold4/class_1/f1-score,fold2/class_0/precision,fold1/class_0/precision,fold0/class_1/precision,fold4/class_2/precision,fold2/class_1/precision,fold0/class_2/precision,fold1/class_2/f1-score,fold3/class_0/precision,fold2/class_2/f1-score,fold0/class_1/recall,fold3/class_2/precision,fold4/class_0/precision,fold2/class_3/recall
,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1770718728.9121938,,,"{'artifact_path': 'wandb-client-artifact://ypkfxk5lztf34enywepg4zpnlx0plhxo113m6ilulcbehveaxikgiu53y7k5dqbcahqpr3o8yzdloailkg23jtfi10pi12tnnoowv49srl7b3kbjixepslaryhzp55v5/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://gekhpfvq4lww8jehxp1crajdn4mpig7ybost9syxlwyfoe5redzxfsu86xxzbv7etnl0cc8yegzi21qmv5wijh7rjs8k49ztmc9slpd8kw44ptu8gr93asm1dnenqihb:latest/fold0/confusion_matrix.table.json', 'ncols': 5, 'nrows': 4, 'sha256': '78ccf602f8ec8c2d9ee520ff3ec07752ae5588c9865a1622ad768647fcf45d0e', 'size': 153, 'log_mode': 'IMMUTABLE', 'path': 'media/table/fold0/confusion_matrix_0_78ccf602f8ec8c2d9ee5.table.json', '_type': 'table-file'}",,,,,,66.653529484,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,0.9743506493506493,,,,,,,,,,,,,,,,,,,,,,,0.9832896461336829,,,1770718728.9145517,,,,,,,,0.9787997390737116,66.65565191,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0.9688179840464104,1770718728.9151993,,,,,,,,,66.656124609,,,,,,,,,,,0.9522451888809693,,,,,,,0.9859778597785978,,,
,,,,,,,,,,,3,,,,,,,,,,,0.9634966378482228,,,,,,,,,,,,,,,,1770718728.9156587,,,,0.9659711075441413,,,,,66.656517629,,,,,,,,,,,,,,0.9610348131587352,,,,,,,
,,,,,,,,,,,4,,,,,,,,,0.9812369701181376,0.9691146190803019,,,,,,,,,,,,,,,,,1770718728.916098,,,,,0.9572881355932203,,,,66.656929698,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,5,,,,,,,"{'_type': 'table-file', 'path': 'media/table/fold1/confusion_matrix_5_377078798f5979086393.table.json', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://8t3luj1y5ttngx6gb0vuhv0upobb3s6lwg2naisxrd7l2n5glfkdbepxg8oysshqu62l619806kvktxzx3sj1oppse2fcanu3lsprnfur02w2wmalbtfs37z3adcq4vj/fold1/confusion_matrix.table.json', 'sha256': '377078798f59790863930e3184fc02f41f302346f19161fa407eb86baeaf32fe', '_latest_artifact_path': 'wandb-client-artifact://myi7d5xdz22wmudw1izzukiwbpecff8sqn5nt436h3af4wngbe4jmpvtqt074moxbe2uy982kzpremxzespztyjz2pfzmje3oyzu7ufh5zcgto2kqapbmkfjrn8ncq37:latest/fold1/confusion_matrix.table.json', 'ncols': 5, 'nrows': 4, 'size': 151}",,,,,,,,,,,,,,,,,,,,1770718818.7981536,,,,,,,,,156.539108089,,,,,,,,,,,,,,,,,,,,,
,0.9913818722139673,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1770718818.7997653,,,,,,,,,156.540672562,,,,,,0.9899109792284867,,,,0.9884444444444445,,,,,,,,,,,
,,,,,0.9795918367346939,,,,,,7,,,,,,,,,,,,,,,,,,,,,,0.9942857142857143,,,,,1770718818.8001187,0.9653259361997226,,,,,,,,156.5408646,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,8,,,,,,0.9953611663353215,,,,,,,,,,,,,,0.9769105691056911,,,,,,,1770718818.8004527,,,,,,,,,156.54121116,,,,,,,,,,,,,,,0.9860495650746759,,,,,,
,,,,,,,,,,,9,,,,0.9704641350210971,0.9725158562367865,,,,,,,,,,,,,,,,,,,,,,1770718818.800767,,,,,,0.9745762711864406,,,156.541615367,,,,,,,,,,,,,,,,,,,,,
