fold1/class_3/f1-score,fold0/class_1/recall,fold1/class_2/precision,fold2/class_1/f1-score,fold1/class_3/recall,fold2/confusion_matrix,cv5/fold_metrics,fold0/class_2/f1-score,fold4/class_0/recall,fold3/class_0/recall,fold4/class_1/f1-score,fold4/class_3/precision,fold3/class_2/precision,fold2/class_2/f1-score,fold4/class_2/precision,fold0/class_0/precision,fold4/class_1/precision,fold0/class_3/precision,fold4/class_0/precision,fold1/class_2/recall,fold1/class_1/recall,fold4/class_3/f1-score,fold2/class_3/precision,fold3/class_1/precision,fold0/class_2/recall,_step,fold0/class_0/f1-score,fold3/class_3/precision,fold4/class_2/recall,_runtime,fold4/class_0/f1-score,fold0/class_3/f1-score,fold2/class_0/precision,fold2/class_0/recall,fold3/class_1/f1-score,fold1/class_3/precision,fold2/class_2/recall,fold3/confusion_matrix,fold3/class_0/precision,fold4/confusion_matrix,fold0/class_1/precision,fold1/confusion_matrix,fold3/class_3/f1-score,fold2/class_2/precision,fold1/class_0/precision,fold4/class_3/recall,fold2/class_3/recall,fold0/class_1/f1-score,fold1/class_0/recall,fold3/class_1/recall,fold1/class_1/precision,fold2/class_1/recall,fold1/class_1/f1-score,fold3/class_3/recall,fold0/class_3/recall,fold3/class_0/f1-score,fold0/class_0/recall,fold3/class_2/f1-score,fold4/class_1/recall,fold1/class_2/f1-score,fold2/class_0/f1-score,fold2/class_3/f1-score,fold4/class_2/f1-score,fold1/class_0/f1-score,_timestamp,fold0/confusion_matrix,fold2/class_1/precision,fold3/class_2/recall,fold0/class_2/precision
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,78.223212946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770721587.8953612,"{'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://5cjv9cx88p8eaeu2s0p18pu9irzzlfuyptk6yadd7q1gdycvqw4geqafi0xd8q480jl2fyqr0tty00ra8bqefzo69v7qk2lolmjtolqb6sow7qe7ambsuzy478mrlilg/fold0/confusion_matrix.table.json', 'sha256': 'c7621b7d528a475d29adc37e11d3bf60ec6bde19ec858b8e3d818d0bbc05cc94', 'path': 'media/table/fold0/confusion_matrix_0_c7621b7d528a475d29ad.table.json', '_latest_artifact_path': 'wandb-client-artifact://shjuot75ent0460l4bp4h2iymrfq717dnvvmrxtvizfwre3qnhzejnrvt3yk4ql5okhgjcpld0rfbmgqvmd7rvq5eg52qoaw6hknzflxeo4cx5jdfmapsbexg5afbfng:latest/fold0/confusion_matrix.table.json', 'ncols': 5, 'size': 153, 'nrows': 4, '_type': 'table-file'}",,,
,,,,,,,,,,,,,,,0.997109130330041,,,,,,,,,,1,0.978140139430462,,,78.226034089,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9598794063079777,,,,,,,,1770721587.8977933,,,,
,0.9715340010542962,,,,,,,,,,,,,,,,,,,,,,,,2,,,,78.226524118,,,,,,,,,,,0.9016634050880626,,,,,,,0.9352956102512052,,,,,,,,,,,,,,,,,1770721587.8981755,,,,
,,,,,,,0.9739353037002559,,,,,,,,,,,,,,,,,0.9596422838798441,3,,,,78.226554089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770721587.8985167,,,,0.9886605244507441
,,,,,,,,,,,,,,,,,0.8821930222020843,,,,,,,,4,,,,78.226581963,,0.9115168539325843,,,,,,,,,,,,,,,,,,,,,,,0.9428571428571428,,,,,,,,,,1770721587.8989587,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,173.29496007,,,,,,,,,,,,"{'nrows': 4, 'artifact_path': 'wandb-client-artifact://x455yy1vznu529ut1fer77qumctleaoxyciegnr2ebwxnh4w2majqfmianjcne96leeucr4fk3707zqtukun5zpny1qv0l817kajri8lnolk9vwxmja4521l5jdxbm12/fold1/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://6r3zvbp46q9iurid3fppff7s4wdo98orjexcsj4h4a9ssu3b0vm3db4jz6idjfurmf1wa8zbn4djm1l0ms1cz7h8uykcum270fw6nfzp30igf6x5u4xokscn6pfsoxvb:latest/fold1/confusion_matrix.table.json', 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'path': 'media/table/fold1/confusion_matrix_5_a880b3832810dd5e7de8.table.json', 'sha256': 'a880b3832810dd5e7de813f55a7801cc8727dc89ae6b316cd799b660fd6e951c', 'size': 156, 'ncols': 5}",,,,,,,,,,,,,,,,,,,,,,,1770721682.9675615,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,173.296513136,,,,,,,,,,,,,,,0.9886993130955019,,,,0.94714497983443,,,,,,,,,,,,,,,0.9674761491760624,1770721682.9692216,,,,
,,,,,,,,,,,,,,,,,,,,0.9673469387755103,,,,,7,,,,173.296856341,,,,,,,,,,,,,,,,,,,,,0.9643947100712106,,0.9658685685175752,,,,,,,,,,,,1770721682.9696527,,,,
,,0.9321257092972501,,,,,,,,,,,,,,,,,0.9921022067363531,,,,,,8,,,,173.297316637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9611792505907505,,,,,1770721682.9700632,,,,
0.9506057781919851,,,,0.9261501210653753,,,,,,,,,,,,,,,,,,,,,9,,,,173.297655135,,,,,,0.9763880025526483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770721682.970455,,,,
