fold2/class_10/f1-score,fold3/class_10/f1-score,fold2/class_5/f1-score,fold3/class_4/recall,fold1/class_2/recall,fold0/class_0/precision,fold3/class_3/recall,fold1/class_10/precision,fold1/class_7/precision,fold1/class_4/precision,fold4/class_4/recall,fold3/class_1/precision,fold4/class_5/recall,fold0/class_7/recall,fold2/class_4/precision,fold2/class_9/precision,fold2/class_1/precision,fold4/class_8/recall,fold0/class_8/precision,fold0/class_4/recall,fold1/class_10/f1-score,fold1/class_7/recall,fold0/class_5/f1-score,fold0/class_8/recall,fold1/class_5/precision,fold3/class_6/f1-score,fold3/class_1/recall,fold4/class_8/f1-score,fold3/class_7/f1-score,fold3/class_0/precision,fold0/confusion_matrix,fold0/class_1/recall,fold3/class_2/recall,fold0/class_4/precision,fold2/class_0/recall,_timestamp,fold0/class_10/f1-score,fold4/class_7/precision,fold2/class_2/recall,fold1/class_5/f1-score,fold1/class_5/recall,fold1/class_7/f1-score,fold0/class_6/f1-score,fold3/class_4/precision,fold1/class_1/f1-score,fold3/class_2/precision,fold0/class_5/precision,fold3/class_2/f1-score,fold0/class_0/f1-score,fold0/class_9/recall,fold1/class_9/recall,fold1/class_4/f1-score,fold0/class_1/precision,fold0/class_10/recall,fold0/class_2/f1-score,fold0/class_1/f1-score,fold2/class_2/precision,fold4/class_9/precision,fold4/class_10/recall,fold4/class_6/precision,fold3/confusion_matrix,fold3/class_0/recall,fold2/class_8/f1-score,fold3/class_10/precision,fold4/class_0/recall,fold2/class_3/recall,fold2/class_0/f1-score,fold3/class_9/precision,fold0/class_3/f1-score,fold2/class_8/precision,fold4/class_0/precision,fold4/class_1/f1-score,fold1/class_8/precision,fold4/class_2/precision,fold4/class_1/recall,fold2/class_4/recall,fold1/class_10/recall,fold2/class_7/precision,cv5/fold_metrics,fold4/class_3/precision,fold1/class_8/f1-score,fold2/class_9/recall,fold0/class_3/recall,fold3/class_5/f1-score,fold0/class_6/recall,fold4/class_8/precision,fold3/class_8/recall,fold2/class_6/precision,fold4/class_9/f1-score,fold2/class_7/f1-score,fold2/class_4/f1-score,fold0/class_3/precision,fold3/class_8/f1-score,fold2/class_3/f1-score,fold3/class_0/f1-score,fold1/class_6/f1-score,fold1/class_0/recall,fold3/class_4/f1-score,fold0/class_2/recall,fold3/class_9/recall,fold4/class_9/recall,fold3/class_6/recall,fold1/class_8/recall,fold0/class_5/recall,fold1/confusion_matrix,fold2/class_6/f1-score,fold4/class_5/f1-score,fold1/class_2/f1-score,fold3/class_1/f1-score,_step,fold3/class_3/f1-score,fold4/class_4/f1-score,fold4/class_6/recall,fold1/class_4/recall,fold3/class_5/recall,fold2/class_6/recall,fold1/class_3/f1-score,fold4/class_1/precision,fold4/class_7/recall,fold2/class_3/precision,fold3/class_6/precision,fold4/class_3/recall,fold1/class_9/precision,fold0/class_9/f1-score,fold0/class_8/f1-score,fold1/class_6/precision,fold1/class_3/recall,fold2/class_1/recall,_runtime,fold3/class_3/precision,fold1/class_1/precision,fold3/class_7/precision,fold4/class_3/f1-score,fold0/class_10/precision,fold4/class_0/f1-score,fold4/class_7/f1-score,fold1/class_6/recall,fold4/class_10/f1-score,fold0/class_4/f1-score,fold4/class_5/precision,fold4/class_2/f1-score,fold4/class_6/f1-score,fold1/class_3/precision,fold3/class_10/recall,fold1/class_1/recall,fold4/class_4/precision,fold2/class_0/precision,fold1/class_9/f1-score,fold2/class_10/precision,fold2/class_1/f1-score,fold4/confusion_matrix,fold2/class_5/precision,fold1/class_2/precision,fold3/class_7/recall,fold0/class_6/precision,fold2/confusion_matrix,fold2/class_2/f1-score,fold4/class_10/precision,fold2/class_9/f1-score,fold1/class_0/precision,fold0/class_0/recall,fold0/class_7/precision,fold4/class_2/recall,fold0/class_2/precision,fold2/class_8/recall,fold3/class_9/f1-score,fold3/class_8/precision,fold2/class_5/recall,fold2/class_7/recall,fold1/class_0/f1-score,fold0/class_7/f1-score,fold0/class_9/precision,fold2/class_10/recall,fold3/class_5/precision
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'sha256': '1fab0920ecc2649a2233bc54e53974720f1da3ea10caa69e4774abf451bef981', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://7azev7ks7k6rn74bji747ekateu5h1kzt1b8i7g6yrv0mg0jpep5nb9rqq51xg3qawnhayjb3j88g14iqmipe6gatghnxfpdtw2vrl80sh0viwnpz6xoy0qhl1hdvz4p/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://cnm5rm5dwnkciddsbeo4hins0s7xkf2wdo68pvcuu7fb43lth5lhs6dg3jwrp00v97xk66j74rh2vy1mu0i6u4liy51hfukk8uv81k6278maw4s1jfx006ck50ksbifo:latest/fold0/confusion_matrix.table.json', 'ncols': 12, 'nrows': 11, 'path': 'media/table/fold0/confusion_matrix_0_1fab0920ecc2649a2233.table.json', 'size': 569, '_type': 'table-file'}",,,,,1770922611.2584836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,11622.575013196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.9983799589062747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770922611.2597337,,,,,,,,,,,,,0.9991300565463245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,11622.576157677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998812821527503,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9929228591648974,,,,1770922611.259944,,,,,,,,,,,,,,,,,0.9978662873399715,,,0.9953884356154665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,11622.57636042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770922611.2600846,,,,,,,,,,,,,,,,,,,0.9996391194514616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9992784992784993,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,11622.576424266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770922611.2602153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9955223880597015,,,,,,,,,,,,,,0.9947800149142431,,,,,,,,,0.9962658700522778,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,11622.576528253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.9934156378600824,,,,,,,,,,,,,,0.9966969446738233,,1770922611.2603345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,11622.576646487,,,,,,,,,,0.9950535861500412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.9960026648900733,,,,,,,,,,,,,1770922611.26045,,,,,,,,,,,0.9973315543695798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9946773120425815,,,,,,6,,,,,,,,,,,,,,,,,,,11622.576756405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770922611.2605603,,,,,,,0.998468606431853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9992337164750957,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,11622.576921092,,,,,,,,,,,,,,,,,,,,,,,,,,0.9977046671767407,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.9976851851851852,,,,,,,,,,,,,,,,,,,,,,1770922611.260675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,11622.576989368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9984555984555985,,,,,,,,,0.9980702431493632,,,
,,,,,,,,,,,,,,,,,,0.9941391941391942,,,,,0.9919590643274854,,,,,,,,,,,,1770922611.2607813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,0.9930479326747165,,,,11622.577115758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
