fold0/class_4/precision,_step,_runtime,fold0/class_8/f1-score,fold0/class_9/recall,fold0/class_1/f1-score,fold0/class_0/recall,fold0/class_6/recall,fold0/class_3/recall,fold0/class_8/recall,fold0/class_9/f1-score,fold0/class_1/precision,fold0/class_5/f1-score,fold0/class_0/f1-score,fold0/class_7/precision,fold0/class_8/precision,fold0/class_1/recall,fold0/class_4/recall,fold0/class_10/f1-score,fold0/class_2/f1-score,fold0/class_3/precision,fold0/class_2/recall,_timestamp,fold0/class_7/recall,fold0/class_6/f1-score,fold0/class_10/recall,fold0/class_5/precision,fold0/class_2/precision,fold0/class_7/f1-score,fold0/class_5/recall,fold0/class_3/f1-score,fold0/confusion_matrix,fold0/class_6/precision,fold0/class_4/f1-score,fold0/class_10/precision,fold0/class_9/precision,fold0/class_0/precision
,0,1223.641667802,,,,,,,,,,,,,,,,,,,,1770794008.3329356,,,,,,,,,"{'_type': 'table-file', 'ncols': 12, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://8l33eut9gosept9b0mftyuv5466almt94y6r11sz5gj5v4fhgv163oaf720e0l10zsvga7dhpglkx33ei35ymq5nurr0quv27i5p6kbej1y90tfxuujotq9t9bhcov6o/fold0/confusion_matrix.table.json', 'path': 'media/table/fold0/confusion_matrix_0_4d598f60d4277dc277c1.table.json', 'sha256': '4d598f60d4277dc277c187b0afa1947deb1e4318afdf07234fc3e89557f37706', 'size': 559, 'nrows': 11, '_latest_artifact_path': 'wandb-client-artifact://6tkuupgtw6g5lpt0r9gff3rmbmhvzu3astvt34ytzkjk0o2ztwjkytbwxcssmbpdjuvgqolonug5nmi14vctwdpsd8a9x5ru4i26aioix5br0t4cva48377oif2zvlst:latest/fold0/confusion_matrix.table.json'}",,,,,
,1,1223.643718799,,,,0.9998508416790965,,,,,,,0.9999041073997124,,,,,,,,,1770794008.3352087,,,,,,,,,,,,,,0.999957378795951
,2,1223.643839219,,,0.9989327641408752,,,,,,0.997867803837953,,,,,1,,,,,,1770794008.3354483,,,,,,,,,,,,,,
,3,1223.643987104,,,,,,,,,,,,,,,,,0.9975609756097561,,0.9951338199513382,1770794008.3356245,,,,,1,,,,,,,,,
,4,1223.644117083,,,,,,0.9976851851851852,,,,,,,,,,,,0.9976851851851852,,1770794008.3357837,,,,,,,,0.9976851851851852,,,,,,
1,5,1223.644285479,,,,,,,,,,,,,,,0.9976019184652278,,,,,1770794008.3359253,,,,,,,,,,,0.9987995198079231,,,
,6,1223.644399746,,,,,,,,,,0.9946294307196563,,,,,,,,,,1770794008.3360665,,,,0.9935622317596566,,,0.9956989247311828,,,,,,,
,7,1223.644508042,,,,,0.9918200408997955,,,,,,,,,,,,,,,1770794008.3362122,,0.9958932238193019,,,,,,,,1,,,,
,8,1223.644624905,,,,,,,,,,,,0.9907621247113164,,,,,,,,1770794008.336326,1,,,,,0.9953596287703016,,,,,,,,
,9,1223.644750044,0.9977678571428571,,,,,,1,,,,,,0.9955456570155902,,,,,,,1770794008.3364375,,,,,,,,,,,,,,
,10,1223.644836807,,1,,,,,,0.9990089197224975,,,,,,,,,,,,1770794008.3365476,,,,,,,,,,,,,0.998019801980198,
,11,1223.644959392,,,,,,,,,,,,,,,,0.9952011812476929,,,,1770794008.3366544,,,0.9963045084996305,,,,,,,,,0.9941002949852508,,
