fold4/class_2/recall,fold3/class_3/precision,fold2/class_2/precision,_timestamp,fold3/class_3/f1-score,fold1/class_0/recall,fold2/class_0/f1-score,fold3/class_1/f1-score,_step,fold0/class_3/f1-score,fold3/class_1/precision,fold4/class_0/recall,fold2/class_3/precision,fold1/class_1/precision,fold3/class_3/recall,fold0/class_0/recall,fold4/class_1/recall,fold1/class_3/f1-score,fold0/class_2/precision,fold3/class_0/precision,fold0/class_2/recall,fold1/class_1/recall,fold0/class_1/recall,fold4/confusion_matrix,fold1/class_3/recall,fold0/class_3/recall,fold3/class_1/recall,fold3/class_0/f1-score,fold4/class_2/precision,fold4/class_3/recall,fold2/class_0/precision,fold0/class_1/f1-score,fold2/class_2/recall,fold2/class_3/f1-score,fold1/class_0/precision,_runtime,fold0/confusion_matrix,fold0/class_3/precision,fold2/class_2/f1-score,cv5/fold_metrics,fold2/class_1/recall,fold1/class_2/precision,fold4/class_1/f1-score,fold2/class_0/recall,fold3/class_2/recall,fold0/class_0/precision,fold4/class_0/precision,fold4/class_1/precision,fold1/class_0/f1-score,fold4/class_3/precision,fold1/class_3/precision,fold2/class_1/f1-score,fold1/confusion_matrix,fold1/class_2/recall,fold3/confusion_matrix,fold4/class_2/f1-score,fold4/class_3/f1-score,fold3/class_2/precision,fold2/class_1/precision,fold1/class_1/f1-score,fold2/confusion_matrix,fold3/class_2/f1-score,fold0/class_1/precision,fold4/class_0/f1-score,fold3/class_0/recall,fold0/class_2/f1-score,fold0/class_0/f1-score,fold2/class_3/recall,fold1/class_2/f1-score
,,,1770721482.8619423,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,626.281661695,"{'_latest_artifact_path': 'wandb-client-artifact://ee43ych5tt2xltf7hbd1xjryo038xqyj4hpyt4es2li8em5nhpttntjr1krs0eemkw6t5a2tv23qu6u97qx24puoporeoneyfktp1qwwo606drjc5qldupetdvz0ygon:latest/fold0/confusion_matrix.table.json', 'ncols': 5, 'nrows': 4, 'path': 'media/table/fold0/confusion_matrix_0_bfc02935844959ed5b94.table.json', '_type': 'table-file', 'sha256': 'bfc02935844959ed5b94db8e045e6719c55b35e16557ed664c3c6be237469aff', 'size': 153, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://2xvv19a7ukals21k6cvropsiv1vqd66qm1pjorunrh8cfhydwq1ajjpbisqabemt8djjd02qxofzu4xvgo1rjyk5weqpaj4wdpjal7rvtbry027q3mhgmffrh04e01h6/fold0/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1770721482.8637388,,,,,1,,,,,,,0.9564935064935065,,,,,,,,,,,,,,,,,,,,626.282907722,,,,,,,,,,0.6931764705882353,,,,,,,,,,,,,,,,,,,,,0.8038199181446112,,
,,,1770721482.8640394,,,,,2,,,,,,,,,,,,,,0.026568265682656828,,,,,,,,,0.05172413793103448,,,,626.283173081,,,,,,,,,,,,,,,,,,,,,,,,,,,0.972972972972973,,,,,,
,,,1770721482.8642926,,,,,3,,,,,,,,,,0.9896042924211939,,0.9473515248796147,,,,,,,,,,,,,,,626.283420115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9680170575692963,,,
,,,1770721482.8646116,,,,,4,0.8870318786753327,,,,,,,,,,,,,,,,0.9715254237288136,,,,,,,,,,626.283815694,,0.8160592255125285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1770721633.1000564,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,776.519442543,,,,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://wjt3c0yv4ocdfo5olfs2rju1vyunpdzsn80n92nf8fyici9bxjhr3wh6arhq9hdz7vgzmpgz0quvlrepl3jsdrho4vtd9u17gssc37vyw88k0oaaf1wf6hdxapobqu8b:latest/fold1/confusion_matrix.table.json', 'sha256': '4ba77bfc91d6736e0d0d52780bb28505d616920c9b5a722fc60bab7e8b264593', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://bs846lyrh8int7jy8uex1it9yyeabxktn5q5nicfzthrst3zrx8hl3oq70ylsw0mvx226q58ozp8zf51gct2fi8ab2ytzmw2zfemwrd5c0bt1xp7nhp1p0ce17l09lkg/fold1/confusion_matrix.table.json', 'size': 153, 'path': 'media/table/fold1/confusion_matrix_5_4ba77bfc91d6736e0d0d.table.json', 'ncols': 5, 'nrows': 4}",,,,,,,,,,,,,,,,
,,,1770721633.1017199,,0.9352154531946508,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,0.9530587522713507,776.521070556,,,,,,,,,,,,,0.944052797360132,,,,,,,,,,,,,,,,,,,,
,,,1770721633.1022885,,,,,7,,,,,0.9672505712109672,,,,,,,,0.9071428571428571,,,,,,,,,,,,,,776.521536188,,,,,,,,,,,,,,,,,,,,,,,,0.9362329524511611,,,,,,,,,
,,,1770721633.1026971,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,776.521904079,,,,,,0.9959745051995974,,,,,,,,,,,,0.9655284552845529,,,,,,,,,,,,,,,0.9805151915455746
,,,1770721633.1031358,,,,,9,,,,,,,,,0.879416282642089,,,,,,,0.9703389830508474,,,,,,,,,,,776.522405905,,,,,,,,,,,,,,,0.8040730337078652,,,,,,,,,,,,,,,,,,
