fold4/class_3/recall,fold3/class_4/f1-score,fold2/class_6/precision,fold0/class_8/recall,fold2/class_10/precision,fold0/class_9/precision,fold2/class_1/precision,fold3/class_0/precision,fold2/class_2/recall,fold0/class_1/recall,fold3/class_0/f1-score,fold3/class_8/recall,fold2/class_10/f1-score,fold1/confusion_matrix,_runtime,fold0/class_7/recall,fold4/class_0/recall,fold3/class_5/precision,fold0/class_7/f1-score,fold3/class_8/f1-score,fold1/class_5/recall,fold0/class_2/precision,fold2/class_3/recall,fold2/class_0/recall,fold3/class_5/f1-score,fold2/class_6/recall,fold1/class_10/recall,fold0/class_4/recall,fold4/class_5/recall,fold0/class_10/recall,fold4/class_2/recall,fold1/class_7/recall,fold2/class_2/precision,fold4/class_8/recall,fold3/class_3/recall,fold1/class_7/precision,fold1/class_4/precision,fold0/class_6/recall,fold1/class_10/f1-score,fold1/class_9/f1-score,fold4/class_1/precision,fold0/class_2/f1-score,fold2/class_5/f1-score,fold2/class_0/precision,fold2/class_1/recall,fold1/class_0/recall,fold2/class_1/f1-score,fold4/class_8/f1-score,fold2/class_7/f1-score,fold2/class_9/recall,fold4/class_1/f1-score,fold4/class_9/recall,fold3/class_10/recall,fold1/class_5/precision,fold4/class_5/precision,fold0/class_1/precision,fold1/class_2/precision,fold0/class_0/f1-score,fold0/class_6/f1-score,fold3/class_2/precision,fold3/class_1/recall,fold2/class_7/recall,fold1/class_3/recall,fold0/class_4/precision,fold4/class_6/precision,fold1/class_8/f1-score,fold3/class_1/f1-score,fold2/class_4/precision,fold3/class_3/f1-score,fold1/class_9/recall,_timestamp,fold3/class_9/f1-score,fold4/class_4/precision,fold2/class_8/f1-score,fold3/class_10/precision,fold0/class_6/precision,fold4/class_7/recall,fold4/class_10/f1-score,fold0/class_1/f1-score,fold2/class_7/precision,fold4/class_7/f1-score,fold4/class_5/f1-score,fold1/class_4/recall,fold3/class_7/recall,fold1/class_6/f1-score,fold4/confusion_matrix,fold2/class_9/precision,fold1/class_4/f1-score,fold3/class_0/recall,fold0/class_8/f1-score,fold4/class_7/precision,fold0/class_7/precision,fold2/class_3/precision,fold1/class_6/precision,fold4/class_9/precision,fold2/class_6/f1-score,fold0/class_8/precision,fold4/class_3/precision,fold2/class_5/precision,fold0/class_5/f1-score,fold2/class_4/recall,fold4/class_8/precision,fold0/class_3/f1-score,fold1/class_10/precision,fold2/class_4/f1-score,fold1/class_1/f1-score,fold0/class_9/recall,fold4/class_4/f1-score,fold1/class_8/recall,fold3/class_4/recall,fold2/class_10/recall,fold2/confusion_matrix,fold2/class_3/f1-score,fold4/class_6/recall,fold0/class_5/precision,fold4/class_1/recall,fold3/class_6/recall,fold1/class_2/recall,fold4/class_10/precision,cv5/fold_metrics,fold1/class_1/precision,fold4/class_9/f1-score,fold2/class_0/f1-score,fold3/class_7/f1-score,fold1/class_0/f1-score,fold4/class_3/f1-score,fold1/class_3/precision,fold0/class_0/recall,fold3/class_9/precision,fold1/class_5/f1-score,fold0/class_9/f1-score,fold1/class_0/precision,fold1/class_2/f1-score,fold2/class_5/recall,fold3/confusion_matrix,fold3/class_5/recall,fold4/class_2/f1-score,fold3/class_2/f1-score,fold4/class_0/precision,fold3/class_6/precision,fold0/class_4/f1-score,fold2/class_9/f1-score,fold1/class_1/recall,fold0/class_3/precision,fold3/class_6/f1-score,fold0/confusion_matrix,fold4/class_6/f1-score,fold4/class_10/recall,fold4/class_0/f1-score,fold3/class_10/f1-score,fold1/class_7/f1-score,fold3/class_7/precision,fold3/class_1/precision,fold0/class_0/precision,fold4/class_2/precision,fold2/class_2/f1-score,fold1/class_8/precision,fold1/class_3/f1-score,_step,fold3/class_4/precision,fold0/class_5/recall,fold3/class_8/precision,fold0/class_10/precision,fold4/class_4/recall,fold0/class_3/recall,fold0/class_10/f1-score,fold3/class_9/recall,fold3/class_3/precision,fold1/class_9/precision,fold0/class_2/recall,fold2/class_8/recall,fold2/class_8/precision,fold1/class_6/recall,fold3/class_2/recall
,,,,,,,,,,,,,,8967.353757226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770750812.233748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'path': 'media/table/fold0/confusion_matrix_0_e28342a7bd9b416233e2.table.json', 'size': 585, 'log_mode': 'IMMUTABLE', 'nrows': 11, 'sha256': 'e28342a7bd9b416233e29f98d0b8f8ac62f6892ece998d07307195553dcc3b1b', 'artifact_path': 'wandb-client-artifact://rmztrv5vo1frkvcdajrne40ficbncjrzwf1xtnau5d3w0hxfjvqwgumt4mz0xbpvxm8q12a88jwufrgnt0xdsuvqgipjjeiakxydta9g19szolsx7aaewi2sbichbdq4/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://p2lid25s8mbkmw3pjc7oxs3tsgzo6a160td9evnedorg5xmn7ru6jed6thbel55o648lojmx0k3od59rjdbq53d4zxfdoqty3163buqmw0s84jzfo96ev332g9mkcta4:latest/fold0/confusion_matrix.table.json', '_type': 'table-file', 'ncols': 12}",,,,,,,,,,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,8967.355165569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9785651839602271,,,,,,,,,,,,,1770750812.2355835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9898146175154485,,,,,,,,,,,,,,,,,,,,,,,,,,0.9675685808910829,,,,,1,,,,,,,,,,,,,,,
,,,,,,,,,0.8012820512820513,,,,,8967.35571263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7944915254237288,,,,,,,,,,,,,,,1770750812.2361636,,,,,,,,0.7978723404255319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,8967.356112085,,,,,,,0.8414322250639387,,,,,,,,,,,,,,,,,,,,0.8204488778054863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770750812.2365525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,0.8004866180048662,,,,
,,,,,,,,,,,,,,8967.356471228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770750812.236947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8106796116504854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8520408163265306,,,,,,,,,,,,,,,4,,,,,,0.7731481481481481,,,,,,,,,
,,,,,,,,,,,,,,8967.356805621,,,,,,,,,,,,,0.36211031175059955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8728323699421965,,,,,,,1770750812.2372832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.511864406779661,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,8967.357157757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770750812.2376437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.503030303030303,,,,,,,,,,,,,,,0.8512820512820513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,0.35698924731182796,,,,,,,,,,,,,
,,,,,,,,,,,,,,8967.357535836,,,,,,,,,,,,,,,,,,,,,,,0.3987730061349693,,,,,,,,,,,,,,,,,,,,,0.547752808988764,,,,,,,,,,,,1770750812.2380018,,,,,0.874439461883408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,8967.357844534,0.7808857808857809,,,0.850253807106599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770750812.238354,,,,,,,,,,,,,,,,,,,,,0.9331476323119777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,
,,,0.8187919463087249,,,,,,,,,,,8967.358126687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770750812.238666,,,,,,,,,,,,,,,,,,,0.8491879350348028,,,,,,,0.8819277108433735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,
