fold0/class_1/f1-score,fold2/class_1/recall,fold1/class_1/precision,fold4/confusion_matrix,fold1/class_0/recall,fold3/class_0/f1-score,_timestamp,_runtime,fold1/class_1/f1-score,fold1/class_0/f1-score,fold3/class_1/precision,fold2/confusion_matrix,fold2/class_1/precision,fold0/class_0/precision,fold4/class_0/recall,fold1/class_0/precision,fold2/class_0/recall,fold0/class_1/precision,fold4/class_0/precision,fold4/class_1/f1-score,_step,fold3/class_1/f1-score,cv5/fold_metrics,fold3/class_1/recall,fold4/class_1/recall,fold2/class_0/precision,fold4/class_1/precision,fold0/class_1/recall,fold3/confusion_matrix,fold2/class_0/f1-score,fold3/class_0/precision,fold3/class_0/recall,fold0/confusion_matrix,fold1/confusion_matrix,fold1/class_1/recall,fold2/class_1/f1-score,fold0/class_0/f1-score,fold4/class_0/f1-score,fold0/class_0/recall
,,,,,,1770749067.6796734,3690.629563225,,,,,,,,,,,,,0,,,,,,,,,,,,"{'_type': 'table-file', 'sha256': '2d606b5bc680231a8590493ccce1dcd70c31805c10fa03c0793cecbec2b1489c', 'size': 83, 'nrows': 2, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://b4iq2unecsms7d7w7hv8oojfl090ym1rz9azrjbtjcxifih3yirqdm1eazkv3a5vg4r436ag1bco99a7nvr048w1x7a06kmprzyjmythnq7xxmk2mzmjcsmg2jierepv:latest/fold0/confusion_matrix.table.json', 'artifact_path': 'wandb-client-artifact://u4spta5he8ysvax494soqghb1jmchs5xcn5e93kjp5sppuhybv7eiqbz916iged9bioriajsk4a1s07f4i5b2agtw4oxwsfvt7ovuwh1ltkluw03s08p8y5lnfsnxml3/fold0/confusion_matrix.table.json', 'ncols': 3, 'path': 'media/table/fold0/confusion_matrix_0_2d606b5bc680231a8590.table.json'}",,,,,,
,,,,,,1770749067.6817849,3690.631297574,,,,,,0.9843306914854941,,,,,,,1,,,,,,,,,,,,,,,,0.9921034792327,,1
0.9924819899178426,,,,,,1770749067.6820464,3690.631476862,,,,,,,,,,1,,,2,,,,,,,0.9850761772853186,,,,,,,,,,,
,,,,,,1770749780.7251995,4403.674708197,,,,,,,,,,,,,3,,,,,,,,,,,,,"{'ncols': 3, 'nrows': 2, 'path': 'media/table/fold1/confusion_matrix_3_082cda67197f1b41b076.table.json', 'size': 84, 'artifact_path': 'wandb-client-artifact://dzgkvr0s4gdqq1sm9owacjwz99md5o52rvqjv15gk5w6pn1jt5azoj0ocgqrgxw8o88z0ebzck8c17mzbn9bneony54r0ebwhjc65i3yj9cljexlogk3h1un3qfak3rg/fold1/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://2u69b12ccodn14th28i8ex28jgp69qet2qbcbd1rp92t2lkjsz60wsl7p4kkf8syp6gdcnjse0pjq1lgv5ypl0h412kd7bl3qq8vcltykew05ff6t000kg11sjc7j5pe:latest/fold1/confusion_matrix.table.json', '_type': 'table-file', 'log_mode': 'IMMUTABLE', 'sha256': '082cda67197f1b41b076156495717fc07de440b2f4b9575d9adf61c429225403'}",,,,,
,,,,0.9990397045244691,,1770749780.7263048,4403.675728728,,0.9919686078920347,,,,,,0.9849969047012126,,,,,4,,,,,,,,,,,,,,,,,,
,,0.9990875271987085,,,,1770749780.726555,4403.675933077,0.992365880015338,,,,,,,,,,,,5,,,,,,,,,,,,,,0.9857340720221607,,,,
,,,,,,1770750208.8905146,4831.840072533,,,,"{'nrows': 2, 'sha256': '3518d144cc658b954c0add99acdfd0c88f70c5c6221e49e04cdfe4b45ae99617', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://me6b36f0ed4tcjdq599j2a9jmwv6xw6c7zrc42tce3cyljrshhlb6xiygkj9vgosvbzdh8b4r9khwa6f4shr8tsuo74ghtlfqacpas6n9jc0wedp42iw3z8uuvn6hh0t:latest/fold2/confusion_matrix.table.json', '_type': 'table-file', 'path': 'media/table/fold2/confusion_matrix_6_3518d144cc658b954c0a.table.json', 'size': 83, 'ncols': 3, 'artifact_path': 'wandb-client-artifact://kjd0c1dbcq0tnt7c3l1if1zuzv20vm6yy6y1jojk9i216enjmbv9tw03k6dhok5u9jfjy18zy9a0joq166m9ytyok8znv123ffgxqsmmch73td4515c0adicsknkcpob/fold2/confusion_matrix.table.json'}",,,,,,,,,6,,,,,,,,,,,,,,,,,,
,,,,,,1770750208.891841,4831.841297203,,,,,,,,,1,,,,7,,,,,0.9816440542697525,,,,0.9907370116794201,,,,,,,,,
,0.9824695121951219,,,,,1770750208.892072,4831.841578866,,,,,1,,,,,,,,8,,,,,,,,,,,,,,,0.9911572472126106,,,
,,,,,,1770750969.821604,5592.771403539,,,,,,,,,,,,,9,,,,,,,,"{'nrows': 2, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://izq9fxz0ldrechkojcicmubcivp0kdns7i2dq91j0ktybjz62dknj87dfdydaaqg94n73bxqmfijn8oo78dgsfnr2gbpsw3xfizbndbukibfyvfs1bagu3wp28mdkk15/fold3/confusion_matrix.table.json', 'sha256': '51a7256e13981dce8befb256dc9cb4e5453cb6c3ec96e19614407180b9a865fa', '_type': 'table-file', 'size': 83, 'path': 'media/table/fold3/confusion_matrix_9_51a7256e13981dce8bef.table.json', '_latest_artifact_path': 'wandb-client-artifact://xt75n0bh3c2fbn50tc97ibm45uosecay3z5x8sf5os5comxak5dth78gclhba6s4v46s1kz8thyymwo1et05e2mt99w77013dk9b4yryvr457xq906tui8hc8j95n9tp:latest/fold3/confusion_matrix.table.json', 'ncols': 3}",,,,,,,,,,
