fold1/class_7/recall,fold1/class_1/recall,fold0/class_1/recall,fold2/class_0/precision,fold0/class_7/f1-score,fold1/class_6/recall,fold2/class_6/f1-score,fold4/class_10/recall,fold3/class_8/f1-score,fold4/class_7/f1-score,fold2/class_4/precision,fold3/class_1/precision,fold2/class_5/f1-score,fold2/class_4/recall,fold4/class_4/f1-score,fold2/class_1/f1-score,fold2/class_7/precision,fold4/class_3/recall,fold1/class_0/precision,fold0/class_3/f1-score,fold3/class_4/f1-score,fold4/class_2/precision,fold4/class_6/f1-score,fold0/class_2/precision,fold1/class_3/precision,fold1/class_4/recall,fold2/class_7/f1-score,fold0/class_0/f1-score,fold2/class_5/recall,fold1/class_6/f1-score,fold3/class_4/precision,fold4/class_10/precision,fold4/class_3/f1-score,fold4/confusion_matrix,fold4/class_5/precision,fold2/class_2/recall,fold3/class_10/recall,fold4/class_0/precision,fold0/class_10/f1-score,fold3/class_0/precision,fold3/class_9/precision,fold4/class_9/precision,fold3/class_2/recall,fold3/class_10/precision,fold3/class_4/recall,fold4/class_2/recall,fold4/class_6/recall,fold0/class_5/precision,fold1/confusion_matrix,fold2/class_7/recall,fold1/class_10/recall,fold2/class_8/f1-score,fold3/class_3/f1-score,fold0/class_8/recall,fold1/class_3/recall,fold2/class_9/f1-score,fold0/class_0/recall,fold0/class_9/precision,fold1/class_8/precision,fold1/class_8/recall,fold0/class_8/f1-score,fold1/class_5/f1-score,fold0/class_2/f1-score,fold3/confusion_matrix,fold4/class_6/precision,fold1/class_0/f1-score,fold3/class_6/f1-score,fold0/class_7/recall,fold4/class_10/f1-score,fold1/class_1/precision,fold0/class_9/f1-score,fold2/class_9/recall,fold4/class_5/recall,_runtime,fold2/class_4/f1-score,_step,fold0/class_6/f1-score,fold2/class_5/precision,fold0/confusion_matrix,fold3/class_9/recall,fold3/class_8/recall,fold1/class_3/f1-score,fold1/class_9/recall,fold1/class_5/recall,fold1/class_10/precision,fold4/class_7/recall,fold0/class_4/recall,fold0/class_1/precision,fold2/class_2/f1-score,fold2/class_3/recall,fold3/class_10/f1-score,fold2/class_6/recall,fold0/class_1/f1-score,fold1/class_5/precision,fold2/class_2/precision,fold0/class_7/precision,fold4/class_2/f1-score,fold1/class_0/recall,fold3/class_7/recall,fold4/class_8/recall,fold3/class_5/recall,fold3/class_3/precision,fold4/class_9/f1-score,fold2/class_3/f1-score,fold4/class_0/recall,fold4/class_1/recall,fold0/class_4/precision,fold2/class_1/precision,fold2/confusion_matrix,fold2/class_8/recall,fold1/class_7/f1-score,fold4/class_8/f1-score,fold4/class_0/f1-score,fold1/class_6/precision,fold0/class_3/precision,fold0/class_6/recall,fold1/class_4/precision,fold4/class_9/recall,fold0/class_10/recall,fold0/class_8/precision,fold2/class_10/f1-score,fold1/class_4/f1-score,fold4/class_3/precision,fold0/class_4/f1-score,cv5/fold_metrics,fold3/class_9/f1-score,fold3/class_2/precision,fold1/class_1/f1-score,fold1/class_10/f1-score,fold0/class_3/recall,fold1/class_9/f1-score,fold0/class_10/precision,fold1/class_8/f1-score,fold4/class_8/precision,fold1/class_7/precision,fold3/class_7/f1-score,fold2/class_9/precision,fold2/class_8/precision,fold0/class_9/recall,fold3/class_2/f1-score,fold4/class_5/f1-score,fold3/class_7/precision,fold1/class_2/f1-score,fold0/class_5/recall,fold2/class_3/precision,fold0/class_5/f1-score,_timestamp,fold0/class_2/recall,fold4/class_1/precision,fold2/class_0/recall,fold3/class_3/recall,fold3/class_1/recall,fold1/class_9/precision,fold2/class_0/f1-score,fold4/class_4/precision,fold1/class_2/precision,fold4/class_1/f1-score,fold0/class_6/precision,fold0/class_0/precision,fold3/class_0/recall,fold3/class_0/f1-score,fold4/class_7/precision,fold2/class_10/precision,fold2/class_6/precision,fold3/class_5/precision,fold3/class_6/recall,fold1/class_2/recall,fold3/class_6/precision,fold3/class_5/f1-score,fold2/class_10/recall,fold3/class_1/f1-score,fold4/class_4/recall,fold3/class_8/precision,fold2/class_1/recall
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4195.316883594,,0,,,"{'_type': 'table-file', 'ncols': 12, 'path': 'media/table/fold0/confusion_matrix_0_2a485cd1f0430e101a2d.table.json', 'sha256': '2a485cd1f0430e101a2dfd6d155adeae8792fe0cdd1aa587e4a92f93fe509611', 'size': 559, 'artifact_path': 'wandb-client-artifact://3m5gyrdo2bj1ymh73auj53a4q3nurk9s2ru71349mahtlpvmka5lf4rvhkayzwnybaf4t4hapjxpiyxu9c329c65ki7rrkzbtxt8g0qtwj9fg88urkuqor5ce6a8azpx/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://u3r71pip383xvjuz246m5lyai9qdwnyk3yv41dbl8ep8z9w62amkqpbcubit3juqz4i5r9g0pmcur36e2uov6vny55x32vu02g3uppohkj86de0h10llunzcz4mseqqs:latest/fold0/confusion_matrix.table.json', 'nrows': 11, 'log_mode': 'IMMUTABLE'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770921343.8207324,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999244560838034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999974817426341,,,,,,,,,,,,,,,,,4195.318218963,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770921343.8223035,,,,,,,,,,,,0.9998740998136677,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4195.318404966,,2,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770921343.8225076,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.9902200488997555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.995085995085995,,,,,,,,,,,4195.31853697,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770921343.8226721,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.9994015559545183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4195.318644225,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9988038277511961,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1770921343.822824,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4195.318845519,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.9984152139461173,,,,,,,,,,,,,,,,,0.9992069785884219,,,,,,,,,,,,,,,,,,,,,,,1770921343.822966,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4195.318912864,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1770921343.82311,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4195.319056042,,7,0.9993373094764745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9986754966887417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770921343.8232384,,,,,,,,,,,1,,,,,,,,,,,,,,,,
,,,,0.9963636363636363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9927536231884058,,,,,,4195.31922481,,8,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770921343.823376,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0.9962546816479401,,,,,,,,,,,,,4195.319326514,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9925373134328358,,,,,,,,,,,,,,,,,,,,,,,,,,,1770921343.8235028,,,,,,,,,,,,,,,,,,,,,,,,,,,
