fold4/class_3/recall,fold0/class_1/f1-score,fold1/class_2/precision,fold2/class_3/f1-score,fold0/class_0/recall,fold0/class_3/precision,fold1/class_0/precision,fold3/confusion_matrix,fold2/class_1/precision,fold3/class_1/f1-score,_runtime,fold4/class_3/f1-score,fold0/class_2/recall,fold2/class_1/recall,fold2/class_2/precision,fold0/class_0/f1-score,fold4/class_0/recall,fold2/class_3/recall,cv5/fold_metrics,fold1/class_1/recall,fold4/class_2/f1-score,_timestamp,fold1/class_2/f1-score,fold3/class_3/precision,fold2/class_0/f1-score,fold4/class_2/recall,fold4/class_1/precision,fold0/class_2/precision,fold4/class_0/precision,fold1/class_3/f1-score,fold0/class_1/recall,fold1/class_3/recall,fold2/class_0/recall,fold1/class_0/recall,fold2/class_0/precision,fold3/class_0/recall,fold2/confusion_matrix,fold2/class_1/f1-score,_step,fold1/class_1/f1-score,fold2/class_3/precision,fold4/confusion_matrix,fold3/class_2/precision,fold3/class_2/recall,fold0/confusion_matrix,fold0/class_0/precision,fold3/class_1/precision,fold3/class_3/f1-score,fold3/class_0/f1-score,fold4/class_1/recall,fold2/class_2/recall,fold4/class_0/f1-score,fold0/class_1/precision,fold2/class_2/f1-score,fold4/class_2/precision,fold0/class_3/recall,fold3/class_3/recall,fold1/class_0/f1-score,fold1/class_2/recall,fold1/confusion_matrix,fold0/class_2/f1-score,fold3/class_0/precision,fold1/class_3/precision,fold4/class_1/f1-score,fold1/class_1/precision,fold3/class_1/recall,fold0/class_3/f1-score,fold3/class_2/f1-score,fold4/class_3/precision
,,,,,,,,,,354.979025512,,,,,,,,,,,1770723612.2079268,,,,,,,,,,,,,,,,,0,,,,,,"{'artifact_path': 'wandb-client-artifact://wf6ic1o1fhz44ihitchp5xlp31bn7b41hs7h5ci39d3drjzckwhza1rl02qz6qbiv6wu9w7ifukaorr9tqh25ytufkkl7wumah1s6k4ibn3r6ic8a1diygpqopp80jhu/fold0/confusion_matrix.table.json', 'ncols': 5, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://s5b64r0zmn8srvbflsnqp9tb1a4p4vztkyp4uvwd3e4fpu0yw7s7q8hp29jn34z4tbhan9dirk4j011jbjg6hxcpnxk4umczbhx74ls5hzxj4jobxr1s9r08o3lzsjut:latest/fold0/confusion_matrix.table.json', 'size': 146, 'nrows': 4, 'path': 'media/table/fold0/confusion_matrix_0_b30a1df790ccf7fe990e.table.json', 'sha256': 'b30a1df790ccf7fe990e3d5d77606a8c4084ddd50e99750f0fe25c5101c0577a', '_type': 'table-file'}",,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.9983766233766234,,,,,,354.980557421,,,,,0.9991876523151909,,,,,,1770723612.2099302,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,0.9977843426883308,,,,,,,,,354.980873455,,,,,,,,,,,1770723612.210322,,,,,,,,,0.9970479704797048,,,,,,,,2,,,,,,,,,,,,,,0.9985218033998522,,,,,,,,,,,,,,,,
,,,,,,,,,,354.981154478,,0.9951845906902087,,,,,,,,,1770723612.2106187,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,0.997586484312148,,,,,,,,
,,,,,0.9846359385437542,,,,,354.981589822,,,,,,,,,,,1770723612.2109814,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,0.9993220338983051,,,,,,,,,,,0.9919246298788694,,
,,,,,,,,,,765.737084203,,,,,,,,,,,1770724022.966343,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://f9q5ya5nvnr1t067sf4qgfelqcd0kn8aliti3qk20vel41whay53ilaoalxi0mtuad12rly9e5kd0j0jjf40ifvpj9y1egwfl5uyfmmhsw5b9ikwnzpfy6773v9abz6n/fold1/confusion_matrix.table.json', 'path': 'media/table/fold1/confusion_matrix_5_bd43a38d0df2dee79abb.table.json', 'size': 145, '_type': 'table-file', 'nrows': 4, 'sha256': 'bd43a38d0df2dee79abbef05ea22f8e798ffe76bdb063f78477810df757f3d2d', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://ycywlz67qg7ve6plt0hu2hz3tkvl8r3t37a5lhy0w4mu066rsmld852wllqjkaoh4p47mgk99q43wntvrna6oxgv38z338o6zsr4wuhu9smxmrco04yyctebn37jzl88:latest/fold1/confusion_matrix.table.json', 'ncols': 5}",,,,,,,,,
,,,,,,0.9979234648472264,,,,765.738417588,,,,,,,,,,,1770724022.9678068,,,,,,,,,,,,0.999702823179792,,,,,6,,,,,,,,,,,,,,,,,,,0.998812351543943,,,,,,,,,,,
,,,,,,,,,,765.738727836,,,,,,,,,0.9964285714285714,,1770724022.968166,,,,,,,,,,,,,,,,,7,0.9974973185555953,,,,,,,,,,,,,,,,,,,,,,,,,0.9985683607730852,,,,
,,0.9977272727272727,,,,,,,,765.739031629,,,,,,,,,,,1770724022.9684813,0.9985377741673436,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,0.999349593495935,,,,,,,,,,
,,,,,,,,,,765.739383096,,,,,,,,,,,1770724022.9687998,,,,,,,,0.9965986394557823,,0.9932203389830508,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,1041.695655294,,,,,,,,,,,1770724298.9249704,,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'path': 'media/table/fold2/confusion_matrix_10_dc3c08be1a09b10fce44.table.json', '_type': 'table-file', 'nrows': 4, 'artifact_path': 'wandb-client-artifact://ytr6z5ll08o8anm2q47n2wlcam2bpliapanq0m0d3pmiulmx0kyo1qbxxnq1mywbkxf3wywispbdbgzso2wcgk95zv294qxml7pk9f13inpwwg51hfh039s46e1ol9nf/fold2/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://2de4aox17nygr8q8uno1jh3faw6me2zgo5vje3fleqwikjr57cl2gl19jx6ns0vubsnn4glkb24nx9bua8mn23k5dpvclkelij8y6ygkb4sremhb3by2k3zadb0svlmq:latest/fold2/confusion_matrix.table.json', 'ncols': 5, 'sha256': 'dc3c08be1a09b10fce44d27e7848b159855044e48ec9d480fbaaa0a40e75188a', 'size': 145}",,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1041.697232704,,,,,,,,,,,1770724298.92661,,,0.9989071038251366,,,,,,,,0.9981279251170047,,0.9996875,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.9927826784282278,,1041.697530274,,,0.9943775100401606,,,,,,,,1770724298.9269488,,,,,,,,,,,,,,,,0.9935794542536116,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1041.697989265,,,,0.9987433239082626,,,,,,,1770724298.9273155,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,0.9996855345911949,,,0.9992142071349992,,,,,,,,,,,,,,,
,,,0.9964028776978417,,,,,,,1041.698372954,,,,,,,0.9964028776978417,,,,1770724298.9277537,,,,,,,,,,,,,,,,,14,,0.9964028776978417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
