fold0/class_4/recall,fold3/class_1/recall,fold2/class_0/recall,fold1/class_3/f1-score,fold2/class_4/recall,fold2/class_1/precision,fold3/confusion_matrix,fold1/class_9/recall,fold1/class_3/precision,fold2/class_9/f1-score,fold4/class_9/precision,fold3/class_3/recall,fold0/class_2/precision,fold4/class_0/f1-score,fold1/class_2/f1-score,fold0/class_1/recall,fold3/class_7/precision,fold4/class_4/recall,fold3/class_8/recall,fold3/class_8/f1-score,fold2/class_5/recall,fold2/class_3/f1-score,_step,fold3/class_1/precision,fold1/class_7/recall,fold0/class_10/recall,fold1/class_6/precision,fold0/class_8/recall,fold4/class_10/precision,fold4/confusion_matrix,fold3/class_9/precision,fold0/class_10/precision,fold2/class_9/recall,fold4/class_3/f1-score,fold1/class_7/f1-score,fold2/class_7/f1-score,fold3/class_4/precision,fold1/class_9/precision,fold0/class_7/precision,fold0/class_6/recall,fold2/class_4/f1-score,fold4/class_5/precision,fold1/class_2/precision,fold0/class_3/f1-score,fold3/class_0/f1-score,fold0/class_0/precision,fold4/class_6/recall,fold0/class_2/f1-score,fold0/class_2/recall,fold1/class_6/recall,fold2/class_8/f1-score,fold0/class_0/recall,_runtime,fold1/class_5/f1-score,fold0/class_3/recall,fold1/class_6/f1-score,fold4/class_5/recall,fold4/class_0/recall,fold0/class_4/f1-score,fold4/class_7/f1-score,fold2/class_7/precision,fold0/class_1/f1-score,fold2/class_2/f1-score,fold2/class_5/f1-score,fold3/class_4/f1-score,fold0/class_5/recall,fold3/class_10/recall,fold4/class_0/precision,fold1/class_4/recall,fold2/class_1/recall,fold2/class_2/precision,fold1/class_2/recall,fold2/class_10/precision,fold3/class_2/recall,fold0/class_1/precision,fold3/class_8/precision,_timestamp,fold1/class_8/recall,fold3/class_4/recall,fold2/class_1/f1-score,fold4/class_1/recall,fold1/class_10/recall,fold1/class_0/f1-score,fold2/class_0/f1-score,fold2/class_4/precision,fold3/class_0/precision,fold2/class_6/f1-score,fold3/class_5/recall,fold0/class_9/precision,fold1/class_0/precision,fold1/class_10/f1-score,fold0/class_6/precision,fold1/class_8/f1-score,fold4/class_2/precision,fold4/class_2/recall,fold4/class_6/precision,fold3/class_2/f1-score,fold4/class_5/f1-score,fold4/class_8/recall,fold4/class_2/f1-score,fold1/class_4/f1-score,fold4/class_9/recall,cv5/fold_metrics,fold4/class_1/precision,fold3/class_6/recall,fold4/class_8/f1-score,fold0/class_7/recall,fold3/class_1/f1-score,fold0/class_8/precision,fold4/class_10/f1-score,fold2/class_6/precision,fold3/class_7/f1-score,fold2/class_8/precision,fold1/class_1/precision,fold1/confusion_matrix,fold3/class_9/f1-score,fold1/class_7/precision,fold2/class_0/precision,fold4/class_1/f1-score,fold2/class_3/precision,fold0/class_10/f1-score,fold0/class_9/recall,fold2/class_3/recall,fold4/class_3/precision,fold2/class_10/f1-score,fold3/class_6/precision,fold4/class_10/recall,fold0/confusion_matrix,fold3/class_7/recall,fold2/class_5/precision,fold0/class_0/f1-score,fold3/class_5/precision,fold3/class_6/f1-score,fold0/class_9/f1-score,fold4/class_4/f1-score,fold4/class_3/recall,fold3/class_3/f1-score,fold3/class_5/f1-score,fold2/class_10/recall,fold1/class_5/recall,fold0/class_5/precision,fold2/class_9/precision,fold1/class_1/f1-score,fold0/class_8/f1-score,fold2/class_2/recall,fold2/class_7/recall,fold4/class_8/precision,fold0/class_7/f1-score,fold2/confusion_matrix,fold1/class_8/precision,fold1/class_10/precision,fold0/class_6/f1-score,fold3/class_10/f1-score,fold3/class_9/recall,fold3/class_0/recall,fold0/class_5/f1-score,fold4/class_7/precision,fold2/class_6/recall,fold2/class_8/recall,fold4/class_6/f1-score,fold0/class_4/precision,fold1/class_9/f1-score,fold1/class_0/recall,fold4/class_7/recall,fold3/class_2/precision,fold1/class_3/recall,fold1/class_5/precision,fold4/class_9/f1-score,fold1/class_1/recall,fold4/class_4/precision,fold3/class_3/precision,fold0/class_3/precision,fold3/class_10/precision,fold1/class_4/precision
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4222.601088674,,,,,,,,,,,,,,,,,,,,,,,,1770915227.966691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'path': 'media/table/fold0/confusion_matrix_0_509ad7e7c1905b4fc4fe.table.json', '_type': 'table-file', 'ncols': 12, 'nrows': 11, 'sha256': '509ad7e7c1905b4fc4fe1c41c88bc85d09b7ccfab8e6a0c4bcdcc80e6f87be7b', '_latest_artifact_path': 'wandb-client-artifact://dft6agmiwt5lcro2y7wvtuzceyyn92l0wi1vh2tregy9ycpo4uiplitnw3n3n0kvfgq33iymazo41ecpwq3mc3wfflwc3dkz1tjgsdp9e7f2k6napyo3d6ezzyrz5l6s:latest/fold0/confusion_matrix.table.json', 'size': 559, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://wh58dhrvwll5if1s3n8sm12njkjqanifwq3ks8yefyx031465cuob3vgddurl9nkysuodreqwccbzpx6p9dnp50fmhao2h43a3807wzyij70y5k2xfyggc189nl7vzjw/fold0/confusion_matrix.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.9998740966434165,,,,,,0.999949634852682,4222.602833505,,,,,,,,,,,,,,,,,,,,,,,,1770915227.9685774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999118643214182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4222.603097604,,,,,,,,,1,,,,,,,,,,,,,1,,1770915227.9689434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.9926470588235294,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,0.996309963099631,1,,,,4222.603335863,,,,,,,,,,,,,,,,,,,,,,,,1770915227.9692028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,4222.60346443,,1,,,,,,,,,,,,,,,,,,,,,,1770915227.9694445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4222.603598449,,,,,,1,,,,,,,,,,,,,,,,,,1770915227.9695866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4222.603731997,,,,,,,,,,,,,1,,,,,,,,,,,1770915227.9697258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9974747474747475,,,,,,,,,,,,,,,0.9987357774968394,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,4222.603858181,,,,,,,,,,,,,,,,,,,,,,,,1770915227.9698586,,,,,,,,,,,,,,,0.9986772486772487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99933818663137,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4222.604010055,,,,,,,,,,,,,,,,,,,,,,,,1770915227.969996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9927536231884058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9963636363636363,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,9,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4222.604149645,,,,,,,,,,,,,,,,,,,,,,,,1770915227.97013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9925373134328358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9962546816479401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
