fold2/class_1/f1-score,fold3/class_1/f1-score,fold0/class_0/f1-score,fold1/class_1/precision,fold2/class_1/precision,fold1/class_0/f1-score,fold4/class_0/recall,fold0/class_0/recall,fold2/class_0/f1-score,_step,fold4/class_0/precision,fold3/class_0/f1-score,fold1/class_1/f1-score,fold4/confusion_matrix,fold0/confusion_matrix,fold1/class_0/recall,fold2/class_0/precision,fold3/confusion_matrix,fold0/class_0/precision,fold2/class_0/recall,fold3/class_1/precision,fold4/class_0/f1-score,fold4/class_1/recall,fold0/class_1/recall,fold3/class_1/recall,_runtime,fold1/class_1/recall,fold2/class_1/recall,fold3/class_0/precision,fold0/class_1/f1-score,fold2/confusion_matrix,cv5/fold_metrics,fold1/confusion_matrix,fold1/class_0/precision,_timestamp,fold4/class_1/precision,fold3/class_0/recall,fold4/class_1/f1-score,fold0/class_1/precision
,,,,,,,,,0,,,,,"{'log_mode': 'IMMUTABLE', 'ncols': 3, 'sha256': '330a17db94c66d53ff5c4680f9b97e6bcf4d29c93f6ba23abd7ecf7080d93961', 'path': 'media/table/fold0/confusion_matrix_0_330a17db94c66d53ff5c.table.json', 'artifact_path': 'wandb-client-artifact://8zwaf46iwvxnccq4gkcezgwa7roxgke0foegy13c4fd1kjcga5xu6dbyal47fghgefpyqazu5zw6gwcfssu0k5iuezb564j5rhwhuoe5bmjgp3cf8cfx2a1r10fnb60u/fold0/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://vra8ih6e9zz10r7sf43fnv6utrfyh32gyoelfeqfe1zbraqarn9igam0hu3atbo4wqlh3a2itg36o3iiq0zstpjt03lxr2yy6cr4gqd9swt0uyjr0mk1bmdzze6ys3ft:latest/fold0/confusion_matrix.table.json', 'size': 83, '_type': 'table-file', 'nrows': 2}",,,,,,,,,,,11242.214742073,,,,,,,,,1770738570.0427227,,,,
,,0.9983390018191884,,,,,0.9989711119905026,,1,,,,,,,,,0.9977076910916133,,,,,,,11242.216308591,,,,,,,,,1770738570.0445645,,,,
,,,,,,,,,2,,,,,,,,,,,,,,0.9989958448753462,,11242.216499931,,,,0.9992726517040732,,,,,1770738570.0448518,,,,0.9995496119733924
,,,,,,,,,3,,,,,,,,,,,,,,,,12617.329377858,,,,,,,"{'artifact_path': 'wandb-client-artifact://lovlklu4n93vnp3txknqdl93vd9435ep0fo82plhyflb7tznvq5pyv7ehyfmetxm16uo23respckctrsvc6km6t3gzv9uo67tbpeew267n1qqc290j5e81bjgnsi47v3/fold1/confusion_matrix.table.json', 'ncols': 3, 'sha256': '1d3c96b2d67727db8e872a21ccc4cebe094623a2098bfadfff099c981fa76160', 'size': 82, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://l6ssttfbn9f8sx2ebh7eo3zchwgxw7tphwvav6rzznyggztiiz6420m6bwv7waduwlp3bq6ltve87powb20b1sj8rxll66gae7y9erzc37kce5zg4cmnckd856laq45t:latest/fold1/confusion_matrix.table.json', '_type': 'table-file', 'path': 'media/table/fold1/confusion_matrix_3_1d3c96b2d67727db8e87.table.json', 'nrows': 2}",,1770739945.157439,,,,
,,,,,0.9981435399138918,,,,4,,,,,,1,,,,,,,,,,12617.330712336,,,,,,,,0.9962939599432267,1770739945.1589012,,,,
,,,1,,,,,,5,,,0.9991856254223486,,,,,,,,,,,,,12617.330919697,0.9983725761772854,,,,,,,,1770739945.1592808,,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,13458.081566196,,,,,"{'path': 'media/table/fold2/confusion_matrix_6_b5cbb9ca3af3c198efe7.table.json', 'size': 82, 'artifact_path': 'wandb-client-artifact://tgxliukls07jvdhlpztx9ayehlcab8ffl3lxn0gra2bz10yn50qgbv12k6tq72vkd9nx3i27hfclpimq216y0fkj7dbznzkxq55sdoidi0gpnxwfzvfs7d9pczqe6pml/fold2/confusion_matrix.table.json', '_type': 'table-file', 'ncols': 3, 'sha256': 'b5cbb9ca3af3c198efe7b695ad44bd3bb388cf3a8d19ca34a51acfae233284f8', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://09j35ih7xhmjjkw6w9dyww5oyaa3wyyd5um5bzluueg6tglav7m4615nnpwuqef2f76u47lz5sghx5lci2y1bgsyw6hokofgwenoatr3rfpb39dq20zj77tvco1pbrgl:latest/fold2/confusion_matrix.table.json', 'nrows': 2}",,,,1770740785.9099267,,,,
,,,,,,,,0.9972351686547121,7,,,,,,,0.9947990543735225,,,0.9996832435856826,,,,,,13458.082725366,,,,,,,,,1770740785.9111094,,,,
0.9987861131342559,,,,0.999861120755503,,,,,8,,,,,,,,,,,,,,,,13458.082864502,,0.9977134146341463,,,,,,,1770740785.911298,,,,
,,,,,,,,,9,,,,,,,,"{'artifact_path': 'wandb-client-artifact://d5pia7qp4f598fit1ft4hcskmeuj1z2ukq95i1nin72v3dle2w46aamv41m4x0vyqn72zvamer1urs3z4zvomeh4jqs3xq24q72uwa4a83nvl60eyj4dvbzzacdl2ye4/fold3/confusion_matrix.table.json', 'ncols': 3, 'nrows': 2, 'path': 'media/table/fold3/confusion_matrix_9_d18cb1986c2e7efed76e.table.json', 'sha256': 'd18cb1986c2e7efed76e31bde8edc05c1150c5de771de01dfd3bf374dda340df', 'size': 82, '_type': 'table-file', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://xu0084a5w48s1qcxv4c55fvhy6yprgeoljp8ybxbo7nuzwkd7qpdqiu8150smjdezymdygqnxccy3mpgji2u7y5ts6g5m0noptq4mw6m1jbkrw4v5yujfn57wsvoemsj:latest/fold3/confusion_matrix.table.json'}",,,,,,,,14043.3305536,,,,,,,,,1770741371.1587174,,,,
,,,,,,,,,10,,0.998813103339136,,,,,,,,,,,,,,14043.331643242,,,0.9980234029095509,,,,,,1770741371.1599166,,0.9996040544821032,,
,0.9994801414015387,,,,,,,,11,,,,,,,,,,,0.999826653723478,,,,0.9991338691796009,14043.331863229,,,,,,,,,1770741371.160255,,,,
