fold0/class_2/recall,fold3/class_3/f1-score,fold1/class_0/f1-score,fold2/class_3/f1-score,fold3/class_3/precision,fold4/class_3/recall,fold2/class_3/precision,fold4/class_3/precision,fold0/class_0/precision,fold3/class_1/recall,fold1/class_1/f1-score,fold1/class_0/precision,fold3/class_2/precision,fold1/class_2/f1-score,fold3/confusion_matrix,fold0/class_3/precision,_runtime,fold3/class_1/precision,fold2/class_2/recall,fold2/class_3/recall,fold2/confusion_matrix,fold0/class_1/precision,fold1/class_3/precision,fold4/class_0/f1-score,fold4/class_0/recall,fold2/class_0/recall,fold1/class_3/recall,fold0/confusion_matrix,fold2/class_2/f1-score,fold4/class_2/recall,fold0/class_1/f1-score,fold0/class_0/recall,fold0/class_2/precision,fold0/class_3/recall,fold0/class_2/f1-score,fold1/class_1/precision,_step,fold4/class_1/f1-score,fold4/confusion_matrix,fold3/class_0/precision,fold3/class_2/f1-score,fold1/confusion_matrix,fold2/class_0/f1-score,fold1/class_2/recall,fold0/class_0/f1-score,fold1/class_0/recall,fold3/class_0/f1-score,fold4/class_1/precision,fold3/class_0/recall,fold2/class_1/precision,fold0/class_3/f1-score,fold4/class_3/f1-score,fold4/class_2/f1-score,fold1/class_3/f1-score,fold2/class_2/precision,fold4/class_1/recall,fold1/class_1/recall,fold3/class_3/recall,fold3/class_2/recall,fold3/class_1/f1-score,cv5/fold_metrics,fold2/class_0/precision,fold0/class_1/recall,fold2/class_1/recall,fold2/class_1/f1-score,fold1/class_2/precision,fold4/class_0/precision,fold4/class_2/precision,_timestamp
,,,,,,,,,,,,,,,,19.762668187,,,,,,,,,,,"{'_type': 'table-file', 'ncols': 5, 'log_mode': 'IMMUTABLE', 'nrows': 4, 'sha256': 'b9461986c724d34f7f2dc804765f3e70770ffb97fdf1f883cfe2da0c467fe853', 'path': 'media/table/fold0/confusion_matrix_0_b9461986c724d34f7f2d.table.json', '_latest_artifact_path': 'wandb-client-artifact://w3n1h2xgy1610iirk15hhihj75xs1hu5uxqrig0xqifpprul7dnoqdy3i94fq0xnz5ke5y6wkkw2d30f8usrwcfpgwte18a02ccux9nk6gtfyovy4hqkwu6je4yzj59l:latest/fold0/confusion_matrix.table.json', 'size': 144, 'artifact_path': 'wandb-client-artifact://nsv4my7e0abhplxr1ba9ct8s8uqnnr96j0n03279i6t49s34u643xrtmfqevgwis0o8ye2qetxjppp4hcdo9dr90clp0de0haqs4u0nlwuq0cic8igrpqv6m0g6adcic/fold0/confusion_matrix.table.json'}",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770792475.964199
,,,,,,,,0.9611021069692058,,,,,,,,19.765073076,,,,,,,,,,,,,,,0.9626623376623377,,,,,1,,,,,,,,0.9618815896188159,,,,,,,,,,,,,,,,,,,,,,,,1770792475.966773
,,,,,,,,,,,,,,,,19.765673462,,,,,0.931899641577061,,,,,,,,,0.9454545454545454,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0.959409594095941,,,,,,1770792475.967047
0.9534510433386838,,,,,,,,,,,,,,,,19.765835925,,,,,,,,,,,,,,,,0.9473684210526315,,0.9504,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770792475.9672308
,,,,,,,,,,,,,,,0.9326241134751773,19.765880805,,,,,,,,,,,,,,,,,0.8915254237288136,,,4,,,,,,,,,,,,,,0.9116117850953206,,,,,,,,,,,,,,,,,,1770792475.9673843
,,,,,,,,,,,,,,,,32.98243991,,,,,,,,,,,,,,,,,,,,5,,,,,"{'artifact_path': 'wandb-client-artifact://518cfuwjfiyrix2f7688fnr3ti7zodr8jjxifmtsa6v72xk4z9bba5a8nhai8hypo14ae2o9cmimc312904xehjy60t4as4g2agvmnkdvbpo69ohvyglb4enuommuynq/fold1/confusion_matrix.table.json', '_type': 'table-file', 'ncols': 5, '_latest_artifact_path': 'wandb-client-artifact://2fkfd6heitcfinsdjy90ri39a254tzfc53jnz3vfwu7fo7s8gznujte11xj84864ew91sqtpe868utjmngfcvjd6fprx54pmz6si8gk5n12igxwen9f1lby6m90e1q9q:latest/fold1/confusion_matrix.table.json', 'path': 'media/table/fold1/confusion_matrix_5_a4bfdd97141d6ff8783e.table.json', 'sha256': 'a4bfdd97141d6ff8783ebef501447ca53540c25a33d2758bccc4526e4b4d0150', 'log_mode': 'IMMUTABLE', 'nrows': 4, 'size': 143}",,,,,,,,,,,,,,,,,,,,,,,,,,,1770792489.1839828
,,0.9734121122599705,,,,,,,,,0.9676945668135095,,,,,32.984296066,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,0.9791976225854383,,,,,,,,,,,,,,,,,,,,,,,1770792489.1859455
,,,,,,,,,,0.9601449275362319,,,,,,32.984530884,,,,,,,,,,,,,,,,,,,0.9742647058823529,7,,,,,,,,,,,,,,,,,,,,0.9464285714285714,,,,,,,,,,,,1770792489.186299
,,,,,,,,,,,,,0.9624900239425379,,,32.984767756,,,,,,,,,,,,,,,,,,,,8,,,,,,,0.9804878048780488,,,,,,,,,,,,,,,,,,,,,,0.945141065830721,,,1770792489.1865332
,,,,,,,,,,,,,,,,32.984948205,,,,,,0.9436619718309859,,,,0.8516949152542372,,,,,,,,,,9,,,,,,,,,,,,,,,,,0.8953229398663697,,,,,,,,,,,,,,,1770792489.1867716
,,,,,,,,,,,,,,,,42.548610869,,,,"{'_type': 'table-file', 'size': 146, '_latest_artifact_path': 'wandb-client-artifact://6xfhww8db2bh1yzkagl1i4a7drs2djgoirg9ciku72yficuya20cef7gwcvui6t830hl4fi9ekvkrmkrurms24wwxoko44cf9k5el7ja4uah1emg8ifme7m2ttien4ca:latest/fold2/confusion_matrix.table.json', 'ncols': 5, 'path': 'media/table/fold2/confusion_matrix_10_eeb3539f8ad5a4355a4d.table.json', 'sha256': 'eeb3539f8ad5a4355a4d494593920cb8492c3c319ed67faea7c9287165235080', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://d3l6r6r97yohylapdbcfdasl41paqxve3qs77zopb938yvvcxfbxcy8jmn2h6fs3uiucdlylnqaczguncemtru2ljp9966bsgqmh43swbyil6cje1boay10bwdyije8f/fold2/confusion_matrix.table.json', 'nrows': 4}",,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770792498.7501278
,,,,,,,,,,,,,,,,42.550325374,,,,,,,,,0.9547581903276131,,,,,,,,,,,11,,,,,,0.9525291828793774,,,,,,,,,,,,,,,,,,,0.9503105590062112,,,,,,,1770792498.7519798
,,,,,,,,,,,,,,,,42.55060462,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,0.8467153284671532,,,,,,,,,,,,,,0.9317269076305221,0.887189292543021,,,,1770792498.7523396
,,,,,,,,,,,,,,,,42.550822554,,0.949685534591195,,,,,,,,,,0.9467084639498433,,,,,,,,13,,,,,,,,,,,,,,,,,,0.94375,,,,,,,,,,,,,,1770792498.7526026
,,,0.8893129770992366,,,0.9471544715447154,,,,,,,,,,42.551044656,,,0.8381294964028777,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770792498.752859
,,,,,,,,,,,,,,"{'log_mode': 'IMMUTABLE', 'sha256': '2608e65ea1cae9efa1c06c4090f38b85df3371bb32317328936ec59cedfe8a0a', '_type': 'table-file', 'size': 146, 'ncols': 5, 'artifact_path': 'wandb-client-artifact://2u1gq3snqx5mgolo1arxwwji8hxpsesn4oknko1q6ejhwx0h84fu7aihxbhzkobfeyb4g5oifs65kgf2eut1xhceee5po6dkvr70h26b8q1rpm3e266wmi7apsc96a3w/fold3/confusion_matrix.table.json', 'nrows': 4, 'path': 'media/table/fold3/confusion_matrix_15_2608e65ea1cae9efa1c0.table.json', '_latest_artifact_path': 'wandb-client-artifact://owgrtfrfekml6hrzam9l7voyrh0fncac6wy3ezz4d20wq9p3ykh2tn7zhyldyik4uq7kjdsv3e1dnwyp1llqonc8cup2o2hzp7c6f2am840rurxkbtoumejny2jyimdy:latest/fold3/confusion_matrix.table.json'}",,52.160043298,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770792508.3616138
,,,,,,,,,,,,,,,,52.161643344,,,,,,,,,,,,,,,,,,,,16,,,0.9485981308411215,,,,,,,0.9590551181102362,,0.9697452229299363,,,,,,,,,,,,,,,,,,,,1770792508.3632987
,,,,,,,,,0.9169811320754717,,,,,,,52.161723624,0.9169811320754717,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,0.9169811320754717,,,,,,,,,1770792508.3635428
,,,,,,,,,,,,0.9227340267459139,,,,52.1618622,,,,,,,,,,,,,,,,,,,,18,,,,0.9423368740515933,,,,,,,,,,,,,,,,,,0.9627906976744186,,,,,,,,,,1770792508.3637075
,0.8577235772357723,,,0.9377777777777778,,,,,,,,,,,,52.162008802,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,0.7902621722846442,,,,,,,,,,,1770792508.3638594
,,,,,,,,,,,,,,,,65.820525388,,,,,,,,,,,,,,,,,,,,20,,"{'size': 146, 'log_mode': 'IMMUTABLE', 'ncols': 5, '_latest_artifact_path': 'wandb-client-artifact://4lophcn0zgxv28h75oat377upe0aropbd22a4bcr6xr7tjclu0i8g43v2wg0i8zrem2sod5v5htdz3elcxdbzdewvnedcxcpfmbl1kx6p79nkidobwvgh8eksfadajkl:latest/fold4/confusion_matrix.table.json', 'nrows': 4, 'sha256': '330af70cbc63fa6f0ddb54dbf16dfb510fc86744b20464c9941e6ccaf54a9803', 'artifact_path': 'wandb-client-artifact://7j6ytaotdhqvwiksbg16mysdl8kf0mckimedaklpg53emmv4uaomq1ldxt913005vvz308f5234iioy157ge3h8g4av6op9o2v5askec52sspgtlfqdyc77zmmeo6mu0/fold4/confusion_matrix.table.json', '_type': 'table-file', 'path': 'media/table/fold4/confusion_matrix_20_330af70cbc63fa6f0ddb.table.json'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770792522.0220616
,,,,,,,,,,,,,,,,65.822356364,,,,,,,0.9702660406885759,0.9794628751974723,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9612403100775194,,1770792522.0240521
,,,,,,,,,,,,,,,,65.822623757,,,,,,,,,,,,,,,,,,,,22,0.9210526315789473,,,,,,,,,,0.9107806691449815,,,,,,,,0.9315589353612167,,,,,,,,,,,,,1770792522.0243995
,,,,,,,,,,,,,,,,65.82284632,,,,,,,,,,,,,0.955108359133127,,,,,,,23,,,,,,,,,,,,,,,,0.9565891472868217,,,,,,,,,,,,,,,0.9580745341614907,1770792522.0246367
,,,,,0.8778625954198473,,0.9349593495934959,,,,,,,,,65.823063713,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,0.905511811023622,,,,,,,,,,,,,,,,,1770792522.0248787
,,,,,,,,,,,,,,,,66.083320914,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,"{'nrows': 5, 'path': 'media/table/cv5/fold_metrics_25_bd67ba39ad0c1bcae4e9.table.json', 'sha256': 'bd67ba39ad0c1bcae4e97d5eab8236c61af07f498b948f810dfd20ebadd75c7f', 'size': 767, '_type': 'table-file', 'ncols': 9, '_latest_artifact_path': 'wandb-client-artifact://mtysym5ucgcnqm2sgek54jj9g6j608z4qqwwhmw09p7mnyuysn5v53fqexm9mbctxru7wqpy7rkufm79ytjxloh06i45nso9iobb9dya5fg9mztstpm44vyggukgzd85:latest/cv5/fold_metrics.table.json', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://az6vgg5ij846icsu60qsisvrvqcgwbrzavxxxsy3nyaev2ymttt819dschk0dbpghldmtsvmt23zamtwiwtxjk0dh250wxr4k7yntw7xzrr2whlx54tkpo6l5qo2gskj/cv5/fold_metrics.table.json'}",,,,,,,,1770792522.285005
