fold3/class_0/precision,fold4/class_3/recall,fold4/class_0/recall,fold1/class_2/f1-score,fold3/class_2/precision,_step,fold0/class_1/f1-score,fold2/class_0/recall,fold0/class_3/precision,fold1/class_0/recall,fold2/class_3/precision,fold2/class_1/recall,fold3/class_1/recall,fold1/class_0/f1-score,fold1/class_3/f1-score,fold0/class_1/precision,fold1/class_1/recall,fold2/confusion_matrix,fold1/class_0/precision,cv5/fold_metrics,fold1/class_3/precision,fold3/class_1/f1-score,fold3/class_3/f1-score,fold2/class_2/f1-score,fold0/class_3/recall,fold3/class_2/recall,fold0/class_3/f1-score,fold3/class_2/f1-score,fold0/class_2/recall,fold4/class_0/precision,fold3/class_0/f1-score,fold1/class_3/recall,fold1/confusion_matrix,fold3/class_3/precision,fold2/class_0/f1-score,fold0/class_0/precision,fold0/class_1/recall,fold3/class_0/recall,fold0/class_0/f1-score,_runtime,fold0/class_2/f1-score,fold4/class_3/precision,fold0/class_0/recall,fold4/class_2/recall,fold2/class_1/f1-score,fold3/class_3/recall,fold2/class_1/precision,fold2/class_2/recall,fold4/class_1/recall,fold1/class_1/f1-score,fold2/class_3/recall,fold1/class_1/precision,fold4/class_3/f1-score,fold3/class_1/precision,fold0/class_2/precision,fold1/class_2/recall,fold4/class_1/f1-score,fold2/class_0/precision,fold4/confusion_matrix,fold1/class_2/precision,fold4/class_0/f1-score,fold2/class_2/precision,_timestamp,fold2/class_3/f1-score,fold4/class_2/precision,fold4/class_2/f1-score,fold4/class_1/precision,fold3/confusion_matrix,fold0/confusion_matrix
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.577699176,,,,,,,,,,,,,,,,,,,,,,,1770719315.3610995,,,,,,"{'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://crkqvtfra9rdcg84594z47gw1ue44c8xp3pv32d7b85d79egaj0fpsle5g8jd5ayjpxkiwdpqgnfkyp0xs7c141dhad0hltz5bsszhoukxmjta37yc2wqqhbkai07vf6:latest/fold0/confusion_matrix.table.json', 'nrows': 4, 'path': 'media/table/fold0/confusion_matrix_0_45e09d86d2f77686d0aa.table.json', 'artifact_path': 'wandb-client-artifact://devgwokmng1kre2m8kmy36xauq3g1hesdjsolxk5wj7w944sq4n7du4yh2w91secariomvorntg19tpb9479ljrv67pfiogmwp0ffwi2bgci4if5qxuc014s2le8w2rh/fold0/confusion_matrix.table.json', '_type': 'table-file', 'ncols': 5, 'size': 147, 'sha256': '45e09d86d2f77686d0aa704ae034e5221c293b291122ac861203920f6b39b4f2'}"
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9951393389500972,,,0.9961076873175478,226.579650806,,,0.9970779220779221,,,,,,,,,,,,,,,,,,,,1770719315.3633273,,,,,,
,,,,,2,0.9907373101148573,,,,,,,,,0.9947916666666666,,,,,,,,,,,,,,,,,,,,,0.9867158671586715,,,226.580041721,,,,,,,,,,,,,,,,,,,,,,,1770719315.3639235,,,,,,
,,,,,3,,,,,,,,,,,,,,,,,,,,,,,0.9948635634028893,,,,,,,,,,,226.580392893,0.996142719382835,,,,,,,,,,,,,,0.9974251689732861,,,,,,,,1770719315.3643284,,,,,,
,,,,,4,,,0.9865591397849462,,,,,,,,,,,,,,,,0.9952542372881356,,0.9908876139048262,,,,,,,,,,,,,226.580741884,,,,,,,,,,,,,,,,,,,,,,,1770719315.3646965,,,,,,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'_type': 'table-file', 'sha256': '86e3c77bd05c541fe68f22c29a14bfe39ac0be9fb3a010c33d02e8f4ef820136', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://a3wireeajohyb0hn48ho2ay40xmsfluavi38hx0dbsb7ehswqb90t7k6odbbcdn2cuqlqfrm9ezuhimio8rrs7w6unac2m9wshuxejn6z5mzbzf0dk8nj4mx31eql2p5/fold1/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://12dvttbjm6eydgryf0v936ir2mmhox7lbncg9nnrutpr867jyznj1vyityr6axhcsd4nhth1ylfms1kt6aqlzqon7ttcgnkp6c97ljx2qk89j62g5apkfzswkxwk4ve4:latest/fold1/confusion_matrix.table.json', 'size': 146, 'nrows': 4, 'path': 'media/table/fold1/confusion_matrix_5_86e3c77bd05c541fe68f.table.json', 'ncols': 5}",,,,,,,503.708471233,,,,,,,,,,,,,,,,,,,,,,,1770719592.4923084,,,,,,
,,,,,6,,,,0.9964338781575037,,,,0.9970264644662503,,,,,0.9976197560249925,,,,,,,,,,,,,,,,,,,,,503.710269416,,,,,,,,,,,,,,,,,,,,,,,1770719592.4940422,,,,,,
,,,,,7,,,,,,,,,,,0.9964285714285714,,,,,,,,,,,,,,,,,,,,,,,503.71065662,,,,,,,,,,0.9974973185555953,,0.9985683607730852,,,,,,,,,,,1770719592.4945512,,,,,,
,,,0.9961064243997404,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503.71109243,,,,,,,,,,,,,,,,0.9983739837398374,,,,0.99384914211719,,,1770719592.4949863,,,,,,
,,,,,9,,,,,,,,,0.9902252443688908,,,,,,0.9931798806479113,,,,,,,,,,,0.9872881355932204,,,,,,,,503.711459673,,,,,,,,,,,,,,,,,,,,,,,1770719592.4954112,,,,,,
