cv5/fold_metrics,fold2/class_0/f1-score,fold2/class_1/recall,fold3/confusion_matrix,fold1/confusion_matrix,fold0/class_0/precision,fold1/class_1/f1-score,fold4/class_1/recall,fold3/class_1/recall,fold2/class_1/f1-score,fold2/class_0/recall,fold0/confusion_matrix,fold1/class_1/recall,fold4/class_1/f1-score,fold1/class_1/precision,fold4/class_0/precision,fold3/class_0/precision,fold1/class_0/recall,fold4/class_0/recall,fold3/class_0/recall,fold0/class_1/recall,fold2/class_0/precision,fold0/class_1/precision,fold3/class_1/f1-score,fold4/class_1/precision,fold1/class_0/f1-score,fold0/class_1/f1-score,fold4/class_0/f1-score,fold0/class_0/recall,fold2/class_1/precision,_timestamp,fold0/class_0/f1-score,fold2/confusion_matrix,fold4/confusion_matrix,_step,_runtime,fold3/class_0/f1-score,fold1/class_0/precision,fold3/class_1/precision
,,,,,,,,,,,"{'artifact_path': 'wandb-client-artifact://5k0e2s8eepgchysdjz6aafam4md6lo9o9jqt4hlebuw1j7s9t79lm2lom1so2wm41wtvcddcmgsjrxpjvoab69oq2y2gfnzysqpkyksmsian3zlz8uh94w6w59gjue7i/fold0/confusion_matrix.table.json', 'nrows': 2, 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'ncols': 3, 'sha256': 'c9b8e77b7d37053d2bfa433792a461489bb6672ae8efbcbfc75b63830d73c649', 'size': 83, '_latest_artifact_path': 'wandb-client-artifact://tsqritnx5xoq3gw3eawlplqmdgoyj0v2v8bhlxlrfcv2yl4pitw4b0n4grc95u5mchu2zwsmgbis1xevexoc2iqr7brr2txgp80wt0koh9sjph8yabdswlss8d41o9ml:latest/fold0/confusion_matrix.table.json', 'path': 'media/table/fold0/confusion_matrix_0_c9b8e77b7d37053d2bfa.table.json'}",,,,,,,,,,,,,,,,,,,1770747693.943412,,,,0,4643.569750196,,,
,,,,,0.9923025230618853,,,,,,,,,,,,,,,,,,,,,,,0.9998768851954447,,1770747693.9450536,0.9960753050837063,,,1,4643.571286842,,,
,,,,,,,,,,,,,,,,,,,,0.9956371191135734,,0.9999304492975379,,,,0.9977791657991533,,,,1770747693.9454098,,,,2,4643.571511913,,,
,,,,"{'path': 'media/table/fold1/confusion_matrix_3_8a438aca5a9dd08172a0.table.json', 'size': 83, '_latest_artifact_path': 'wandb-client-artifact://blxgjhjanp5v8fccxiq2zjt4pp3ykc1owin8ein44xjvbvseh8e66691u5yl03kd9h40lzhk8ez3kvehli76royh9l1c8cm96kdfkdvzspqf5l9sn0z2503nk06xgfh4:latest/fold1/confusion_matrix.table.json', 'ncols': 3, 'artifact_path': 'wandb-client-artifact://ovjf2okb161pfrzprotwk0ghok7psm7dvcwbyj4pknmt2qkbirx4qfnj4vhm9hutnfnz25rbersxgap7yq0s0yz7lgf8zjtehxmcusw5yp7t8kyi91q9en6f669kaemm/fold1/confusion_matrix.table.json', 'nrows': 2, 'sha256': '8a438aca5a9dd08172a0d708774034f25ff237f99d96288ebe3a41a9226fdec2', '_type': 'table-file', 'log_mode': 'IMMUTABLE'}",,,,,,,,,,,,,,,,,,,,,,,,,,1770748382.512997,,,,3,5332.13913817,,,
,,,,,,,,,,,,,,,,,0.9994459833795014,,,,,,,,0.996348685219846,,,,,1770748382.5145376,,,,4,5332.140584405,,0.9932705248990579,
,,,,,,0.9979361417991988,,,,,,0.996191135734072,,0.9996872719691442,,,,,,,,,,,,,,,,1770748382.5147357,,,,5,5332.140723012,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770748554.6475732,,"{'artifact_path': 'wandb-client-artifact://z8vj60vvpb8l0ni7y10m5sm1060ddll8vua79kuvh3adehuvnv7fxhyvzr5gfpjp5291rwoqve0l4566l97mrw26w1fkdx7pz3xo4z3wqlm03umiyl8rsf9hkbcn5kdi/fold2/confusion_matrix.table.json', '_latest_artifact_path': 'wandb-client-artifact://ef6i0s8zh7tju5yue9l33ympw6curxkgayba7gxxpsn51r6b25qj06kclai7ag07v3f6dpp55p229wcfnrv7ofbiabs1p1u5js53lckxuixhbrpu9x81qyqehpfxl6xp:latest/fold2/confusion_matrix.table.json', 'size': 84, 'ncols': 3, 'nrows': 2, 'log_mode': 'IMMUTABLE', 'path': 'media/table/fold2/confusion_matrix_6_b054a5b0f2c9611bb3c5.table.json', '_type': 'table-file', 'sha256': 'b054a5b0f2c9611bb3c5a7eecc3ef7374d3efde6027b283a39bef86531b7f9e4'}",,6,5504.273898348,,,
,0.9880468343982146,,,,,,,,,0.9953190440995319,,,,,,,,,,,0.9808801213960546,,,,,,,,,1770748554.6491957,,,,7,5504.275289583,,,
,,0.9890867516629712,,,,,,,0.9931986988815251,,,,,,,,,,,,,,,,,,,,0.9973449781659388,1770748554.6494353,,,,8,5504.275458622,,,
,,,"{'_latest_artifact_path': 'wandb-client-artifact://inthsijzft9adov7bw342ul13qj6kd2l8s4232ay5xtyqynks8fma16k2ci43rxmjxx8yui583tlgxpod1fga42n5j925fl8il5tltud0x8i2k6uarnxejzvjvpbgvz1:latest/fold3/confusion_matrix.table.json', 'size': 83, 'ncols': 3, 'nrows': 2, 'path': 'media/table/fold3/confusion_matrix_9_adbe358710483e53f866.table.json', '_type': 'table-file', 'sha256': 'adbe358710483e53f866d6dd2cccc07596471323e13f991b4b4fbeed2122d922', 'artifact_path': 'wandb-client-artifact://s9h0p6015vvmo8yqmxgmsq6hirkuuq9mpzezna8a7hhmnx4tx2djakjrpu1rk8i7wg3b7jyxt1joi1d2wnkz4ymj79hxvrrwk2yhw02og618vhmq2hyf29nuj9p0q5t1/fold3/confusion_matrix.table.json', 'log_mode': 'IMMUTABLE'}",,,,,,,,,,,,,,,,,,,,,,,,,,,1770748930.4931617,,,,9,5880.119351514,,,
