cv5/fold_metrics,fold2/class_0/precision,fold0/class_0/precision,fold4/confusion_matrix,fold3/class_3/recall,fold4/class_2/recall,fold1/class_0/precision,fold4/class_1/precision,fold0/class_1/f1-score,fold2/class_2/precision,fold2/class_3/precision,fold1/class_2/recall,fold3/class_1/f1-score,fold0/class_1/recall,fold2/class_2/recall,fold0/class_3/f1-score,fold4/class_3/precision,fold4/class_3/f1-score,fold3/class_3/precision,fold3/class_0/precision,fold4/class_1/recall,fold0/class_2/recall,fold3/class_0/recall,fold3/class_2/precision,fold1/class_3/f1-score,fold4/class_0/f1-score,fold1/class_1/recall,fold4/class_2/precision,fold2/class_2/f1-score,fold3/class_1/precision,fold2/confusion_matrix,fold2/class_0/recall,fold2/class_1/f1-score,fold3/class_2/f1-score,fold2/class_1/precision,fold2/class_3/recall,fold0/confusion_matrix,fold0/class_0/f1-score,fold1/class_0/recall,fold2/class_3/f1-score,fold1/class_1/precision,_runtime,fold4/class_1/f1-score,fold0/class_3/recall,fold4/class_2/f1-score,fold1/class_3/precision,fold4/class_0/precision,fold0/class_1/precision,fold4/class_0/recall,fold3/class_0/f1-score,fold1/class_0/f1-score,fold1/class_2/precision,fold2/class_0/f1-score,_step,fold4/class_3/recall,fold1/class_1/f1-score,fold1/class_3/recall,fold0/class_0/recall,fold0/class_2/f1-score,fold0/class_2/precision,fold1/class_2/f1-score,fold3/class_1/recall,fold1/confusion_matrix,fold0/class_3/precision,fold3/class_3/f1-score,fold3/confusion_matrix,fold3/class_2/recall,fold2/class_1/recall,_timestamp
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'_type': 'table-file', 'artifact_path': 'wandb-client-artifact://c3adv4v6y925g31g7989j4fuxocmyl4ln1egfku5kzxbmzm8zhqhpohpwc5iqgvv2e1zj4124yrqd8630axybcc9hqy64vapwc93pd2z5h4umsr2vmzl2yi41p3ulyfg/fold0/confusion_matrix.table.json', 'size': 145, 'ncols': 5, 'nrows': 4, 'path': 'media/table/fold0/confusion_matrix_0_cf067d18d2c5c7073ef8.table.json', 'sha256': 'cf067d18d2c5c7073ef8c850184a4b83586113273608cd1305beabb028887d1d', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://fwazau5x0ieig40obs5wbbdod09rnsdg0auoxpit6bagxri70hyz4dqtgoov200f3f4lrgst8mjskk1mlcy4l0xfzu5urqyketbiozyn72g5kb3vy04uh039athip4kj:latest/fold0/confusion_matrix.table.json'}",,,,,376.715417436,,,,,,,,,,,,0,,,,,,,,,,,,,,,1770721521.190588
,,0.9987025624391827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999188706798637,,,,376.716948912,,,,,,,,,,,,1,,,,0.9996753246753247,,,,,,,,,,,1770721521.1927772
,,,,,,,,0.9981570217471434,,,,,0.9992619926199262,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.717362569,,,,,,0.9970544918998527,,,,,,2,,,,,,,,,,,,,,,1770721521.1933398
,,,,,,,,,,,,,,,,,,,,,0.9987158908507223,,,,,,,,,,,,,,,,,,,,376.717726116,,,,,,,,,,,,3,,,,,0.9991970451260639,0.9996786632390745,,,,,,,,,1770721521.1936746
,,,,,,,,,,,,,,,0.99830335934849,,,,,,,,,,,,,,,,,,,,,,,,,,376.71814202,,0.9972881355932204,,,,,,,,,,4,,,,,,,,,,0.9993206521739131,,,,,1770721521.1940424
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826.343024022,,,,,,,,,,,,5,,,,,,,,,"{'path': 'media/table/fold1/confusion_matrix_5_5cf683ab1c0211338fb6.table.json', 'sha256': '5cf683ab1c0211338fb6bcfa8f7d29c3e971a57258d4d9eb60bafd58624ff626', 'artifact_path': 'wandb-client-artifact://618ip49umvbgbe6s5on8qf153qya9x6220usp7eianv7zpwhqh8xsel9ckt8nynkstvetlon66uqex0tcpolcrf40pd3p3zx2nqp6l3jerkfref2z4gflavqk57vdwc7/fold1/confusion_matrix.table.json', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://rsar4923x9ko5bkhrxxriqsljrys8p0p40lkajz6h9bkdk0wxybopxutewn1psamtwysw8ayfbhbc3gqgjv0gwdawkz06bc7l79snj23qdrqbad34xtu0h120ouxfz6o:latest/fold1/confusion_matrix.table.json', 'size': 145, 'nrows': 4, 'ncols': 5, '_type': 'table-file'}",,,,,,1770721970.818662
,,,,,,0.9988095238095238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9973254086181278,,,826.344691156,,,,,,,,,0.9980669144981412,,,6,,,,,,,,,,,,,,,1770721970.8204992
,,,,,,,,,,,,,,,,,,,,,,,,,,0.9985714285714286,,,,,,,,,,,,,,0.9957264957264957,826.345227112,,,,,,,,,,,,7,,0.9971469329529244,,,,,,,,,,,,,1770721970.8210306
,,,,,,,,,,,0.999349593495935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826.345535439,,,,,,,,,,0.9964332036316472,,8,,,,,,,0.9978892677382692,,,,,,,,1770721970.8214765
,,,,,,,,,,,,,,,,,,,,,,,,0.9948979591836735,,,,,,,,,,,,,,,,,826.345915957,,,,0.9982935153583617,,,,,,,,9,,,0.9915254237288136,,,,,,,,,,,,1770721970.821827
